	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN25331D1_000640-T1	DBVPG3775_001425-T1
GF00000002	TFCN25331D1_008792-T1	DBVPG3775_002321-T1
GF00000003	TFCN25331D1_000110-T1	DBVPG3775_004132-T1
GF00000004	TFCN25331D1_000149-T1	DBVPG3775_004172-T1
GF00000005	TFCN25331D1_002862-T1	DBVPG3775_001973-T1
GF00000006	TFCN25331D1_007358-T1	DBVPG3775_006827-T1
GF00000007	TFCN25331D1_010645-T1	DBVPG3775_005585-T1
GF00000008	TFCN25331D1_003897-T1	DBVPG3775_002003-T1
GF00000009	TFCN25331D1_001331-T1	DBVPG3775_000780-T1
GF00000010	TFCN25331D1_004250-T1	DBVPG3775_005206-T1
GF00000011	TFCN25331D1_011061-T1	DBVPG3775_000220-T1
GF00000012	TFCN25331D1_005585-T1	DBVPG3775_003781-T1
GF00000013	TFCN25331D1_011426-T1	DBVPG3775_004453-T1
GF00000014	TFCN25331D1_013625-T1	DBVPG3775_006585-T1
GF00000015	TFCN25331D1_001195-T1	DBVPG3775_000902-T1
GF00000016	TFCN25331D1_001529-T1	DBVPG3775_000979-T1
GF00000017	TFCN25331D1_003110-T1	DBVPG3775_002987-T1
GF00000018	TFCN25331D1_004389-T1	DBVPG3775_002916-T1
GF00000019	TFCN25331D1_000748-T1	DBVPG3775_006246-T1
GF00000020	TFCN25331D1_006677-T1	DBVPG3775_004957-T1
GF00000021	TFCN25331D1_005831-T1	DBVPG3775_006341-T1
GF00000022	TFCN25331D1_012406-T1	DBVPG3775_004041-T1
GF00000023	TFCN25331D1_000602-T1	DBVPG3775_001893-T1
GF00000024	TFCN25331D1_000639-T1	DBVPG3775_001426-T1
GF00000025	TFCN25331D1_011564-T1	DBVPG3775_005693-T1
GF00000026	TFCN25331D1_011365-T1	DBVPG3775_006562-T1
GF00000027	TFCN25331D1_001171-T1	DBVPG3775_000924-T1
GF00000028	TFCN25331D1_009823-T1	DBVPG3775_003162-T1
GF00000029	TFCN25331D1_003855-T1	DBVPG3775_002046-T1
GF00000030	TFCN25331D1_013009-T1	DBVPG3775_002869-T1
GF00000031	TFCN25331D1_005450-T1	DBVPG3775_002812-T1
GF00000032	TFCN25331D1_003937-T1	DBVPG3775_000170-T1
GF00000033	TFCN25331D1_000696-T1	DBVPG3775_001370-T1
GF00000034	TFCN25331D1_009696-T1	DBVPG3775_006836-T1
GF00000035	TFCN25331D1_002750-T1	DBVPG3775_004293-T1
GF00000036	TFCN25331D1_003244-T1	DBVPG3775_003520-T1
GF00000037	TFCN25331D1_012811-T1	DBVPG3775_003326-T1
GF00000038	TFCN25331D1_011221-T1	DBVPG3775_000026-T1
GF00000039	TFCN25331D1_011790-T1	DBVPG3775_007326-T1
GF00000040	TFCN25331D1_005641-T1	DBVPG3775_004622-T1
GF00000041	TFCN25331D1_005966-T1	DBVPG3775_002328-T1
GF00000042	TFCN25331D1_013149-T1	DBVPG3775_001828-T1
GF00000043	TFCN25331D1_007592-T1	DBVPG3775_000387-T1
GF00000044	TFCN25331D1_003435-T1	DBVPG3775_000357-T1
GF00000045	TFCN25331D1_007182-T1	DBVPG3775_003746-T1
GF00000046	TFCN25331D1_012648-T1	DBVPG3775_006241-T1
GF00000047	TFCN25331D1_011598-T1	DBVPG3775_004141-T1
GF00000048	TFCN25331D1_003725-T1	DBVPG3775_002218-T1
GF00000049	TFCN25331D1_006930-T1	DBVPG3775_000467-T1
GF00000050	TFCN25331D1_004290-T1	DBVPG3775_005166-T1
GF00000051	TFCN25331D1_000615-T1	DBVPG3775_001451-T1
GF00000052	TFCN25331D1_013317-T1	DBVPG3775_001018-T1
GF00000053	TFCN25331D1_004416-T1	DBVPG3775_002941-T1
GF00000054	TFCN25331D1_003739-T1	DBVPG3775_002206-T1
GF00000055	TFCN25331D1_011692-T1	DBVPG3775_002577-T1
GF00000056	TFCN25331D1_010168-T1	DBVPG3775_006128-T1
GF00000057	TFCN25331D1_001103-T1	DBVPG3775_000993-T1
GF00000058	TFCN25331D1_001976-T1	DBVPG3775_001025-T1
GF00000059	TFCN25331D1_010938-T1	DBVPG3775_007158-T1
GF00000060	TFCN25331D1_007635-T1	DBVPG3775_005736-T1
GF00000061	TFCN25331D1_001257-T1	DBVPG3775_000842-T1
GF00000062	TFCN25331D1_008561-T1	DBVPG3775_007424-T1
GF00000063	TFCN25331D1_006200-T1	DBVPG3775_005080-T1
GF00000064	TFCN25331D1_007220-T1	DBVPG3775_003785-T1
GF00000065	TFCN25331D1_004643-T1	DBVPG3775_005163-T1
GF00000066	TFCN25331D1_007372-T1	DBVPG3775_006818-T1
GF00000067	TFCN25331D1_012255-T1	DBVPG3775_007226-T1
GF00000068	TFCN25331D1_002410-T1	DBVPG3775_004308-T1
GF00000069	TFCN25331D1_007227-T1	DBVPG3775_003792-T1
GF00000070	TFCN25331D1_009232-T1	DBVPG3775_004717-T1
GF00000071	TFCN25331D1_010280-T1	DBVPG3775_004521-T1
GF00000072	TFCN25331D1_002483-T1	DBVPG3775_004080-T1
GF00000073	TFCN25331D1_002674-T1	DBVPG3775_006345-T1
GF00000074	TFCN25331D1_011591-T1	DBVPG3775_003411-T1
GF00000075	TFCN25331D1_004604-T1	DBVPG3775_005157-T1
GF00000076	TFCN25331D1_005055-T1	DBVPG3775_001853-T1
GF00000077	TFCN25331D1_012551-T1	DBVPG3775_002338-T1
GF00000078	TFCN25331D1_008388-T1	DBVPG3775_007241-T1
GF00000079	TFCN25331D1_011005-T1	DBVPG3775_003273-T1
GF00000080	TFCN25331D1_001610-T1	DBVPG3775_002226-T1
GF00000081	TFCN25331D1_006315-T1	DBVPG3775_002257-T1
GF00000082	TFCN25331D1_010304-T1	DBVPG3775_001251-T1
GF00000083	TFCN25331D1_007876-T1	DBVPG3775_003841-T1
GF00000084	TFCN25331D1_012765-T1	DBVPG3775_000562-T1
GF00000085	TFCN25331D1_000766-T1	DBVPG3775_005599-T1
GF00000086	TFCN25331D1_013626-T1	DBVPG3775_006584-T1
GF00000087	TFCN25331D1_003858-T1	DBVPG3775_002043-T1
GF00000088	TFCN25331D1_002217-T1	DBVPG3775_005324-T1
GF00000089	TFCN25331D1_007834-T1	DBVPG3775_003881-T1
GF00000090	TFCN25331D1_004787-T1	DBVPG3775_004880-T1
GF00000091	TFCN25331D1_005546-T1	DBVPG3775_003742-T1
GF00000092	TFCN25331D1_001789-T1	DBVPG3775_002526-T1
GF00000093	TFCN25331D1_005946-T1	DBVPG3775_007105-T1
GF00000094	TFCN25331D1_011180-T1	DBVPG3775_006948-T1
GF00000095	TFCN25331D1_008978-T1	DBVPG3775_006133-T1
GF00000096	TFCN25331D1_002437-T1	DBVPG3775_004339-T1
GF00000097	TFCN25331D1_009953-T1	DBVPG3775_000082-T1
GF00000098	TFCN25331D1_003497-T1	DBVPG3775_001677-T1
GF00000099	TFCN25331D1_013759-T1	DBVPG3775_006959-T1
GF00000100	TFCN25331D1_011174-T1	DBVPG3775_006954-T1
GF00000101	TFCN25331D1_009230-T1	DBVPG3775_003172-T1
GF00000102	TFCN25331D1_011031-T1	DBVPG3775_000191-T1
GF00000103	TFCN25331D1_007616-T1	DBVPG3775_005753-T1
GF00000104	TFCN25331D1_011530-T1	DBVPG3775_003251-T1
GF00000105	TFCN25331D1_000158-T1	DBVPG3775_004181-T1
GF00000106	TFCN25331D1_000246-T1	DBVPG3775_001065-T1
GF00000107	TFCN25331D1_002872-T1	DBVPG3775_001962-T1
GF00000108	TFCN25331D1_000516-T1	DBVPG3775_001549-T1
GF00000109	TFCN25331D1_010006-T1	DBVPG3775_006210-T1
GF00000110	TFCN25331D1_002687-T1	DBVPG3775_007088-T1
GF00000111	TFCN25331D1_004510-T1	DBVPG3775_005033-T1
GF00000112	TFCN25331D1_011522-T1	DBVPG3775_003255-T1
GF00000113	TFCN25331D1_010437-T1	DBVPG3775_000399-T1
GF00000114	TFCN25331D1_008788-T1	DBVPG3775_002326-T1
GF00000115	TFCN25331D1_006278-T1	DBVPG3775_002294-T1
GF00000116	TFCN25331D1_003955-T1	DBVPG3775_000153-T1
GF00000117	TFCN25331D1_009216-T1	DBVPG3775_003187-T1
GF00000118	TFCN25331D1_013786-T1	DBVPG3775_007575-T1
GF00000119	TFCN25331D1_000121-T1	DBVPG3775_004731-T1
GF00000120	TFCN25331D1_009719-T1	DBVPG3775_002579-T1
GF00000121	TFCN25331D1_005896-T1	DBVPG3775_006076-T1
GF00000122	TFCN25331D1_004172-T1	DBVPG3775_001140-T1
GF00000123	TFCN25331D1_011928-T1	DBVPG3775_002838-T1
GF00000124	TFCN25331D1_000787-T1	DBVPG3775_005603-T1
GF00000125	TFCN25331D1_010398-T1	DBVPG3775_004809-T1
GF00000126	TFCN25331D1_010852-T1	DBVPG3775_004549-T1
GF00000127	TFCN25331D1_001676-T1	DBVPG3775_002336-T1
GF00000128	TFCN25331D1_003836-T1	DBVPG3775_000368-T1
GF00000129	TFCN25331D1_009015-T1	DBVPG3775_002435-T1
GF00000130	TFCN25331D1_002375-T1	DBVPG3775_004275-T1
GF00000131	TFCN25331D1_002632-T1	DBVPG3775_006388-T1
GF00000132	TFCN25331D1_005600-T1	DBVPG3775_003794-T1
GF00000133	TFCN25331D1_004478-T1	DBVPG3775_003709-T1
GF00000134	TFCN25331D1_008617-T1	DBVPG3775_001670-T1
GF00000135	TFCN25331D1_006090-T1	DBVPG3775_004754-T1
GF00000136	TFCN25331D1_010013-T1	DBVPG3775_006220-T1
GF00000137	TFCN25331D1_008666-T1	DBVPG3775_003358-T1
GF00000138	TFCN25331D1_010560-T1	DBVPG3775_004642-T1
GF00000139	TFCN25331D1_000931-T1	DBVPG3775_003861-T1
GF00000140	TFCN25331D1_004427-T1	DBVPG3775_002965-T1
GF00000141	TFCN25331D1_013263-T1	DBVPG3775_006015-T1
GF00000142	TFCN25331D1_000283-T1	DBVPG3775_001104-T1
GF00000143	TFCN25331D1_007851-T1	DBVPG3775_003865-T1
GF00000144	TFCN25331D1_008583-T1	DBVPG3775_001719-T1
GF00000145	TFCN25331D1_008087-T1	DBVPG3775_001266-T1
GF00000146	TFCN25331D1_005797-T1	DBVPG3775_001671-T1
GF00000147	TFCN25331D1_001752-T1	DBVPG3775_006031-T1
GF00000148	TFCN25331D1_011766-T1	DBVPG3775_003280-T1
GF00000149	TFCN25331D1_002046-T1	DBVPG3775_002488-T1
GF00000150	TFCN25331D1_000546-T1	DBVPG3775_001517-T1
GF00000151	TFCN25331D1_010989-T1	DBVPG3775_006662-T1
GF00000152	TFCN25331D1_003351-T1	DBVPG3775_000271-T1
GF00000153	TFCN25331D1_011267-T1	DBVPG3775_005942-T1
GF00000154	TFCN25331D1_010641-T1	DBVPG3775_005626-T1
GF00000155	TFCN25331D1_000852-T1	DBVPG3775_003134-T1
GF00000156	TFCN25331D1_008406-T1	DBVPG3775_003229-T1
GF00000157	TFCN25331D1_000917-T1	DBVPG3775_003877-T1
GF00000158	TFCN25331D1_006033-T1	DBVPG3775_004876-T1
GF00000159	TFCN25331D1_011898-T1	DBVPG3775_000632-T1
GF00000160	TFCN25331D1_003675-T1	DBVPG3775_002271-T1
GF00000161	TFCN25331D1_006096-T1	DBVPG3775_004760-T1
GF00000162	TFCN25331D1_005059-T1	DBVPG3775_005082-T1
GF00000163	TFCN25331D1_005571-T1	DBVPG3775_003767-T1
GF00000164	TFCN25331D1_006472-T1	DBVPG3775_006673-T1
GF00000165	TFCN25331D1_004714-T1	DBVPG3775_006439-T1
GF00000166	TFCN25331D1_007913-T1	DBVPG3775_002677-T1
GF00000167	TFCN25331D1_010392-T1	DBVPG3775_004545-T1
GF00000168	TFCN25331D1_007441-T1	DBVPG3775_000449-T1
GF00000169	TFCN25331D1_012671-T1	DBVPG3775_007423-T1
GF00000170	TFCN25331D1_002368-T1	DBVPG3775_005546-T1
GF00000171	TFCN25331D1_006957-T1	DBVPG3775_000439-T1
GF00000172	TFCN25331D1_005847-T1	DBVPG3775_006357-T1
GF00000173	TFCN25331D1_003219-T1	DBVPG3775_003496-T1
GF00000174	TFCN25331D1_008721-T1	DBVPG3775_001795-T1
GF00000175	TFCN25331D1_009522-T1	DBVPG3775_001902-T1
GF00000176	TFCN25331D1_006597-T1	DBVPG3775_005038-T1
GF00000177	TFCN25331D1_011388-T1	DBVPG3775_007022-T1
GF00000178	TFCN25331D1_009063-T1	DBVPG3775_003362-T1
GF00000179	TFCN25331D1_003391-T1	DBVPG3775_000312-T1
GF00000180	TFCN25331D1_003541-T1	DBVPG3775_006416-T1
GF00000181	TFCN25331D1_003759-T1	DBVPG3775_002180-T1
GF00000182	TFCN25331D1_010766-T1	DBVPG3775_003544-T1
GF00000183	TFCN25331D1_012268-T1	DBVPG3775_006806-T1
GF00000184	TFCN25331D1_005051-T1	DBVPG3775_001834-T1
