	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	CHIFNET18NJ590_001441-T1	DBVPG3775_001425-T1
GF00000002	CHIFNET18NJ590_000281-T1	DBVPG3775_004132-T1
GF00000003	CHIFNET18NJ590_010083-T1	DBVPG3775_006827-T1
GF00000004	CHIFNET18NJ590_008625-T1	DBVPG3775_002215-T1
GF00000005	CHIFNET18NJ590_010184-T1	DBVPG3775_002321-T1
GF00000006	CHIFNET18NJ590_007653-T1	DBVPG3775_002963-T1
GF00000007	CHIFNET18NJ590_000868-T1	DBVPG3775_006205-T1
GF00000008	CHIFNET18NJ590_009147-T1	DBVPG3775_002003-T1
GF00000009	CHIFNET18NJ590_001879-T1	DBVPG3775_000780-T1
GF00000010	CHIFNET18NJ590_008508-T1	DBVPG3775_004453-T1
GF00000011	CHIFNET18NJ590_004594-T1	DBVPG3775_005585-T1
GF00000012	CHIFNET18NJ590_001087-T1	DBVPG3775_000902-T1
GF00000013	CHIFNET18NJ590_000678-T1	DBVPG3775_000220-T1
GF00000014	CHIFNET18NJ590_011600-T1	DBVPG3775_000979-T1
GF00000015	CHIFNET18NJ590_000263-T1	DBVPG3775_004041-T1
GF00000016	CHIFNET18NJ590_005829-T1	DBVPG3775_004455-T1
GF00000017	CHIFNET18NJ590_008681-T1	DBVPG3775_006246-T1
GF00000018	CHIFNET18NJ590_011350-T1	DBVPG3775_005206-T1
GF00000019	CHIFNET18NJ590_003027-T1	DBVPG3775_002987-T1
GF00000020	CHIFNET18NJ590_007096-T1	DBVPG3775_004957-T1
GF00000021	CHIFNET18NJ590_009571-T1	DBVPG3775_006341-T1
GF00000022	CHIFNET18NJ590_013806-T1	DBVPG3775_001893-T1
GF00000023	CHIFNET18NJ590_008419-T1	DBVPG3775_002812-T1
GF00000024	CHIFNET18NJ590_001902-T1	DBVPG3775_002916-T1
GF00000025	CHIFNET18NJ590_002209-T1	DBVPG3775_007326-T1
GF00000026	CHIFNET18NJ590_001681-T1	DBVPG3775_006836-T1
GF00000027	CHIFNET18NJ590_007421-T1	DBVPG3775_000357-T1
GF00000028	CHIFNET18NJ590_001388-T1	DBVPG3775_001370-T1
GF00000029	CHIFNET18NJ590_009101-T1	DBVPG3775_001426-T1
GF00000030	CHIFNET18NJ590_006792-T1	DBVPG3775_006413-T1
GF00000031	CHIFNET18NJ590_011825-T1	DBVPG3775_002869-T1
GF00000032	CHIFNET18NJ590_001076-T1	DBVPG3775_000924-T1
GF00000033	CHIFNET18NJ590_005275-T1	DBVPG3775_000993-T1
GF00000034	CHIFNET18NJ590_004047-T1	DBVPG3775_005693-T1
