	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	CHIFNET18NJ590_000047-T1, CHIFNET18NJ590_013325-T1, CHIFNET18NJ590_005975-T1, CHIFNET18NJ590_003655-T1, CHIFNET18NJ590_008282-T1, CHIFNET18NJ590_000741-T1, CHIFNET18NJ590_000788-T1, CHIFNET18NJ590_002988-T1, CHIFNET18NJ590_003835-T1, CHIFNET18NJ590_002516-T1, CHIFNET18NJ590_007000-T1, CHIFNET18NJ590_002192-T1, CHIFNET18NJ590_004108-T1, CHIFNET18NJ590_002427-T1, CHIFNET18NJ590_002106-T1, CHIFNET18NJ590_003574-T1, CHIFNET18NJ590_007232-T1, CHIFNET18NJ590_014043-T1, CHIFNET18NJ590_010540-T1, CHIFNET18NJ590_009315-T1, CHIFNET18NJ590_009102-T1, CHIFNET18NJ590_001441-T1, CHIFNET18NJ590_002036-T1, CHIFNET18NJ590_012175-T1, CHIFNET18NJ590_013404-T1, CHIFNET18NJ590_000311-T1, CHIFNET18NJ590_015719-T1, CHIFNET18NJ590_010429-T1, CHIFNET18NJ590_013208-T1, CHIFNET18NJ590_002262-T1, CHIFNET18NJ590_012763-T1, CHIFNET18NJ590_016925-T1, CHIFNET18NJ590_001553-T1, CHIFNET18NJ590_009667-T1, CHIFNET18NJ590_011313-T1, CHIFNET18NJ590_015708-T1, CHIFNET18NJ590_017095-T1, CHIFNET18NJ590_013357-T1, CHIFNET18NJ590_005174-T1, CHIFNET18NJ590_001261-T1, CHIFNET18NJ590_002867-T1, CHIFNET18NJ590_001395-T1, CHIFNET18NJ590_008008-T1, CHIFNET18NJ590_012945-T1, CHIFNET18NJ590_001697-T1, CHIFNET18NJ590_008902-T1, CHIFNET18NJ590_012819-T1, CHIFNET18NJ590_005615-T1, CHIFNET18NJ590_005792-T1, CHIFNET18NJ590_006865-T1, CHIFNET18NJ590_015494-T1, CHIFNET18NJ590_017151-T1, CHIFNET18NJ590_007189-T1, CHIFNET18NJ590_016939-T1, CHIFNET18NJ590_009736-T1, CHIFNET18NJ590_013669-T1, CHIFNET18NJ590_015164-T1, CHIFNET18NJ590_015922-T1, CHIFNET18NJ590_015941-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	CHIFNET18NJ590_000027-T1, CHIFNET18NJ590_013064-T1, CHIFNET18NJ590_014766-T1, CHIFNET18NJ590_013587-T1, CHIFNET18NJ590_000765-T1, CHIFNET18NJ590_015138-T1, CHIFNET18NJ590_000120-T1, CHIFNET18NJ590_000248-T1, CHIFNET18NJ590_004791-T1, CHIFNET18NJ590_012387-T1, CHIFNET18NJ590_011930-T1, CHIFNET18NJ590_005663-T1, CHIFNET18NJ590_009492-T1, CHIFNET18NJ590_012285-T1, CHIFNET18NJ590_007742-T1, CHIFNET18NJ590_005763-T1, CHIFNET18NJ590_001025-T1, CHIFNET18NJ590_011608-T1, CHIFNET18NJ590_004138-T1, CHIFNET18NJ590_010897-T1, CHIFNET18NJ590_016196-T1, CHIFNET18NJ590_016971-T1, CHIFNET18NJ590_016232-T1, CHIFNET18NJ590_008613-T1, CHIFNET18NJ590_003886-T1, CHIFNET18NJ590_014567-T1, CHIFNET18NJ590_000281-T1, CHIFNET18NJ590_014333-T1, CHIFNET18NJ590_000911-T1, CHIFNET18NJ590_012177-T1, CHIFNET18NJ590_014684-T1, CHIFNET18NJ590_014689-T1, CHIFNET18NJ590_015407-T1, CHIFNET18NJ590_015345-T1, CHIFNET18NJ590_014255-T1, CHIFNET18NJ590_011442-T1, CHIFNET18NJ590_013206-T1, CHIFNET18NJ590_016465-T1, CHIFNET18NJ590_002034-T1, CHIFNET18NJ590_015502-T1, CHIFNET18NJ590_007684-T1, CHIFNET18NJ590_017338-T1	DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005071-T1, DBVPG3775_005929-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000003	CHIFNET18NJ590_001640-T1, CHIFNET18NJ590_010105-T1, CHIFNET18NJ590_008880-T1, CHIFNET18NJ590_001676-T1, CHIFNET18NJ590_001654-T1, CHIFNET18NJ590_010085-T1, CHIFNET18NJ590_010083-T1, CHIFNET18NJ590_008876-T1, CHIFNET18NJ590_010084-T1, CHIFNET18NJ590_010081-T1, CHIFNET18NJ590_008334-T1, CHIFNET18NJ590_010104-T1, CHIFNET18NJ590_013231-T1, CHIFNET18NJ590_010082-T1, CHIFNET18NJ590_008875-T1, CHIFNET18NJ590_008877-T1, CHIFNET18NJ590_010329-T1, CHIFNET18NJ590_006779-T1, CHIFNET18NJ590_013382-T1, CHIFNET18NJ590_010328-T1, CHIFNET18NJ590_016973-T1, CHIFNET18NJ590_008879-T1, CHIFNET18NJ590_010326-T1, CHIFNET18NJ590_013380-T1, CHIFNET18NJ590_007767-T1, CHIFNET18NJ590_010327-T1, CHIFNET18NJ590_013381-T1, CHIFNET18NJ590_005739-T1, CHIFNET18NJ590_003436-T1, CHIFNET18NJ590_001675-T1, CHIFNET18NJ590_008878-T1, CHIFNET18NJ590_004288-T1, CHIFNET18NJ590_005625-T1	DBVPG3775_003651-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1
GF00000004	CHIFNET18NJ590_011597-T1, CHIFNET18NJ590_000494-T1, CHIFNET18NJ590_006912-T1, CHIFNET18NJ590_004152-T1, CHIFNET18NJ590_008085-T1, CHIFNET18NJ590_001198-T1, CHIFNET18NJ590_002930-T1, CHIFNET18NJ590_012691-T1, CHIFNET18NJ590_004803-T1, CHIFNET18NJ590_010700-T1, CHIFNET18NJ590_001510-T1, CHIFNET18NJ590_004809-T1, CHIFNET18NJ590_012600-T1, CHIFNET18NJ590_005286-T1, CHIFNET18NJ590_012860-T1, CHIFNET18NJ590_000997-T1, CHIFNET18NJ590_015602-T1, CHIFNET18NJ590_016758-T1, CHIFNET18NJ590_016985-T1, CHIFNET18NJ590_002477-T1, CHIFNET18NJ590_002154-T1, CHIFNET18NJ590_006645-T1, CHIFNET18NJ590_008239-T1, CHIFNET18NJ590_016605-T1, CHIFNET18NJ590_007015-T1, CHIFNET18NJ590_011158-T1, CHIFNET18NJ590_007308-T1, CHIFNET18NJ590_008162-T1, CHIFNET18NJ590_004535-T1, CHIFNET18NJ590_010930-T1, CHIFNET18NJ590_008625-T1, CHIFNET18NJ590_007695-T1, CHIFNET18NJ590_008149-T1, CHIFNET18NJ590_007322-T1	DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_002174-T1, DBVPG3775_002215-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005327-T1, DBVPG3775_005341-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000005	CHIFNET18NJ590_006728-T1, CHIFNET18NJ590_004608-T1, CHIFNET18NJ590_007597-T1, CHIFNET18NJ590_012558-T1, CHIFNET18NJ590_011986-T1, CHIFNET18NJ590_007756-T1, CHIFNET18NJ590_005750-T1, CHIFNET18NJ590_015732-T1, CHIFNET18NJ590_001672-T1, CHIFNET18NJ590_008872-T1, CHIFNET18NJ590_012266-T1, CHIFNET18NJ590_006652-T1, CHIFNET18NJ590_007738-T1, CHIFNET18NJ590_013544-T1, CHIFNET18NJ590_011796-T1, CHIFNET18NJ590_007129-T1, CHIFNET18NJ590_003123-T1, CHIFNET18NJ590_014064-T1, CHIFNET18NJ590_013310-T1, CHIFNET18NJ590_003764-T1, CHIFNET18NJ590_003658-T1, CHIFNET18NJ590_013810-T1, CHIFNET18NJ590_002644-T1, CHIFNET18NJ590_006120-T1, CHIFNET18NJ590_010184-T1, CHIFNET18NJ590_012137-T1, CHIFNET18NJ590_010151-T1, CHIFNET18NJ590_013218-T1, CHIFNET18NJ590_005895-T1, CHIFNET18NJ590_007496-T1, CHIFNET18NJ590_006729-T1, CHIFNET18NJ590_015764-T1, CHIFNET18NJ590_015751-T1, CHIFNET18NJ590_017022-T1, CHIFNET18NJ590_015733-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_002321-T1, DBVPG3775_003371-T1, DBVPG3775_003524-T1, DBVPG3775_003779-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1, DBVPG3775_007162-T1
GF00000006	CHIFNET18NJ590_007653-T1, CHIFNET18NJ590_009185-T1, CHIFNET18NJ590_001091-T1, CHIFNET18NJ590_015886-T1, CHIFNET18NJ590_012528-T1, CHIFNET18NJ590_006068-T1, CHIFNET18NJ590_011295-T1, CHIFNET18NJ590_014180-T1, CHIFNET18NJ590_001356-T1, CHIFNET18NJ590_001043-T1, CHIFNET18NJ590_015347-T1, CHIFNET18NJ590_012288-T1, CHIFNET18NJ590_010637-T1, CHIFNET18NJ590_000437-T1, CHIFNET18NJ590_013435-T1, CHIFNET18NJ590_015243-T1, CHIFNET18NJ590_003850-T1, CHIFNET18NJ590_003003-T1, CHIFNET18NJ590_006745-T1, CHIFNET18NJ590_004623-T1, CHIFNET18NJ590_008383-T1, CHIFNET18NJ590_009061-T1, CHIFNET18NJ590_003961-T1, CHIFNET18NJ590_016616-T1, CHIFNET18NJ590_017504-T1, CHIFNET18NJ590_017126-T1, CHIFNET18NJ590_015242-T1, CHIFNET18NJ590_009146-T1, CHIFNET18NJ590_008675-T1, CHIFNET18NJ590_003004-T1, CHIFNET18NJ590_008384-T1, CHIFNET18NJ590_014550-T1, CHIFNET18NJ590_017121-T1	DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006748-T1, DBVPG3775_006799-T1, DBVPG3775_007532-T1
GF00000007	CHIFNET18NJ590_000062-T1, CHIFNET18NJ590_014620-T1, CHIFNET18NJ590_000837-T1, CHIFNET18NJ590_012472-T1, CHIFNET18NJ590_010029-T1, CHIFNET18NJ590_010028-T1, CHIFNET18NJ590_007559-T1, CHIFNET18NJ590_007560-T1, CHIFNET18NJ590_015227-T1, CHIFNET18NJ590_011773-T1, CHIFNET18NJ590_011774-T1, CHIFNET18NJ590_000869-T1, CHIFNET18NJ590_000868-T1, CHIFNET18NJ590_008340-T1, CHIFNET18NJ590_011775-T1, CHIFNET18NJ590_011385-T1, CHIFNET18NJ590_007798-T1, CHIFNET18NJ590_003745-T1, CHIFNET18NJ590_000955-T1, CHIFNET18NJ590_004029-T1, CHIFNET18NJ590_007993-T1, CHIFNET18NJ590_001384-T1, CHIFNET18NJ590_012701-T1, CHIFNET18NJ590_016752-T1, CHIFNET18NJ590_016638-T1, CHIFNET18NJ590_011205-T1, CHIFNET18NJ590_006187-T1, CHIFNET18NJ590_015819-T1, CHIFNET18NJ590_017198-T1, CHIFNET18NJ590_017347-T1	DBVPG3775_000020-T1, DBVPG3775_001365-T1, DBVPG3775_003076-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005271-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006205-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000008	CHIFNET18NJ590_001505-T1, CHIFNET18NJ590_010704-T1, CHIFNET18NJ590_000509-T1, CHIFNET18NJ590_005331-T1, CHIFNET18NJ590_010801-T1, CHIFNET18NJ590_002199-T1, CHIFNET18NJ590_002523-T1, CHIFNET18NJ590_007424-T1, CHIFNET18NJ590_004365-T1, CHIFNET18NJ590_005470-T1, CHIFNET18NJ590_008444-T1, CHIFNET18NJ590_009147-T1, CHIFNET18NJ590_008674-T1, CHIFNET18NJ590_009299-T1, CHIFNET18NJ590_014193-T1, CHIFNET18NJ590_010524-T1, CHIFNET18NJ590_001464-T1, CHIFNET18NJ590_007739-T1, CHIFNET18NJ590_006651-T1, CHIFNET18NJ590_015618-T1, CHIFNET18NJ590_011766-T1, CHIFNET18NJ590_006250-T1, CHIFNET18NJ590_008816-T1, CHIFNET18NJ590_007178-T1, CHIFNET18NJ590_006579-T1, CHIFNET18NJ590_006580-T1, CHIFNET18NJ590_017489-T1, CHIFNET18NJ590_011393-T1, CHIFNET18NJ590_013755-T1, CHIFNET18NJ590_013248-T1	DBVPG3775_000052-T1, DBVPG3775_000354-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002787-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006266-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1
GF00000009	CHIFNET18NJ590_000254-T1, CHIFNET18NJ590_011923-T1, CHIFNET18NJ590_002507-T1, CHIFNET18NJ590_002184-T1, CHIFNET18NJ590_004083-T1, CHIFNET18NJ590_006975-T1, CHIFNET18NJ590_001308-T1, CHIFNET18NJ590_013826-T1, CHIFNET18NJ590_015185-T1, CHIFNET18NJ590_006300-T1, CHIFNET18NJ590_007916-T1, CHIFNET18NJ590_007090-T1, CHIFNET18NJ590_000295-T1, CHIFNET18NJ590_014530-T1, CHIFNET18NJ590_015905-T1, CHIFNET18NJ590_009723-T1, CHIFNET18NJ590_007202-T1, CHIFNET18NJ590_013714-T1, CHIFNET18NJ590_007602-T1, CHIFNET18NJ590_011379-T1, CHIFNET18NJ590_007804-T1, CHIFNET18NJ590_013355-T1, CHIFNET18NJ590_013582-T1, CHIFNET18NJ590_001879-T1, CHIFNET18NJ590_013356-T1, CHIFNET18NJ590_015924-T1, CHIFNET18NJ590_017315-T1, CHIFNET18NJ590_013583-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001313-T1, DBVPG3775_001314-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_004951-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1
GF00000010	CHIFNET18NJ590_000407-T1, CHIFNET18NJ590_002704-T1, CHIFNET18NJ590_008508-T1, CHIFNET18NJ590_008918-T1, CHIFNET18NJ590_010041-T1, CHIFNET18NJ590_004930-T1, CHIFNET18NJ590_004933-T1, CHIFNET18NJ590_008506-T1, CHIFNET18NJ590_008929-T1, CHIFNET18NJ590_008505-T1, CHIFNET18NJ590_008930-T1, CHIFNET18NJ590_004952-T1, CHIFNET18NJ590_008507-T1, CHIFNET18NJ590_010396-T1, CHIFNET18NJ590_000408-T1, CHIFNET18NJ590_010392-T1, CHIFNET18NJ590_010386-T1, CHIFNET18NJ590_010395-T1, CHIFNET18NJ590_011348-T1, CHIFNET18NJ590_004951-T1, CHIFNET18NJ590_008917-T1, CHIFNET18NJ590_004953-T1, CHIFNET18NJ590_011349-T1	DBVPG3775_001053-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
