	Rhodotorula_mucilaginosa_TFCN_17-337P-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN17337P5_000008-T1, TFCN17337P5_007455-T1, TFCN17337P5_008872-T1, TFCN17337P5_010082-T1, TFCN17337P5_013785-T1, TFCN17337P5_004585-T1, TFCN17337P5_004875-T1, TFCN17337P5_012294-T1, TFCN17337P5_013439-T1, TFCN17337P5_005370-T1, TFCN17337P5_009821-T1, TFCN17337P5_005878-T1, TFCN17337P5_003407-T1, TFCN17337P5_002115-T1, TFCN17337P5_003098-T1, TFCN17337P5_001929-T1, TFCN17337P5_006539-T1, TFCN17337P5_010573-T1, TFCN17337P5_001337-T1, TFCN17337P5_000055-T1, TFCN17337P5_010274-T1, TFCN17337P5_002355-T1, TFCN17337P5_005503-T1, TFCN17337P5_002928-T1, TFCN17337P5_008190-T1, TFCN17337P5_000829-T1, TFCN17337P5_014623-T1, TFCN17337P5_013033-T1, TFCN17337P5_000103-T1, TFCN17337P5_001286-T1, TFCN17337P5_010898-T1, TFCN17337P5_009870-T1, TFCN17337P5_006448-T1, TFCN17337P5_002309-T1, TFCN17337P5_000945-T1, TFCN17337P5_003063-T1, TFCN17337P5_003064-T1, TFCN17337P5_014707-T1, TFCN17337P5_014649-T1, TFCN17337P5_007963-T1, TFCN17337P5_014319-T1, TFCN17337P5_006005-T1, TFCN17337P5_008027-T1, TFCN17337P5_011394-T1, TFCN17337P5_005737-T1, TFCN17337P5_003099-T1, TFCN17337P5_003675-T1, TFCN17337P5_003885-T1, TFCN17337P5_005081-T1, TFCN17337P5_005792-T1, TFCN17337P5_006763-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	TFCN17337P5_000076-T1, TFCN17337P5_001314-T1, TFCN17337P5_007711-T1, TFCN17337P5_008469-T1, TFCN17337P5_004523-T1, TFCN17337P5_011029-T1, TFCN17337P5_000538-T1, TFCN17337P5_011296-T1, TFCN17337P5_000492-T1, TFCN17337P5_009305-T1, TFCN17337P5_009024-T1, TFCN17337P5_011448-T1, TFCN17337P5_000655-T1, TFCN17337P5_012792-T1, TFCN17337P5_011614-T1, TFCN17337P5_003582-T1, TFCN17337P5_009624-T1, TFCN17337P5_005631-T1, TFCN17337P5_012163-T1, TFCN17337P5_006243-T1, TFCN17337P5_012301-T1, TFCN17337P5_013432-T1, TFCN17337P5_008038-T1, TFCN17337P5_003686-T1, TFCN17337P5_009064-T1, TFCN17337P5_013264-T1, TFCN17337P5_002892-T1, TFCN17337P5_009393-T1, TFCN17337P5_002401-T1, TFCN17337P5_006089-T1, TFCN17337P5_006127-T1, TFCN17337P5_007979-T1, TFCN17337P5_012371-T1, TFCN17337P5_010231-T1, TFCN17337P5_006331-T1, TFCN17337P5_007638-T1, TFCN17337P5_012811-T1, TFCN17337P5_014597-T1, TFCN17337P5_009063-T1, TFCN17337P5_012810-T1	DBVPG3775_000052-T1, DBVPG3775_000170-T1, DBVPG3775_000215-T1, DBVPG3775_000333-T1, DBVPG3775_000354-T1, DBVPG3775_000872-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002787-T1, DBVPG3775_004136-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1, DBVPG3775_007143-T1
GF00000003	TFCN17337P5_009565-T1, TFCN17337P5_011509-T1, TFCN17337P5_014510-T1, TFCN17337P5_007396-T1, TFCN17337P5_000113-T1, TFCN17337P5_001275-T1, TFCN17337P5_004715-T1, TFCN17337P5_012149-T1, TFCN17337P5_007315-T1, TFCN17337P5_002967-T1, TFCN17337P5_000714-T1, TFCN17337P5_008914-T1, TFCN17337P5_001045-T1, TFCN17337P5_007348-T1, TFCN17337P5_013657-T1, TFCN17337P5_014303-T1, TFCN17337P5_000227-T1, TFCN17337P5_002650-T1, TFCN17337P5_011757-T1, TFCN17337P5_007902-T1, TFCN17337P5_004627-T1, TFCN17337P5_003392-T1, TFCN17337P5_002099-T1, TFCN17337P5_006955-T1, TFCN17337P5_010426-T1, TFCN17337P5_012043-T1, TFCN17337P5_002368-T1, TFCN17337P5_010260-T1, TFCN17337P5_010007-T1, TFCN17337P5_000586-T1, TFCN17337P5_003343-T1, TFCN17337P5_010359-T1, TFCN17337P5_008695-T1, TFCN17337P5_001044-T1, TFCN17337P5_002891-T1, TFCN17337P5_013263-T1, TFCN17337P5_010851-T1, TFCN17337P5_002098-T1, TFCN17337P5_009598-T1, TFCN17337P5_014689-T1	DBVPG3775_000122-T1, DBVPG3775_000507-T1, DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_001440-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_004172-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_006799-T1, DBVPG3775_007532-T1
GF00000004	TFCN17337P5_004369-T1, TFCN17337P5_002754-T1, TFCN17337P5_004251-T1, TFCN17337P5_005711-T1, TFCN17337P5_005688-T1, TFCN17337P5_009503-T1, TFCN17337P5_005690-T1, TFCN17337P5_005689-T1, TFCN17337P5_005691-T1, TFCN17337P5_012474-T1, TFCN17337P5_005712-T1, TFCN17337P5_008625-T1, TFCN17337P5_008626-T1, TFCN17337P5_005667-T1, TFCN17337P5_005687-T1, TFCN17337P5_010184-T1, TFCN17337P5_008719-T1, TFCN17337P5_005666-T1, TFCN17337P5_007180-T1, TFCN17337P5_005450-T1, TFCN17337P5_012475-T1, TFCN17337P5_008721-T1, TFCN17337P5_008609-T1, TFCN17337P5_005717-T1, TFCN17337P5_008720-T1, TFCN17337P5_005716-T1, TFCN17337P5_005713-T1, TFCN17337P5_005714-T1, TFCN17337P5_005715-T1, TFCN17337P5_012476-T1, TFCN17337P5_006220-T1, TFCN17337P5_005995-T1, TFCN17337P5_010781-T1, TFCN17337P5_008722-T1	DBVPG3775_001472-T1, DBVPG3775_003651-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1
GF00000005	TFCN17337P5_000069-T1, TFCN17337P5_001322-T1, TFCN17337P5_011612-T1, TFCN17337P5_007636-T1, TFCN17337P5_008735-T1, TFCN17337P5_007193-T1, TFCN17337P5_006939-T1, TFCN17337P5_013774-T1, TFCN17337P5_014056-T1, TFCN17337P5_013307-T1, TFCN17337P5_007767-T1, TFCN17337P5_004379-T1, TFCN17337P5_012053-T1, TFCN17337P5_005461-T1, TFCN17337P5_010158-T1, TFCN17337P5_005608-T1, TFCN17337P5_005969-T1, TFCN17337P5_010902-T1, TFCN17337P5_013459-T1, TFCN17337P5_002231-T1, TFCN17337P5_004770-T1, TFCN17337P5_005632-T1, TFCN17337P5_012164-T1, TFCN17337P5_002931-T1, TFCN17337P5_005506-T1, TFCN17337P5_010165-T1, TFCN17337P5_009534-T1, TFCN17337P5_012479-T1, TFCN17337P5_005708-T1, TFCN17337P5_009529-T1, TFCN17337P5_010170-T1, TFCN17337P5_013592-T1, TFCN17337P5_013332-T1, TFCN17337P5_010975-T1, TFCN17337P5_007813-T1, TFCN17337P5_008374-T1, TFCN17337P5_006940-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_002321-T1, DBVPG3775_003371-T1, DBVPG3775_003524-T1, DBVPG3775_003779-T1, DBVPG3775_004127-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006265-T1, DBVPG3775_006438-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1
GF00000006	TFCN17337P5_007522-T1, TFCN17337P5_000287-T1, TFCN17337P5_001510-T1, TFCN17337P5_004052-T1, TFCN17337P5_004115-T1, TFCN17337P5_000880-T1, TFCN17337P5_001832-T1, TFCN17337P5_011485-T1, TFCN17337P5_011444-T1, TFCN17337P5_014576-T1, TFCN17337P5_011479-T1, TFCN17337P5_010508-T1, TFCN17337P5_010502-T1, TFCN17337P5_008145-T1, TFCN17337P5_008984-T1, TFCN17337P5_002922-T1, TFCN17337P5_005497-T1, TFCN17337P5_009448-T1, TFCN17337P5_011177-T1, TFCN17337P5_000681-T1, TFCN17337P5_013811-T1, TFCN17337P5_000693-T1, TFCN17337P5_013546-T1, TFCN17337P5_011951-T1, TFCN17337P5_005625-T1, TFCN17337P5_012157-T1, TFCN17337P5_012591-T1, TFCN17337P5_003257-T1, TFCN17337P5_011638-T1, TFCN17337P5_007508-T1, TFCN17337P5_014339-T1, TFCN17337P5_012746-T1, TFCN17337P5_005913-T1, TFCN17337P5_008851-T1, TFCN17337P5_012088-T1, TFCN17337P5_012747-T1	DBVPG3775_000661-T1, DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002215-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005327-T1, DBVPG3775_005341-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000007	TFCN17337P5_000031-T1, TFCN17337P5_001360-T1, TFCN17337P5_005060-T1, TFCN17337P5_003908-T1, TFCN17337P5_009230-T1, TFCN17337P5_003268-T1, TFCN17337P5_003181-T1, TFCN17337P5_014241-T1, TFCN17337P5_007295-T1, TFCN17337P5_007533-T1, TFCN17337P5_013660-T1, TFCN17337P5_014305-T1, TFCN17337P5_012344-T1, TFCN17337P5_008654-T1, TFCN17337P5_005474-T1, TFCN17337P5_004393-T1, TFCN17337P5_004101-T1, TFCN17337P5_004066-T1, TFCN17337P5_005010-T1, TFCN17337P5_006875-T1, TFCN17337P5_000074-T1, TFCN17337P5_001317-T1, TFCN17337P5_012262-T1, TFCN17337P5_014564-T1, TFCN17337P5_005005-T1, TFCN17337P5_006870-T1, TFCN17337P5_002629-T1, TFCN17337P5_002439-T1, TFCN17337P5_013848-T1, TFCN17337P5_010520-T1, TFCN17337P5_013787-T1, TFCN17337P5_005910-T1, TFCN17337P5_010080-T1, TFCN17337P5_012743-T1, TFCN17337P5_011628-T1	DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005071-T1, DBVPG3775_005929-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000008	TFCN17337P5_010315-T1, TFCN17337P5_002300-T1, TFCN17337P5_010438-T1, TFCN17337P5_006967-T1, TFCN17337P5_003279-T1, TFCN17337P5_009219-T1, TFCN17337P5_006969-T1, TFCN17337P5_006968-T1, TFCN17337P5_010436-T1, TFCN17337P5_006933-T1, TFCN17337P5_006934-T1, TFCN17337P5_010323-T1, TFCN17337P5_006451-T1, TFCN17337P5_002306-T1, TFCN17337P5_013727-T1, TFCN17337P5_010305-T1, TFCN17337P5_010302-T1, TFCN17337P5_010314-T1, TFCN17337P5_010313-T1, TFCN17337P5_010303-T1, TFCN17337P5_013771-T1, TFCN17337P5_013729-T1, TFCN17337P5_006983-T1, TFCN17337P5_013716-T1, TFCN17337P5_010437-T1, TFCN17337P5_010308-T1, TFCN17337P5_013725-T1	DBVPG3775_001372-T1, DBVPG3775_001378-T1, DBVPG3775_003924-T1, DBVPG3775_005565-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005628-T1, DBVPG3775_005629-T1, DBVPG3775_007342-T1
GF00000009	TFCN17337P5_000197-T1, TFCN17337P5_005232-T1, TFCN17337P5_001583-T1, TFCN17337P5_005233-T1, TFCN17337P5_003746-T1, TFCN17337P5_002682-T1, TFCN17337P5_001679-T1, TFCN17337P5_001682-T1, TFCN17337P5_005231-T1, TFCN17337P5_003757-T1, TFCN17337P5_003758-T1, TFCN17337P5_001701-T1, TFCN17337P5_003745-T1, TFCN17337P5_003813-T1, TFCN17337P5_003809-T1, TFCN17337P5_003812-T1, TFCN17337P5_003833-T1, TFCN17337P5_003803-T1, TFCN17337P5_000198-T1, TFCN17337P5_001700-T1, TFCN17337P5_001702-T1, TFCN17337P5_003832-T1	DBVPG3775_001053-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
GF00000010	TFCN17337P5_004729-T1, TFCN17337P5_002261-T1, TFCN17337P5_000088-T1, TFCN17337P5_001302-T1, TFCN17337P5_003663-T1, TFCN17337P5_008015-T1, TFCN17337P5_012048-T1, TFCN17337P5_007762-T1, TFCN17337P5_000851-T1, TFCN17337P5_000803-T1, TFCN17337P5_008216-T1, TFCN17337P5_008289-T1, TFCN17337P5_007067-T1, TFCN17337P5_003485-T1, TFCN17337P5_012286-T1, TFCN17337P5_009142-T1, TFCN17337P5_014170-T1, TFCN17337P5_003175-T1, TFCN17337P5_013397-T1, TFCN17337P5_000995-T1, TFCN17337P5_003014-T1, TFCN17337P5_013447-T1, TFCN17337P5_009141-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001313-T1, DBVPG3775_001314-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_004951-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1
