	Rhodotorula_mucilaginosa_DBVPG_3857.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	DBVPG3857_010091-T1	DBVPG3775_001425-T1
GF00000002	DBVPG3857_007604-T1	DBVPG3775_001973-T1
GF00000003	DBVPG3857_005116-T1	DBVPG3775_005585-T1
GF00000004	DBVPG3857_013016-T1	DBVPG3775_006827-T1
GF00000005	DBVPG3857_011201-T1	DBVPG3775_004132-T1
GF00000006	DBVPG3857_002533-T1	DBVPG3775_004453-T1
GF00000007	DBVPG3857_000161-T1	DBVPG3775_000792-T1
GF00000008	DBVPG3857_008158-T1	DBVPG3775_004172-T1
GF00000009	DBVPG3857_010279-T1	DBVPG3775_003781-T1
GF00000010	DBVPG3857_002914-T1	DBVPG3775_002003-T1
GF00000011	DBVPG3857_002085-T1	DBVPG3775_000780-T1
GF00000012	DBVPG3857_005326-T1	DBVPG3775_006585-T1
GF00000013	DBVPG3857_008339-T1	DBVPG3775_004141-T1
GF00000014	DBVPG3857_007943-T1	DBVPG3775_005206-T1
GF00000015	DBVPG3857_001506-T1	DBVPG3775_000220-T1
GF00000016	DBVPG3857_006663-T1	DBVPG3775_002987-T1
GF00000017	DBVPG3857_011879-T1	DBVPG3775_000926-T1
GF00000018	DBVPG3857_001126-T1	DBVPG3775_006246-T1
GF00000019	DBVPG3857_007043-T1	DBVPG3775_003162-T1
GF00000020	DBVPG3857_003974-T1	DBVPG3775_000902-T1
GF00000021	DBVPG3857_008429-T1	DBVPG3775_002916-T1
GF00000022	DBVPG3857_007760-T1	DBVPG3775_001834-T1
GF00000023	DBVPG3857_000563-T1	DBVPG3775_004041-T1
GF00000024	DBVPG3857_001060-T1	DBVPG3775_005753-T1
GF00000025	DBVPG3857_005195-T1	DBVPG3775_005693-T1
GF00000026	DBVPG3857_006215-T1	DBVPG3775_001893-T1
GF00000027	DBVPG3857_010092-T1	DBVPG3775_001426-T1
GF00000028	DBVPG3857_007184-T1	DBVPG3775_000387-T1
GF00000029	DBVPG3857_002220-T1	DBVPG3775_003767-T1
GF00000030	DBVPG3857_014909-T1	DBVPG3775_000924-T1
GF00000031	DBVPG3857_006360-T1	DBVPG3775_007326-T1
GF00000032	DBVPG3857_001660-T1	DBVPG3775_004856-T1
GF00000033	DBVPG3857_004736-T1	DBVPG3775_001234-T1
GF00000034	DBVPG3857_007016-T1	DBVPG3775_006444-T1
GF00000035	DBVPG3857_000964-T1	DBVPG3775_002812-T1
GF00000036	DBVPG3857_007200-T1	DBVPG3775_005736-T1
GF00000037	DBVPG3857_001476-T1	DBVPG3775_000191-T1
