	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2.cds.fa
GF00000001	TFCN1702E3902_000497-T1, TFCN1702E3902_001823-T1, TFCN1702E3902_005657-T1, TFCN1702E3902_005567-T1, TFCN1702E3902_006366-T1, TFCN1702E3902_003222-T1, TFCN1702E3902_003027-T1, TFCN1702E3902_000181-T1, TFCN1702E3902_003767-T1, TFCN1702E3902_004015-T1, TFCN1702E3902_002842-T1, TFCN1702E3902_003266-T1, TFCN1702E3902_004278-T1, TFCN1702E3902_001722-T1, TFCN1702E3902_012353-T1, TFCN1702E3902_008451-T1, TFCN1702E3902_010399-T1, TFCN1702E3902_000456-T1, TFCN1702E3902_001861-T1, TFCN1702E3902_010737-T1, TFCN1702E3902_010954-T1, TFCN1702E3902_012278-T1, TFCN1702E3902_002431-T1, TFCN1702E3902_009312-T1, TFCN1702E3902_003309-T1, TFCN1702E3902_002309-T1, TFCN1702E3902_003642-T1, TFCN1702E3902_011284-T1, TFCN1702E3902_009916-T1, TFCN1702E3902_012925-T1, TFCN1702E3902_006730-T1, TFCN1702E3902_003378-T1, TFCN1702E3902_010655-T1, TFCN1702E3902_001976-T1, TFCN1702E3902_001604-T1, TFCN1702E3902_010100-T1, TFCN1702E3902_001603-T1
GF00000002	TFCN1702E3902_010177-T1, TFCN1702E3902_005098-T1, TFCN1702E3902_011945-T1, TFCN1702E3902_007172-T1, TFCN1702E3902_001550-T1, TFCN1702E3902_001923-T1, TFCN1702E3902_001296-T1, TFCN1702E3902_000651-T1, TFCN1702E3902_011126-T1, TFCN1702E3902_009481-T1, TFCN1702E3902_011102-T1, TFCN1702E3902_000577-T1, TFCN1702E3902_000663-T1, TFCN1702E3902_009600-T1, TFCN1702E3902_007415-T1, TFCN1702E3902_001284-T1, TFCN1702E3902_005137-T1, TFCN1702E3902_005519-T1, TFCN1702E3902_005611-T1, TFCN1702E3902_005051-T1, TFCN1702E3902_008262-T1, TFCN1702E3902_011132-T1, TFCN1702E3902_009606-T1, TFCN1702E3902_006741-T1, TFCN1702E3902_001762-T1, TFCN1702E3902_008818-T1, TFCN1702E3902_008263-T1
GF00000003	TFCN1702E3902_006907-T1, TFCN1702E3902_006910-T1, TFCN1702E3902_006933-T1, TFCN1702E3902_006909-T1, TFCN1702E3902_008162-T1, TFCN1702E3902_004145-T1, TFCN1702E3902_006931-T1, TFCN1702E3902_008054-T1, TFCN1702E3902_002194-T1, TFCN1702E3902_009209-T1, TFCN1702E3902_010132-T1, TFCN1702E3902_009211-T1, TFCN1702E3902_007131-T1, TFCN1702E3902_006911-T1, TFCN1702E3902_009210-T1, TFCN1702E3902_004854-T1, TFCN1702E3902_006930-T1, TFCN1702E3902_008055-T1, TFCN1702E3902_010310-T1, TFCN1702E3902_006889-T1, TFCN1702E3902_006836-T1, TFCN1702E3902_006932-T1, TFCN1702E3902_006890-T1, TFCN1702E3902_010134-T1, TFCN1702E3902_006908-T1, TFCN1702E3902_010118-T1
GF00000004	TFCN1702E3902_000068-T1, TFCN1702E3902_002914-T1, TFCN1702E3902_006818-T1, TFCN1702E3902_007844-T1, TFCN1702E3902_004874-T1, TFCN1702E3902_007839-T1, TFCN1702E3902_010257-T1, TFCN1702E3902_010262-T1, TFCN1702E3902_012469-T1, TFCN1702E3902_012772-T1, TFCN1702E3902_000985-T1, TFCN1702E3902_004411-T1, TFCN1702E3902_000871-T1, TFCN1702E3902_006658-T1, TFCN1702E3902_009618-T1, TFCN1702E3902_012524-T1, TFCN1702E3902_000673-T1, TFCN1702E3902_001274-T1, TFCN1702E3902_010186-T1, TFCN1702E3902_008449-T1, TFCN1702E3902_010401-T1, TFCN1702E3902_012439-T1, TFCN1702E3902_005107-T1
GF00000005	TFCN1702E3902_009979-T1, TFCN1702E3902_001983-T1, TFCN1702E3902_001612-T1, TFCN1702E3902_001282-T1, TFCN1702E3902_000722-T1, TFCN1702E3902_000665-T1, TFCN1702E3902_002387-T1, TFCN1702E3902_000682-T1, TFCN1702E3902_000725-T1, TFCN1702E3902_001233-T1, TFCN1702E3902_002297-T1, TFCN1702E3902_003878-T1, TFCN1702E3902_001229-T1, TFCN1702E3902_001264-T1, TFCN1702E3902_002041-T1, TFCN1702E3902_001675-T1, TFCN1702E3902_002298-T1, TFCN1702E3902_003879-T1, TFCN1702E3902_002386-T1, TFCN1702E3902_001611-T1, TFCN1702E3902_001230-T1, TFCN1702E3902_001984-T1
GF00000006	TFCN1702E3902_012482-T1, TFCN1702E3902_000366-T1, TFCN1702E3902_011889-T1, TFCN1702E3902_011379-T1, TFCN1702E3902_003025-T1, TFCN1702E3902_008204-T1, TFCN1702E3902_005417-T1, TFCN1702E3902_005035-T1, TFCN1702E3902_009438-T1, TFCN1702E3902_011298-T1, TFCN1702E3902_009428-T1, TFCN1702E3902_004865-T1, TFCN1702E3902_006827-T1, TFCN1702E3902_000178-T1, TFCN1702E3902_007957-T1, TFCN1702E3902_008717-T1, TFCN1702E3902_007422-T1, TFCN1702E3902_005058-T1, TFCN1702E3902_006021-T1, TFCN1702E3902_009731-T1
GF00000007	TFCN1702E3902_003293-T1, TFCN1702E3902_002813-T1, TFCN1702E3902_001648-T1, TFCN1702E3902_002015-T1, TFCN1702E3902_007456-T1, TFCN1702E3902_001342-T1, TFCN1702E3902_005994-T1, TFCN1702E3902_002455-T1, TFCN1702E3902_008456-T1, TFCN1702E3902_006664-T1, TFCN1702E3902_008722-T1, TFCN1702E3902_000865-T1, TFCN1702E3902_004623-T1, TFCN1702E3902_011303-T1, TFCN1702E3902_002410-T1, TFCN1702E3902_010962-T1, TFCN1702E3902_009290-T1, TFCN1702E3902_011206-T1, TFCN1702E3902_012271-T1
GF00000008	TFCN1702E3902_005315-T1, TFCN1702E3902_007529-T1, TFCN1702E3902_000401-T1, TFCN1702E3902_002712-T1, TFCN1702E3902_006421-T1, TFCN1702E3902_006544-T1, TFCN1702E3902_007528-T1, TFCN1702E3902_007268-T1, TFCN1702E3902_011152-T1, TFCN1702E3902_009999-T1, TFCN1702E3902_000220-T1, TFCN1702E3902_008627-T1, TFCN1702E3902_011691-T1, TFCN1702E3902_008247-T1, TFCN1702E3902_009943-T1, TFCN1702E3902_003617-T1, TFCN1702E3902_012889-T1, TFCN1702E3902_002714-T1
GF00000009	TFCN1702E3902_005296-T1, TFCN1702E3902_003083-T1, TFCN1702E3902_003922-T1, TFCN1702E3902_008580-T1, TFCN1702E3902_008383-T1, TFCN1702E3902_005706-T1, TFCN1702E3902_010381-T1, TFCN1702E3902_005292-T1, TFCN1702E3902_003087-T1, TFCN1702E3902_000081-T1, TFCN1702E3902_002928-T1, TFCN1702E3902_005943-T1, TFCN1702E3902_004260-T1, TFCN1702E3902_001090-T1, TFCN1702E3902_003438-T1, TFCN1702E3902_009760-T1, TFCN1702E3902_007376-T1
GF00000010	TFCN1702E3902_005802-T1, TFCN1702E3902_009768-T1, TFCN1702E3902_003659-T1, TFCN1702E3902_006859-T1, TFCN1702E3902_004832-T1, TFCN1702E3902_010112-T1, TFCN1702E3902_011170-T1, TFCN1702E3902_006945-T1, TFCN1702E3902_008042-T1, TFCN1702E3902_003827-T1, TFCN1702E3902_002242-T1, TFCN1702E3902_009205-T1, TFCN1702E3902_007135-T1, TFCN1702E3902_001094-T1, TFCN1702E3902_005940-T1, TFCN1702E3902_010111-T1
