pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
TFCN404D1_000147-T1__TFCN404D1_005097-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_05038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_005097-T1
TFCN404D1_000147-T1__TFCN404D1_010237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_10100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_010237-T1
TFCN404D1_000147-T1__TFCN404D1_000644-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_000644-T1
TFCN404D1_000147-T1__TFCN404D1_008967-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_08853	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_008967-T1
TFCN404D1_000147-T1__TFCN404D1_004556-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_04498	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_004556-T1
TFCN404D1_000147-T1__TFCN404D1_006136-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_06064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_006136-T1
TFCN404D1_000147-T1__TFCN404D1_011341-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_11186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_011341-T1
TFCN404D1_000147-T1__TFCN404D1_002762-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_02725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_002762-T1
TFCN404D1_000147-T1__TFCN404D1_005587-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_05520	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_005587-T1
TFCN404D1_000147-T1__TFCN404D1_008046-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_00144	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa_07947	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN404D1_000147-T1	TFCN404D1_008046-T1
