	Rhodotorula_mucilaginosa_DBVPG_3856.cds.fa
GF00000001	DBVPG3856_003958-T1, DBVPG3856_001100-T1, DBVPG3856_000717-T1, DBVPG3856_001343-T1, DBVPG3856_011482-T1, DBVPG3856_005492-T1, DBVPG3856_000089-T1, DBVPG3856_002635-T1, DBVPG3856_001240-T1, DBVPG3856_006686-T1, DBVPG3856_006551-T1, DBVPG3856_008134-T1, DBVPG3856_002614-T1, DBVPG3856_002776-T1, DBVPG3856_009741-T1, DBVPG3856_003198-T1, DBVPG3856_004003-T1, DBVPG3856_003304-T1, DBVPG3856_013284-T1, DBVPG3856_008043-T1, DBVPG3856_007117-T1, DBVPG3856_004050-T1, DBVPG3856_007434-T1, DBVPG3856_006440-T1, DBVPG3856_012316-T1, DBVPG3856_013642-T1, DBVPG3856_013261-T1, DBVPG3856_002564-T1, DBVPG3856_006975-T1, DBVPG3856_012609-T1, DBVPG3856_014555-T1, DBVPG3856_014053-T1, DBVPG3856_001487-T1, DBVPG3856_015007-T1, DBVPG3856_009315-T1, DBVPG3856_011030-T1, DBVPG3856_015205-T1, DBVPG3856_013800-T1, DBVPG3856_011031-T1, DBVPG3856_015091-T1, DBVPG3856_013728-T1, DBVPG3856_015208-T1, DBVPG3856_014584-T1
GF00000002	DBVPG3856_006204-T1, DBVPG3856_002882-T1, DBVPG3856_006799-T1, DBVPG3856_006193-T1, DBVPG3856_004542-T1, DBVPG3856_006800-T1, DBVPG3856_002852-T1, DBVPG3856_004557-T1, DBVPG3856_002853-T1, DBVPG3856_002872-T1, DBVPG3856_009658-T1, DBVPG3856_002876-T1, DBVPG3856_006205-T1, DBVPG3856_004558-T1, DBVPG3856_010957-T1, DBVPG3856_009659-T1, DBVPG3856_013398-T1, DBVPG3856_006798-T1, DBVPG3856_004556-T1, DBVPG3856_010958-T1, DBVPG3856_000252-T1, DBVPG3856_006194-T1, DBVPG3856_008248-T1, DBVPG3856_009660-T1, DBVPG3856_006150-T1, DBVPG3856_004543-T1, DBVPG3856_002527-T1, DBVPG3856_002873-T1, DBVPG3856_008249-T1, DBVPG3856_004545-T1, DBVPG3856_015128-T1, DBVPG3856_004544-T1
GF00000003	DBVPG3856_001963-T1, DBVPG3856_001605-T1, DBVPG3856_006307-T1, DBVPG3856_001628-T1, DBVPG3856_008513-T1, DBVPG3856_001603-T1, DBVPG3856_001583-T1, DBVPG3856_008420-T1, DBVPG3856_002467-T1, DBVPG3856_001627-T1, DBVPG3856_001604-T1, DBVPG3856_001607-T1, DBVPG3856_006310-T1, DBVPG3856_001606-T1, DBVPG3856_001630-T1, DBVPG3856_001629-T1, DBVPG3856_012713-T1, DBVPG3856_006331-T1, DBVPG3856_003678-T1, DBVPG3856_006309-T1, DBVPG3856_003676-T1, DBVPG3856_004623-T1, DBVPG3856_003675-T1, DBVPG3856_000367-T1, DBVPG3856_003677-T1, DBVPG3856_001017-T1, DBVPG3856_012714-T1, DBVPG3856_001584-T1, DBVPG3856_006306-T1
GF00000004	DBVPG3856_012837-T1, DBVPG3856_010608-T1, DBVPG3856_002587-T1, DBVPG3856_010613-T1, DBVPG3856_011790-T1, DBVPG3856_013135-T1, DBVPG3856_013137-T1, DBVPG3856_010604-T1, DBVPG3856_010633-T1, DBVPG3856_007316-T1, DBVPG3856_013136-T1, DBVPG3856_010606-T1, DBVPG3856_010612-T1, DBVPG3856_010607-T1, DBVPG3856_010634-T1, DBVPG3856_010603-T1, DBVPG3856_010605-T1, DBVPG3856_010610-T1, DBVPG3856_012836-T1, DBVPG3856_011793-T1, DBVPG3856_011795-T1, DBVPG3856_011791-T1, DBVPG3856_014639-T1, DBVPG3856_010611-T1, DBVPG3856_010609-T1, DBVPG3856_007315-T1, DBVPG3856_011792-T1
GF00000005	DBVPG3856_003432-T1, DBVPG3856_008558-T1, DBVPG3856_008700-T1, DBVPG3856_013069-T1, DBVPG3856_000206-T1, DBVPG3856_004931-T1, DBVPG3856_001707-T1, DBVPG3856_008530-T1, DBVPG3856_004835-T1, DBVPG3856_008455-T1, DBVPG3856_012803-T1, DBVPG3856_000200-T1, DBVPG3856_008524-T1, DBVPG3856_001394-T1, DBVPG3856_000662-T1, DBVPG3856_003066-T1, DBVPG3856_009283-T1, DBVPG3856_000118-T1, DBVPG3856_001993-T1, DBVPG3856_009937-T1, DBVPG3856_009386-T1, DBVPG3856_008262-T1, DBVPG3856_015013-T1, DBVPG3856_006990-T1
GF00000006	DBVPG3856_003771-T1, DBVPG3856_010050-T1, DBVPG3856_002749-T1, DBVPG3856_012129-T1, DBVPG3856_002117-T1, DBVPG3856_012113-T1, DBVPG3856_010045-T1, DBVPG3856_012873-T1, DBVPG3856_014805-T1, DBVPG3856_006270-T1, DBVPG3856_012559-T1, DBVPG3856_008983-T1, DBVPG3856_013627-T1, DBVPG3856_009681-T1, DBVPG3856_011427-T1, DBVPG3856_008686-T1, DBVPG3856_013762-T1, DBVPG3856_012402-T1, DBVPG3856_015077-T1, DBVPG3856_000436-T1, DBVPG3856_013151-T1, DBVPG3856_014827-T1, DBVPG3856_003766-T1, DBVPG3856_015167-T1
GF00000007	DBVPG3856_007578-T1, DBVPG3856_004217-T1, DBVPG3856_000783-T1, DBVPG3856_012453-T1, DBVPG3856_005811-T1, DBVPG3856_003557-T1, DBVPG3856_004572-T1, DBVPG3856_002912-T1, DBVPG3856_000787-T1, DBVPG3856_012457-T1, DBVPG3856_008115-T1, DBVPG3856_013560-T1, DBVPG3856_008890-T1, DBVPG3856_004315-T1, DBVPG3856_012540-T1, DBVPG3856_002037-T1, DBVPG3856_003246-T1, DBVPG3856_012144-T1, DBVPG3856_011622-T1
GF00000008	DBVPG3856_000903-T1, DBVPG3856_013320-T1, DBVPG3856_003646-T1, DBVPG3856_003882-T1, DBVPG3856_009016-T1, DBVPG3856_010439-T1, DBVPG3856_002327-T1, DBVPG3856_013563-T1, DBVPG3856_010636-T1, DBVPG3856_010601-T1, DBVPG3856_003417-T1, DBVPG3856_014505-T1, DBVPG3856_000045-T1, DBVPG3856_002680-T1, DBVPG3856_012968-T1, DBVPG3856_003219-T1, DBVPG3856_000907-T1, DBVPG3856_009861-T1
GF00000009	DBVPG3856_002160-T1, DBVPG3856_002159-T1, DBVPG3856_008184-T1, DBVPG3856_002164-T1, DBVPG3856_002168-T1, DBVPG3856_002158-T1, DBVPG3856_008185-T1, DBVPG3856_002161-T1, DBVPG3856_002167-T1, DBVPG3856_002166-T1, DBVPG3856_002165-T1, DBVPG3856_008186-T1, DBVPG3856_002162-T1, DBVPG3856_008188-T1, DBVPG3856_002156-T1, DBVPG3856_008187-T1, DBVPG3856_002157-T1, DBVPG3856_002163-T1
GF00000010	DBVPG3856_012553-T1, DBVPG3856_013633-T1, DBVPG3856_002580-T1, DBVPG3856_007308-T1, DBVPG3856_014438-T1, DBVPG3856_009479-T1, DBVPG3856_005726-T1, DBVPG3856_012357-T1, DBVPG3856_014882-T1, DBVPG3856_014363-T1, DBVPG3856_007884-T1, DBVPG3856_005379-T1, DBVPG3856_004458-T1, DBVPG3856_004870-T1, DBVPG3856_005698-T1, DBVPG3856_007541-T1, DBVPG3856_009293-T1, DBVPG3856_009462-T1
