	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	DBVPG3855_004230-T1	DBVPG3775_001425-T1
GF00000002	DBVPG3855_002653-T1	DBVPG3775_004132-T1
GF00000003	DBVPG3855_010852-T1	DBVPG3775_006827-T1
GF00000004	DBVPG3855_003080-T1	DBVPG3775_001973-T1
GF00000005	DBVPG3855_000778-T1	DBVPG3775_004172-T1
GF00000006	DBVPG3855_007374-T1	DBVPG3775_005585-T1
GF00000007	DBVPG3855_011930-T1	DBVPG3775_002321-T1
GF00000008	DBVPG3855_002388-T1	DBVPG3775_004453-T1
GF00000009	DBVPG3855_003047-T1	DBVPG3775_002003-T1
GF00000010	DBVPG3855_008754-T1	DBVPG3775_003781-T1
GF00000011	DBVPG3855_000803-T1	DBVPG3775_000780-T1
GF00000012	DBVPG3855_011372-T1	DBVPG3775_006585-T1
GF00000013	DBVPG3855_007620-T1	DBVPG3775_005206-T1
GF00000014	DBVPG3855_001870-T1	DBVPG3775_000220-T1
GF00000015	DBVPG3855_006446-T1	DBVPG3775_004141-T1
GF00000016	DBVPG3855_005437-T1	DBVPG3775_002987-T1
GF00000017	DBVPG3855_004594-T1	DBVPG3775_002916-T1
GF00000018	DBVPG3855_008155-T1	DBVPG3775_000926-T1
GF00000019	DBVPG3855_009282-T1	DBVPG3775_003249-T1
GF00000020	DBVPG3855_007393-T1	DBVPG3775_006246-T1
GF00000021	DBVPG3855_007042-T1	DBVPG3775_000902-T1
GF00000022	DBVPG3855_013482-T1	DBVPG3775_001834-T1
GF00000023	DBVPG3855_003282-T1	DBVPG3775_004041-T1
GF00000024	DBVPG3855_009999-T1	DBVPG3775_006220-T1
GF00000025	DBVPG3855_011364-T1	DBVPG3775_006562-T1
GF00000026	DBVPG3855_014610-T1	DBVPG3775_000924-T1
GF00000027	DBVPG3855_004455-T1	DBVPG3775_002812-T1
GF00000028	DBVPG3855_004397-T1	DBVPG3775_002869-T1
GF00000029	DBVPG3855_008978-T1	DBVPG3775_001797-T1
GF00000030	DBVPG3855_009079-T1	DBVPG3775_000387-T1
GF00000031	DBVPG3855_009041-T1	DBVPG3775_005753-T1
GF00000032	DBVPG3855_008320-T1	DBVPG3775_004856-T1
GF00000033	DBVPG3855_006295-T1	DBVPG3775_003162-T1
GF00000034	DBVPG3855_011744-T1	DBVPG3775_007326-T1
GF00000035	DBVPG3855_008605-T1	DBVPG3775_000357-T1
GF00000036	DBVPG3855_009063-T1	DBVPG3775_005736-T1
GF00000037	DBVPG3855_009595-T1	DBVPG3775_003767-T1
GF00000038	DBVPG3855_007375-T1	DBVPG3775_005599-T1
GF00000039	DBVPG3855_011923-T1	DBVPG3775_002328-T1
GF00000040	DBVPG3855_010468-T1	DBVPG3775_005960-T1
GF00000041	DBVPG3855_012993-T1	DBVPG3775_004622-T1
GF00000042	DBVPG3855_009929-T1	DBVPG3775_005080-T1
GF00000043	DBVPG3855_001542-T1	DBVPG3775_001370-T1
GF00000044	DBVPG3855_007820-T1	DBVPG3775_003313-T1
GF00000045	DBVPG3855_002659-T1	DBVPG3775_004293-T1
GF00000046	DBVPG3855_009407-T1	DBVPG3775_006341-T1
GF00000047	DBVPG3855_011717-T1	DBVPG3775_000026-T1
GF00000048	DBVPG3855_007808-T1	DBVPG3775_003326-T1
GF00000049	DBVPG3855_009886-T1	DBVPG3775_006444-T1
GF00000050	DBVPG3855_001625-T1	DBVPG3775_001450-T1
