	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-1.cds.fa
GF00000001	TFCN1702E3901_001495-T1, TFCN1702E3901_003495-T1, TFCN1702E3901_006540-T1, TFCN1702E3901_008369-T1, TFCN1702E3901_000168-T1, TFCN1702E3901_009475-T1, TFCN1702E3901_001174-T1, TFCN1702E3901_005333-T1, TFCN1702E3901_005592-T1, TFCN1702E3901_002708-T1, TFCN1702E3901_000214-T1, TFCN1702E3901_005089-T1, TFCN1702E3901_003392-T1, TFCN1702E3901_010794-T1, TFCN1702E3901_009798-T1, TFCN1702E3901_005020-T1, TFCN1702E3901_011866-T1, TFCN1702E3901_012814-T1, TFCN1702E3901_004049-T1, TFCN1702E3901_008467-T1, TFCN1702E3901_000260-T1, TFCN1702E3901_011723-T1, TFCN1702E3901_004181-T1, TFCN1702E3901_003833-T1, TFCN1702E3901_004960-T1, TFCN1702E3901_011880-T1, TFCN1702E3901_011182-T1, TFCN1702E3901_001454-T1, TFCN1702E3901_008592-T1, TFCN1702E3901_000631-T1, TFCN1702E3901_003537-T1, TFCN1702E3901_011653-T1, TFCN1702E3901_003297-T1, TFCN1702E3901_003108-T1
GF00000002	TFCN1702E3901_009026-T1, TFCN1702E3901_009023-T1, TFCN1702E3901_006687-T1, TFCN1702E3901_009024-T1, TFCN1702E3901_009611-T1, TFCN1702E3901_005746-T1, TFCN1702E3901_001919-T1, TFCN1702E3901_011335-T1, TFCN1702E3901_009002-T1, TFCN1702E3901_010760-T1, TFCN1702E3901_009022-T1, TFCN1702E3901_010758-T1, TFCN1702E3901_004579-T1, TFCN1702E3901_010759-T1, TFCN1702E3901_009025-T1, TFCN1702E3901_008999-T1, TFCN1702E3901_009003-T1, TFCN1702E3901_010312-T1, TFCN1702E3901_011504-T1, TFCN1702E3901_011336-T1, TFCN1702E3901_009045-T1, TFCN1702E3901_008854-T1, TFCN1702E3901_009001-T1, TFCN1702E3901_009044-T1, TFCN1702E3901_010311-T1, TFCN1702E3901_009000-T1, TFCN1702E3901_011350-T1
GF00000003	TFCN1702E3901_004323-T1, TFCN1702E3901_011153-T1, TFCN1702E3901_002152-T1, TFCN1702E3901_002379-T1, TFCN1702E3901_002394-T1, TFCN1702E3901_003238-T1, TFCN1702E3901_007457-T1, TFCN1702E3901_002166-T1, TFCN1702E3901_008949-T1, TFCN1702E3901_006987-T1, TFCN1702E3901_012013-T1, TFCN1702E3901_011958-T1, TFCN1702E3901_008757-T1, TFCN1702E3901_001575-T1, TFCN1702E3901_003430-T1, TFCN1702E3901_005136-T1, TFCN1702E3901_006495-T1, TFCN1702E3901_006860-T1, TFCN1702E3901_009162-T1, TFCN1702E3901_010014-T1, TFCN1702E3901_009801-T1, TFCN1702E3901_011952-T1, TFCN1702E3901_007451-T1, TFCN1702E3901_011154-T1
GF00000004	TFCN1702E3901_009605-T1, TFCN1702E3901_000962-T1, TFCN1702E3901_007677-T1, TFCN1702E3901_007676-T1, TFCN1702E3901_001441-T1, TFCN1702E3901_000961-T1, TFCN1702E3901_013084-T1, TFCN1702E3901_003550-T1, TFCN1702E3901_008032-T1, TFCN1702E3901_003986-T1, TFCN1702E3901_002758-T1, TFCN1702E3901_000120-T1, TFCN1702E3901_008400-T1, TFCN1702E3901_008325-T1, TFCN1702E3901_008401-T1, TFCN1702E3901_000005-T1, TFCN1702E3901_000084-T1, TFCN1702E3901_004065-T1, TFCN1702E3901_000085-T1, TFCN1702E3901_008483-T1, TFCN1702E3901_011180-T1, TFCN1702E3901_003549-T1
GF00000005	TFCN1702E3901_002396-T1, TFCN1702E3901_002168-T1, TFCN1702E3901_002454-T1, TFCN1702E3901_004097-T1, TFCN1702E3901_003305-T1, TFCN1702E3901_003115-T1, TFCN1702E3901_003756-T1, TFCN1702E3901_002222-T1, TFCN1702E3901_002187-T1, TFCN1702E3901_002218-T1, TFCN1702E3901_002457-T1, TFCN1702E3901_002414-T1, TFCN1702E3901_003367-T1, TFCN1702E3901_003181-T1, TFCN1702E3901_004192-T1, TFCN1702E3901_003844-T1, TFCN1702E3901_003845-T1, TFCN1702E3901_004191-T1, TFCN1702E3901_003757-T1, TFCN1702E3901_002221-T1, TFCN1702E3901_004096-T1
GF00000006	TFCN1702E3901_002803-T1, TFCN1702E3901_008834-T1, TFCN1702E3901_008254-T1, TFCN1702E3901_001059-T1, TFCN1702E3901_000044-T1, TFCN1702E3901_006708-T1, TFCN1702E3901_002807-T1, TFCN1702E3901_000049-T1, TFCN1702E3901_012953-T1, TFCN1702E3901_011986-T1, TFCN1702E3901_008669-T1, TFCN1702E3901_005829-T1, TFCN1702E3901_000826-T1, TFCN1702E3901_000709-T1, TFCN1702E3901_002405-T1, TFCN1702E3901_002177-T1, TFCN1702E3901_002088-T1, TFCN1702E3901_012903-T1, TFCN1702E3901_006918-T1
GF00000007	TFCN1702E3901_001366-T1, TFCN1702E3901_005240-T1, TFCN1702E3901_007740-T1, TFCN1702E3901_009675-T1, TFCN1702E3901_008845-T1, TFCN1702E3901_006697-T1, TFCN1702E3901_010956-T1, TFCN1702E3901_001171-T1, TFCN1702E3901_009478-T1, TFCN1702E3901_005528-T1, TFCN1702E3901_004381-T1, TFCN1702E3901_011975-T1, TFCN1702E3901_012153-T1, TFCN1702E3901_009169-T1, TFCN1702E3901_006867-T1, TFCN1702E3901_010183-T1, TFCN1702E3901_007824-T1, TFCN1702E3901_010089-T1
GF00000008	TFCN1702E3901_007231-T1, TFCN1702E3901_009439-T1, TFCN1702E3901_001399-T1, TFCN1702E3901_008062-T1, TFCN1702E3901_003726-T1, TFCN1702E3901_007717-T1, TFCN1702E3901_006447-T1, TFCN1702E3901_009440-T1, TFCN1702E3901_004647-T1, TFCN1702E3901_004338-T1, TFCN1702E3901_011089-T1, TFCN1702E3901_001214-T1, TFCN1702E3901_006354-T1, TFCN1702E3901_011209-T1, TFCN1702E3901_013131-T1, TFCN1702E3901_000480-T1, TFCN1702E3901_003728-T1
GF00000009	TFCN1702E3901_004147-T1, TFCN1702E3901_003800-T1, TFCN1702E3901_007211-T1, TFCN1702E3901_004443-T1, TFCN1702E3901_007372-T1, TFCN1702E3901_009294-T1, TFCN1702E3901_009980-T1, TFCN1702E3901_004942-T1, TFCN1702E3901_007207-T1, TFCN1702E3901_004447-T1, TFCN1702E3901_008267-T1, TFCN1702E3901_001072-T1, TFCN1702E3901_006591-T1, TFCN1702E3901_005037-T1, TFCN1702E3901_009122-T1, TFCN1702E3901_010118-T1, TFCN1702E3901_000569-T1
GF00000010	TFCN1702E3901_010222-T1, TFCN1702E3901_012042-T1, TFCN1702E3901_007091-T1, TFCN1702E3901_011595-T1, TFCN1702E3901_012702-T1, TFCN1702E3901_010395-T1, TFCN1702E3901_011433-T1, TFCN1702E3901_001531-T1, TFCN1702E3901_011761-T1, TFCN1702E3901_008741-T1, TFCN1702E3901_003275-T1, TFCN1702E3901_001104-T1, TFCN1702E3901_008302-T1, TFCN1702E3901_008747-T1, TFCN1702E3901_012855-T1, TFCN1702E3901_007354-T1, TFCN1702E3901_001313-T1
