	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa
GF00000001	CHIFNET13H1268_004172-T1, CHIFNET13H1268_000034-T1, CHIFNET13H1268_005658-T1, CHIFNET13H1268_002388-T1, CHIFNET13H1268_004762-T1, CHIFNET13H1268_008581-T1, CHIFNET13H1268_002925-T1, CHIFNET13H1268_013689-T1, CHIFNET13H1268_002563-T1, CHIFNET13H1268_014875-T1, CHIFNET13H1268_008236-T1, CHIFNET13H1268_004370-T1, CHIFNET13H1268_012646-T1, CHIFNET13H1268_008349-T1, CHIFNET13H1268_003328-T1, CHIFNET13H1268_000585-T1, CHIFNET13H1268_000373-T1, CHIFNET13H1268_000104-T1, CHIFNET13H1268_001954-T1, CHIFNET13H1268_004896-T1, CHIFNET13H1268_011676-T1, CHIFNET13H1268_006610-T1, CHIFNET13H1268_003418-T1, CHIFNET13H1268_002298-T1, CHIFNET13H1268_001428-T1, CHIFNET13H1268_005301-T1, CHIFNET13H1268_000016-T1, CHIFNET13H1268_009595-T1, CHIFNET13H1268_007588-T1, CHIFNET13H1268_006822-T1, CHIFNET13H1268_003327-T1, CHIFNET13H1268_001526-T1, CHIFNET13H1268_011074-T1, CHIFNET13H1268_002214-T1, CHIFNET13H1268_014988-T1, CHIFNET13H1268_003546-T1, CHIFNET13H1268_012490-T1, CHIFNET13H1268_014635-T1, CHIFNET13H1268_014429-T1, CHIFNET13H1268_001525-T1, CHIFNET13H1268_005505-T1
GF00000002	CHIFNET13H1268_004582-T1, CHIFNET13H1268_006362-T1, CHIFNET13H1268_006385-T1, CHIFNET13H1268_004441-T1, CHIFNET13H1268_010313-T1, CHIFNET13H1268_002834-T1, CHIFNET13H1268_007488-T1, CHIFNET13H1268_006384-T1, CHIFNET13H1268_006361-T1, CHIFNET13H1268_006364-T1, CHIFNET13H1268_004464-T1, CHIFNET13H1268_006386-T1, CHIFNET13H1268_009727-T1, CHIFNET13H1268_009724-T1, CHIFNET13H1268_009726-T1, CHIFNET13H1268_004453-T1, CHIFNET13H1268_010223-T1, CHIFNET13H1268_006360-T1, CHIFNET13H1268_009725-T1, CHIFNET13H1268_004482-T1, CHIFNET13H1268_006339-T1, CHIFNET13H1268_006340-T1, CHIFNET13H1268_002109-T1, CHIFNET13H1268_006363-T1, CHIFNET13H1268_004480-T1, CHIFNET13H1268_014452-T1, CHIFNET13H1268_006389-T1, CHIFNET13H1268_004484-T1, CHIFNET13H1268_006388-T1, CHIFNET13H1268_006387-T1, CHIFNET13H1268_004481-T1, CHIFNET13H1268_004442-T1, CHIFNET13H1268_012727-T1
GF00000003	CHIFNET13H1268_005758-T1, CHIFNET13H1268_005089-T1, CHIFNET13H1268_010850-T1, CHIFNET13H1268_010678-T1, CHIFNET13H1268_002152-T1, CHIFNET13H1268_006181-T1, CHIFNET13H1268_014064-T1, CHIFNET13H1268_005961-T1, CHIFNET13H1268_007856-T1, CHIFNET13H1268_004157-T1, CHIFNET13H1268_008433-T1, CHIFNET13H1268_007754-T1, CHIFNET13H1268_012084-T1, CHIFNET13H1268_004989-T1, CHIFNET13H1268_007443-T1, CHIFNET13H1268_007637-T1, CHIFNET13H1268_005967-T1, CHIFNET13H1268_014058-T1, CHIFNET13H1268_002337-T1, CHIFNET13H1268_003381-T1, CHIFNET13H1268_006865-T1, CHIFNET13H1268_004242-T1, CHIFNET13H1268_014407-T1, CHIFNET13H1268_011966-T1, CHIFNET13H1268_011674-T1
GF00000004	CHIFNET13H1268_007651-T1, CHIFNET13H1268_007457-T1, CHIFNET13H1268_011222-T1, CHIFNET13H1268_005878-T1, CHIFNET13H1268_011511-T1, CHIFNET13H1268_011344-T1, CHIFNET13H1268_001696-T1, CHIFNET13H1268_009278-T1, CHIFNET13H1268_011824-T1, CHIFNET13H1268_007327-T1, CHIFNET13H1268_010271-T1, CHIFNET13H1268_003906-T1, CHIFNET13H1268_005588-T1, CHIFNET13H1268_012936-T1, CHIFNET13H1268_010864-T1, CHIFNET13H1268_014232-T1, CHIFNET13H1268_013868-T1, CHIFNET13H1268_004826-T1, CHIFNET13H1268_014240-T1, CHIFNET13H1268_005979-T1, CHIFNET13H1268_007764-T1, CHIFNET13H1268_012095-T1, CHIFNET13H1268_015046-T1
GF00000005	CHIFNET13H1268_012086-T1, CHIFNET13H1268_007756-T1, CHIFNET13H1268_002222-T1, CHIFNET13H1268_003538-T1, CHIFNET13H1268_013845-T1, CHIFNET13H1268_007775-T1, CHIFNET13H1268_006304-T1, CHIFNET13H1268_002762-T1, CHIFNET13H1268_003466-T1, CHIFNET13H1268_010050-T1, CHIFNET13H1268_002758-T1, CHIFNET13H1268_006308-T1, CHIFNET13H1268_011372-T1, CHIFNET13H1268_011690-T1, CHIFNET13H1268_004882-T1, CHIFNET13H1268_011689-T1, CHIFNET13H1268_004883-T1, CHIFNET13H1268_004090-T1, CHIFNET13H1268_012087-T1
GF00000006	CHIFNET13H1268_001016-T1, CHIFNET13H1268_004629-T1, CHIFNET13H1268_004673-T1, CHIFNET13H1268_008007-T1, CHIFNET13H1268_008013-T1, CHIFNET13H1268_004616-T1, CHIFNET13H1268_011621-T1, CHIFNET13H1268_010945-T1, CHIFNET13H1268_004628-T1, CHIFNET13H1268_004670-T1, CHIFNET13H1268_011632-T1, CHIFNET13H1268_001061-T1, CHIFNET13H1268_008004-T1, CHIFNET13H1268_004672-T1, CHIFNET13H1268_008755-T1, CHIFNET13H1268_011620-T1, CHIFNET13H1268_004671-T1, CHIFNET13H1268_001015-T1, CHIFNET13H1268_004617-T1
GF00000007	CHIFNET13H1268_007482-T1, CHIFNET13H1268_010306-T1, CHIFNET13H1268_004797-T1, CHIFNET13H1268_005621-T1, CHIFNET13H1268_013677-T1, CHIFNET13H1268_003555-T1, CHIFNET13H1268_003554-T1, CHIFNET13H1268_013678-T1, CHIFNET13H1268_000624-T1, CHIFNET13H1268_006990-T1, CHIFNET13H1268_012446-T1, CHIFNET13H1268_004319-T1, CHIFNET13H1268_005622-T1, CHIFNET13H1268_011564-T1, CHIFNET13H1268_000162-T1, CHIFNET13H1268_006624-T1, CHIFNET13H1268_000601-T1, CHIFNET13H1268_004796-T1
GF00000008	CHIFNET13H1268_011037-T1, CHIFNET13H1268_004038-T1, CHIFNET13H1268_001771-T1, CHIFNET13H1268_001346-T1, CHIFNET13H1268_010127-T1, CHIFNET13H1268_003070-T1, CHIFNET13H1268_014736-T1, CHIFNET13H1268_008042-T1, CHIFNET13H1268_001337-T1, CHIFNET13H1268_001775-T1, CHIFNET13H1268_005862-T1, CHIFNET13H1268_011239-T1, CHIFNET13H1268_002443-T1, CHIFNET13H1268_009259-T1, CHIFNET13H1268_001677-T1, CHIFNET13H1268_014915-T1, CHIFNET13H1268_004946-T1, CHIFNET13H1268_012963-T1
GF00000009	CHIFNET13H1268_007984-T1, CHIFNET13H1268_014768-T1, CHIFNET13H1268_012295-T1, CHIFNET13H1268_010386-T1, CHIFNET13H1268_010385-T1, CHIFNET13H1268_012020-T1, CHIFNET13H1268_004504-T1, CHIFNET13H1268_004692-T1, CHIFNET13H1268_004976-T1, CHIFNET13H1268_008863-T1, CHIFNET13H1268_014344-T1, CHIFNET13H1268_012482-T1, CHIFNET13H1268_001539-T1, CHIFNET13H1268_008446-T1, CHIFNET13H1268_008447-T1, CHIFNET13H1268_012296-T1, CHIFNET13H1268_001540-T1
GF00000010	CHIFNET13H1268_013469-T1, CHIFNET13H1268_004396-T1, CHIFNET13H1268_012114-T1, CHIFNET13H1268_007196-T1, CHIFNET13H1268_007198-T1, CHIFNET13H1268_013581-T1, CHIFNET13H1268_002031-T1, CHIFNET13H1268_007195-T1, CHIFNET13H1268_002030-T1, CHIFNET13H1268_013580-T1, CHIFNET13H1268_007197-T1, CHIFNET13H1268_013470-T1, CHIFNET13H1268_002039-T1, CHIFNET13H1268_002038-T1, CHIFNET13H1268_014842-T1, CHIFNET13H1268_002025-T1, CHIFNET13H1268_002037-T1
