	Rhodotorula_mucilaginosa_TFCN_25-0-2E334-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN2502E3341_000135-T1, TFCN2502E3341_008407-T1, TFCN2502E3341_007106-T1, TFCN2502E3341_014391-T1, TFCN2502E3341_000339-T1, TFCN2502E3341_014696-T1, TFCN2502E3341_010062-T1, TFCN2502E3341_001057-T1, TFCN2502E3341_000746-T1, TFCN2502E3341_005495-T1, TFCN2502E3341_002506-T1, TFCN2502E3341_009196-T1, TFCN2502E3341_004688-T1, TFCN2502E3341_003793-T1, TFCN2502E3341_005741-T1, TFCN2502E3341_002083-T1, TFCN2502E3341_000185-T1, TFCN2502E3341_004463-T1, TFCN2502E3341_013643-T1, TFCN2502E3341_004643-T1, TFCN2502E3341_000959-T1, TFCN2502E3341_008248-T1, TFCN2502E3341_014141-T1, TFCN2502E3341_009517-T1, TFCN2502E3341_004815-T1, TFCN2502E3341_002323-T1, TFCN2502E3341_004245-T1, TFCN2502E3341_001283-T1, TFCN2502E3341_014014-T1, TFCN2502E3341_002581-T1, TFCN2502E3341_004563-T1, TFCN2502E3341_012227-T1, TFCN2502E3341_009399-T1, TFCN2502E3341_000459-T1, TFCN2502E3341_007189-T1, TFCN2502E3341_013081-T1, TFCN2502E3341_008999-T1, TFCN2502E3341_014699-T1, TFCN2502E3341_000699-T1, TFCN2502E3341_012805-T1, TFCN2502E3341_009830-T1, TFCN2502E3341_013597-T1, TFCN2502E3341_011457-T1, TFCN2502E3341_014190-T1, TFCN2502E3341_001436-T1, TFCN2502E3341_003906-T1, TFCN2502E3341_012866-T1, TFCN2502E3341_014774-T1, TFCN2502E3341_009699-T1, TFCN2502E3341_012345-T1, TFCN2502E3341_013404-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	TFCN2502E3341_000171-T1, TFCN2502E3341_005727-T1, TFCN2502E3341_010976-T1, TFCN2502E3341_006105-T1, TFCN2502E3341_001247-T1, TFCN2502E3341_005711-T1, TFCN2502E3341_007789-T1, TFCN2502E3341_007145-T1, TFCN2502E3341_011053-T1, TFCN2502E3341_011414-T1, TFCN2502E3341_003494-T1, TFCN2502E3341_005447-T1, TFCN2502E3341_007091-T1, TFCN2502E3341_009946-T1, TFCN2502E3341_007329-T1, TFCN2502E3341_014577-T1, TFCN2502E3341_012171-T1, TFCN2502E3341_009717-T1, TFCN2502E3341_011407-T1, TFCN2502E3341_007010-T1, TFCN2502E3341_009257-T1, TFCN2502E3341_013465-T1, TFCN2502E3341_010941-T1, TFCN2502E3341_007244-T1, TFCN2502E3341_003796-T1, TFCN2502E3341_014369-T1, TFCN2502E3341_003622-T1, TFCN2502E3341_006972-T1, TFCN2502E3341_006746-T1, TFCN2502E3341_004933-T1, TFCN2502E3341_002080-T1, TFCN2502E3341_010017-T1, TFCN2502E3341_006180-T1, TFCN2502E3341_010012-T1, TFCN2502E3341_005594-T1, TFCN2502E3341_011925-T1, TFCN2502E3341_013178-T1, TFCN2502E3341_006185-T1, TFCN2502E3341_014578-T1, TFCN2502E3341_007790-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_002321-T1, DBVPG3775_003371-T1, DBVPG3775_003524-T1, DBVPG3775_003779-T1, DBVPG3775_004127-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006265-T1, DBVPG3775_006438-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1, DBVPG3775_007162-T1
GF00000003	TFCN2502E3341_000760-T1, TFCN2502E3341_005482-T1, TFCN2502E3341_013967-T1, TFCN2502E3341_013630-T1, TFCN2502E3341_000016-T1, TFCN2502E3341_007751-T1, TFCN2502E3341_010640-T1, TFCN2502E3341_005908-T1, TFCN2502E3341_001570-T1, TFCN2502E3341_013987-T1, TFCN2502E3341_009501-T1, TFCN2502E3341_007806-T1, TFCN2502E3341_009584-T1, TFCN2502E3341_012421-T1, TFCN2502E3341_001624-T1, TFCN2502E3341_013207-T1, TFCN2502E3341_014128-T1, TFCN2502E3341_007293-T1, TFCN2502E3341_001388-T1, TFCN2502E3341_008589-T1, TFCN2502E3341_006659-T1, TFCN2502E3341_005859-T1, TFCN2502E3341_002793-T1, TFCN2502E3341_000125-T1, TFCN2502E3341_008416-T1, TFCN2502E3341_011508-T1, TFCN2502E3341_004011-T1, TFCN2502E3341_013854-T1, TFCN2502E3341_009923-T1, TFCN2502E3341_002179-T1, TFCN2502E3341_008673-T1, TFCN2502E3341_004189-T1, TFCN2502E3341_004741-T1, TFCN2502E3341_006635-T1, TFCN2502E3341_014058-T1, TFCN2502E3341_002121-T1, TFCN2502E3341_009500-T1, TFCN2502E3341_013348-T1	DBVPG3775_000122-T1, DBVPG3775_000507-T1, DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_001440-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_004172-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_006799-T1, DBVPG3775_007532-T1
GF00000004	TFCN2502E3341_001260-T1, TFCN2502E3341_005698-T1, TFCN2502E3341_003483-T1, TFCN2502E3341_003535-T1, TFCN2502E3341_005613-T1, TFCN2502E3341_005618-T1, TFCN2502E3341_003698-T1, TFCN2502E3341_005589-T1, TFCN2502E3341_005639-T1, TFCN2502E3341_005588-T1, TFCN2502E3341_011921-T1, TFCN2502E3341_005614-T1, TFCN2502E3341_005617-T1, TFCN2502E3341_005612-T1, TFCN2502E3341_005590-T1, TFCN2502E3341_005636-T1, TFCN2502E3341_005591-T1, TFCN2502E3341_010534-T1, TFCN2502E3341_005611-T1, TFCN2502E3341_005638-T1, TFCN2502E3341_003291-T1, TFCN2502E3341_001689-T1, TFCN2502E3341_008879-T1, TFCN2502E3341_011326-T1, TFCN2502E3341_005616-T1, TFCN2502E3341_003682-T1, TFCN2502E3341_009351-T1, TFCN2502E3341_005637-T1, TFCN2502E3341_005635-T1, TFCN2502E3341_011922-T1	DBVPG3775_001472-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1, DBVPG3775_003651-T1
GF00000005	TFCN2502E3341_000165-T1, TFCN2502E3341_005722-T1, TFCN2502E3341_008538-T1, TFCN2502E3341_012250-T1, TFCN2502E3341_000534-T1, TFCN2502E3341_007557-T1, TFCN2502E3341_006593-T1, TFCN2502E3341_003508-T1, TFCN2502E3341_010303-T1, TFCN2502E3341_005433-T1, TFCN2502E3341_013664-T1, TFCN2502E3341_004967-T1, TFCN2502E3341_013633-T1, TFCN2502E3341_014546-T1, TFCN2502E3341_005764-T1, TFCN2502E3341_000210-T1, TFCN2502E3341_000435-T1, TFCN2502E3341_008358-T1, TFCN2502E3341_014678-T1, TFCN2502E3341_004115-T1, TFCN2502E3341_000255-T1, TFCN2502E3341_009454-T1, TFCN2502E3341_007611-T1, TFCN2502E3341_008742-T1, TFCN2502E3341_008543-T1, TFCN2502E3341_012255-T1, TFCN2502E3341_012741-T1, TFCN2502E3341_002460-T1, TFCN2502E3341_013786-T1, TFCN2502E3341_001902-T1, TFCN2502E3341_003189-T1, TFCN2502E3341_002583-T1, TFCN2502E3341_004565-T1, TFCN2502E3341_009660-T1, TFCN2502E3341_006692-T1	DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005071-T1, DBVPG3775_005929-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000006	TFCN2502E3341_007600-T1, TFCN2502E3341_011016-T1, TFCN2502E3341_012215-T1, TFCN2502E3341_007346-T1, TFCN2502E3341_004926-T1, TFCN2502E3341_001890-T1, TFCN2502E3341_007943-T1, TFCN2502E3341_011698-T1, TFCN2502E3341_013554-T1, TFCN2502E3341_001099-T1, TFCN2502E3341_014746-T1, TFCN2502E3341_008655-T1, TFCN2502E3341_008617-T1, TFCN2502E3341_005189-T1, TFCN2502E3341_008914-T1, TFCN2502E3341_010422-T1, TFCN2502E3341_006703-T1, TFCN2502E3341_003104-T1, TFCN2502E3341_004297-T1, TFCN2502E3341_003061-T1, TFCN2502E3341_004981-T1, TFCN2502E3341_007949-T1, TFCN2502E3341_001884-T1, TFCN2502E3341_008769-T1, TFCN2502E3341_007586-T1, TFCN2502E3341_006411-T1, TFCN2502E3341_004375-T1, TFCN2502E3341_002089-T1, TFCN2502E3341_003787-T1, TFCN2502E3341_010921-T1, TFCN2502E3341_009036-T1, TFCN2502E3341_010934-T1, TFCN2502E3341_009049-T1	DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005327-T1, DBVPG3775_005341-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000007	TFCN2502E3341_000624-T1, TFCN2502E3341_000615-T1, TFCN2502E3341_000612-T1, TFCN2502E3341_007783-T1, TFCN2502E3341_007784-T1, TFCN2502E3341_000623-T1, TFCN2502E3341_007148-T1, TFCN2502E3341_000613-T1, TFCN2502E3341_007157-T1, TFCN2502E3341_012411-T1, TFCN2502E3341_012412-T1, TFCN2502E3341_000625-T1, TFCN2502E3341_007159-T1, TFCN2502E3341_009828-T1, TFCN2502E3341_000633-T1, TFCN2502E3341_007818-T1, TFCN2502E3341_011981-T1, TFCN2502E3341_004126-T1, TFCN2502E3341_007819-T1, TFCN2502E3341_000618-T1, TFCN2502E3341_007161-T1, TFCN2502E3341_009596-T1, TFCN2502E3341_007170-T1, TFCN2502E3341_000696-T1, TFCN2502E3341_009595-T1, TFCN2502E3341_009613-T1	DBVPG3775_001378-T1, DBVPG3775_003924-T1, DBVPG3775_005565-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005628-T1, DBVPG3775_005629-T1, DBVPG3775_007341-T1, DBVPG3775_007342-T1
GF00000008	TFCN2502E3341_000045-T1, TFCN2502E3341_012830-T1, TFCN2502E3341_013514-T1, TFCN2502E3341_007379-T1, TFCN2502E3341_009335-T1, TFCN2502E3341_002606-T1, TFCN2502E3341_007370-T1, TFCN2502E3341_013515-T1, TFCN2502E3341_007373-T1, TFCN2502E3341_002618-T1, TFCN2502E3341_009338-T1, TFCN2502E3341_002619-T1, TFCN2502E3341_013516-T1, TFCN2502E3341_002660-T1, TFCN2502E3341_009315-T1, TFCN2502E3341_000046-T1, TFCN2502E3341_001998-T1, TFCN2502E3341_009316-T1, TFCN2502E3341_009314-T1, TFCN2502E3341_002605-T1, TFCN2502E3341_013518-T1, TFCN2502E3341_002659-T1, TFCN2502E3341_013517-T1	DBVPG3775_001053-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
GF00000009	TFCN2502E3341_012777-T1, TFCN2502E3341_008787-T1, TFCN2502E3341_001103-T1, TFCN2502E3341_013544-T1, TFCN2502E3341_010978-T1, TFCN2502E3341_014059-T1, TFCN2502E3341_002120-T1, TFCN2502E3341_008241-T1, TFCN2502E3341_014134-T1, TFCN2502E3341_002813-T1, TFCN2502E3341_009889-T1, TFCN2502E3341_007891-T1, TFCN2502E3341_003917-T1, TFCN2502E3341_009015-T1, TFCN2502E3341_008004-T1, TFCN2502E3341_005149-T1, TFCN2502E3341_011765-T1, TFCN2502E3341_008172-T1, TFCN2502E3341_014435-T1, TFCN2502E3341_008856-T1, TFCN2502E3341_006747-T1, TFCN2502E3341_004932-T1, TFCN2502E3341_006103-T1, TFCN2502E3341_005474-T1, TFCN2502E3341_012300-T1, TFCN2502E3341_005473-T1, TFCN2502E3341_011412-T1	DBVPG3775_000052-T1, DBVPG3775_000354-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002787-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1
GF00000010	TFCN2502E3341_008717-T1, TFCN2502E3341_010590-T1, TFCN2502E3341_002134-T1, TFCN2502E3341_012968-T1, TFCN2502E3341_006217-T1, TFCN2502E3341_004709-T1, TFCN2502E3341_004950-T1, TFCN2502E3341_014616-T1, TFCN2502E3341_006371-T1, TFCN2502E3341_001539-T1, TFCN2502E3341_004590-T1, TFCN2502E3341_000908-T1, TFCN2502E3341_012643-T1, TFCN2502E3341_005445-T1, TFCN2502E3341_003496-T1, TFCN2502E3341_002035-T1, TFCN2502E3341_002621-T1, TFCN2502E3341_013147-T1, TFCN2502E3341_013293-T1, TFCN2502E3341_004324-T1, TFCN2502E3341_003078-T1, TFCN2502E3341_014408-T1	DBVPG3775_000746-T1, DBVPG3775_000867-T1, DBVPG3775_001752-T1, DBVPG3775_002017-T1, DBVPG3775_002532-T1, DBVPG3775_003035-T1, DBVPG3775_003309-T1, DBVPG3775_003781-T1, DBVPG3775_004455-T1, DBVPG3775_004768-T1, DBVPG3775_005244-T1, DBVPG3775_005784-T1
