	Rhodotorula_mucilaginosa_TFCN_25-0-2E334-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN2502E3341_000746-T1	DBVPG3775_001425-T1
GF00000002	TFCN2502E3341_014369-T1	DBVPG3775_002321-T1
GF00000003	TFCN2502E3341_000125-T1	DBVPG3775_004172-T1
GF00000004	TFCN2502E3341_011326-T1	DBVPG3775_006827-T1
GF00000005	TFCN2502E3341_005722-T1	DBVPG3775_004132-T1
GF00000006	TFCN2502E3341_002089-T1	DBVPG3775_001973-T1
GF00000007	TFCN2502E3341_007784-T1	DBVPG3775_005585-T1
GF00000008	TFCN2502E3341_002619-T1	DBVPG3775_004453-T1
GF00000009	TFCN2502E3341_014059-T1	DBVPG3775_002003-T1
GF00000010	TFCN2502E3341_003496-T1	DBVPG3775_003781-T1
GF00000011	TFCN2502E3341_006755-T1	DBVPG3775_000780-T1
GF00000012	TFCN2502E3341_005039-T1	DBVPG3775_002987-T1
GF00000013	TFCN2502E3341_004630-T1	DBVPG3775_005206-T1
GF00000014	TFCN2502E3341_002277-T1	DBVPG3775_000220-T1
GF00000015	TFCN2502E3341_001574-T1	DBVPG3775_000902-T1
GF00000016	TFCN2502E3341_000634-T1	DBVPG3775_006246-T1
GF00000017	TFCN2502E3341_008751-T1	DBVPG3775_000979-T1
GF00000018	TFCN2502E3341_014105-T1	DBVPG3775_006585-T1
GF00000019	TFCN2502E3341_008098-T1	DBVPG3775_004957-T1
GF00000020	TFCN2502E3341_010261-T1	DBVPG3775_003767-T1
GF00000021	TFCN2502E3341_003864-T1	DBVPG3775_001893-T1
GF00000022	TFCN2502E3341_000271-T1	DBVPG3775_004041-T1
GF00000023	TFCN2502E3341_004982-T1	DBVPG3775_001719-T1
GF00000024	TFCN2502E3341_000747-T1	DBVPG3775_001426-T1
GF00000025	TFCN2502E3341_013203-T1	DBVPG3775_000501-T1
GF00000026	TFCN2502E3341_012608-T1	DBVPG3775_002916-T1
GF00000027	TFCN2502E3341_013833-T1	DBVPG3775_007326-T1
GF00000028	TFCN2502E3341_005685-T1	DBVPG3775_003162-T1
GF00000029	TFCN2502E3341_000853-T1	DBVPG3775_001234-T1
GF00000030	TFCN2502E3341_001590-T1	DBVPG3775_000924-T1
GF00000031	TFCN2502E3341_000224-T1	DBVPG3775_007088-T1
GF00000032	TFCN2502E3341_006994-T1	DBVPG3775_003326-T1
GF00000033	TFCN2502E3341_003427-T1	DBVPG3775_002869-T1
GF00000034	TFCN2502E3341_005146-T1	DBVPG3775_000357-T1
GF00000035	TFCN2502E3341_009822-T1	DBVPG3775_001370-T1
GF00000036	TFCN2502E3341_013330-T1	DBVPG3775_006341-T1
GF00000037	TFCN2502E3341_011102-T1	DBVPG3775_005693-T1
GF00000038	TFCN2502E3341_007328-T1	DBVPG3775_004622-T1
GF00000039	TFCN2502E3341_010069-T1	DBVPG3775_005960-T1
GF00000040	TFCN2502E3341_003369-T1	DBVPG3775_002812-T1
GF00000041	TFCN2502E3341_007014-T1	DBVPG3775_003520-T1
GF00000042	TFCN2502E3341_000159-T1	DBVPG3775_004293-T1
GF00000043	TFCN2502E3341_002226-T1	DBVPG3775_000170-T1
GF00000044	TFCN2502E3341_003321-T1	DBVPG3775_000026-T1
GF00000045	TFCN2502E3341_002496-T1	DBVPG3775_002206-T1
GF00000046	TFCN2502E3341_003555-T1	DBVPG3775_003746-T1
GF00000047	TFCN2502E3341_002483-T1	DBVPG3775_002328-T1
