	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa
GF00000001	TFCN25331D1_000640-T1, TFCN25331D1_006708-T1, TFCN25331D1_003715-T1, TFCN25331D1_006342-T1, TFCN25331D1_007017-T1, TFCN25331D1_000045-T1, TFCN25331D1_002868-T1, TFCN25331D1_004264-T1, TFCN25331D1_004671-T1, TFCN25331D1_005378-T1, TFCN25331D1_013603-T1, TFCN25331D1_008812-T1, TFCN25331D1_003644-T1, TFCN25331D1_002726-T1, TFCN25331D1_000091-T1, TFCN25331D1_000685-T1, TFCN25331D1_006751-T1, TFCN25331D1_010867-T1, TFCN25331D1_004422-T1, TFCN25331D1_003082-T1, TFCN25331D1_011757-T1, TFCN25331D1_011958-T1, TFCN25331D1_013186-T1, TFCN25331D1_006876-T1, TFCN25331D1_010181-T1, TFCN25331D1_002777-T1, TFCN25331D1_000140-T1, TFCN25331D1_012013-T1, TFCN25331D1_008694-T1, TFCN25331D1_009301-T1, TFCN25331D1_002453-T1, TFCN25331D1_011635-T1, TFCN25331D1_001873-T1, TFCN25331D1_010993-T1, TFCN25331D1_002091-T1, TFCN25331D1_002090-T1, TFCN25331D1_009300-T1, TFCN25331D1_008693-T1
GF00000002	TFCN25331D1_006579-T1, TFCN25331D1_012049-T1, TFCN25331D1_000845-T1, TFCN25331D1_005710-T1, TFCN25331D1_001531-T1, TFCN25331D1_007647-T1, TFCN25331D1_002025-T1, TFCN25331D1_001808-T1, TFCN25331D1_012182-T1, TFCN25331D1_001114-T1, TFCN25331D1_002972-T1, TFCN25331D1_008582-T1, TFCN25331D1_005752-T1, TFCN25331D1_012176-T1, TFCN25331D1_007653-T1, TFCN25331D1_003763-T1, TFCN25331D1_006390-T1, TFCN25331D1_006840-T1, TFCN25331D1_012158-T1, TFCN25331D1_012112-T1, TFCN25331D1_000550-T1, TFCN25331D1_007746-T1, TFCN25331D1_005660-T1, TFCN25331D1_009426-T1, TFCN25331D1_008983-T1, TFCN25331D1_012050-T1
GF00000003	TFCN25331D1_012966-T1, TFCN25331D1_005738-T1, TFCN25331D1_008498-T1, TFCN25331D1_005597-T1, TFCN25331D1_002988-T1, TFCN25331D1_007226-T1, TFCN25331D1_008493-T1, TFCN25331D1_011262-T1, TFCN25331D1_011257-T1, TFCN25331D1_006198-T1, TFCN25331D1_001572-T1, TFCN25331D1_013288-T1, TFCN25331D1_013596-T1, TFCN25331D1_001669-T1, TFCN25331D1_004983-T1, TFCN25331D1_012390-T1, TFCN25331D1_013555-T1, TFCN25331D1_000857-T1, TFCN25331D1_007665-T1, TFCN25331D1_001125-T1, TFCN25331D1_001520-T1, TFCN25331D1_013223-T1, TFCN25331D1_013346-T1, TFCN25331D1_013345-T1
GF00000004	TFCN25331D1_007358-T1, TFCN25331D1_005572-T1, TFCN25331D1_007357-T1, TFCN25331D1_008540-T1, TFCN25331D1_004821-T1, TFCN25331D1_007382-T1, TFCN25331D1_007380-T1, TFCN25331D1_007359-T1, TFCN25331D1_009701-T1, TFCN25331D1_001036-T1, TFCN25331D1_007356-T1, TFCN25331D1_009837-T1, TFCN25331D1_009834-T1, TFCN25331D1_003525-T1, TFCN25331D1_007355-T1, TFCN25331D1_007334-T1, TFCN25331D1_007381-T1, TFCN25331D1_007335-T1, TFCN25331D1_007379-T1, TFCN25331D1_007202-T1, TFCN25331D1_010808-T1, TFCN25331D1_011348-T1, TFCN25331D1_009836-T1
GF00000005	TFCN25331D1_001529-T1, TFCN25331D1_001116-T1, TFCN25331D1_001169-T1, TFCN25331D1_001881-T1, TFCN25331D1_001510-T1, TFCN25331D1_001135-T1, TFCN25331D1_001466-T1, TFCN25331D1_002099-T1, TFCN25331D1_001955-T1, TFCN25331D1_001470-T1, TFCN25331D1_001173-T1, TFCN25331D1_002167-T1, TFCN25331D1_003067-T1, TFCN25331D1_004409-T1, TFCN25331D1_004410-T1, TFCN25331D1_003068-T1, TFCN25331D1_010907-T1, TFCN25331D1_003160-T1
GF00000006	TFCN25331D1_008546-T1, TFCN25331D1_013625-T1, TFCN25331D1_007053-T1, TFCN25331D1_009902-T1, TFCN25331D1_010004-T1, TFCN25331D1_011610-T1, TFCN25331D1_000702-T1, TFCN25331D1_002271-T1, TFCN25331D1_007052-T1, TFCN25331D1_006763-T1, TFCN25331D1_010003-T1, TFCN25331D1_013132-T1, TFCN25331D1_011611-T1, TFCN25331D1_007129-T1, TFCN25331D1_002342-T1, TFCN25331D1_006971-T1, TFCN25331D1_010870-T1
GF00000007	TFCN25331D1_004447-T1, TFCN25331D1_003110-T1, TFCN25331D1_005930-T1, TFCN25331D1_002582-T1, TFCN25331D1_009332-T1, TFCN25331D1_011780-T1, TFCN25331D1_005360-T1, TFCN25331D1_005926-T1, TFCN25331D1_002586-T1, TFCN25331D1_002973-T1, TFCN25331D1_006288-T1, TFCN25331D1_006217-T1, TFCN25331D1_001552-T1, TFCN25331D1_007792-T1, TFCN25331D1_010547-T1, TFCN25331D1_003662-T1, TFCN25331D1_002389-T1
GF00000008	TFCN25331D1_002761-T1, TFCN25331D1_000124-T1, TFCN25331D1_008747-T1, TFCN25331D1_005081-T1, TFCN25331D1_013178-T1, TFCN25331D1_002350-T1, TFCN25331D1_007135-T1, TFCN25331D1_011966-T1, TFCN25331D1_002138-T1, TFCN25331D1_008048-T1, TFCN25331D1_000473-T1, TFCN25331D1_007101-T1, TFCN25331D1_009060-T1, TFCN25331D1_002314-T1, TFCN25331D1_008673-T1, TFCN25331D1_007369-T1
GF00000009	TFCN25331D1_011627-T1, TFCN25331D1_010283-T1, TFCN25331D1_005547-T1, TFCN25331D1_007179-T1, TFCN25331D1_010817-T1, TFCN25331D1_007394-T1, TFCN25331D1_009688-T1, TFCN25331D1_012258-T1, TFCN25331D1_004354-T1, TFCN25331D1_009842-T1, TFCN25331D1_003521-T1, TFCN25331D1_012746-T1, TFCN25331D1_006221-T1, TFCN25331D1_001549-T1, TFCN25331D1_010818-T1
GF00000010	TFCN25331D1_002185-T1, TFCN25331D1_008214-T1, TFCN25331D1_006527-T1, TFCN25331D1_000264-T1, TFCN25331D1_002984-T1, TFCN25331D1_013598-T1, TFCN25331D1_013291-T1, TFCN25331D1_001973-T1, TFCN25331D1_000801-T1, TFCN25331D1_010632-T1, TFCN25331D1_001199-T1, TFCN25331D1_001453-T1, TFCN25331D1_002946-T1, TFCN25331D1_003896-T1, TFCN25331D1_011743-T1
