	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00000001	23	26	49	1.0	multi-copy
GF00000002	19	22	41	1.0	multi-copy
GF00000003	18	20	38	1.0	multi-copy
GF00000004	18	18	36	1.0	multi-copy
GF00000005	18	18	36	1.0	multi-copy
GF00000006	17	18	35	1.0	multi-copy
GF00000007	16	18	34	1.0	multi-copy
GF00000008	15	18	33	1.0	multi-copy
GF00000009	15	18	33	1.0	multi-copy
GF00000010	12	12	24	1.0	multi-copy
GF00000011	11	11	22	1.0	multi-copy
GF00000012	9	12	21	1.0	multi-copy
GF00000013	9	11	20	1.0	multi-copy
GF00000014	8	11	19	1.0	multi-copy
GF00000015	9	10	19	1.0	multi-copy
GF00000016	9	9	18	1.0	multi-copy
GF00000017	9	9	18	1.0	multi-copy
GF00000018	8	9	17	1.0	multi-copy
GF00000019	7	9	16	1.0	multi-copy
GF00000020	7	9	16	1.0	multi-copy
GF00000021	9	7	16	1.0	multi-copy
GF00000022	8	8	16	1.0	multi-copy
GF00000023	7	8	15	1.0	multi-copy
GF00000024	7	8	15	1.0	multi-copy
GF00000025	7	8	15	1.0	multi-copy
GF00000026	6	8	14	1.0	multi-copy
GF00000027	7	7	14	1.0	multi-copy
GF00000028	7	7	14	1.0	multi-copy
GF00000029	7	7	14	1.0	multi-copy
GF00000030	6	8	14	1.0	multi-copy
GF00000031	7	7	14	1.0	multi-copy
GF00000032	7	6	13	1.0	multi-copy
GF00000033	6	7	13	1.0	multi-copy
GF00000034	6	7	13	1.0	multi-copy
GF00000035	6	6	12	1.0	multi-copy
GF00000036	6	6	12	1.0	multi-copy
GF00000037	6	6	12	1.0	multi-copy
GF00000038	6	6	12	1.0	multi-copy
GF00000039	6	6	12	1.0	multi-copy
GF00000040	6	6	12	1.0	multi-copy
GF00000041	6	6	12	1.0	multi-copy
GF00000042	6	6	12	1.0	multi-copy
GF00000043	5	6	11	1.0	multi-copy
GF00000044	5	6	11	1.0	multi-copy
GF00000045	5	6	11	1.0	multi-copy
GF00000046	5	6	11	1.0	multi-copy
GF00000047	5	5	10	1.0	multi-copy
GF00000048	5	5	10	1.0	multi-copy
GF00000049	5	5	10	1.0	multi-copy
GF00000050	5	5	10	1.0	multi-copy
GF00000051	5	5	10	1.0	multi-copy
GF00000052	5	5	10	1.0	multi-copy
GF00000053	2	8	10	1.0	multi-copy
GF00000054	4	6	10	1.0	multi-copy
GF00000055	6	4	10	1.0	multi-copy
GF00000056	5	5	10	1.0	multi-copy
GF00000057	5	5	10	1.0	multi-copy
GF00000058	5	5	10	1.0	multi-copy
GF00000059	4	5	9	1.0	multi-copy
GF00000060	5	4	9	1.0	multi-copy
GF00000061	4	5	9	1.0	multi-copy
GF00000062	4	5	9	1.0	multi-copy
GF00000063	4	5	9	1.0	multi-copy
GF00000064	4	5	9	1.0	multi-copy
GF00000065	4	5	9	1.0	multi-copy
GF00000066	4	5	9	1.0	multi-copy
GF00000067	5	4	9	1.0	multi-copy
GF00000068	4	5	9	1.0	multi-copy
GF00000069	4	5	9	1.0	multi-copy
GF00000070	4	5	9	1.0	multi-copy
GF00000071	5	4	9	1.0	multi-copy
GF00000072	4	4	8	1.0	multi-copy
GF00000073	4	4	8	1.0	multi-copy
GF00000074	4	4	8	1.0	multi-copy
GF00000075	4	4	8	1.0	multi-copy
GF00000076	4	4	8	1.0	multi-copy
GF00000077	4	4	8	1.0	multi-copy
GF00000078	4	4	8	1.0	multi-copy
GF00000079	4	4	8	1.0	multi-copy
GF00000080	4	4	8	1.0	multi-copy
GF00000081	4	4	8	1.0	multi-copy
GF00000082	4	4	8	1.0	multi-copy
GF00000083	5	3	8	1.0	multi-copy
GF00000084	4	4	8	1.0	multi-copy
GF00000085	4	4	8	1.0	multi-copy
GF00000086	4	4	8	1.0	multi-copy
GF00000087	6	2	8	1.0	multi-copy
GF00000088	4	4	8	1.0	multi-copy
GF00000089	4	4	8	1.0	multi-copy
GF00000090	4	4	8	1.0	multi-copy
GF00000091	4	4	8	1.0	multi-copy
GF00000092	4	4	8	1.0	multi-copy
GF00000093	4	4	8	1.0	multi-copy
GF00000094	4	4	8	1.0	multi-copy
GF00000095	4	4	8	1.0	multi-copy
GF00000096	4	4	8	1.0	multi-copy
GF00000097	4	4	8	1.0	multi-copy
GF00000098	3	5	8	1.0	multi-copy
GF00000099	4	4	8	1.0	multi-copy
GF00000100	4	4	8	1.0	multi-copy
GF00000101	4	4	8	1.0	multi-copy
GF00000102	4	4	8	1.0	multi-copy
GF00000103	4	4	8	1.0	multi-copy
GF00000104	4	4	8	1.0	multi-copy
GF00000105	4	4	8	1.0	multi-copy
GF00000106	4	4	8	1.0	multi-copy
