	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN17291Y1_005388-T1	DBVPG3775_001425-T1
GF00000002	TFCN17291Y1_004213-T1	DBVPG3775_004132-T1
GF00000003	TFCN17291Y1_004298-T1	DBVPG3775_002003-T1
GF00000004	TFCN17291Y1_004270-T1	DBVPG3775_001973-T1
GF00000005	TFCN17291Y1_009179-T1	DBVPG3775_006827-T1
GF00000006	TFCN17291Y1_009860-T1	DBVPG3775_005716-T1
GF00000007	TFCN17291Y1_004245-T1	DBVPG3775_004172-T1
GF00000008	TFCN17291Y1_005555-T1	DBVPG3775_005585-T1
GF00000009	TFCN17291Y1_012092-T1	DBVPG3775_004632-T1
GF00000010	TFCN17291Y1_001803-T1	DBVPG3775_006573-T1
GF00000011	TFCN17291Y1_012459-T1	DBVPG3775_000220-T1
GF00000012	TFCN17291Y1_012275-T1	DBVPG3775_002916-T1
GF00000013	TFCN17291Y1_003691-T1	DBVPG3775_000780-T1
GF00000014	TFCN17291Y1_004336-T1	DBVPG3775_004957-T1
GF00000015	TFCN17291Y1_003027-T1	DBVPG3775_000979-T1
GF00000016	TFCN17291Y1_008884-T1	DBVPG3775_000902-T1
GF00000017	TFCN17291Y1_010482-T1	DBVPG3775_003249-T1
GF00000018	TFCN17291Y1_011050-T1	DBVPG3775_006246-T1
GF00000019	TFCN17291Y1_005022-T1	DBVPG3775_006220-T1
GF00000020	TFCN17291Y1_008499-T1	DBVPG3775_006585-T1
GF00000021	TFCN17291Y1_006942-T1	DBVPG3775_004041-T1
GF00000022	TFCN17291Y1_003025-T1	DBVPG3775_000975-T1
GF00000023	TFCN17291Y1_003739-T1	DBVPG3775_004455-T1
GF00000024	TFCN17291Y1_005190-T1	DBVPG3775_000357-T1
GF00000025	TFCN17291Y1_007088-T1	DBVPG3775_007326-T1
GF00000026	TFCN17291Y1_007364-T1	DBVPG3775_002812-T1
GF00000027	TFCN17291Y1_011400-T1	DBVPG3775_004369-T1
GF00000028	TFCN17291Y1_010122-T1	DBVPG3775_007088-T1
GF00000029	TFCN17291Y1_009306-T1	DBVPG3775_005960-T1
GF00000030	TFCN17291Y1_008547-T1	DBVPG3775_003326-T1
GF00000031	TFCN17291Y1_004216-T1	DBVPG3775_004138-T1
GF00000032	TFCN17291Y1_002674-T1	DBVPG3775_002869-T1
GF00000033	TFCN17291Y1_009764-T1	DBVPG3775_006562-T1
GF00000034	TFCN17291Y1_007228-T1	DBVPG3775_005693-T1
GF00000035	TFCN17291Y1_003857-T1	DBVPG3775_002211-T1
GF00000036	TFCN17291Y1_001837-T1	DBVPG3775_007022-T1
GF00000037	TFCN17291Y1_010224-T1	DBVPG3775_001370-T1
GF00000038	TFCN17291Y1_005840-T1	DBVPG3775_000924-T1
GF00000039	TFCN17291Y1_006642-T1	DBVPG3775_004622-T1
GF00000040	TFCN17291Y1_005381-T1	DBVPG3775_001418-T1
GF00000041	TFCN17291Y1_005337-T1	DBVPG3775_007270-T1
GF00000042	TFCN17291Y1_000237-T1	DBVPG3775_004038-T1
GF00000043	TFCN17291Y1_000387-T1	DBVPG3775_000916-T1
GF00000044	TFCN17291Y1_003930-T1	DBVPG3775_002293-T1
GF00000045	TFCN17291Y1_001352-T1	DBVPG3775_003746-T1
GF00000046	TFCN17291Y1_005549-T1	DBVPG3775_005578-T1
GF00000047	TFCN17291Y1_010471-T1	DBVPG3775_002328-T1
GF00000048	TFCN17291Y1_004010-T1	DBVPG3775_001667-T1
GF00000049	TFCN17291Y1_009335-T1	DBVPG3775_007132-T1
GF00000050	TFCN17291Y1_005774-T1	DBVPG3775_002941-T1
GF00000051	TFCN17291Y1_010737-T1	DBVPG3775_000082-T1
GF00000052	TFCN17291Y1_000475-T1	DBVPG3775_000191-T1
GF00000053	TFCN17291Y1_004986-T1	DBVPG3775_001088-T1
GF00000054	TFCN17291Y1_004334-T1	DBVPG3775_002043-T1
GF00000055	TFCN17291Y1_009840-T1	DBVPG3775_004141-T1
GF00000056	TFCN17291Y1_003565-T1	DBVPG3775_007226-T1
GF00000057	TFCN17291Y1_005412-T1	DBVPG3775_001450-T1
GF00000058	TFCN17291Y1_009748-T1	DBVPG3775_003261-T1
GF00000059	TFCN17291Y1_001869-T1	DBVPG3775_003520-T1
GF00000060	TFCN17291Y1_007092-T1	DBVPG3775_007318-T1
GF00000061	TFCN17291Y1_000896-T1	DBVPG3775_001251-T1
GF00000062	TFCN17291Y1_006510-T1	DBVPG3775_003881-T1
GF00000063	TFCN17291Y1_008802-T1	DBVPG3775_003313-T1
GF00000064	TFCN17291Y1_009372-T1	DBVPG3775_000993-T1
GF00000065	TFCN17291Y1_003112-T1	DBVPG3775_000466-T1
GF00000066	TFCN17291Y1_010843-T1	DBVPG3775_006345-T1
GF00000067	TFCN17291Y1_008307-T1	DBVPG3775_001834-T1
GF00000068	TFCN17291Y1_010826-T1	DBVPG3775_004717-T1
GF00000069	TFCN17291Y1_003161-T1	DBVPG3775_000527-T1
GF00000070	TFCN17291Y1_000094-T1	DBVPG3775_001065-T1
GF00000071	TFCN17291Y1_000139-T1	DBVPG3775_005100-T1
GF00000072	TFCN17291Y1_008932-T1	DBVPG3775_006241-T1
GF00000073	TFCN17291Y1_004998-T1	DBVPG3775_005033-T1
GF00000074	TFCN17291Y1_001313-T1	DBVPG3775_005791-T1
GF00000075	TFCN17291Y1_009397-T1	DBVPG3775_007105-T1
GF00000076	TFCN17291Y1_001178-T1	DBVPG3775_001025-T1
GF00000077	TFCN17291Y1_006520-T1	DBVPG3775_005324-T1
GF00000078	TFCN17291Y1_006079-T1	DBVPG3775_005163-T1
GF00000079	TFCN17291Y1_005905-T1	DBVPG3775_005736-T1
GF00000080	TFCN17291Y1_000687-T1	DBVPG3775_005080-T1
GF00000081	TFCN17291Y1_000413-T1	DBVPG3775_000257-T1
GF00000082	TFCN17291Y1_003288-T1	DBVPG3775_003162-T1
