	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN17291Y1_000708-T1, TFCN17291Y1_008826-T1, TFCN17291Y1_005676-T1, TFCN17291Y1_004264-T1, TFCN17291Y1_010158-T1, TFCN17291Y1_005063-T1, TFCN17291Y1_004195-T1, TFCN17291Y1_002450-T1, TFCN17291Y1_004154-T1, TFCN17291Y1_005768-T1, TFCN17291Y1_001835-T1, TFCN17291Y1_003875-T1, TFCN17291Y1_010278-T1, TFCN17291Y1_003669-T1, TFCN17291Y1_001901-T1, TFCN17291Y1_001625-T1, TFCN17291Y1_001982-T1, TFCN17291Y1_002759-T1, TFCN17291Y1_002624-T1, TFCN17291Y1_009066-T1, TFCN17291Y1_005388-T1, TFCN17291Y1_000299-T1, TFCN17291Y1_007840-T1, TFCN17291Y1_007255-T1, TFCN17291Y1_007201-T1, TFCN17291Y1_009936-T1, TFCN17291Y1_008570-T1, TFCN17291Y1_002231-T1, TFCN17291Y1_001095-T1, TFCN17291Y1_004778-T1, TFCN17291Y1_002048-T1, TFCN17291Y1_001094-T1, TFCN17291Y1_009100-T1, TFCN17291Y1_012923-T1, TFCN17291Y1_012280-T1, TFCN17291Y1_009250-T1, TFCN17291Y1_004982-T1, TFCN17291Y1_011352-T1, TFCN17291Y1_009033-T1, TFCN17291Y1_011284-T1, TFCN17291Y1_007216-T1, TFCN17291Y1_005912-T1, TFCN17291Y1_007903-T1, TFCN17291Y1_006960-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	TFCN17291Y1_000024-T1, TFCN17291Y1_004173-T1, TFCN17291Y1_010136-T1, TFCN17291Y1_012394-T1, TFCN17291Y1_006575-T1, TFCN17291Y1_000113-T1, TFCN17291Y1_000227-T1, TFCN17291Y1_006927-T1, TFCN17291Y1_004116-T1, TFCN17291Y1_000769-T1, TFCN17291Y1_004818-T1, TFCN17291Y1_006654-T1, TFCN17291Y1_005877-T1, TFCN17291Y1_012116-T1, TFCN17291Y1_012264-T1, TFCN17291Y1_006580-T1, TFCN17291Y1_006830-T1, TFCN17291Y1_003272-T1, TFCN17291Y1_001388-T1, TFCN17291Y1_003021-T1, TFCN17291Y1_004881-T1, TFCN17291Y1_003954-T1, TFCN17291Y1_000111-T1, TFCN17291Y1_000112-T1, TFCN17291Y1_005936-T1, TFCN17291Y1_010633-T1, TFCN17291Y1_003107-T1, TFCN17291Y1_010634-T1, TFCN17291Y1_012018-T1, TFCN17291Y1_002414-T1, TFCN17291Y1_006561-T1, TFCN17291Y1_004213-T1, TFCN17291Y1_002466-T1, TFCN17291Y1_010958-T1, TFCN17291Y1_002050-T1, TFCN17291Y1_012282-T1, TFCN17291Y1_003419-T1, TFCN17291Y1_010877-T1, TFCN17291Y1_012850-T1, TFCN17291Y1_011479-T1, TFCN17291Y1_011095-T1	DBVPG3775_000387-T1, DBVPG3775_000388-T1, DBVPG3775_000460-T1, DBVPG3775_000461-T1, DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005069-T1, DBVPG3775_005070-T1, DBVPG3775_005071-T1, DBVPG3775_005778-T1, DBVPG3775_005779-T1, DBVPG3775_005780-T1, DBVPG3775_005781-T1, DBVPG3775_005929-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000003	TFCN17291Y1_000452-T1, TFCN17291Y1_005979-T1, TFCN17291Y1_002685-T1, TFCN17291Y1_002816-T1, TFCN17291Y1_003581-T1, TFCN17291Y1_003185-T1, TFCN17291Y1_006014-T1, TFCN17291Y1_000493-T1, TFCN17291Y1_008369-T1, TFCN17291Y1_011116-T1, TFCN17291Y1_006420-T1, TFCN17291Y1_010774-T1, TFCN17291Y1_005167-T1, TFCN17291Y1_005410-T1, TFCN17291Y1_002469-T1, TFCN17291Y1_010272-T1, TFCN17291Y1_001894-T1, TFCN17291Y1_007227-T1, TFCN17291Y1_006970-T1, TFCN17291Y1_004298-T1, TFCN17291Y1_010726-T1, TFCN17291Y1_008913-T1, TFCN17291Y1_000593-T1, TFCN17291Y1_005488-T1, TFCN17291Y1_005187-T1, TFCN17291Y1_009629-T1, TFCN17291Y1_012554-T1, TFCN17291Y1_009328-T1, TFCN17291Y1_011330-T1, TFCN17291Y1_006266-T1, TFCN17291Y1_011043-T1, TFCN17291Y1_007421-T1, TFCN17291Y1_008334-T1, TFCN17291Y1_001895-T1, TFCN17291Y1_010992-T1, TFCN17291Y1_011525-T1	DBVPG3775_000052-T1, DBVPG3775_000170-T1, DBVPG3775_000215-T1, DBVPG3775_000333-T1, DBVPG3775_000354-T1, DBVPG3775_000872-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002129-T1, DBVPG3775_002787-T1, DBVPG3775_004136-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006266-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1, DBVPG3775_007143-T1
GF00000004	TFCN17291Y1_011929-T1, TFCN17291Y1_008137-T1, TFCN17291Y1_006414-T1, TFCN17291Y1_001045-T1, TFCN17291Y1_007337-T1, TFCN17291Y1_003967-T1, TFCN17291Y1_004895-T1, TFCN17291Y1_003832-T1, TFCN17291Y1_001935-T1, TFCN17291Y1_000982-T1, TFCN17291Y1_001559-T1, TFCN17291Y1_010996-T1, TFCN17291Y1_009362-T1, TFCN17291Y1_009896-T1, TFCN17291Y1_005889-T1, TFCN17291Y1_005819-T1, TFCN17291Y1_004053-T1, TFCN17291Y1_005670-T1, TFCN17291Y1_004270-T1, TFCN17291Y1_004134-T1, TFCN17291Y1_005895-T1, TFCN17291Y1_004128-T1, TFCN17291Y1_003043-T1, TFCN17291Y1_009374-T1, TFCN17291Y1_003029-T1, TFCN17291Y1_009315-T1, TFCN17291Y1_003422-T1, TFCN17291Y1_010880-T1, TFCN17291Y1_011085-T1, TFCN17291Y1_002425-T1, TFCN17291Y1_001749-T1, TFCN17291Y1_009677-T1, TFCN17291Y1_009666-T1, TFCN17291Y1_011440-T1, TFCN17291Y1_010881-T1	DBVPG3775_000661-T1, DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_005327-T1, DBVPG3775_005341-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000005	TFCN17291Y1_006849-T1, TFCN17291Y1_001370-T1, TFCN17291Y1_004736-T1, TFCN17291Y1_003296-T1, TFCN17291Y1_003297-T1, TFCN17291Y1_003298-T1, TFCN17291Y1_009200-T1, TFCN17291Y1_012075-T1, TFCN17291Y1_009198-T1, TFCN17291Y1_009180-T1, TFCN17291Y1_012074-T1, TFCN17291Y1_009199-T1, TFCN17291Y1_009197-T1, TFCN17291Y1_009179-T1, TFCN17291Y1_009051-T1, TFCN17291Y1_009790-T1, TFCN17291Y1_009052-T1, TFCN17291Y1_009181-T1, TFCN17291Y1_006345-T1, TFCN17291Y1_009439-T1, TFCN17291Y1_002908-T1, TFCN17291Y1_012076-T1, TFCN17291Y1_009778-T1, TFCN17291Y1_010366-T1, TFCN17291Y1_005431-T1, TFCN17291Y1_012078-T1, TFCN17291Y1_012077-T1	DBVPG3775_001472-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1
GF00000006	TFCN17291Y1_003750-T1, TFCN17291Y1_004429-T1, TFCN17291Y1_003787-T1, TFCN17291Y1_008025-T1, TFCN17291Y1_008024-T1, TFCN17291Y1_007998-T1, TFCN17291Y1_004417-T1, TFCN17291Y1_008019-T1, TFCN17291Y1_008016-T1, TFCN17291Y1_003795-T1, TFCN17291Y1_007999-T1, TFCN17291Y1_008023-T1, TFCN17291Y1_007730-T1, TFCN17291Y1_008015-T1, TFCN17291Y1_004381-T1, TFCN17291Y1_005227-T1, TFCN17291Y1_003793-T1, TFCN17291Y1_003788-T1, TFCN17291Y1_008017-T1, TFCN17291Y1_009860-T1, TFCN17291Y1_004428-T1, TFCN17291Y1_004382-T1, TFCN17291Y1_005226-T1	DBVPG3775_001053-T1, DBVPG3775_001054-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004390-T1, DBVPG3775_004391-T1, DBVPG3775_004396-T1, DBVPG3775_004397-T1, DBVPG3775_004398-T1, DBVPG3775_004399-T1, DBVPG3775_004400-T1, DBVPG3775_004439-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1, DBVPG3775_005716-T1
GF00000007	TFCN17291Y1_007755-T1, TFCN17291Y1_012262-T1, TFCN17291Y1_001036-T1, TFCN17291Y1_001821-T1, TFCN17291Y1_012114-T1, TFCN17291Y1_005754-T1, TFCN17291Y1_009600-T1, TFCN17291Y1_009514-T1, TFCN17291Y1_004245-T1, TFCN17291Y1_002503-T1, TFCN17291Y1_002957-T1, TFCN17291Y1_003210-T1, TFCN17291Y1_005584-T1, TFCN17291Y1_007521-T1, TFCN17291Y1_003072-T1, TFCN17291Y1_011618-T1, TFCN17291Y1_007847-T1, TFCN17291Y1_003143-T1, TFCN17291Y1_003255-T1, TFCN17291Y1_008470-T1, TFCN17291Y1_002317-T1, TFCN17291Y1_008953-T1, TFCN17291Y1_007473-T1, TFCN17291Y1_003002-T1, TFCN17291Y1_001175-T1, TFCN17291Y1_006691-T1, TFCN17291Y1_004859-T1, TFCN17291Y1_004299-T1, TFCN17291Y1_010727-T1, TFCN17291Y1_007520-T1	DBVPG3775_000507-T1, DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_004172-T1, DBVPG3775_005307-T1, DBVPG3775_005617-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_006799-T1, DBVPG3775_007532-T1
GF00000008	TFCN17291Y1_006550-T1, TFCN17291Y1_005538-T1, TFCN17291Y1_012269-T1, TFCN17291Y1_010391-T1, TFCN17291Y1_005545-T1, TFCN17291Y1_005555-T1, TFCN17291Y1_005552-T1, TFCN17291Y1_012276-T1, TFCN17291Y1_012278-T1, TFCN17291Y1_005550-T1, TFCN17291Y1_007531-T1, TFCN17291Y1_005594-T1, TFCN17291Y1_005565-T1, TFCN17291Y1_005546-T1, TFCN17291Y1_007505-T1, TFCN17291Y1_005554-T1, TFCN17291Y1_005566-T1, TFCN17291Y1_005547-T1, TFCN17291Y1_011814-T1, TFCN17291Y1_005593-T1, TFCN17291Y1_007530-T1, TFCN17291Y1_007546-T1	DBVPG3775_001372-T1, DBVPG3775_001378-T1, DBVPG3775_003924-T1, DBVPG3775_005565-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005628-T1, DBVPG3775_005629-T1, DBVPG3775_007341-T1, DBVPG3775_007342-T1
GF00000009	TFCN17291Y1_005679-T1, TFCN17291Y1_007186-T1, TFCN17291Y1_001379-T1, TFCN17291Y1_006839-T1, TFCN17291Y1_004261-T1, TFCN17291Y1_012458-T1, TFCN17291Y1_003472-T1, TFCN17291Y1_007268-T1, TFCN17291Y1_003470-T1, TFCN17291Y1_010418-T1, TFCN17291Y1_012092-T1, TFCN17291Y1_001247-T1, TFCN17291Y1_004645-T1, TFCN17291Y1_011115-T1, TFCN17291Y1_006421-T1, TFCN17291Y1_008997-T1, TFCN17291Y1_009055-T1, TFCN17291Y1_012071-T1, TFCN17291Y1_005571-T1, TFCN17291Y1_012211-T1, TFCN17291Y1_012106-T1, TFCN17291Y1_010053-T1, TFCN17291Y1_006399-T1, TFCN17291Y1_008996-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_003371-T1, DBVPG3775_003779-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004632-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1
GF00000010	TFCN17291Y1_000007-T1, TFCN17291Y1_000673-T1, TFCN17291Y1_003922-T1, TFCN17291Y1_006747-T1, TFCN17291Y1_001803-T1, TFCN17291Y1_005630-T1, TFCN17291Y1_006038-T1, TFCN17291Y1_006042-T1, TFCN17291Y1_002030-T1, TFCN17291Y1_004833-T1, TFCN17291Y1_006666-T1, TFCN17291Y1_008099-T1, TFCN17291Y1_009023-T1, TFCN17291Y1_010303-T1, TFCN17291Y1_007076-T1, TFCN17291Y1_005626-T1, TFCN17291Y1_000359-T1, TFCN17291Y1_006748-T1, TFCN17291Y1_009794-T1, TFCN17291Y1_009773-T1, TFCN17291Y1_004442-T1, TFCN17291Y1_003763-T1	DBVPG3775_000011-T1, DBVPG3775_002284-T1, DBVPG3775_002985-T1, DBVPG3775_002986-T1, DBVPG3775_002987-T1, DBVPG3775_003133-T1, DBVPG3775_004425-T1, DBVPG3775_006042-T1, DBVPG3775_006046-T1, DBVPG3775_006573-T1, DBVPG3775_006709-T1, DBVPG3775_007551-T1
