	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN1702E3902_000497-T1	DBVPG3775_001425-T1
GF00000002	TFCN1702E3902_003318-T1	DBVPG3775_004172-T1
GF00000003	TFCN1702E3902_011496-T1	DBVPG3775_001644-T1
GF00000004	TFCN1702E3902_003033-T1	DBVPG3775_001973-T1
GF00000005	TFCN1702E3902_003284-T1	DBVPG3775_004132-T1
GF00000006	TFCN1702E3902_000214-T1	DBVPG3775_002003-T1
GF00000007	TFCN1702E3902_003025-T1	DBVPG3775_000606-T1
GF00000008	TFCN1702E3902_011144-T1	DBVPG3775_005585-T1
GF00000009	TFCN1702E3902_008167-T1	DBVPG3775_006585-T1
GF00000010	TFCN1702E3902_002813-T1	DBVPG3775_000780-T1
GF00000011	TFCN1702E3902_004284-T1	DBVPG3775_004398-T1
GF00000012	TFCN1702E3902_008556-T1	DBVPG3775_004041-T1
GF00000013	TFCN1702E3902_002580-T1	DBVPG3775_000220-T1
GF00000014	TFCN1702E3902_003922-T1	DBVPG3775_002987-T1
GF00000015	TFCN1702E3902_012317-T1	DBVPG3775_000902-T1
GF00000016	TFCN1702E3902_006826-T1	DBVPG3775_003781-T1
GF00000017	TFCN1702E3902_005315-T1	DBVPG3775_006246-T1
GF00000018	TFCN1702E3902_009979-T1	DBVPG3775_000926-T1
GF00000019	TFCN1702E3902_004464-T1	DBVPG3775_007326-T1
GF00000020	TFCN1702E3902_004458-T1	DBVPG3775_000357-T1
GF00000021	TFCN1702E3902_002275-T1	DBVPG3775_002916-T1
GF00000022	TFCN1702E3902_005034-T1	DBVPG3775_004622-T1
GF00000023	TFCN1702E3902_009007-T1	DBVPG3775_005960-T1
GF00000024	TFCN1702E3902_007119-T1	DBVPG3775_003162-T1
GF00000025	TFCN1702E3902_004306-T1	DBVPG3775_004369-T1
GF00000026	TFCN1702E3902_003287-T1	DBVPG3775_004138-T1
GF00000027	TFCN1702E3902_008333-T1	DBVPG3775_002812-T1
GF00000028	TFCN1702E3902_011474-T1	DBVPG3775_001688-T1
GF00000029	TFCN1702E3902_009267-T1	DBVPG3775_006836-T1
GF00000030	TFCN1702E3902_000598-T1	DBVPG3775_000924-T1
GF00000031	TFCN1702E3902_007296-T1	DBVPG3775_003326-T1
GF00000032	TFCN1702E3902_002880-T1	DBVPG3775_007088-T1
GF00000033	TFCN1702E3902_010523-T1	DBVPG3775_005693-T1
GF00000034	TFCN1702E3902_005208-T1	DBVPG3775_006341-T1
GF00000035	TFCN1702E3902_001535-T1	DBVPG3775_002523-T1
GF00000036	TFCN1702E3902_005327-T1	DBVPG3775_006281-T1
GF00000037	TFCN1702E3902_000447-T1	DBVPG3775_001370-T1
GF00000038	TFCN1702E3902_007326-T1	DBVPG3775_000387-T1
GF00000039	TFCN1702E3902_000113-T1	DBVPG3775_001893-T1
GF00000040	TFCN1702E3902_000860-T1	DBVPG3775_004038-T1
GF00000041	TFCN1702E3902_004517-T1	DBVPG3775_002218-T1
GF00000042	TFCN1702E3902_002704-T1	DBVPG3775_000082-T1
GF00000043	TFCN1702E3902_012450-T1	DBVPG3775_004957-T1
GF00000044	TFCN1702E3902_001831-T1	DBVPG3775_005166-T1
GF00000045	TFCN1702E3902_005484-T1	DBVPG3775_005791-T1
GF00000046	TFCN1702E3902_004521-T1	DBVPG3775_000916-T1
GF00000047	TFCN1702E3902_004597-T1	DBVPG3775_001834-T1
GF00000048	TFCN1702E3902_005639-T1	DBVPG3775_002206-T1
GF00000049	TFCN1702E3902_000251-T1	DBVPG3775_002043-T1
GF00000050	TFCN1702E3902_001169-T1	DBVPG3775_007226-T1
GF00000051	TFCN1702E3902_010618-T1	DBVPG3775_001451-T1
GF00000052	TFCN1702E3902_007002-T1	DBVPG3775_000466-T1
GF00000053	TFCN1702E3902_006051-T1	DBVPG3775_002869-T1
GF00000054	TFCN1702E3902_002051-T1	DBVPG3775_000754-T1
GF00000055	TFCN1702E3902_003132-T1	DBVPG3775_006388-T1
GF00000056	TFCN1702E3902_003884-T1	DBVPG3775_002941-T1
GF00000057	TFCN1702E3902_012489-T1	DBVPG3775_000444-T1
GF00000058	TFCN1702E3902_003852-T1	DBVPG3775_003520-T1
GF00000059	TFCN1702E3902_008148-T1	DBVPG3775_006563-T1
GF00000060	TFCN1702E3902_001294-T1	DBVPG3775_000993-T1
GF00000061	TFCN1702E3902_001075-T1	DBVPG3775_005080-T1
GF00000062	TFCN1702E3902_008104-T1	DBVPG3775_003881-T1
GF00000063	TFCN1702E3902_002519-T1	DBVPG3775_005295-T1
GF00000064	TFCN1702E3902_010507-T1	DBVPG3775_004141-T1
GF00000065	TFCN1702E3902_005212-T1	DBVPG3775_006345-T1
GF00000066	TFCN1702E3902_007362-T1	DBVPG3775_005736-T1
GF00000067	TFCN1702E3902_009389-T1	DBVPG3775_003172-T1
GF00000068	TFCN1702E3902_001744-T1	DBVPG3775_005408-T1
GF00000069	TFCN1702E3902_004991-T1	DBVPG3775_001088-T1
GF00000070	TFCN1702E3902_002182-T1	DBVPG3775_004903-T1
GF00000071	TFCN1702E3902_001391-T1	DBVPG3775_001251-T1
GF00000072	TFCN1702E3902_001695-T1	DBVPG3775_001025-T1
GF00000073	TFCN1702E3902_008369-T1	DBVPG3775_000026-T1
GF00000074	TFCN1702E3902_005909-T1	DBVPG3775_004717-T1
GF00000075	TFCN1702E3902_008416-T1	DBVPG3775_002338-T1
GF00000076	TFCN1702E3902_008562-T1	DBVPG3775_007318-T1
GF00000077	TFCN1702E3902_010455-T1	DBVPG3775_003261-T1
GF00000078	TFCN1702E3902_011914-T1	DBVPG3775_003422-T1
GF00000079	TFCN1702E3902_011241-T1	DBVPG3775_000792-T1
GF00000080	TFCN1702E3902_003656-T1	DBVPG3775_004521-T1
GF00000081	TFCN1702E3902_002624-T1	DBVPG3775_004136-T1
GF00000082	TFCN1702E3902_008592-T1	DBVPG3775_000027-T1
GF00000083	TFCN1702E3902_000381-T1	DBVPG3775_005599-T1
GF00000084	TFCN1702E3902_001842-T1	DBVPG3775_001404-T1
GF00000085	TFCN1702E3902_002140-T1	DBVPG3775_004847-T1
GF00000086	TFCN1702E3902_001040-T1	DBVPG3775_002226-T1
GF00000087	TFCN1702E3902_003045-T1	DBVPG3775_005163-T1
GF00000088	TFCN1702E3902_002812-T1	DBVPG3775_002577-T1
GF00000089	TFCN1702E3902_005197-T1	DBVPG3775_001830-T1
GF00000090	TFCN1702E3902_012040-T1	DBVPG3775_006961-T1
GF00000091	TFCN1702E3902_008744-T1	DBVPG3775_003328-T1
GF00000092	TFCN1702E3902_009170-T1	DBVPG3775_002579-T1
GF00000093	TFCN1702E3902_008907-T1	DBVPG3775_005829-T1
GF00000094	TFCN1702E3902_006815-T1	DBVPG3775_003794-T1
GF00000095	TFCN1702E3902_006264-T1	DBVPG3775_004544-T1
GF00000096	TFCN1702E3902_001143-T1	DBVPG3775_001962-T1
GF00000097	TFCN1702E3902_000273-T1	DBVPG3775_000368-T1
GF00000098	TFCN1702E3902_001279-T1	DBVPG3775_002210-T1
GF00000099	TFCN1702E3902_000790-T1	DBVPG3775_000842-T1
GF00000100	TFCN1702E3902_006923-T1	DBVPG3775_006818-T1
GF00000101	TFCN1702E3902_003664-T1	DBVPG3775_007483-T1
GF00000102	TFCN1702E3902_006817-T1	DBVPG3775_003792-T1
GF00000103	TFCN1702E3902_006824-T1	DBVPG3775_003785-T1
GF00000104	TFCN1702E3902_011292-T1	DBVPG3775_003742-T1
GF00000105	TFCN1702E3902_003886-T1	DBVPG3775_003134-T1
GF00000106	TFCN1702E3902_005683-T1	DBVPG3775_002257-T1
GF00000107	TFCN1702E3902_005309-T1	DBVPG3775_007105-T1
GF00000108	TFCN1702E3902_002545-T1	DBVPG3775_005324-T1
GF00000109	TFCN1702E3902_003351-T1	DBVPG3775_004080-T1
GF00000110	TFCN1702E3902_003732-T1	DBVPG3775_005157-T1
GF00000111	TFCN1702E3902_008300-T1	DBVPG3775_001677-T1
GF00000112	TFCN1702E3902_012952-T1	DBVPG3775_006959-T1
GF00000113	TFCN1702E3902_005846-T1	DBVPG3775_006650-T1
GF00000114	TFCN1702E3902_003425-T1	DBVPG3775_004301-T1
GF00000115	TFCN1702E3902_002172-T1	DBVPG3775_004887-T1
GF00000116	TFCN1702E3902_010575-T1	DBVPG3775_006241-T1
GF00000117	TFCN1702E3902_012766-T1	DBVPG3775_000270-T1
GF00000118	TFCN1702E3902_001071-T1	DBVPG3775_002677-T1
GF00000119	TFCN1702E3902_007807-T1	DBVPG3775_001056-T1
GF00000120	TFCN1702E3902_008614-T1	DBVPG3775_001719-T1
GF00000121	TFCN1702E3902_010391-T1	DBVPG3775_002294-T1
GF00000122	TFCN1702E3902_004401-T1	DBVPG3775_005084-T1
GF00000123	TFCN1702E3902_007129-T1	DBVPG3775_006420-T1
GF00000124	TFCN1702E3902_002241-T1	DBVPG3775_007423-T1
GF00000125	TFCN1702E3902_009338-T1	DBVPG3775_004760-T1
GF00000126	TFCN1702E3902_003904-T1	DBVPG3775_002964-T1
GF00000127	TFCN1702E3902_002607-T1	DBVPG3775_000191-T1
GF00000128	TFCN1702E3902_002640-T1	DBVPG3775_000153-T1
GF00000129	TFCN1702E3902_002687-T1	DBVPG3775_004097-T1
GF00000130	TFCN1702E3902_003188-T1	DBVPG3775_003358-T1
