	Rhodotorula_mucilaginosa_TFCN_17-334D-6.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN17334D6_005191-T1	DBVPG3775_001425-T1
GF00000002	TFCN17334D6_013300-T1	DBVPG3775_002003-T1
GF00000003	TFCN17334D6_005926-T1	DBVPG3775_001973-T1
GF00000004	TFCN17334D6_010657-T1	DBVPG3775_006827-T1
GF00000005	TFCN17334D6_000394-T1	DBVPG3775_004172-T1
GF00000006	TFCN17334D6_010706-T1	DBVPG3775_002321-T1
GF00000007	TFCN17334D6_003563-T1	DBVPG3775_001734-T1
GF00000008	TFCN17334D6_009161-T1	DBVPG3775_005585-T1
GF00000009	TFCN17334D6_001385-T1	DBVPG3775_004453-T1
GF00000010	TFCN17334D6_002608-T1	DBVPG3775_003781-T1
GF00000011	TFCN17334D6_008781-T1	DBVPG3775_000780-T1
GF00000012	TFCN17334D6_004455-T1	DBVPG3775_004957-T1
GF00000013	TFCN17334D6_011790-T1	DBVPG3775_002987-T1
GF00000014	TFCN17334D6_000815-T1	DBVPG3775_000220-T1
GF00000015	TFCN17334D6_002896-T1	DBVPG3775_006246-T1
GF00000016	TFCN17334D6_001281-T1	DBVPG3775_006585-T1
GF00000017	TFCN17334D6_004985-T1	DBVPG3775_000902-T1
GF00000018	TFCN17334D6_011194-T1	DBVPG3775_000926-T1
GF00000019	TFCN17334D6_001298-T1	DBVPG3775_005206-T1
GF00000020	TFCN17334D6_010913-T1	DBVPG3775_001893-T1
GF00000021	TFCN17334D6_009094-T1	DBVPG3775_002916-T1
GF00000022	TFCN17334D6_011955-T1	DBVPG3775_004041-T1
GF00000023	TFCN17334D6_003024-T1	DBVPG3775_000357-T1
GF00000024	TFCN17334D6_002110-T1	DBVPG3775_005902-T1
GF00000025	TFCN17334D6_003548-T1	DBVPG3775_001719-T1
GF00000026	TFCN17334D6_003825-T1	DBVPG3775_001426-T1
GF00000027	TFCN17334D6_010715-T1	DBVPG3775_002328-T1
GF00000028	TFCN17334D6_012440-T1	DBVPG3775_003326-T1
GF00000029	TFCN17334D6_008228-T1	DBVPG3775_005693-T1
GF00000030	TFCN17334D6_004887-T1	DBVPG3775_007326-T1
GF00000031	TFCN17334D6_009892-T1	DBVPG3775_002812-T1
GF00000032	TFCN17334D6_010095-T1	DBVPG3775_004141-T1
GF00000033	TFCN17334D6_006617-T1	DBVPG3775_002869-T1
GF00000034	TFCN17334D6_002425-T1	DBVPG3775_003162-T1
GF00000035	TFCN17334D6_004962-T1	DBVPG3775_000924-T1
GF00000036	TFCN17334D6_010904-T1	DBVPG3775_001902-T1
GF00000037	TFCN17334D6_003246-T1	DBVPG3775_004622-T1
GF00000038	TFCN17334D6_008432-T1	DBVPG3775_006836-T1
GF00000039	TFCN17334D6_009557-T1	DBVPG3775_005960-T1
GF00000040	TFCN17334D6_006245-T1	DBVPG3775_000026-T1
GF00000041	TFCN17334D6_013450-T1	DBVPG3775_005321-T1
