	Rhodotorula_mucilaginosa_RIT389.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	RIT389_000258-T1, RIT389_012677-T1, RIT389_008247-T1, RIT389_002302-T1, RIT389_005414-T1, RIT389_001617-T1, RIT389_006619-T1, RIT389_000729-T1, RIT389_000444-T1, RIT389_000407-T1, RIT389_010619-T1, RIT389_009184-T1, RIT389_002357-T1, RIT389_003288-T1, RIT389_003080-T1, RIT389_014378-T1, RIT389_004257-T1, RIT389_009385-T1, RIT389_004571-T1, RIT389_002682-T1, RIT389_002732-T1, RIT389_007694-T1, RIT389_009663-T1, RIT389_009168-T1, RIT389_006824-T1, RIT389_007092-T1, RIT389_003192-T1, RIT389_014616-T1, RIT389_006806-T1, RIT389_009766-T1, RIT389_014551-T1, RIT389_013407-T1, RIT389_011670-T1, RIT389_001318-T1, RIT389_001264-T1, RIT389_006094-T1, RIT389_013097-T1, RIT389_011537-T1, RIT389_014611-T1, RIT389_013414-T1, RIT389_014753-T1, RIT389_010034-T1, RIT389_003958-T1, RIT389_014954-T1, RIT389_003037-T1, RIT389_010995-T1, RIT389_005864-T1, RIT389_005682-T1, RIT389_014726-T1, RIT389_003957-T1, RIT389_010693-T1, RIT389_006378-T1, RIT389_011964-T1, RIT389_006767-T1, RIT389_015127-T1, RIT389_015052-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	RIT389_000058-T1, RIT389_003465-T1, RIT389_000059-T1, RIT389_009263-T1, RIT389_008844-T1, RIT389_001504-T1, RIT389_000080-T1, RIT389_011196-T1, RIT389_009311-T1, RIT389_004774-T1, RIT389_010293-T1, RIT389_012711-T1, RIT389_007884-T1, RIT389_003599-T1, RIT389_005601-T1, RIT389_008410-T1, RIT389_005343-T1, RIT389_004259-T1, RIT389_000732-T1, RIT389_006622-T1, RIT389_007889-T1, RIT389_006278-T1, RIT389_002199-T1, RIT389_013569-T1, RIT389_013354-T1, RIT389_007178-T1, RIT389_010153-T1, RIT389_003396-T1, RIT389_009331-T1, RIT389_012416-T1, RIT389_013341-T1, RIT389_009515-T1, RIT389_002156-T1, RIT389_012195-T1, RIT389_008567-T1, RIT389_008415-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_002321-T1, DBVPG3775_003371-T1, DBVPG3775_003524-T1, DBVPG3775_003779-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006438-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1, DBVPG3775_007162-T1
GF00000003	RIT389_000388-T1, RIT389_009141-T1, RIT389_013791-T1, RIT389_010548-T1, RIT389_010488-T1, RIT389_007280-T1, RIT389_007037-T1, RIT389_012789-T1, RIT389_008361-T1, RIT389_013881-T1, RIT389_007070-T1, RIT389_014416-T1, RIT389_010413-T1, RIT389_000431-T1, RIT389_013716-T1, RIT389_000469-T1, RIT389_002104-T1, RIT389_001888-T1, RIT389_004419-T1, RIT389_012662-T1, RIT389_003663-T1, RIT389_005909-T1, RIT389_001909-T1, RIT389_004497-T1, RIT389_001560-T1, RIT389_007935-T1, RIT389_010605-T1, RIT389_001555-T1, RIT389_009624-T1, RIT389_004389-T1, RIT389_004176-T1, RIT389_012828-T1, RIT389_013987-T1, RIT389_009170-T1, RIT389_010462-T1, RIT389_010704-T1	DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005071-T1, DBVPG3775_005929-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000004	RIT389_000043-T1, RIT389_009134-T1, RIT389_013956-T1, RIT389_008860-T1, RIT389_010100-T1, RIT389_008437-T1, RIT389_013275-T1, RIT389_010416-T1, RIT389_002850-T1, RIT389_002973-T1, RIT389_000993-T1, RIT389_004399-T1, RIT389_006436-T1, RIT389_003155-T1, RIT389_009720-T1, RIT389_010368-T1, RIT389_012402-T1, RIT389_009637-T1, RIT389_005550-T1, RIT389_001833-T1, RIT389_007611-T1, RIT389_007991-T1, RIT389_006171-T1, RIT389_004796-T1, RIT389_012164-T1, RIT389_006100-T1, RIT389_012794-T1, RIT389_002741-T1, RIT389_012981-T1, RIT389_009581-T1, RIT389_009905-T1, RIT389_004398-T1, RIT389_007990-T1, RIT389_007963-T1, RIT389_009638-T1	DBVPG3775_000122-T1, DBVPG3775_000507-T1, DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_004172-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_007532-T1
GF00000005	RIT389_013909-T1, RIT389_013752-T1, RIT389_013593-T1, RIT389_009279-T1, RIT389_000583-T1, RIT389_007015-T1, RIT389_000589-T1, RIT389_007021-T1, RIT389_001216-T1, RIT389_008557-T1, RIT389_004109-T1, RIT389_010747-T1, RIT389_005361-T1, RIT389_009095-T1, RIT389_010571-T1, RIT389_011618-T1, RIT389_005335-T1, RIT389_014721-T1, RIT389_012263-T1, RIT389_014723-T1, RIT389_006555-T1, RIT389_001919-T1, RIT389_001818-T1, RIT389_003768-T1, RIT389_014468-T1, RIT389_006501-T1, RIT389_000723-T1, RIT389_010465-T1, RIT389_004179-T1, RIT389_001933-T1, RIT389_005761-T1, RIT389_009423-T1, RIT389_010466-T1	DBVPG3775_000661-T1, DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000006	RIT389_000090-T1, RIT389_001494-T1, RIT389_000371-T1, RIT389_004611-T1, RIT389_004610-T1, RIT389_004612-T1, RIT389_010593-T1, RIT389_002430-T1, RIT389_010594-T1, RIT389_010322-T1, RIT389_010592-T1, RIT389_013110-T1, RIT389_002429-T1, RIT389_002428-T1, RIT389_002431-T1, RIT389_002873-T1, RIT389_010321-T1, RIT389_010595-T1, RIT389_002061-T1, RIT389_012651-T1, RIT389_006152-T1, RIT389_006230-T1, RIT389_005810-T1, RIT389_001742-T1, RIT389_013111-T1	DBVPG3775_001472-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1
GF00000007	RIT389_000029-T1, RIT389_008927-T1, RIT389_009372-T1, RIT389_010715-T1, RIT389_003652-T1, RIT389_009366-T1, RIT389_000030-T1, RIT389_008422-T1, RIT389_000065-T1, RIT389_012092-T1, RIT389_009359-T1, RIT389_009360-T1, RIT389_000064-T1, RIT389_008926-T1, RIT389_003451-T1, RIT389_009371-T1, RIT389_009363-T1, RIT389_003453-T1, RIT389_009370-T1, RIT389_009361-T1, RIT389_003462-T1, RIT389_003449-T1, RIT389_012110-T1, RIT389_011802-T1	DBVPG3775_001378-T1, DBVPG3775_003924-T1, DBVPG3775_005565-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005628-T1, DBVPG3775_005629-T1, DBVPG3775_007342-T1
GF00000008	RIT389_011365-T1, RIT389_011615-T1, RIT389_006373-T1, RIT389_002468-T1, RIT389_010824-T1, RIT389_004258-T1, RIT389_005342-T1, RIT389_012681-T1, RIT389_002675-T1, RIT389_004578-T1, RIT389_006083-T1, RIT389_001252-T1, RIT389_003900-T1, RIT389_007612-T1, RIT389_007964-T1, RIT389_011286-T1, RIT389_011873-T1, RIT389_007200-T1, RIT389_009548-T1, RIT389_003482-T1, RIT389_009793-T1, RIT389_005524-T1, RIT389_005168-T1, RIT389_008145-T1, RIT389_013927-T1, RIT389_003899-T1, RIT389_011004-T1	DBVPG3775_000052-T1, DBVPG3775_000354-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002787-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1
GF00000009	RIT389_001034-T1, RIT389_009115-T1, RIT389_014129-T1, RIT389_006870-T1, RIT389_012968-T1, RIT389_014130-T1, RIT389_001036-T1, RIT389_001035-T1, RIT389_012586-T1, RIT389_009116-T1, RIT389_011336-T1, RIT389_011017-T1, RIT389_012967-T1, RIT389_006661-T1, RIT389_014131-T1, RIT389_006871-T1, RIT389_011342-T1, RIT389_014132-T1	DBVPG3775_001053-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
GF00000010	RIT389_000078-T1, RIT389_001506-T1, RIT389_012016-T1, RIT389_007342-T1, RIT389_013770-T1, RIT389_002582-T1, RIT389_008695-T1, RIT389_011305-T1, RIT389_008325-T1, RIT389_001367-T1, RIT389_011038-T1, RIT389_013637-T1, RIT389_007053-T1, RIT389_012471-T1, RIT389_010302-T1, RIT389_002983-T1, RIT389_010424-T1, RIT389_009877-T1, RIT389_013794-T1, RIT389_006955-T1, RIT389_012811-T1, RIT389_002841-T1, RIT389_002840-T1	DBVPG3775_000746-T1, DBVPG3775_000867-T1, DBVPG3775_001094-T1, DBVPG3775_001752-T1, DBVPG3775_002017-T1, DBVPG3775_002532-T1, DBVPG3775_003309-T1, DBVPG3775_003781-T1, DBVPG3775_004768-T1, DBVPG3775_005244-T1, DBVPG3775_005784-T1
GF00000011	RIT389_001980-T1, RIT389_004430-T1, RIT389_007294-T1, RIT389_007295-T1, RIT389_008265-T1, RIT389_003566-T1, RIT389_001169-T1, RIT389_008433-T1, RIT389_012540-T1, RIT389_002867-T1, RIT389_008264-T1, RIT389_004755-T1, RIT389_012456-T1, RIT389_001962-T1, RIT389_013849-T1, RIT389_005135-T1, RIT389_001981-T1, RIT389_003565-T1, RIT389_013921-T1, RIT389_012951-T1, RIT389_008285-T1, RIT389_013578-T1	DBVPG3775_000020-T1, DBVPG3775_001365-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005271-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000012	RIT389_000270-T1, RIT389_003273-T1, RIT389_008829-T1, RIT389_008760-T1, RIT389_000313-T1, RIT389_007570-T1, RIT389_000700-T1, RIT389_001868-T1, RIT389_009542-T1, RIT389_009741-T1, RIT389_005975-T1, RIT389_008921-T1, RIT389_009538-T1, RIT389_009737-T1, RIT389_001971-T1, RIT389_008709-T1, RIT389_008641-T1, RIT389_003819-T1, RIT389_014693-T1, RIT389_001021-T1, RIT389_006832-T1, RIT389_008968-T1	DBVPG3775_000011-T1, DBVPG3775_002242-T1, DBVPG3775_002284-T1, DBVPG3775_002987-T1, DBVPG3775_003133-T1, DBVPG3775_004425-T1, DBVPG3775_006042-T1, DBVPG3775_006046-T1, DBVPG3775_006709-T1, DBVPG3775_007551-T1
GF00000013	RIT389_000115-T1, RIT389_006681-T1, RIT389_008387-T1, RIT389_005675-T1, RIT389_005857-T1, RIT389_006122-T1, RIT389_007170-T1, RIT389_000375-T1, RIT389_008582-T1, RIT389_011442-T1, RIT389_007789-T1, RIT389_010504-T1, RIT389_008605-T1, RIT389_000538-T1, RIT389_005031-T1, RIT389_000851-T1, RIT389_010411-T1, RIT389_000696-T1, RIT389_013736-T1, RIT389_007788-T1	DBVPG3775_000220-T1, DBVPG3775_002880-T1, DBVPG3775_003138-T1, DBVPG3775_003600-T1, DBVPG3775_003743-T1, DBVPG3775_004518-T1, DBVPG3775_006430-T1, DBVPG3775_006795-T1, DBVPG3775_006844-T1, DBVPG3775_006854-T1, DBVPG3775_007229-T1
GF00000014	RIT389_000216-T1, RIT389_010796-T1, RIT389_000647-T1, RIT389_013519-T1, RIT389_005127-T1, RIT389_007228-T1, RIT389_002690-T1, RIT389_004563-T1, RIT389_001277-T1, RIT389_013041-T1, RIT389_002715-T1, RIT389_000946-T1, RIT389_003924-T1, RIT389_012203-T1, RIT389_004454-T1, RIT389_005903-T1, RIT389_008101-T1, RIT389_013548-T1, RIT389_003530-T1, RIT389_012084-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1
GF00000015	RIT389_000727-T1, RIT389_006497-T1, RIT389_003390-T1, RIT389_009337-T1, RIT389_014499-T1, RIT389_010179-T1, RIT389_000754-T1, RIT389_014508-T1, RIT389_014247-T1, RIT389_002504-T1, RIT389_005099-T1, RIT389_008467-T1, RIT389_008469-T1, RIT389_011029-T1, RIT389_008468-T1, RIT389_011027-T1, RIT389_011028-T1, RIT389_010939-T1, RIT389_008856-T1, RIT389_014498-T1	DBVPG3775_000902-T1, DBVPG3775_001968-T1, DBVPG3775_001969-T1, DBVPG3775_002547-T1, DBVPG3775_002548-T1, DBVPG3775_002549-T1, DBVPG3775_002633-T1, DBVPG3775_003491-T1, DBVPG3775_003530-T1, DBVPG3775_007393-T1
GF00000016	RIT389_000826-T1, RIT389_010763-T1, RIT389_003409-T1, RIT389_006313-T1, RIT389_008657-T1, RIT389_007606-T1, RIT389_008702-T1, RIT389_012525-T1, RIT389_005516-T1, RIT389_007110-T1, RIT389_002457-T1, RIT389_010846-T1, RIT389_011803-T1, RIT389_012109-T1, RIT389_013709-T1, RIT389_013662-T1, RIT389_010848-T1, RIT389_002460-T1, RIT389_008656-T1	DBVPG3775_000070-T1, DBVPG3775_000073-T1, DBVPG3775_000646-T1, DBVPG3775_002010-T1, DBVPG3775_003512-T1, DBVPG3775_004564-T1, DBVPG3775_005564-T1, DBVPG3775_006246-T1, DBVPG3775_007111-T1
GF00000017	RIT389_001917-T1, RIT389_001936-T1, RIT389_001937-T1, RIT389_008669-T1, RIT389_006054-T1, RIT389_004409-T1, RIT389_003165-T1, RIT389_010648-T1, RIT389_012012-T1, RIT389_012339-T1, RIT389_007339-T1, RIT389_006050-T1, RIT389_008665-T1, RIT389_005081-T1, RIT389_002555-T1, RIT389_006359-T1, RIT389_002315-T1, RIT389_002314-T1, RIT389_006360-T1	DBVPG3775_000922-T1, DBVPG3775_000926-T1, DBVPG3775_000959-T1, DBVPG3775_000979-T1, DBVPG3775_002364-T1, DBVPG3775_002438-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003039-T1
GF00000018	RIT389_012807-T1, RIT389_002586-T1, RIT389_005607-T1, RIT389_012806-T1, RIT389_001135-T1, RIT389_001134-T1, RIT389_006872-T1, RIT389_014702-T1, RIT389_003072-T1, RIT389_002405-T1, RIT389_012033-T1, RIT389_009909-T1, RIT389_008066-T1, RIT389_012075-T1, RIT389_007079-T1, RIT389_009907-T1, RIT389_009908-T1	DBVPG3775_004369-T1, DBVPG3775_005206-T1, DBVPG3775_005788-T1, DBVPG3775_006461-T1, DBVPG3775_006604-T1, DBVPG3775_006605-T1, DBVPG3775_007217-T1, DBVPG3775_007366-T1, DBVPG3775_007367-T1, DBVPG3775_007368-T1
GF00000019	RIT389_011809-T1, RIT389_012116-T1, RIT389_001280-T1, RIT389_013490-T1, RIT389_007503-T1, RIT389_000238-T1, RIT389_005458-T1, RIT389_006340-T1, RIT389_005471-T1, RIT389_015060-T1, RIT389_012795-T1, RIT389_006101-T1, RIT389_001604-T1, RIT389_006798-T1, RIT389_014273-T1, RIT389_010808-T1, RIT389_014438-T1, RIT389_012940-T1	DBVPG3775_001167-T1, DBVPG3775_001288-T1, DBVPG3775_001440-T1, DBVPG3775_001825-T1, DBVPG3775_002916-T1, DBVPG3775_003081-T1, DBVPG3775_005306-T1, DBVPG3775_005571-T1
GF00000020	RIT389_000813-T1, RIT389_008886-T1, RIT389_012359-T1, RIT389_012609-T1, RIT389_010746-T1, RIT389_004110-T1, RIT389_005986-T1, RIT389_006559-T1, RIT389_004162-T1, RIT389_014245-T1, RIT389_014788-T1, RIT389_005641-T1, RIT389_006422-T1, RIT389_004297-T1, RIT389_014243-T1, RIT389_014599-T1, RIT389_014657-T1, RIT389_015110-T1	DBVPG3775_000677-T1, DBVPG3775_001251-T1, DBVPG3775_001509-T1, DBVPG3775_001719-T1, DBVPG3775_004497-T1, DBVPG3775_005432-T1, DBVPG3775_006228-T1
GF00000021	RIT389_004463-T1, RIT389_009759-T1, RIT389_007615-T1, RIT389_007030-T1, RIT389_007965-T1, RIT389_007613-T1, RIT389_005937-T1, RIT389_007196-T1, RIT389_007031-T1, RIT389_007968-T1, RIT389_007288-T1, RIT389_007286-T1, RIT389_007197-T1, RIT389_007289-T1, RIT389_007967-T1, RIT389_007287-T1, RIT389_007285-T1	DBVPG3775_000357-T1, DBVPG3775_002000-T1, DBVPG3775_002002-T1, DBVPG3775_002382-T1, DBVPG3775_006698-T1, DBVPG3775_006699-T1, DBVPG3775_006700-T1, DBVPG3775_006701-T1
GF00000022	RIT389_001371-T1, RIT389_011034-T1, RIT389_012600-T1, RIT389_009051-T1, RIT389_010515-T1, RIT389_003810-T1, RIT389_002755-T1, RIT389_001519-T1, RIT389_010850-T1, RIT389_002462-T1, RIT389_008110-T1, RIT389_005893-T1, RIT389_003339-T1, RIT389_001859-T1, RIT389_001712-T1, RIT389_009027-T1	DBVPG3775_000068-T1, DBVPG3775_003889-T1, DBVPG3775_004041-T1, DBVPG3775_004212-T1, DBVPG3775_005248-T1, DBVPG3775_006550-T1, DBVPG3775_007311-T1, DBVPG3775_007478-T1
GF00000023	RIT389_000149-T1, RIT389_006550-T1, RIT389_007890-T1, RIT389_003502-T1, RIT389_004053-T1, RIT389_001903-T1, RIT389_002121-T1, RIT389_011563-T1, RIT389_006731-T1, RIT389_007839-T1, RIT389_008250-T1, RIT389_006159-T1, RIT389_010923-T1, RIT389_004253-T1, RIT389_009381-T1, RIT389_014491-T1	DBVPG3775_002812-T1, DBVPG3775_002951-T1, DBVPG3775_003096-T1, DBVPG3775_004329-T1, DBVPG3775_004630-T1, DBVPG3775_006174-T1, DBVPG3775_007584-T1
