	Rhodotorula_mucilaginosa_RIT389.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	RIT389_001617-T1	DBVPG3775_001425-T1
GF00000002	RIT389_010153-T1	DBVPG3775_002321-T1
GF00000003	RIT389_000388-T1	DBVPG3775_004132-T1
GF00000004	RIT389_002741-T1	DBVPG3775_004172-T1
GF00000005	RIT389_006501-T1	DBVPG3775_001973-T1
GF00000006	RIT389_002429-T1	DBVPG3775_006827-T1
GF00000007	RIT389_008927-T1	DBVPG3775_005585-T1
GF00000008	RIT389_007612-T1	DBVPG3775_002003-T1
GF00000009	RIT389_009115-T1	DBVPG3775_004453-T1
GF00000010	RIT389_000078-T1	DBVPG3775_003781-T1
GF00000011	RIT389_012540-T1	DBVPG3775_006585-T1
GF00000012	RIT389_008921-T1	DBVPG3775_002987-T1
GF00000013	RIT389_000538-T1	DBVPG3775_000220-T1
GF00000014	RIT389_012084-T1	DBVPG3775_000780-T1
GF00000015	RIT389_010939-T1	DBVPG3775_000902-T1
GF00000016	RIT389_012109-T1	DBVPG3775_006246-T1
GF00000017	RIT389_001917-T1	DBVPG3775_000979-T1
GF00000018	RIT389_007079-T1	DBVPG3775_005206-T1
GF00000019	RIT389_007503-T1	DBVPG3775_002916-T1
GF00000020	RIT389_004110-T1	DBVPG3775_001719-T1
GF00000021	RIT389_005937-T1	DBVPG3775_000357-T1
GF00000022	RIT389_005893-T1	DBVPG3775_004041-T1
GF00000023	RIT389_000149-T1	DBVPG3775_002812-T1
GF00000024	RIT389_002888-T1	DBVPG3775_004856-T1
GF00000025	RIT389_011745-T1	DBVPG3775_001893-T1
GF00000026	RIT389_004600-T1	DBVPG3775_003162-T1
GF00000027	RIT389_001616-T1	DBVPG3775_001426-T1
GF00000028	RIT389_006052-T1	DBVPG3775_000924-T1
GF00000029	RIT389_002815-T1	DBVPG3775_005960-T1
GF00000030	RIT389_013385-T1	DBVPG3775_001797-T1
GF00000031	RIT389_004546-T1	DBVPG3775_001834-T1
GF00000032	RIT389_010638-T1	DBVPG3775_007326-T1
GF00000033	RIT389_003400-T1	DBVPG3775_003520-T1
GF00000034	RIT389_010115-T1	DBVPG3775_003767-T1
GF00000035	RIT389_003551-T1	DBVPG3775_000170-T1
GF00000036	RIT389_007710-T1	DBVPG3775_003326-T1
GF00000037	RIT389_012816-T1	DBVPG3775_002869-T1
GF00000038	RIT389_011423-T1	DBVPG3775_002218-T1
GF00000039	RIT389_008428-T1	DBVPG3775_001370-T1
GF00000040	RIT389_014125-T1	DBVPG3775_005321-T1
GF00000041	RIT389_003600-T1	DBVPG3775_004622-T1
GF00000042	RIT389_012467-T1	DBVPG3775_003313-T1
GF00000043	RIT389_006057-T1	DBVPG3775_006341-T1
GF00000044	RIT389_009147-T1	DBVPG3775_004293-T1
GF00000045	RIT389_013963-T1	DBVPG3775_000026-T1
GF00000046	RIT389_005533-T1	DBVPG3775_002328-T1
GF00000047	RIT389_002308-T1	DBVPG3775_002941-T1
GF00000048	RIT389_005667-T1	DBVPG3775_006836-T1
GF00000049	RIT389_003106-T1	DBVPG3775_000387-T1
GF00000050	RIT389_006777-T1	DBVPG3775_002206-T1
GF00000051	RIT389_010886-T1	DBVPG3775_000467-T1
GF00000052	RIT389_009061-T1	DBVPG3775_001018-T1
GF00000053	RIT389_013705-T1	DBVPG3775_002043-T1
GF00000054	RIT389_004199-T1	DBVPG3775_005166-T1
GF00000055	RIT389_011176-T1	DBVPG3775_000993-T1
GF00000056	RIT389_009594-T1	DBVPG3775_004141-T1
GF00000057	RIT389_013159-T1	DBVPG3775_004521-T1
GF00000058	RIT389_002847-T1	DBVPG3775_001088-T1
GF00000059	RIT389_008951-T1	DBVPG3775_004308-T1
GF00000060	RIT389_004674-T1	DBVPG3775_007158-T1
GF00000061	RIT389_010163-T1	DBVPG3775_003881-T1
GF00000062	RIT389_006918-T1	DBVPG3775_007241-T1
GF00000063	RIT389_009173-T1	DBVPG3775_007132-T1
GF00000064	RIT389_008364-T1	DBVPG3775_003794-T1
GF00000065	RIT389_003030-T1	DBVPG3775_005736-T1
GF00000066	RIT389_008791-T1	DBVPG3775_005163-T1
GF00000067	RIT389_004843-T1	DBVPG3775_002226-T1
GF00000068	RIT389_006739-T1	DBVPG3775_004339-T1
GF00000069	RIT389_007580-T1	DBVPG3775_002294-T1
GF00000070	RIT389_012386-T1	DBVPG3775_006345-T1
GF00000071	RIT389_008888-T1	DBVPG3775_006959-T1
GF00000072	RIT389_003208-T1	DBVPG3775_000842-T1
GF00000073	RIT389_004628-T1	DBVPG3775_005324-T1
GF00000074	RIT389_002102-T1	DBVPG3775_005080-T1
GF00000075	RIT389_005880-T1	DBVPG3775_004717-T1
GF00000076	RIT389_008218-T1	DBVPG3775_000562-T1
GF00000077	RIT389_006623-T1	DBVPG3775_001962-T1
GF00000078	RIT389_012790-T1	DBVPG3775_003792-T1
GF00000079	RIT389_001778-T1	DBVPG3775_004080-T1
GF00000080	RIT389_003063-T1	DBVPG3775_001902-T1
