	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4.cds.fa
GF00000001	TFCN1702E3344_004278-T1, TFCN1702E3344_006675-T1, TFCN1702E3344_005137-T1, TFCN1702E3344_005651-T1, TFCN1702E3344_010717-T1, TFCN1702E3344_002056-T1, TFCN1702E3344_001249-T1, TFCN1702E3344_001730-T1, TFCN1702E3344_003992-T1, TFCN1702E3344_001504-T1, TFCN1702E3344_013638-T1, TFCN1702E3344_009417-T1, TFCN1702E3344_001096-T1, TFCN1702E3344_002009-T1, TFCN1702E3344_004565-T1, TFCN1702E3344_004728-T1, TFCN1702E3344_006278-T1, TFCN1702E3344_012499-T1, TFCN1702E3344_013922-T1, TFCN1702E3344_006632-T1, TFCN1702E3344_002285-T1, TFCN1702E3344_004914-T1, TFCN1702E3344_009732-T1, TFCN1702E3344_007443-T1, TFCN1702E3344_011953-T1, TFCN1702E3344_013252-T1, TFCN1702E3344_001960-T1, TFCN1702E3344_009499-T1, TFCN1702E3344_006805-T1, TFCN1702E3344_012734-T1, TFCN1702E3344_014656-T1, TFCN1702E3344_001045-T1, TFCN1702E3344_001631-T1, TFCN1702E3344_000954-T1, TFCN1702E3344_003660-T1, TFCN1702E3344_013294-T1, TFCN1702E3344_003523-T1, TFCN1702E3344_000953-T1
GF00000002	TFCN1702E3344_003199-T1, TFCN1702E3344_003310-T1, TFCN1702E3344_004808-T1, TFCN1702E3344_004830-T1, TFCN1702E3344_004807-T1, TFCN1702E3344_014136-T1, TFCN1702E3344_001366-T1, TFCN1702E3344_009606-T1, TFCN1702E3344_004829-T1, TFCN1702E3344_004806-T1, TFCN1702E3344_004809-T1, TFCN1702E3344_007494-T1, TFCN1702E3344_003068-T1, TFCN1702E3344_004831-T1, TFCN1702E3344_009142-T1, TFCN1702E3344_007341-T1, TFCN1702E3344_007340-T1, TFCN1702E3344_007338-T1, TFCN1702E3344_005827-T1, TFCN1702E3344_004805-T1, TFCN1702E3344_007339-T1, TFCN1702E3344_009141-T1, TFCN1702E3344_004784-T1, TFCN1702E3344_004785-T1, TFCN1702E3344_004638-T1, TFCN1702E3344_009158-T1, TFCN1702E3344_007493-T1, TFCN1702E3344_004835-T1, TFCN1702E3344_004834-T1, TFCN1702E3344_007492-T1, TFCN1702E3344_004833-T1, TFCN1702E3344_004832-T1, TFCN1702E3344_003200-T1
GF00000003	TFCN1702E3344_000818-T1, TFCN1702E3344_012435-T1, TFCN1702E3344_008123-T1, TFCN1702E3344_002672-T1, TFCN1702E3344_000795-T1, TFCN1702E3344_000779-T1, TFCN1702E3344_008448-T1, TFCN1702E3344_003589-T1, TFCN1702E3344_008082-T1, TFCN1702E3344_011150-T1, TFCN1702E3344_005630-T1, TFCN1702E3344_005617-T1, TFCN1702E3344_002714-T1, TFCN1702E3344_008856-T1, TFCN1702E3344_008442-T1, TFCN1702E3344_005700-T1, TFCN1702E3344_011808-T1, TFCN1702E3344_011125-T1, TFCN1702E3344_006762-T1, TFCN1702E3344_006312-T1, TFCN1702E3344_007608-T1, TFCN1702E3344_008622-T1, TFCN1702E3344_002621-T1, TFCN1702E3344_011639-T1, TFCN1702E3344_012251-T1, TFCN1702E3344_011156-T1, TFCN1702E3344_012436-T1, TFCN1702E3344_011157-T1
GF00000004	TFCN1702E3344_008842-T1, TFCN1702E3344_002700-T1, TFCN1702E3344_006077-T1, TFCN1702E3344_009540-T1, TFCN1702E3344_003162-T1, TFCN1702E3344_004614-T1, TFCN1702E3344_006072-T1, TFCN1702E3344_003335-T1, TFCN1702E3344_009458-T1, TFCN1702E3344_009463-T1, TFCN1702E3344_005016-T1, TFCN1702E3344_010165-T1, TFCN1702E3344_014308-T1, TFCN1702E3344_013539-T1, TFCN1702E3344_012036-T1, TFCN1702E3344_000548-T1, TFCN1702E3344_000869-T1, TFCN1702E3344_012661-T1, TFCN1702E3344_008111-T1, TFCN1702E3344_008430-T1, TFCN1702E3344_013691-T1, TFCN1702E3344_005641-T1, TFCN1702E3344_000768-T1, TFCN1702E3344_014113-T1, TFCN1702E3344_002682-T1
GF00000005	TFCN1702E3344_002529-T1, TFCN1702E3344_002484-T1, TFCN1702E3344_006434-T1, TFCN1702E3344_002472-T1, TFCN1702E3344_006433-T1, TFCN1702E3344_009881-T1, TFCN1702E3344_007794-T1, TFCN1702E3344_002539-T1, TFCN1702E3344_002535-T1, TFCN1702E3344_002485-T1, TFCN1702E3344_002473-T1, TFCN1702E3344_006435-T1, TFCN1702E3344_009014-T1, TFCN1702E3344_002538-T1, TFCN1702E3344_009269-T1, TFCN1702E3344_009878-T1, TFCN1702E3344_009857-T1, TFCN1702E3344_002559-T1, TFCN1702E3344_009270-T1, TFCN1702E3344_009858-T1, TFCN1702E3344_009859-T1, TFCN1702E3344_002558-T1
GF00000006	TFCN1702E3344_002324-T1, TFCN1702E3344_004875-T1, TFCN1702E3344_003471-T1, TFCN1702E3344_003385-T1, TFCN1702E3344_012166-T1, TFCN1702E3344_006850-T1, TFCN1702E3344_002500-T1, TFCN1702E3344_008906-T1, TFCN1702E3344_003467-T1, TFCN1702E3344_003381-T1, TFCN1702E3344_003148-T1, TFCN1702E3344_009435-T1, TFCN1702E3344_001143-T1, TFCN1702E3344_005190-T1, TFCN1702E3344_010185-T1, TFCN1702E3344_004996-T1, TFCN1702E3344_011379-T1, TFCN1702E3344_007100-T1, TFCN1702E3344_012445-T1
GF00000007	TFCN1702E3344_006993-T1, TFCN1702E3344_011251-T1, TFCN1702E3344_010620-T1, TFCN1702E3344_009331-T1, TFCN1702E3344_013049-T1, TFCN1702E3344_014455-T1, TFCN1702E3344_007746-T1, TFCN1702E3344_001178-T1, TFCN1702E3344_011734-T1, TFCN1702E3344_005326-T1, TFCN1702E3344_003637-T1, TFCN1702E3344_006356-T1, TFCN1702E3344_004316-T1, TFCN1702E3344_008298-T1, TFCN1702E3344_011327-T1, TFCN1702E3344_003548-T1, TFCN1702E3344_004977-T1, TFCN1702E3344_014087-T1, TFCN1702E3344_003547-T1
GF00000008	TFCN1702E3344_000777-T1, TFCN1702E3344_005632-T1, TFCN1702E3344_009281-T1, TFCN1702E3344_003668-T1, TFCN1702E3344_000758-T1, TFCN1702E3344_014560-T1, TFCN1702E3344_013302-T1, TFCN1702E3344_009314-T1, TFCN1702E3344_000714-T1, TFCN1702E3344_008942-T1, TFCN1702E3344_000718-T1, TFCN1702E3344_010883-T1, TFCN1702E3344_004927-T1, TFCN1702E3344_002272-T1, TFCN1702E3344_004926-T1, TFCN1702E3344_002273-T1, TFCN1702E3344_008397-T1, TFCN1702E3344_008017-T1
GF00000009	TFCN1702E3344_007069-T1, TFCN1702E3344_013425-T1, TFCN1702E3344_013201-T1, TFCN1702E3344_012413-T1, TFCN1702E3344_006736-T1, TFCN1702E3344_004627-T1, TFCN1702E3344_003321-T1, TFCN1702E3344_013592-T1, TFCN1702E3344_012966-T1, TFCN1702E3344_002604-T1, TFCN1702E3344_001246-T1, TFCN1702E3344_001727-T1, TFCN1702E3344_013989-T1, TFCN1702E3344_005777-T1, TFCN1702E3344_012418-T1, TFCN1702E3344_007074-T1, TFCN1702E3344_013170-T1, TFCN1702E3344_013169-T1
GF00000010	TFCN1702E3344_000422-T1, TFCN1702E3344_001061-T1, TFCN1702E3344_001976-T1, TFCN1702E3344_011945-T1, TFCN1702E3344_006253-T1, TFCN1702E3344_006563-T1, TFCN1702E3344_001883-T1, TFCN1702E3344_010393-T1, TFCN1702E3344_013260-T1, TFCN1702E3344_004706-T1, TFCN1702E3344_004752-T1, TFCN1702E3344_006731-T1, TFCN1702E3344_006301-T1, TFCN1702E3344_000875-T1, TFCN1702E3344_013352-T1, TFCN1702E3344_008524-T1, TFCN1702E3344_003710-T1
