	Rhodotorula_mucilaginosa_TFCN_22C-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN22C4_000207-T1	DBVPG3775_001425-T1
GF00000002	TFCN22C4_006943-T1	DBVPG3775_001973-T1
GF00000003	TFCN22C4_008417-T1	DBVPG3775_004172-T1
GF00000004	TFCN22C4_008456-T1	DBVPG3775_004132-T1
GF00000005	TFCN22C4_009092-T1	DBVPG3775_002321-T1
GF00000006	TFCN22C4_007175-T1	DBVPG3775_006827-T1
GF00000007	TFCN22C4_009805-T1	DBVPG3775_005585-T1
GF00000008	TFCN22C4_013033-T1	DBVPG3775_002003-T1
GF00000009	TFCN22C4_001485-T1	DBVPG3775_003781-T1
GF00000010	TFCN22C4_010000-T1	DBVPG3775_000780-T1
GF00000011	TFCN22C4_002895-T1	DBVPG3775_000220-T1
GF00000012	TFCN22C4_004081-T1	DBVPG3775_005206-T1
GF00000013	TFCN22C4_006414-T1	DBVPG3775_006246-T1
GF00000014	TFCN22C4_004171-T1	DBVPG3775_000979-T1
GF00000015	TFCN22C4_000484-T1	DBVPG3775_000902-T1
GF00000016	TFCN22C4_002607-T1	DBVPG3775_002987-T1
GF00000017	TFCN22C4_001550-T1	DBVPG3775_004453-T1
GF00000018	TFCN22C4_013715-T1	DBVPG3775_006585-T1
GF00000019	TFCN22C4_006293-T1	DBVPG3775_004957-T1
GF00000020	TFCN22C4_002941-T1	DBVPG3775_002916-T1
GF00000021	TFCN22C4_012541-T1	DBVPG3775_000527-T1
GF00000022	TFCN22C4_008827-T1	DBVPG3775_001719-T1
GF00000023	TFCN22C4_001666-T1	DBVPG3775_005693-T1
GF00000024	TFCN22C4_012325-T1	DBVPG3775_004041-T1
GF00000025	TFCN22C4_000244-T1	DBVPG3775_001893-T1
GF00000026	TFCN22C4_010313-T1	DBVPG3775_002812-T1
GF00000027	TFCN22C4_008234-T1	DBVPG3775_003162-T1
GF00000028	TFCN22C4_004991-T1	DBVPG3775_003767-T1
GF00000029	TFCN22C4_000150-T1	DBVPG3775_001370-T1
GF00000030	TFCN22C4_000460-T1	DBVPG3775_000924-T1
GF00000031	TFCN22C4_008945-T1	DBVPG3775_007326-T1
GF00000032	TFCN22C4_002844-T1	DBVPG3775_000170-T1
GF00000033	TFCN22C4_010177-T1	DBVPG3775_006836-T1
GF00000034	TFCN22C4_012631-T1	DBVPG3775_003326-T1
GF00000035	TFCN22C4_008970-T1	DBVPG3775_000026-T1
GF00000036	TFCN22C4_000950-T1	DBVPG3775_004293-T1
GF00000037	TFCN22C4_007913-T1	DBVPG3775_000387-T1
GF00000038	TFCN22C4_013014-T1	DBVPG3775_002869-T1
GF00000039	TFCN22C4_005189-T1	DBVPG3775_004622-T1
GF00000040	TFCN22C4_005670-T1	DBVPG3775_002328-T1
GF00000041	TFCN22C4_007872-T1	DBVPG3775_003520-T1
GF00000042	TFCN22C4_003791-T1	DBVPG3775_000357-T1
GF00000043	TFCN22C4_007111-T1	DBVPG3775_003746-T1
GF00000044	TFCN22C4_003427-T1	DBVPG3775_002206-T1
GF00000045	TFCN22C4_012474-T1	DBVPG3775_006241-T1
GF00000046	TFCN22C4_011260-T1	DBVPG3775_006562-T1
GF00000047	TFCN22C4_000231-T1	DBVPG3775_001451-T1
GF00000048	TFCN22C4_004039-T1	DBVPG3775_005166-T1
GF00000049	TFCN22C4_000260-T1	DBVPG3775_001479-T1
GF00000050	TFCN22C4_003108-T1	DBVPG3775_000467-T1
GF00000051	TFCN22C4_000393-T1	DBVPG3775_000993-T1
GF00000052	TFCN22C4_010080-T1	DBVPG3775_004141-T1
GF00000053	TFCN22C4_013181-T1	DBVPG3775_006128-T1
GF00000054	TFCN22C4_002969-T1	DBVPG3775_002941-T1
GF00000055	TFCN22C4_009832-T1	DBVPG3775_007132-T1
GF00000056	TFCN22C4_011400-T1	DBVPG3775_001018-T1
GF00000057	TFCN22C4_006168-T1	DBVPG3775_004521-T1
GF00000058	TFCN22C4_000938-T1	DBVPG3775_002577-T1
GF00000059	TFCN22C4_004580-T1	DBVPG3775_005163-T1
GF00000060	TFCN22C4_011767-T1	DBVPG3775_000680-T1
GF00000061	TFCN22C4_011821-T1	DBVPG3775_007158-T1
GF00000062	TFCN22C4_007955-T1	DBVPG3775_005736-T1
GF00000063	TFCN22C4_006874-T1	DBVPG3775_007241-T1
GF00000064	TFCN22C4_008716-T1	DBVPG3775_006584-T1
GF00000065	TFCN22C4_000077-T1	DBVPG3775_005599-T1
GF00000066	TFCN22C4_000408-T1	DBVPG3775_002210-T1
GF00000067	TFCN22C4_001502-T1	DBVPG3775_001025-T1
GF00000068	TFCN22C4_000546-T1	DBVPG3775_000842-T1
GF00000069	TFCN22C4_007189-T1	DBVPG3775_006818-T1
GF00000070	TFCN22C4_012019-T1	DBVPG3775_007226-T1
GF00000071	TFCN22C4_005485-T1	DBVPG3775_004308-T1
GF00000072	TFCN22C4_007646-T1	DBVPG3775_005080-T1
GF00000073	TFCN22C4_006798-T1	DBVPG3775_004717-T1
GF00000074	TFCN22C4_001903-T1	DBVPG3775_001088-T1
GF00000075	TFCN22C4_008586-T1	DBVPG3775_003881-T1
GF00000076	TFCN22C4_003355-T1	DBVPG3775_006345-T1
GF00000077	TFCN22C4_004027-T1	DBVPG3775_005157-T1
GF00000078	TFCN22C4_004707-T1	DBVPG3775_001853-T1
GF00000079	TFCN22C4_009622-T1	DBVPG3775_004080-T1
GF00000080	TFCN22C4_012262-T1	DBVPG3775_002338-T1
GF00000081	TFCN22C4_005557-T1	DBVPG3775_006076-T1
GF00000082	TFCN22C4_007050-T1	DBVPG3775_001529-T1
GF00000083	TFCN22C4_012551-T1	DBVPG3775_000562-T1
GF00000084	TFCN22C4_013579-T1	DBVPG3775_003841-T1
GF00000085	TFCN22C4_003514-T1	DBVPG3775_003686-T1
GF00000086	TFCN22C4_000785-T1	DBVPG3775_002226-T1
GF00000087	TFCN22C4_003441-T1	DBVPG3775_002218-T1
GF00000088	TFCN22C4_002517-T1	DBVPG3775_005324-T1
GF00000089	TFCN22C4_012768-T1	DBVPG3775_006948-T1
GF00000090	TFCN22C4_009973-T1	DBVPG3775_002257-T1
GF00000091	TFCN22C4_001316-T1	DBVPG3775_002526-T1
GF00000092	TFCN22C4_005691-T1	DBVPG3775_007105-T1
GF00000093	TFCN22C4_012614-T1	DBVPG3775_006133-T1
GF00000094	TFCN22C4_004307-T1	DBVPG3775_004880-T1
GF00000095	TFCN22C4_002865-T1	DBVPG3775_000191-T1
GF00000096	TFCN22C4_005731-T1	DBVPG3775_002043-T1
GF00000097	TFCN22C4_007235-T1	DBVPG3775_004339-T1
GF00000098	TFCN22C4_003891-T1	DBVPG3775_005033-T1
GF00000099	TFCN22C4_004966-T1	DBVPG3775_003742-T1
GF00000100	TFCN22C4_008874-T1	DBVPG3775_001677-T1
GF00000101	TFCN22C4_006800-T1	DBVPG3775_003172-T1
GF00000102	TFCN22C4_013861-T1	DBVPG3775_006959-T1
GF00000103	TFCN22C4_007937-T1	DBVPG3775_005753-T1
GF00000104	TFCN22C4_011410-T1	DBVPG3775_003255-T1
GF00000105	TFCN22C4_011418-T1	DBVPG3775_003251-T1
GF00000106	TFCN22C4_011237-T1	DBVPG3775_003273-T1
GF00000107	TFCN22C4_010226-T1	DBVPG3775_006210-T1
GF00000108	TFCN22C4_000208-T1	DBVPG3775_001426-T1
GF00000109	TFCN22C4_001013-T1	DBVPG3775_007088-T1
GF00000110	TFCN22C4_006933-T1	DBVPG3775_001962-T1
GF00000111	TFCN22C4_002095-T1	DBVPG3775_003792-T1
GF00000112	TFCN22C4_005011-T1	DBVPG3775_003785-T1
GF00000113	TFCN22C4_000905-T1	DBVPG3775_004181-T1
GF00000114	TFCN22C4_011641-T1	DBVPG3775_002435-T1
GF00000115	TFCN22C4_001926-T1	DBVPG3775_001065-T1
GF00000116	TFCN22C4_011748-T1	DBVPG3775_002579-T1
GF00000117	TFCN22C4_002826-T1	DBVPG3775_000153-T1
GF00000118	TFCN22C4_009088-T1	DBVPG3775_002326-T1
GF00000119	TFCN22C4_010601-T1	DBVPG3775_000399-T1
GF00000120	TFCN22C4_012774-T1	DBVPG3775_006954-T1
GF00000121	TFCN22C4_000056-T1	DBVPG3775_005603-T1
GF00000122	TFCN22C4_011665-T1	DBVPG3775_002838-T1
GF00000123	TFCN22C4_005988-T1	DBVPG3775_006673-T1
GF00000124	TFCN22C4_005753-T1	DBVPG3775_000368-T1
GF00000125	TFCN22C4_006489-T1	DBVPG3775_007575-T1
GF00000126	TFCN22C4_000942-T1	DBVPG3775_004731-T1
GF00000127	TFCN22C4_001849-T1	DBVPG3775_001140-T1
GF00000128	TFCN22C4_001774-T1	DBVPG3775_003741-T1
GF00000129	TFCN22C4_012521-T1	DBVPG3775_004809-T1
GF00000130	TFCN22C4_006212-T1	DBVPG3775_005038-T1
GF00000131	TFCN22C4_010087-T1	DBVPG3775_003411-T1
GF00000132	TFCN22C4_011143-T1	DBVPG3775_004275-T1
GF00000133	TFCN22C4_003315-T1	DBVPG3775_006388-T1
GF00000134	TFCN22C4_011887-T1	DBVPG3775_003544-T1
GF00000135	TFCN22C4_003747-T1	DBVPG3775_000312-T1
GF00000136	TFCN22C4_006142-T1	DBVPG3775_004545-T1
GF00000137	TFCN22C4_009508-T1	DBVPG3775_003362-T1
GF00000138	TFCN22C4_011111-T1	DBVPG3775_002751-T1
GF00000139	TFCN22C4_005017-T1	DBVPG3775_003794-T1
GF00000140	TFCN22C4_007339-T1	DBVPG3775_006416-T1
GF00000141	TFCN22C4_005865-T1	DBVPG3775_004754-T1
GF00000142	TFCN22C4_010219-T1	DBVPG3775_006220-T1
GF00000143	TFCN22C4_009801-T1	DBVPG3775_005626-T1
GF00000144	TFCN22C4_008208-T1	DBVPG3775_006438-T1
GF00000145	TFCN22C4_007781-T1	DBVPG3775_004642-T1
GF00000146	TFCN22C4_011183-T1	DBVPG3775_005942-T1
GF00000147	TFCN22C4_008387-T1	DBVPG3775_004520-T1
GF00000148	TFCN22C4_013664-T1	DBVPG3775_000271-T1
GF00000149	TFCN22C4_000300-T1	DBVPG3775_001517-T1
GF00000150	TFCN22C4_011057-T1	DBVPG3775_006662-T1
GF00000151	TFCN22C4_002100-T1	DBVPG3775_002488-T1
GF00000152	TFCN22C4_011554-T1	DBVPG3775_003280-T1
GF00000153	TFCN22C4_000661-T1	DBVPG3775_006031-T1
GF00000154	TFCN22C4_000329-T1	DBVPG3775_001549-T1
GF00000155	TFCN22C4_005300-T1	DBVPG3775_001671-T1
GF00000156	TFCN22C4_004711-T1	DBVPG3775_005082-T1
GF00000157	TFCN22C4_009391-T1	DBVPG3775_007483-T1
GF00000158	TFCN22C4_006966-T1	DBVPG3775_001993-T1
GF00000159	TFCN22C4_010016-T1	DBVPG3775_006439-T1
GF00000160	TFCN22C4_006069-T1	DBVPG3775_000449-T1
GF00000161	TFCN22C4_010360-T1	DBVPG3775_003134-T1
GF00000162	TFCN22C4_009020-T1	DBVPG3775_001795-T1
GF00000163	TFCN22C4_001026-T1	DBVPG3775_005884-T1
GF00000164	TFCN22C4_008911-T1	DBVPG3775_003358-T1
GF00000165	TFCN22C4_001095-T1	DBVPG3775_001104-T1
GF00000166	TFCN22C4_013173-T1	DBVPG3775_006015-T1
GF00000167	TFCN22C4_002184-T1	DBVPG3775_003877-T1
GF00000168	TFCN22C4_008732-T1	DBVPG3775_007423-T1
GF00000169	TFCN22C4_013172-T1	DBVPG3775_006014-T1
GF00000170	TFCN22C4_002992-T1	DBVPG3775_002965-T1
GF00000171	TFCN22C4_001932-T1	DBVPG3775_003861-T1
GF00000172	TFCN22C4_010496-T1	DBVPG3775_003229-T1
GF00000173	TFCN22C4_005603-T1	DBVPG3775_004876-T1
GF00000174	TFCN22C4_011624-T1	DBVPG3775_000632-T1
GF00000175	TFCN22C4_009961-T1	DBVPG3775_002271-T1
GF00000176	TFCN22C4_005859-T1	DBVPG3775_004760-T1
GF00000177	TFCN22C4_002355-T1	DBVPG3775_005546-T1
GF00000178	TFCN22C4_009077-T1	DBVPG3775_002336-T1
GF00000179	TFCN22C4_012665-T1	DBVPG3775_007022-T1
GF00000180	TFCN22C4_007780-T1	DBVPG3775_003496-T1
GF00000181	TFCN22C4_010651-T1	DBVPG3775_006806-T1
