	Rhodotorula_mucilaginosa_TFCN_17Y-278-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN17Y2781_000130-T1, TFCN17Y2781_006529-T1, TFCN17Y2781_009353-T1, TFCN17Y2781_002111-T1, TFCN17Y2781_005230-T1, TFCN17Y2781_010581-T1, TFCN17Y2781_006174-T1, TFCN17Y2781_006014-T1, TFCN17Y2781_012253-T1, TFCN17Y2781_002976-T1, TFCN17Y2781_001629-T1, TFCN17Y2781_003454-T1, TFCN17Y2781_003058-T1, TFCN17Y2781_008897-T1, TFCN17Y2781_003904-T1, TFCN17Y2781_000945-T1, TFCN17Y2781_002292-T1, TFCN17Y2781_001002-T1, TFCN17Y2781_002208-T1, TFCN17Y2781_006452-T1, TFCN17Y2781_003660-T1, TFCN17Y2781_008470-T1, TFCN17Y2781_006369-T1, TFCN17Y2781_009654-T1, TFCN17Y2781_012960-T1, TFCN17Y2781_000703-T1, TFCN17Y2781_008340-T1, TFCN17Y2781_007771-T1, TFCN17Y2781_011502-T1, TFCN17Y2781_013493-T1, TFCN17Y2781_009187-T1, TFCN17Y2781_001675-T1, TFCN17Y2781_004164-T1, TFCN17Y2781_001454-T1, TFCN17Y2781_007674-T1, TFCN17Y2781_012878-T1, TFCN17Y2781_002137-T1, TFCN17Y2781_009614-T1, TFCN17Y2781_013567-T1, TFCN17Y2781_001453-T1, TFCN17Y2781_013577-T1, TFCN17Y2781_001968-T1, TFCN17Y2781_004708-T1, TFCN17Y2781_007437-T1, TFCN17Y2781_011853-T1, TFCN17Y2781_009669-T1, TFCN17Y2781_004555-T1, TFCN17Y2781_007226-T1, TFCN17Y2781_008052-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	TFCN17Y2781_000318-T1, TFCN17Y2781_009434-T1, TFCN17Y2781_001643-T1, TFCN17Y2781_003466-T1, TFCN17Y2781_004317-T1, TFCN17Y2781_009832-T1, TFCN17Y2781_000319-T1, TFCN17Y2781_000320-T1, TFCN17Y2781_005767-T1, TFCN17Y2781_011267-T1, TFCN17Y2781_005195-T1, TFCN17Y2781_011040-T1, TFCN17Y2781_013213-T1, TFCN17Y2781_010219-T1, TFCN17Y2781_006348-T1, TFCN17Y2781_006961-T1, TFCN17Y2781_004961-T1, TFCN17Y2781_010704-T1, TFCN17Y2781_007115-T1, TFCN17Y2781_002391-T1, TFCN17Y2781_002299-T1, TFCN17Y2781_003065-T1, TFCN17Y2781_005133-T1, TFCN17Y2781_008039-T1, TFCN17Y2781_008485-T1, TFCN17Y2781_005807-T1, TFCN17Y2781_000543-T1, TFCN17Y2781_006780-T1, TFCN17Y2781_000321-T1, TFCN17Y2781_000397-T1, TFCN17Y2781_005852-T1, TFCN17Y2781_004545-T1, TFCN17Y2781_007426-T1, TFCN17Y2781_001569-T1, TFCN17Y2781_006664-T1, TFCN17Y2781_012029-T1, TFCN17Y2781_005806-T1	DBVPG3775_000052-T1, DBVPG3775_000215-T1, DBVPG3775_000333-T1, DBVPG3775_000354-T1, DBVPG3775_000792-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002787-T1, DBVPG3775_004127-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006265-T1, DBVPG3775_006266-T1, DBVPG3775_006267-T1, DBVPG3775_006438-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1
GF00000003	TFCN17Y2781_000226-T1, TFCN17Y2781_004303-T1, TFCN17Y2781_004305-T1, TFCN17Y2781_004304-T1, TFCN17Y2781_006600-T1, TFCN17Y2781_001818-T1, TFCN17Y2781_009758-T1, TFCN17Y2781_012629-T1, TFCN17Y2781_009760-T1, TFCN17Y2781_009761-T1, TFCN17Y2781_009737-T1, TFCN17Y2781_009739-T1, TFCN17Y2781_012631-T1, TFCN17Y2781_009740-T1, TFCN17Y2781_005275-T1, TFCN17Y2781_009759-T1, TFCN17Y2781_009738-T1, TFCN17Y2781_009687-T1, TFCN17Y2781_012628-T1, TFCN17Y2781_009762-T1, TFCN17Y2781_009688-T1, TFCN17Y2781_010556-T1, TFCN17Y2781_012630-T1, TFCN17Y2781_010114-T1, TFCN17Y2781_003764-T1, TFCN17Y2781_010294-T1, TFCN17Y2781_008262-T1, TFCN17Y2781_004748-T1, TFCN17Y2781_012398-T1, TFCN17Y2781_010129-T1, TFCN17Y2781_006326-T1	DBVPG3775_001472-T1, DBVPG3775_001644-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1
GF00000004	TFCN17Y2781_000066-T1, TFCN17Y2781_008533-T1, TFCN17Y2781_008535-T1, TFCN17Y2781_000780-T1, TFCN17Y2781_011735-T1, TFCN17Y2781_009460-T1, TFCN17Y2781_009873-T1, TFCN17Y2781_003356-T1, TFCN17Y2781_002760-T1, TFCN17Y2781_005408-T1, TFCN17Y2781_009568-T1, TFCN17Y2781_012751-T1, TFCN17Y2781_011654-T1, TFCN17Y2781_009785-T1, TFCN17Y2781_007328-T1, TFCN17Y2781_004667-T1, TFCN17Y2781_002010-T1, TFCN17Y2781_001648-T1, TFCN17Y2781_003471-T1, TFCN17Y2781_006507-T1, TFCN17Y2781_012194-T1, TFCN17Y2781_001607-T1, TFCN17Y2781_007333-T1, TFCN17Y2781_006580-T1, TFCN17Y2781_001797-T1, TFCN17Y2781_005956-T1, TFCN17Y2781_004828-T1, TFCN17Y2781_009790-T1, TFCN17Y2781_011961-T1, TFCN17Y2781_013469-T1, TFCN17Y2781_012876-T1, TFCN17Y2781_002135-T1, TFCN17Y2781_004470-T1, TFCN17Y2781_009551-T1, TFCN17Y2781_007063-T1	DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005069-T1, DBVPG3775_005071-T1, DBVPG3775_005929-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000005	TFCN17Y2781_001402-T1, TFCN17Y2781_007913-T1, TFCN17Y2781_012497-T1, TFCN17Y2781_004967-T1, TFCN17Y2781_007119-T1, TFCN17Y2781_011263-T1, TFCN17Y2781_005763-T1, TFCN17Y2781_001129-T1, TFCN17Y2781_008797-T1, TFCN17Y2781_008785-T1, TFCN17Y2781_012164-T1, TFCN17Y2781_003020-T1, TFCN17Y2781_002256-T1, TFCN17Y2781_010064-T1, TFCN17Y2781_008945-T1, TFCN17Y2781_013397-T1, TFCN17Y2781_004814-T1, TFCN17Y2781_005942-T1, TFCN17Y2781_001293-T1, TFCN17Y2781_004884-T1, TFCN17Y2781_011893-T1, TFCN17Y2781_009472-T1, TFCN17Y2781_009478-T1, TFCN17Y2781_009885-T1, TFCN17Y2781_005224-T1, TFCN17Y2781_009891-T1, TFCN17Y2781_005431-T1, TFCN17Y2781_011879-T1, TFCN17Y2781_009548-T1, TFCN17Y2781_004467-T1, TFCN17Y2781_007074-T1, TFCN17Y2781_003345-T1, TFCN17Y2781_011858-T1, TFCN17Y2781_007540-T1, TFCN17Y2781_009547-T1	DBVPG3775_000661-T1, DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005327-T1, DBVPG3775_005341-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000006	TFCN17Y2781_000457-T1, TFCN17Y2781_011460-T1, TFCN17Y2781_001356-T1, TFCN17Y2781_004937-T1, TFCN17Y2781_009566-T1, TFCN17Y2781_012753-T1, TFCN17Y2781_003919-T1, TFCN17Y2781_008913-T1, TFCN17Y2781_011650-T1, TFCN17Y2781_010474-T1, TFCN17Y2781_001684-T1, TFCN17Y2781_003507-T1, TFCN17Y2781_012117-T1, TFCN17Y2781_001110-T1, TFCN17Y2781_008815-T1, TFCN17Y2781_003080-T1, TFCN17Y2781_004080-T1, TFCN17Y2781_008360-T1, TFCN17Y2781_011539-T1, TFCN17Y2781_009486-T1, TFCN17Y2781_004059-T1, TFCN17Y2781_004627-T1, TFCN17Y2781_005342-T1, TFCN17Y2781_002828-T1, TFCN17Y2781_002779-T1, TFCN17Y2781_003159-T1, TFCN17Y2781_007458-T1, TFCN17Y2781_001539-T1, TFCN17Y2781_005390-T1, TFCN17Y2781_002051-T1, TFCN17Y2781_005194-T1, TFCN17Y2781_011041-T1	DBVPG3775_000122-T1, DBVPG3775_000507-T1, DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_004172-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_006799-T1, DBVPG3775_007532-T1
GF00000007	TFCN17Y2781_007516-T1, TFCN17Y2781_004414-T1, TFCN17Y2781_005233-T1, TFCN17Y2781_011488-T1, TFCN17Y2781_001808-T1, TFCN17Y2781_006589-T1, TFCN17Y2781_012725-T1, TFCN17Y2781_007785-T1, TFCN17Y2781_010869-T1, TFCN17Y2781_004416-T1, TFCN17Y2781_012721-T1, TFCN17Y2781_004045-T1, TFCN17Y2781_012933-T1, TFCN17Y2781_005044-T1, TFCN17Y2781_008023-T1, TFCN17Y2781_012903-T1, TFCN17Y2781_012761-T1, TFCN17Y2781_004960-T1, TFCN17Y2781_007114-T1, TFCN17Y2781_001948-T1, TFCN17Y2781_005682-T1, TFCN17Y2781_007963-T1, TFCN17Y2781_009690-T1, TFCN17Y2781_012625-T1, TFCN17Y2781_007958-T1, TFCN17Y2781_007962-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_003371-T1, DBVPG3775_003779-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004632-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1
GF00000008	TFCN17Y2781_001383-T1, TFCN17Y2781_001764-T1, TFCN17Y2781_009115-T1, TFCN17Y2781_005465-T1, TFCN17Y2781_005466-T1, TFCN17Y2781_009122-T1, TFCN17Y2781_009121-T1, TFCN17Y2781_009111-T1, TFCN17Y2781_002723-T1, TFCN17Y2781_005454-T1, TFCN17Y2781_005453-T1, TFCN17Y2781_002725-T1, TFCN17Y2781_009112-T1, TFCN17Y2781_002628-T1, TFCN17Y2781_009094-T1, TFCN17Y2781_005505-T1, TFCN17Y2781_002742-T1, TFCN17Y2781_005504-T1, TFCN17Y2781_009095-T1, TFCN17Y2781_002741-T1, TFCN17Y2781_002675-T1	DBVPG3775_001053-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
GF00000009	TFCN17Y2781_000168-T1, TFCN17Y2781_006489-T1, TFCN17Y2781_003941-T1, TFCN17Y2781_007055-T1, TFCN17Y2781_002925-T1, TFCN17Y2781_004241-T1, TFCN17Y2781_004236-T1, TFCN17Y2781_006100-T1, TFCN17Y2781_006104-T1, TFCN17Y2781_002024-T1, TFCN17Y2781_004654-T1, TFCN17Y2781_005008-T1, TFCN17Y2781_002156-T1, TFCN17Y2781_012901-T1, TFCN17Y2781_007989-T1, TFCN17Y2781_000360-T1, TFCN17Y2781_000639-T1, TFCN17Y2781_002690-T1, TFCN17Y2781_005439-T1, TFCN17Y2781_005280-T1, TFCN17Y2781_010300-T1, TFCN17Y2781_005009-T1	DBVPG3775_000011-T1, DBVPG3775_002284-T1, DBVPG3775_002985-T1, DBVPG3775_002986-T1, DBVPG3775_002987-T1, DBVPG3775_003133-T1, DBVPG3775_004425-T1, DBVPG3775_006042-T1, DBVPG3775_006046-T1, DBVPG3775_006573-T1, DBVPG3775_006709-T1, DBVPG3775_007543-T1, DBVPG3775_007550-T1, DBVPG3775_007551-T1
GF00000010	TFCN17Y2781_004019-T1, TFCN17Y2781_007766-T1, TFCN17Y2781_004070-T1, TFCN17Y2781_007768-T1, TFCN17Y2781_004024-T1, TFCN17Y2781_009497-T1, TFCN17Y2781_004069-T1, TFCN17Y2781_004030-T1, TFCN17Y2781_004020-T1, TFCN17Y2781_012937-T1, TFCN17Y2781_004028-T1, TFCN17Y2781_004029-T1, TFCN17Y2781_004040-T1, TFCN17Y2781_004021-T1, TFCN17Y2781_012319-T1, TFCN17Y2781_012320-T1, TFCN17Y2781_004026-T1, TFCN17Y2781_009496-T1, TFCN17Y2781_009512-T1	DBVPG3775_001378-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005628-T1, DBVPG3775_005629-T1, DBVPG3775_007341-T1, DBVPG3775_007342-T1
