	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	CHIFNET13H1268_004172-T1	DBVPG3775_001425-T1
GF00000002	CHIFNET13H1268_014836-T1	DBVPG3775_006827-T1
GF00000003	CHIFNET13H1268_007579-T1	DBVPG3775_004172-T1
GF00000004	CHIFNET13H1268_008575-T1	DBVPG3775_001973-T1
GF00000005	CHIFNET13H1268_012107-T1	DBVPG3775_004132-T1
GF00000006	CHIFNET13H1268_008253-T1	DBVPG3775_002321-T1
GF00000007	CHIFNET13H1268_004594-T1	DBVPG3775_003781-T1
GF00000008	CHIFNET13H1268_005405-T1	DBVPG3775_002003-T1
GF00000009	CHIFNET13H1268_012834-T1	DBVPG3775_005585-T1
GF00000010	CHIFNET13H1268_004629-T1	DBVPG3775_004453-T1
GF00000011	CHIFNET13H1268_007482-T1	DBVPG3775_006585-T1
GF00000012	CHIFNET13H1268_013016-T1	DBVPG3775_000780-T1
GF00000013	CHIFNET13H1268_003817-T1	DBVPG3775_000220-T1
GF00000014	CHIFNET13H1268_010926-T1	DBVPG3775_005693-T1
GF00000015	CHIFNET13H1268_011171-T1	DBVPG3775_005206-T1
GF00000016	CHIFNET13H1268_007756-T1	DBVPG3775_000979-T1
GF00000017	CHIFNET13H1268_006273-T1	DBVPG3775_000902-T1
GF00000018	CHIFNET13H1268_011037-T1	DBVPG3775_002987-T1
GF00000019	CHIFNET13H1268_008601-T1	DBVPG3775_002916-T1
GF00000020	CHIFNET13H1268_008536-T1	DBVPG3775_006246-T1
GF00000021	CHIFNET13H1268_002192-T1	DBVPG3775_001893-T1
GF00000022	CHIFNET13H1268_002099-T1	DBVPG3775_003162-T1
GF00000023	CHIFNET13H1268_005572-T1	DBVPG3775_004041-T1
GF00000024	CHIFNET13H1268_000527-T1	DBVPG3775_002869-T1
GF00000025	CHIFNET13H1268_009493-T1	DBVPG3775_004856-T1
GF00000026	CHIFNET13H1268_013469-T1	DBVPG3775_004141-T1
