pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
DBVPG3855_001600-T1__DBVPG3855_004230-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_01580	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_001600-T1
DBVPG3855_004230-T1__DBVPG3855_006695-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_06617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_006695-T1
DBVPG3855_004230-T1__DBVPG3855_010047-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_09923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_010047-T1
DBVPG3855_000937-T1__DBVPG3855_004230-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_000937-T1
DBVPG3855_003086-T1__DBVPG3855_004230-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_03045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_003086-T1
DBVPG3855_000153-T1__DBVPG3855_004230-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_000153-T1
DBVPG3855_004230-T1__DBVPG3855_007651-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_07558	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_007651-T1
DBVPG3855_004230-T1__DBVPG3855_008800-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_08694	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_008800-T1
DBVPG3855_004230-T1__DBVPG3855_005783-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_05715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_005783-T1
DBVPG3855_004230-T1__DBVPG3855_011948-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_11780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_004230-T1	DBVPG3855_011948-T1
