	Rhodotorula_mucilaginosa_TFCN_17-333P-6.cds.fa
GF00000001	TFCN17333P6_005597-T1, TFCN17333P6_000558-T1, TFCN17333P6_002585-T1, TFCN17333P6_003641-T1, TFCN17333P6_004344-T1, TFCN17333P6_008915-T1, TFCN17333P6_000387-T1, TFCN17333P6_005950-T1, TFCN17333P6_002170-T1, TFCN17333P6_006371-T1, TFCN17333P6_014016-T1, TFCN17333P6_011763-T1, TFCN17333P6_001300-T1, TFCN17333P6_010334-T1, TFCN17333P6_000602-T1, TFCN17333P6_014561-T1, TFCN17333P6_008734-T1, TFCN17333P6_003011-T1, TFCN17333P6_002706-T1, TFCN17333P6_011246-T1, TFCN17333P6_012531-T1, TFCN17333P6_012982-T1, TFCN17333P6_003556-T1, TFCN17333P6_002755-T1, TFCN17333P6_001251-T1, TFCN17333P6_014679-T1, TFCN17333P6_003391-T1, TFCN17333P6_009327-T1, TFCN17333P6_012935-T1, TFCN17333P6_001049-T1, TFCN17333P6_013521-T1, TFCN17333P6_009610-T1, TFCN17333P6_014905-T1, TFCN17333P6_009326-T1
GF00000002	TFCN17333P6_007003-T1, TFCN17333P6_004559-T1, TFCN17333P6_007002-T1, TFCN17333P6_007025-T1, TFCN17333P6_011022-T1, TFCN17333P6_002320-T1, TFCN17333P6_011129-T1, TFCN17333P6_007024-T1, TFCN17333P6_007004-T1, TFCN17333P6_007001-T1, TFCN17333P6_010258-T1, TFCN17333P6_008773-T1, TFCN17333P6_007026-T1, TFCN17333P6_001924-T1, TFCN17333P6_001923-T1, TFCN17333P6_001921-T1, TFCN17333P6_008365-T1, TFCN17333P6_001922-T1, TFCN17333P6_002448-T1, TFCN17333P6_007000-T1, TFCN17333P6_010257-T1, TFCN17333P6_006981-T1, TFCN17333P6_006982-T1, TFCN17333P6_004561-T1, TFCN17333P6_003216-T1, TFCN17333P6_006999-T1, TFCN17333P6_004545-T1, TFCN17333P6_007030-T1, TFCN17333P6_007029-T1, TFCN17333P6_007028-T1, TFCN17333P6_007027-T1, TFCN17333P6_007500-T1
GF00000003	TFCN17333P6_008046-T1, TFCN17333P6_011301-T1, TFCN17333P6_001512-T1, TFCN17333P6_005810-T1, TFCN17333P6_012203-T1, TFCN17333P6_004868-T1, TFCN17333P6_007083-T1, TFCN17333P6_000984-T1, TFCN17333P6_007167-T1, TFCN17333P6_012350-T1, TFCN17333P6_004883-T1, TFCN17333P6_012162-T1, TFCN17333P6_006826-T1, TFCN17333P6_004209-T1, TFCN17333P6_007077-T1, TFCN17333P6_012356-T1, TFCN17333P6_003593-T1, TFCN17333P6_002636-T1, TFCN17333P6_006950-T1, TFCN17333P6_005530-T1, TFCN17333P6_004734-T1, TFCN17333P6_010374-T1, TFCN17333P6_005760-T1, TFCN17333P6_010578-T1, TFCN17333P6_014550-T1, TFCN17333P6_013169-T1
GF00000004	TFCN17333P6_006812-T1, TFCN17333P6_004223-T1, TFCN17333P6_008484-T1, TFCN17333P6_002473-T1, TFCN17333P6_003242-T1, TFCN17333P6_007936-T1, TFCN17333P6_014288-T1, TFCN17333P6_008489-T1, TFCN17333P6_004268-T1, TFCN17333P6_004273-T1, TFCN17333P6_000886-T1, TFCN17333P6_009781-T1, TFCN17333P6_014364-T1, TFCN17333P6_014186-T1, TFCN17333P6_013750-T1, TFCN17333P6_005078-T1, TFCN17333P6_011210-T1, TFCN17333P6_006111-T1, TFCN17333P6_013846-T1, TFCN17333P6_007065-T1, TFCN17333P6_004894-T1, TFCN17333P6_004856-T1, TFCN17333P6_001525-T1, TFCN17333P6_014884-T1, TFCN17333P6_005821-T1
GF00000005	TFCN17333P6_003918-T1, TFCN17333P6_008195-T1, TFCN17333P6_001783-T1, TFCN17333P6_006674-T1, TFCN17333P6_003930-T1, TFCN17333P6_003986-T1, TFCN17333P6_003976-T1, TFCN17333P6_003982-T1, TFCN17333P6_003931-T1, TFCN17333P6_003919-T1, TFCN17333P6_008192-T1, TFCN17333P6_001687-T1, TFCN17333P6_001786-T1, TFCN17333P6_003985-T1, TFCN17333P6_008194-T1, TFCN17333P6_001806-T1, TFCN17333P6_004007-T1, TFCN17333P6_001156-T1, TFCN17333P6_008193-T1, TFCN17333P6_001805-T1, TFCN17333P6_001804-T1, TFCN17333P6_004006-T1
GF00000006	TFCN17333P6_004866-T1, TFCN17333P6_004885-T1, TFCN17333P6_011705-T1, TFCN17333P6_006520-T1, TFCN17333P6_004846-T1, TFCN17333P6_001057-T1, TFCN17333P6_011671-T1, TFCN17333P6_004802-T1, TFCN17333P6_004933-T1, TFCN17333P6_004806-T1, TFCN17333P6_001124-T1, TFCN17333P6_003735-T1, TFCN17333P6_009625-T1, TFCN17333P6_009624-T1, TFCN17333P6_003734-T1, TFCN17333P6_011170-T1, TFCN17333P6_007762-T1, TFCN17333P6_005007-T1, TFCN17333P6_014818-T1, TFCN17333P6_014819-T1, TFCN17333P6_005008-T1
GF00000007	TFCN17333P6_003695-T1, TFCN17333P6_007813-T1, TFCN17333P6_004579-T1, TFCN17333P6_007987-T1, TFCN17333P6_008999-T1, TFCN17333P6_013120-T1, TFCN17333P6_003947-T1, TFCN17333P6_001750-T1, TFCN17333P6_004583-T1, TFCN17333P6_007983-T1, TFCN17333P6_007951-T1, TFCN17333P6_011781-T1, TFCN17333P6_013815-T1, TFCN17333P6_002532-T1, TFCN17333P6_000866-T1, TFCN17333P6_009801-T1, TFCN17333P6_012476-T1, TFCN17333P6_011061-T1, TFCN17333P6_003328-T1
GF00000008	TFCN17333P6_014535-T1, TFCN17333P6_000680-T1, TFCN17333P6_003061-T1, TFCN17333P6_008279-T1, TFCN17333P6_014425-T1, TFCN17333P6_008287-T1, TFCN17333P6_012028-T1, TFCN17333P6_011983-T1, TFCN17333P6_003228-T1, TFCN17333P6_002459-T1, TFCN17333P6_010084-T1, TFCN17333P6_008628-T1, TFCN17333P6_014131-T1, TFCN17333P6_013503-T1, TFCN17333P6_005767-T1, TFCN17333P6_012131-T1, TFCN17333P6_002043-T1, TFCN17333P6_005479-T1, TFCN17333P6_008629-T1
GF00000009	TFCN17333P6_011204-T1, TFCN17333P6_002740-T1, TFCN17333P6_006117-T1, TFCN17333P6_008164-T1, TFCN17333P6_001267-T1, TFCN17333P6_003483-T1, TFCN17333P6_008757-T1, TFCN17333P6_012973-T1, TFCN17333P6_002987-T1, TFCN17333P6_003564-T1, TFCN17333P6_000224-T1, TFCN17333P6_013235-T1, TFCN17333P6_004963-T1, TFCN17333P6_001096-T1, TFCN17333P6_003066-T1, TFCN17333P6_003035-T1, TFCN17333P6_008709-T1, TFCN17333P6_014540-T1, TFCN17333P6_007014-T1
GF00000010	TFCN17333P6_000342-T1, TFCN17333P6_005354-T1, TFCN17333P6_004056-T1, TFCN17333P6_011518-T1, TFCN17333P6_000656-T1, TFCN17333P6_009948-T1, TFCN17333P6_007325-T1, TFCN17333P6_007686-T1, TFCN17333P6_007880-T1, TFCN17333P6_001848-T1, TFCN17333P6_010811-T1, TFCN17333P6_008328-T1, TFCN17333P6_014733-T1, TFCN17333P6_012752-T1, TFCN17333P6_002924-T1, TFCN17333P6_011435-T1, TFCN17333P6_002802-T1, TFCN17333P6_002925-T1
GF00000011	TFCN17333P6_004240-T1, TFCN17333P6_014752-T1, TFCN17333P6_001724-T1, TFCN17333P6_003916-T1, TFCN17333P6_007649-T1, TFCN17333P6_007271-T1, TFCN17333P6_012280-T1, TFCN17333P6_009045-T1, TFCN17333P6_013730-T1, TFCN17333P6_000335-T1, TFCN17333P6_014222-T1, TFCN17333P6_002221-T1, TFCN17333P6_011167-T1, TFCN17333P6_007765-T1, TFCN17333P6_003118-T1, TFCN17333P6_005273-T1, TFCN17333P6_000012-T1
GF00000012	TFCN17333P6_002848-T1, TFCN17333P6_002423-T1, TFCN17333P6_010721-T1, TFCN17333P6_003193-T1, TFCN17333P6_004536-T1, TFCN17333P6_014133-T1, TFCN17333P6_007043-T1, TFCN17333P6_010272-T1, TFCN17333P6_002877-T1, TFCN17333P6_003790-T1, TFCN17333P6_001928-T1, TFCN17333P6_008369-T1, TFCN17333P6_010920-T1, TFCN17333P6_009804-T1, TFCN17333P6_000861-T1, TFCN17333P6_002876-T1, TFCN17333P6_004535-T1
GF00000013	TFCN17333P6_004523-T1, TFCN17333P6_014141-T1, TFCN17333P6_000520-T1, TFCN17333P6_006023-T1, TFCN17333P6_012325-T1, TFCN17333P6_013562-T1, TFCN17333P6_013420-T1, TFCN17333P6_010469-T1, TFCN17333P6_000459-T1, TFCN17333P6_012757-T1, TFCN17333P6_006452-T1, TFCN17333P6_004777-T1, TFCN17333P6_009508-T1, TFCN17333P6_010607-T1, TFCN17333P6_007209-T1, TFCN17333P6_001026-T1, TFCN17333P6_001027-T1
GF00000014	TFCN17333P6_011015-T1, TFCN17333P6_011135-T1, TFCN17333P6_008751-T1, TFCN17333P6_002993-T1, TFCN17333P6_004306-T1, TFCN17333P6_010664-T1, TFCN17333P6_011367-T1, TFCN17333P6_004307-T1, TFCN17333P6_000613-T1, TFCN17333P6_010663-T1, TFCN17333P6_010320-T1, TFCN17333P6_011366-T1, TFCN17333P6_008963-T1, TFCN17333P6_008535-T1, TFCN17333P6_013351-T1, TFCN17333P6_012441-T1
GF00000015	TFCN17333P6_011874-T1, TFCN17333P6_014268-T1, TFCN17333P6_007244-T1, TFCN17333P6_007631-T1, TFCN17333P6_005448-T1, TFCN17333P6_002010-T1, TFCN17333P6_008259-T1, TFCN17333P6_009230-T1, TFCN17333P6_002196-T1, TFCN17333P6_004038-T1, TFCN17333P6_006400-T1, TFCN17333P6_002115-T1, TFCN17333P6_006321-T1, TFCN17333P6_005334-T1, TFCN17333P6_005333-T1
GF00000016	TFCN17333P6_007432-T1, TFCN17333P6_009092-T1, TFCN17333P6_010180-T1, TFCN17333P6_000003-T1, TFCN17333P6_006708-T1, TFCN17333P6_014367-T1, TFCN17333P6_014183-T1, TFCN17333P6_013947-T1, TFCN17333P6_004915-T1, TFCN17333P6_008644-T1, TFCN17333P6_000694-T1, TFCN17333P6_006545-T1, TFCN17333P6_012062-T1, TFCN17333P6_008095-T1, TFCN17333P6_008094-T1
GF00000017	TFCN17333P6_004005-T1, TFCN17333P6_001803-T1, TFCN17333P6_007275-T1, TFCN17333P6_007653-T1, TFCN17333P6_010566-T1, TFCN17333P6_004520-T1, TFCN17333P6_014145-T1, TFCN17333P6_007654-T1, TFCN17333P6_010100-T1, TFCN17333P6_013383-T1, TFCN17333P6_012654-T1, TFCN17333P6_013535-T1, TFCN17333P6_005747-T1, TFCN17333P6_005746-T1, TFCN17333P6_013536-T1
GF00000018	TFCN17333P6_010559-T1, TFCN17333P6_011096-T1, TFCN17333P6_011844-T1, TFCN17333P6_008426-T1, TFCN17333P6_007069-T1, TFCN17333P6_005761-T1, TFCN17333P6_007741-T1, TFCN17333P6_007922-T1, TFCN17333P6_007830-T1, TFCN17333P6_010579-T1, TFCN17333P6_012364-T1, TFCN17333P6_007525-T1, TFCN17333P6_013842-T1, TFCN17333P6_014302-T1
GF00000019	TFCN17333P6_011856-T1, TFCN17333P6_001669-T1, TFCN17333P6_012158-T1, TFCN17333P6_008214-T1, TFCN17333P6_003509-T1, TFCN17333P6_008140-T1, TFCN17333P6_014341-T1, TFCN17333P6_007847-T1, TFCN17333P6_008440-T1, TFCN17333P6_004873-T1, TFCN17333P6_008439-T1, TFCN17333P6_004872-T1, TFCN17333P6_003508-T1, TFCN17333P6_004871-T1
GF00000020	TFCN17333P6_009028-T1, TFCN17333P6_005258-T1, TFCN17333P6_003103-T1, TFCN17333P6_007354-T1, TFCN17333P6_007671-T1, TFCN17333P6_004771-T1, TFCN17333P6_000514-T1, TFCN17333P6_010524-T1, TFCN17333P6_007893-T1, TFCN17333P6_000891-T1, TFCN17333P6_009776-T1, TFCN17333P6_008318-T1, TFCN17333P6_011955-T1
GF00000021	TFCN17333P6_000256-T1, TFCN17333P6_013110-T1, TFCN17333P6_008986-T1, TFCN17333P6_009273-T1, TFCN17333P6_012588-T1, TFCN17333P6_009278-T1, TFCN17333P6_010453-T1, TFCN17333P6_011335-T1, TFCN17333P6_012609-T1, TFCN17333P6_008828-T1, TFCN17333P6_004456-T1, TFCN17333P6_011180-T1, TFCN17333P6_012593-T1
