	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN17334Y5_006751-T1	DBVPG3775_001425-T1
GF00000002	TFCN17334Y5_010445-T1	DBVPG3775_006827-T1
GF00000003	TFCN17334Y5_002039-T1	DBVPG3775_004132-T1
GF00000004	TFCN17334Y5_002152-T1	DBVPG3775_004172-T1
GF00000005	TFCN17334Y5_005485-T1	DBVPG3775_001973-T1
GF00000006	TFCN17334Y5_013118-T1	DBVPG3775_005585-T1
GF00000007	TFCN17334Y5_004431-T1	DBVPG3775_000606-T1
GF00000008	TFCN17334Y5_005452-T1	DBVPG3775_002003-T1
GF00000009	TFCN17334Y5_005857-T1	DBVPG3775_004453-T1
GF00000010	TFCN17334Y5_001376-T1	DBVPG3775_003781-T1
GF00000011	TFCN17334Y5_000749-T1	DBVPG3775_000220-T1
GF00000012	TFCN17334Y5_004831-T1	DBVPG3775_000780-T1
GF00000013	TFCN17334Y5_005580-T1	DBVPG3775_006585-T1
GF00000014	TFCN17334Y5_006216-T1	DBVPG3775_004957-T1
GF00000015	TFCN17334Y5_005296-T1	DBVPG3775_006246-T1
GF00000016	TFCN17334Y5_005689-T1	DBVPG3775_000979-T1
GF00000017	TFCN17334Y5_007918-T1	DBVPG3775_002987-T1
GF00000018	TFCN17334Y5_003136-T1	DBVPG3775_000902-T1
GF00000019	TFCN17334Y5_009439-T1	DBVPG3775_005693-T1
GF00000020	TFCN17334Y5_009311-T1	DBVPG3775_004369-T1
GF00000021	TFCN17334Y5_011711-T1	DBVPG3775_001893-T1
GF00000022	TFCN17334Y5_012507-T1	DBVPG3775_004041-T1
GF00000023	TFCN17334Y5_010265-T1	DBVPG3775_001426-T1
GF00000024	TFCN17334Y5_005028-T1	DBVPG3775_001719-T1
GF00000025	TFCN17334Y5_007119-T1	DBVPG3775_002812-T1
GF00000026	TFCN17334Y5_004162-T1	DBVPG3775_002916-T1
GF00000027	TFCN17334Y5_002365-T1	DBVPG3775_000357-T1
GF00000028	TFCN17334Y5_004461-T1	DBVPG3775_003162-T1
GF00000029	TFCN17334Y5_011382-T1	DBVPG3775_007326-T1
GF00000030	TFCN17334Y5_013305-T1	DBVPG3775_002869-T1
GF00000031	TFCN17334Y5_010643-T1	DBVPG3775_005960-T1
GF00000032	TFCN17334Y5_003112-T1	DBVPG3775_000924-T1
GF00000033	TFCN17334Y5_002249-T1	DBVPG3775_007088-T1
GF00000034	TFCN17334Y5_012460-T1	DBVPG3775_005321-T1
GF00000035	TFCN17334Y5_011531-T1	DBVPG3775_002328-T1
GF00000036	TFCN17334Y5_000800-T1	DBVPG3775_000170-T1
GF00000037	TFCN17334Y5_010990-T1	DBVPG3775_004141-T1
GF00000038	TFCN17334Y5_011831-T1	DBVPG3775_006341-T1
GF00000039	TFCN17334Y5_009986-T1	DBVPG3775_003326-T1
GF00000040	TFCN17334Y5_007354-T1	DBVPG3775_000387-T1
GF00000041	TFCN17334Y5_002033-T1	DBVPG3775_004293-T1
GF00000042	TFCN17334Y5_008319-T1	DBVPG3775_000026-T1
GF00000043	TFCN17334Y5_005167-T1	DBVPG3775_004622-T1
GF00000044	TFCN17334Y5_004321-T1	DBVPG3775_001370-T1
GF00000045	TFCN17334Y5_001501-T1	DBVPG3775_003746-T1
GF00000046	TFCN17334Y5_003337-T1	DBVPG3775_002206-T1
GF00000047	TFCN17334Y5_006290-T1	DBVPG3775_002046-T1
GF00000048	TFCN17334Y5_000185-T1	DBVPG3775_005080-T1
GF00000049	TFCN17334Y5_005863-T1	DBVPG3775_004459-T1
GF00000050	TFCN17334Y5_004137-T1	DBVPG3775_002941-T1
GF00000051	TFCN17334Y5_003910-T1	DBVPG3775_007132-T1
GF00000052	TFCN17334Y5_009973-T1	DBVPG3775_003313-T1
GF00000053	TFCN17334Y5_005411-T1	DBVPG3775_002043-T1
GF00000054	TFCN17334Y5_006453-T1	DBVPG3775_004521-T1
GF00000055	TFCN17334Y5_010722-T1	DBVPG3775_000993-T1
GF00000056	TFCN17334Y5_003004-T1	DBVPG3775_003520-T1
GF00000057	TFCN17334Y5_009916-T1	DBVPG3775_007158-T1
GF00000058	TFCN17334Y5_003323-T1	DBVPG3775_002218-T1
GF00000059	TFCN17334Y5_013392-T1	DBVPG3775_001018-T1
GF00000060	TFCN17334Y5_001880-T1	DBVPG3775_001088-T1
GF00000061	TFCN17334Y5_009557-T1	DBVPG3775_001451-T1
GF00000062	TFCN17334Y5_003882-T1	DBVPG3775_005166-T1
GF00000063	TFCN17334Y5_007709-T1	DBVPG3775_005736-T1
GF00000064	TFCN17334Y5_000383-T1	DBVPG3775_004308-T1
GF00000065	TFCN17334Y5_012810-T1	DBVPG3775_000562-T1
GF00000066	TFCN17334Y5_005596-T1	DBVPG3775_007424-T1
GF00000067	TFCN17334Y5_011720-T1	DBVPG3775_001902-T1
GF00000068	TFCN17334Y5_008339-T1	DBVPG3775_000467-T1
GF00000069	TFCN17334Y5_010917-T1	DBVPG3775_003251-T1
GF00000070	TFCN17334Y5_014274-T1	DBVPG3775_006345-T1
GF00000071	TFCN17334Y5_007237-T1	DBVPG3775_003785-T1
GF00000072	TFCN17334Y5_007229-T1	DBVPG3775_003792-T1
GF00000073	TFCN17334Y5_008455-T1	DBVPG3775_003328-T1
GF00000074	TFCN17334Y5_009862-T1	DBVPG3775_002083-T1
GF00000075	TFCN17334Y5_004523-T1	DBVPG3775_006977-T1
GF00000076	TFCN17334Y5_003687-T1	DBVPG3775_003881-T1
GF00000077	TFCN17334Y5_013645-T1	DBVPG3775_006818-T1
GF00000078	TFCN17334Y5_003198-T1	DBVPG3775_000842-T1
GF00000079	TFCN17334Y5_012384-T1	DBVPG3775_007226-T1
GF00000080	TFCN17334Y5_006962-T1	DBVPG3775_005163-T1
GF00000081	TFCN17334Y5_010614-T1	DBVPG3775_005157-T1
GF00000082	TFCN17334Y5_004250-T1	DBVPG3775_005599-T1
GF00000083	TFCN17334Y5_012718-T1	DBVPG3775_002338-T1
GF00000084	TFCN17334Y5_007282-T1	DBVPG3775_003742-T1
GF00000085	TFCN17334Y5_010899-T1	DBVPG3775_006948-T1
GF00000086	TFCN17334Y5_010884-T1	DBVPG3775_006954-T1
GF00000087	TFCN17334Y5_007207-T1	DBVPG3775_003172-T1
GF00000088	TFCN17334Y5_007436-T1	DBVPG3775_002226-T1
GF00000089	TFCN17334Y5_006275-T1	DBVPG3775_000368-T1
GF00000090	TFCN17334Y5_001571-T1	DBVPG3775_005033-T1
GF00000091	TFCN17334Y5_000410-T1	DBVPG3775_004339-T1
GF00000092	TFCN17334Y5_000454-T1	DBVPG3775_004080-T1
GF00000093	TFCN17334Y5_013407-T1	DBVPG3775_000082-T1
GF00000094	TFCN17334Y5_000779-T1	DBVPG3775_000191-T1
GF00000095	TFCN17334Y5_002789-T1	DBVPG3775_002257-T1
GF00000096	TFCN17334Y5_005290-T1	DBVPG3775_007105-T1
GF00000097	TFCN17334Y5_013182-T1	DBVPG3775_006584-T1
GF00000098	TFCN17334Y5_007227-T1	DBVPG3775_003794-T1
GF00000099	TFCN17334Y5_012141-T1	DBVPG3775_002526-T1
GF00000100	TFCN17334Y5_002753-T1	DBVPG3775_003686-T1
GF00000101	TFCN17334Y5_011976-T1	DBVPG3775_002579-T1
GF00000102	TFCN17334Y5_012457-T1	DBVPG3775_005324-T1
GF00000103	TFCN17334Y5_002370-T1	DBVPG3775_000399-T1
GF00000104	TFCN17334Y5_009250-T1	DBVPG3775_001677-T1
GF00000105	TFCN17334Y5_012047-T1	DBVPG3775_007241-T1
GF00000106	TFCN17334Y5_014298-T1	DBVPG3775_003273-T1
GF00000107	TFCN17334Y5_000119-T1	DBVPG3775_003182-T1
GF00000108	TFCN17334Y5_008368-T1	DBVPG3775_000439-T1
GF00000109	TFCN17334Y5_006815-T1	DBVPG3775_001962-T1
GF00000110	TFCN17334Y5_008884-T1	DBVPG3775_003877-T1
GF00000111	TFCN17334Y5_001990-T1	DBVPG3775_004181-T1
GF00000112	TFCN17334Y5_002505-T1	DBVPG3775_000475-T1
GF00000113	TFCN17334Y5_011534-T1	DBVPG3775_002326-T1
GF00000114	TFCN17334Y5_013285-T1	DBVPG3775_004502-T1
GF00000115	TFCN17334Y5_004603-T1	DBVPG3775_001853-T1
GF00000116	TFCN17334Y5_007333-T1	DBVPG3775_005753-T1
GF00000117	TFCN17334Y5_004487-T1	DBVPG3775_006438-T1
GF00000118	TFCN17334Y5_010053-T1	DBVPG3775_006241-T1
GF00000119	TFCN17334Y5_010036-T1	DBVPG3775_006959-T1
GF00000120	TFCN17334Y5_008868-T1	DBVPG3775_004717-T1
GF00000121	TFCN17334Y5_009457-T1	DBVPG3775_006015-T1
GF00000122	TFCN17334Y5_006428-T1	DBVPG3775_004545-T1
GF00000123	TFCN17334Y5_010983-T1	DBVPG3775_003411-T1
GF00000124	TFCN17334Y5_006019-T1	DBVPG3775_003596-T1
GF00000125	TFCN17334Y5_004975-T1	DBVPG3775_001671-T1
GF00000126	TFCN17334Y5_012297-T1	DBVPG3775_001529-T1
GF00000127	TFCN17334Y5_001716-T1	DBVPG3775_001266-T1
GF00000128	TFCN17334Y5_001751-T1	DBVPG3775_003741-T1
GF00000129	TFCN17334Y5_003670-T1	DBVPG3775_003865-T1
GF00000130	TFCN17334Y5_003615-T1	DBVPG3775_006076-T1
GF00000131	TFCN17334Y5_004423-T1	DBVPG3775_002435-T1
GF00000132	TFCN17334Y5_012786-T1	DBVPG3775_007423-T1
GF00000133	TFCN17334Y5_004229-T1	DBVPG3775_005603-T1
GF00000134	TFCN17334Y5_010195-T1	DBVPG3775_007483-T1
GF00000135	TFCN17334Y5_014332-T1	DBVPG3775_005884-T1
GF00000136	TFCN17334Y5_012495-T1	DBVPG3775_001020-T1
GF00000137	TFCN17334Y5_011361-T1	DBVPG3775_006673-T1
GF00000138	TFCN17334Y5_011672-T1	DBVPG3775_004880-T1
GF00000139	TFCN17334Y5_003633-T1	DBVPG3775_006388-T1
GF00000140	TFCN17334Y5_013361-T1	DBVPG3775_006133-T1
GF00000141	TFCN17334Y5_008834-T1	DBVPG3775_004520-T1
GF00000142	TFCN17334Y5_004605-T1	DBVPG3775_001834-T1
GF00000143	TFCN17334Y5_007069-T1	DBVPG3775_002751-T1
GF00000144	TFCN17334Y5_006629-T1	DBVPG3775_007270-T1
GF00000145	TFCN17334Y5_014022-T1	DBVPG3775_006662-T1
GF00000146	TFCN17334Y5_012279-T1	DBVPG3775_001549-T1
GF00000147	TFCN17334Y5_000404-T1	DBVPG3775_004335-T1
GF00000148	TFCN17334Y5_011454-T1	DBVPG3775_000632-T1
GF00000149	TFCN17334Y5_001482-T1	DBVPG3775_003767-T1
GF00000150	TFCN17334Y5_000091-T1	DBVPG3775_006416-T1
GF00000151	TFCN17334Y5_000166-T1	DBVPG3775_003134-T1
GF00000152	TFCN17334Y5_000204-T1	DBVPG3775_003098-T1
GF00000153	TFCN17334Y5_004613-T1	DBVPG3775_005082-T1
GF00000154	TFCN17334Y5_000598-T1	DBVPG3775_005109-T1
GF00000155	TFCN17334Y5_000550-T1	DBVPG3775_006031-T1
GF00000156	TFCN17334Y5_000698-T1	DBVPG3775_000271-T1
GF00000157	TFCN17334Y5_002776-T1	DBVPG3775_002271-T1
GF00000158	TFCN17334Y5_005717-T1	DBVPG3775_003643-T1
GF00000159	TFCN17334Y5_000817-T1	DBVPG3775_000153-T1
