	Rhodotorula_mucilaginosa_CHIFNET_10NJ071.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	CHIFNET10NJ071_008816-T1	DBVPG3775_001425-T1
GF00000002	CHIFNET10NJ071_005471-T1	DBVPG3775_002003-T1
GF00000003	CHIFNET10NJ071_010280-T1	DBVPG3775_002321-T1
GF00000004	CHIFNET10NJ071_010497-T1	DBVPG3775_001973-T1
GF00000005	CHIFNET10NJ071_011367-T1	DBVPG3775_004172-T1
GF00000006	CHIFNET10NJ071_005201-T1	DBVPG3775_004132-T1
GF00000007	CHIFNET10NJ071_010103-T1	DBVPG3775_006827-T1
GF00000008	CHIFNET10NJ071_010650-T1	DBVPG3775_005585-T1
GF00000009	CHIFNET10NJ071_011087-T1	DBVPG3775_004453-T1
GF00000010	CHIFNET10NJ071_005066-T1	DBVPG3775_000780-T1
GF00000011	CHIFNET10NJ071_001811-T1	DBVPG3775_005206-T1
GF00000012	CHIFNET10NJ071_002197-T1	DBVPG3775_003781-T1
GF00000013	CHIFNET10NJ071_008986-T1	DBVPG3775_006585-T1
GF00000014	CHIFNET10NJ071_002579-T1	DBVPG3775_000220-T1
GF00000015	CHIFNET10NJ071_000684-T1	DBVPG3775_002987-T1
GF00000016	CHIFNET10NJ071_007246-T1	DBVPG3775_000979-T1
GF00000017	CHIFNET10NJ071_013193-T1	DBVPG3775_000902-T1
GF00000018	CHIFNET10NJ071_014494-T1	DBVPG3775_000527-T1
GF00000019	CHIFNET10NJ071_008047-T1	DBVPG3775_004957-T1
GF00000020	CHIFNET10NJ071_002969-T1	DBVPG3775_006246-T1
GF00000021	CHIFNET10NJ071_013952-T1	DBVPG3775_005693-T1
GF00000022	CHIFNET10NJ071_003142-T1	DBVPG3775_002916-T1
GF00000023	CHIFNET10NJ071_005473-T1	DBVPG3775_000357-T1
GF00000024	CHIFNET10NJ071_008063-T1	DBVPG3775_001893-T1
GF00000025	CHIFNET10NJ071_003193-T1	DBVPG3775_004041-T1
GF00000026	CHIFNET10NJ071_004561-T1	DBVPG3775_003162-T1
GF00000027	CHIFNET10NJ071_004252-T1	DBVPG3775_002812-T1
GF00000028	CHIFNET10NJ071_008815-T1	DBVPG3775_001426-T1
GF00000029	CHIFNET10NJ071_014059-T1	DBVPG3775_000924-T1
GF00000030	CHIFNET10NJ071_012797-T1	DBVPG3775_002869-T1
GF00000031	CHIFNET10NJ071_007780-T1	DBVPG3775_007326-T1
GF00000032	CHIFNET10NJ071_010427-T1	DBVPG3775_001370-T1
GF00000033	CHIFNET10NJ071_007289-T1	DBVPG3775_006836-T1
GF00000034	CHIFNET10NJ071_005819-T1	DBVPG3775_003326-T1
GF00000035	CHIFNET10NJ071_014171-T1	DBVPG3775_007088-T1
GF00000036	CHIFNET10NJ071_007111-T1	DBVPG3775_003313-T1
GF00000037	CHIFNET10NJ071_012656-T1	DBVPG3775_000026-T1
GF00000038	CHIFNET10NJ071_002212-T1	DBVPG3775_003794-T1
GF00000039	CHIFNET10NJ071_005196-T1	DBVPG3775_004140-T1
GF00000040	CHIFNET10NJ071_004919-T1	DBVPG3775_004622-T1
GF00000041	CHIFNET10NJ071_010272-T1	DBVPG3775_002328-T1
GF00000042	CHIFNET10NJ071_000769-T1	DBVPG3775_001251-T1
GF00000043	CHIFNET10NJ071_004872-T1	DBVPG3775_002206-T1
GF00000044	CHIFNET10NJ071_004858-T1	DBVPG3775_002218-T1
GF00000045	CHIFNET10NJ071_009932-T1	DBVPG3775_005960-T1
