	Rhodotorula_mucilaginosa_CHIFNET_10NJ071.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	CHIFNET10NJ071_001488-T1, CHIFNET10NJ071_003262-T1, CHIFNET10NJ071_000390-T1, CHIFNET10NJ071_005582-T1, CHIFNET10NJ071_014404-T1, CHIFNET10NJ071_003375-T1, CHIFNET10NJ071_008438-T1, CHIFNET10NJ071_007137-T1, CHIFNET10NJ071_011356-T1, CHIFNET10NJ071_007958-T1, CHIFNET10NJ071_013358-T1, CHIFNET10NJ071_008889-T1, CHIFNET10NJ071_013507-T1, CHIFNET10NJ071_000809-T1, CHIFNET10NJ071_000999-T1, CHIFNET10NJ071_010490-T1, CHIFNET10NJ071_009358-T1, CHIFNET10NJ071_005452-T1, CHIFNET10NJ071_003602-T1, CHIFNET10NJ071_006424-T1, CHIFNET10NJ071_012579-T1, CHIFNET10NJ071_014546-T1, CHIFNET10NJ071_000723-T1, CHIFNET10NJ071_003109-T1, CHIFNET10NJ071_002808-T1, CHIFNET10NJ071_004847-T1, CHIFNET10NJ071_006379-T1, CHIFNET10NJ071_008816-T1, CHIFNET10NJ071_005220-T1, CHIFNET10NJ071_008512-T1, CHIFNET10NJ071_011282-T1, CHIFNET10NJ071_011023-T1, CHIFNET10NJ071_001824-T1, CHIFNET10NJ071_008690-T1, CHIFNET10NJ071_001185-T1, CHIFNET10NJ071_008377-T1, CHIFNET10NJ071_012948-T1, CHIFNET10NJ071_006194-T1, CHIFNET10NJ071_013716-T1, CHIFNET10NJ071_012708-T1, CHIFNET10NJ071_009319-T1, CHIFNET10NJ071_001568-T1, CHIFNET10NJ071_005684-T1, CHIFNET10NJ071_008920-T1, CHIFNET10NJ071_006966-T1, CHIFNET10NJ071_003261-T1, CHIFNET10NJ071_005175-T1, CHIFNET10NJ071_010129-T1, CHIFNET10NJ071_012947-T1, CHIFNET10NJ071_007273-T1, CHIFNET10NJ071_011447-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002135-T1, DBVPG3775_002229-T1, DBVPG3775_002302-T1, DBVPG3775_002446-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_003641-T1, DBVPG3775_004107-T1, DBVPG3775_004108-T1, DBVPG3775_004113-T1, DBVPG3775_004163-T1, DBVPG3775_004535-T1, DBVPG3775_004694-T1, DBVPG3775_005192-T1, DBVPG3775_005417-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_006852-T1, DBVPG3775_007352-T1
GF00000002	CHIFNET10NJ071_000177-T1, CHIFNET10NJ071_007862-T1, CHIFNET10NJ071_001885-T1, CHIFNET10NJ071_009202-T1, CHIFNET10NJ071_004977-T1, CHIFNET10NJ071_002584-T1, CHIFNET10NJ071_009102-T1, CHIFNET10NJ071_009028-T1, CHIFNET10NJ071_005011-T1, CHIFNET10NJ071_002622-T1, CHIFNET10NJ071_008535-T1, CHIFNET10NJ071_009889-T1, CHIFNET10NJ071_006079-T1, CHIFNET10NJ071_001557-T1, CHIFNET10NJ071_005695-T1, CHIFNET10NJ071_012418-T1, CHIFNET10NJ071_004382-T1, CHIFNET10NJ071_003327-T1, CHIFNET10NJ071_003815-T1, CHIFNET10NJ071_007635-T1, CHIFNET10NJ071_005471-T1, CHIFNET10NJ071_004641-T1, CHIFNET10NJ071_003521-T1, CHIFNET10NJ071_006257-T1, CHIFNET10NJ071_004229-T1, CHIFNET10NJ071_014615-T1, CHIFNET10NJ071_008416-T1, CHIFNET10NJ071_001757-T1, CHIFNET10NJ071_013247-T1, CHIFNET10NJ071_006178-T1, CHIFNET10NJ071_003286-T1, CHIFNET10NJ071_012417-T1, CHIFNET10NJ071_013365-T1, CHIFNET10NJ071_007965-T1, CHIFNET10NJ071_003287-T1, CHIFNET10NJ071_002289-T1, CHIFNET10NJ071_005888-T1, CHIFNET10NJ071_005199-T1, CHIFNET10NJ071_014210-T1, CHIFNET10NJ071_014209-T1, CHIFNET10NJ071_007636-T1	DBVPG3775_000052-T1, DBVPG3775_000170-T1, DBVPG3775_000215-T1, DBVPG3775_000333-T1, DBVPG3775_000354-T1, DBVPG3775_000355-T1, DBVPG3775_000872-T1, DBVPG3775_001448-T1, DBVPG3775_001799-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_002787-T1, DBVPG3775_004136-T1, DBVPG3775_004678-T1, DBVPG3775_005370-T1, DBVPG3775_006266-T1, DBVPG3775_006267-T1, DBVPG3775_006624-T1, DBVPG3775_007119-T1, DBVPG3775_007143-T1
GF00000003	CHIFNET10NJ071_013762-T1, CHIFNET10NJ071_008574-T1, CHIFNET10NJ071_002195-T1, CHIFNET10NJ071_011237-T1, CHIFNET10NJ071_012001-T1, CHIFNET10NJ071_009182-T1, CHIFNET10NJ071_001903-T1, CHIFNET10NJ071_008567-T1, CHIFNET10NJ071_011653-T1, CHIFNET10NJ071_010280-T1, CHIFNET10NJ071_004927-T1, CHIFNET10NJ071_013208-T1, CHIFNET10NJ071_010487-T1, CHIFNET10NJ071_004932-T1, CHIFNET10NJ071_000996-T1, CHIFNET10NJ071_011720-T1, CHIFNET10NJ071_007206-T1, CHIFNET10NJ071_008215-T1, CHIFNET10NJ071_006746-T1, CHIFNET10NJ071_004536-T1, CHIFNET10NJ071_008526-T1, CHIFNET10NJ071_005206-T1, CHIFNET10NJ071_004920-T1, CHIFNET10NJ071_007325-T1, CHIFNET10NJ071_010636-T1, CHIFNET10NJ071_006258-T1, CHIFNET10NJ071_012726-T1, CHIFNET10NJ071_014234-T1, CHIFNET10NJ071_013379-T1, CHIFNET10NJ071_011883-T1, CHIFNET10NJ071_002931-T1, CHIFNET10NJ071_005615-T1, CHIFNET10NJ071_005802-T1, CHIFNET10NJ071_002930-T1, CHIFNET10NJ071_007297-T1, CHIFNET10NJ071_006876-T1, CHIFNET10NJ071_004383-T1, CHIFNET10NJ071_014211-T1, CHIFNET10NJ071_012006-T1	DBVPG3775_000601-T1, DBVPG3775_000606-T1, DBVPG3775_001963-T1, DBVPG3775_002321-T1, DBVPG3775_003371-T1, DBVPG3775_003524-T1, DBVPG3775_003779-T1, DBVPG3775_004127-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006265-T1, DBVPG3775_006438-T1, DBVPG3775_006626-T1, DBVPG3775_006758-T1, DBVPG3775_006822-T1, DBVPG3775_007162-T1
GF00000004	CHIFNET10NJ071_002340-T1, CHIFNET10NJ071_003391-T1, CHIFNET10NJ071_007919-T1, CHIFNET10NJ071_006301-T1, CHIFNET10NJ071_000099-T1, CHIFNET10NJ071_001047-T1, CHIFNET10NJ071_000454-T1, CHIFNET10NJ071_011107-T1, CHIFNET10NJ071_004788-T1, CHIFNET10NJ071_010687-T1, CHIFNET10NJ071_006113-T1, CHIFNET10NJ071_003811-T1, CHIFNET10NJ071_010681-T1, CHIFNET10NJ071_003332-T1, CHIFNET10NJ071_006107-T1, CHIFNET10NJ071_012274-T1, CHIFNET10NJ071_001691-T1, CHIFNET10NJ071_010497-T1, CHIFNET10NJ071_001005-T1, CHIFNET10NJ071_011939-T1, CHIFNET10NJ071_003919-T1, CHIFNET10NJ071_014675-T1, CHIFNET10NJ071_011455-T1, CHIFNET10NJ071_007469-T1, CHIFNET10NJ071_007307-T1, CHIFNET10NJ071_012059-T1, CHIFNET10NJ071_004774-T1, CHIFNET10NJ071_007227-T1, CHIFNET10NJ071_000597-T1, CHIFNET10NJ071_011379-T1, CHIFNET10NJ071_000611-T1, CHIFNET10NJ071_013705-T1, CHIFNET10NJ071_002526-T1, CHIFNET10NJ071_003792-T1, CHIFNET10NJ071_011517-T1, CHIFNET10NJ071_007244-T1, CHIFNET10NJ071_011940-T1	DBVPG3775_000661-T1, DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001148-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002215-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005327-T1, DBVPG3775_005341-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000005	CHIFNET10NJ071_013872-T1, CHIFNET10NJ071_011874-T1, CHIFNET10NJ071_000158-T1, CHIFNET10NJ071_004219-T1, CHIFNET10NJ071_012332-T1, CHIFNET10NJ071_007835-T1, CHIFNET10NJ071_013189-T1, CHIFNET10NJ071_003094-T1, CHIFNET10NJ071_000708-T1, CHIFNET10NJ071_002915-T1, CHIFNET10NJ071_009290-T1, CHIFNET10NJ071_010616-T1, CHIFNET10NJ071_003704-T1, CHIFNET10NJ071_006360-T1, CHIFNET10NJ071_000488-T1, CHIFNET10NJ071_007157-T1, CHIFNET10NJ071_000575-T1, CHIFNET10NJ071_008611-T1, CHIFNET10NJ071_006225-T1, CHIFNET10NJ071_009145-T1, CHIFNET10NJ071_003645-T1, CHIFNET10NJ071_000289-T1, CHIFNET10NJ071_005781-T1, CHIFNET10NJ071_013743-T1, CHIFNET10NJ071_011367-T1, CHIFNET10NJ071_009328-T1, CHIFNET10NJ071_008759-T1, CHIFNET10NJ071_003520-T1, CHIFNET10NJ071_004640-T1, CHIFNET10NJ071_000919-T1, CHIFNET10NJ071_011059-T1, CHIFNET10NJ071_002440-T1, CHIFNET10NJ071_000707-T1, CHIFNET10NJ071_008181-T1, CHIFNET10NJ071_005352-T1, CHIFNET10NJ071_007836-T1, CHIFNET10NJ071_010617-T1	DBVPG3775_000122-T1, DBVPG3775_000507-T1, DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_002004-T1, DBVPG3775_002963-T1, DBVPG3775_003862-T1, DBVPG3775_004172-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_006799-T1, DBVPG3775_007532-T1
GF00000006	CHIFNET10NJ071_001207-T1, CHIFNET10NJ071_008135-T1, CHIFNET10NJ071_005244-T1, CHIFNET10NJ071_010931-T1, CHIFNET10NJ071_005272-T1, CHIFNET10NJ071_004198-T1, CHIFNET10NJ071_011970-T1, CHIFNET10NJ071_009045-T1, CHIFNET10NJ071_013893-T1, CHIFNET10NJ071_013648-T1, CHIFNET10NJ071_006125-T1, CHIFNET10NJ071_008963-T1, CHIFNET10NJ071_012512-T1, CHIFNET10NJ071_011871-T1, CHIFNET10NJ071_014471-T1, CHIFNET10NJ071_005277-T1, CHIFNET10NJ071_002209-T1, CHIFNET10NJ071_011224-T1, CHIFNET10NJ071_004799-T1, CHIFNET10NJ071_007255-T1, CHIFNET10NJ071_013480-T1, CHIFNET10NJ071_002326-T1, CHIFNET10NJ071_013833-T1, CHIFNET10NJ071_010529-T1, CHIFNET10NJ071_010528-T1, CHIFNET10NJ071_010534-T1, CHIFNET10NJ071_002513-T1, CHIFNET10NJ071_011340-T1, CHIFNET10NJ071_005201-T1, CHIFNET10NJ071_008531-T1, CHIFNET10NJ071_003922-T1, CHIFNET10NJ071_013505-T1, CHIFNET10NJ071_014379-T1, CHIFNET10NJ071_008887-T1, CHIFNET10NJ071_011936-T1, CHIFNET10NJ071_014337-T1	DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002304-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_004132-T1, DBVPG3775_005071-T1, DBVPG3775_005929-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000007	CHIFNET10NJ071_001734-T1, CHIFNET10NJ071_010103-T1, CHIFNET10NJ071_011426-T1, CHIFNET10NJ071_006897-T1, CHIFNET10NJ071_006895-T1, CHIFNET10NJ071_004548-T1, CHIFNET10NJ071_007294-T1, CHIFNET10NJ071_006872-T1, CHIFNET10NJ071_006917-T1, CHIFNET10NJ071_006733-T1, CHIFNET10NJ071_002184-T1, CHIFNET10NJ071_006485-T1, CHIFNET10NJ071_004549-T1, CHIFNET10NJ071_004550-T1, CHIFNET10NJ071_004551-T1, CHIFNET10NJ071_006873-T1, CHIFNET10NJ071_006893-T1, CHIFNET10NJ071_006896-T1, CHIFNET10NJ071_006918-T1, CHIFNET10NJ071_008978-T1, CHIFNET10NJ071_006639-T1, CHIFNET10NJ071_004317-T1, CHIFNET10NJ071_005102-T1, CHIFNET10NJ071_006894-T1, CHIFNET10NJ071_006871-T1, CHIFNET10NJ071_006475-T1, CHIFNET10NJ071_006869-T1, CHIFNET10NJ071_006870-T1, CHIFNET10NJ071_006976-T1	DBVPG3775_001472-T1, DBVPG3775_003651-T1, DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1
GF00000008	CHIFNET10NJ071_002502-T1, CHIFNET10NJ071_011329-T1, CHIFNET10NJ071_002960-T1, CHIFNET10NJ071_002902-T1, CHIFNET10NJ071_010650-T1, CHIFNET10NJ071_002953-T1, CHIFNET10NJ071_010429-T1, CHIFNET10NJ071_009278-T1, CHIFNET10NJ071_002936-T1, CHIFNET10NJ071_002947-T1, CHIFNET10NJ071_002937-T1, CHIFNET10NJ071_010214-T1, CHIFNET10NJ071_002903-T1, CHIFNET10NJ071_002904-T1, CHIFNET10NJ071_009279-T1, CHIFNET10NJ071_002959-T1, CHIFNET10NJ071_009280-T1, CHIFNET10NJ071_002950-T1, CHIFNET10NJ071_002968-T1, CHIFNET10NJ071_010648-T1, CHIFNET10NJ071_010661-T1, CHIFNET10NJ071_010639-T1, CHIFNET10NJ071_002958-T1, CHIFNET10NJ071_002948-T1, CHIFNET10NJ071_013404-T1, CHIFNET10NJ071_010652-T1	DBVPG3775_001372-T1, DBVPG3775_001378-T1, DBVPG3775_003924-T1, DBVPG3775_005565-T1, DBVPG3775_005573-T1, DBVPG3775_005574-T1, DBVPG3775_005575-T1, DBVPG3775_005579-T1, DBVPG3775_005582-T1, DBVPG3775_005584-T1, DBVPG3775_005585-T1, DBVPG3775_005586-T1, DBVPG3775_005596-T1, DBVPG3775_005597-T1, DBVPG3775_005628-T1, DBVPG3775_005629-T1, DBVPG3775_007342-T1
GF00000009	CHIFNET10NJ071_001926-T1, CHIFNET10NJ071_005966-T1, CHIFNET10NJ071_007758-T1, CHIFNET10NJ071_007756-T1, CHIFNET10NJ071_011086-T1, CHIFNET10NJ071_011087-T1, CHIFNET10NJ071_002725-T1, CHIFNET10NJ071_007759-T1, CHIFNET10NJ071_014007-T1, CHIFNET10NJ071_014008-T1, CHIFNET10NJ071_007992-T1, CHIFNET10NJ071_002715-T1, CHIFNET10NJ071_007757-T1, CHIFNET10NJ071_002721-T1, CHIFNET10NJ071_012448-T1, CHIFNET10NJ071_007995-T1, CHIFNET10NJ071_008013-T1, CHIFNET10NJ071_002746-T1, CHIFNET10NJ071_008014-T1, CHIFNET10NJ071_002724-T1, CHIFNET10NJ071_005967-T1, CHIFNET10NJ071_002745-T1	DBVPG3775_001053-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
GF00000010	CHIFNET10NJ071_013351-T1, CHIFNET10NJ071_000269-T1, CHIFNET10NJ071_006802-T1, CHIFNET10NJ071_007949-T1, CHIFNET10NJ071_003182-T1, CHIFNET10NJ071_013213-T1, CHIFNET10NJ071_005188-T1, CHIFNET10NJ071_008546-T1, CHIFNET10NJ071_003624-T1, CHIFNET10NJ071_006629-T1, CHIFNET10NJ071_014220-T1, CHIFNET10NJ071_000338-T1, CHIFNET10NJ071_008221-T1, CHIFNET10NJ071_008053-T1, CHIFNET10NJ071_011725-T1, CHIFNET10NJ071_003577-T1, CHIFNET10NJ071_005427-T1, CHIFNET10NJ071_001581-T1, CHIFNET10NJ071_005671-T1, CHIFNET10NJ071_007378-T1, CHIFNET10NJ071_005066-T1, CHIFNET10NJ071_007377-T1	DBVPG3775_000780-T1, DBVPG3775_001312-T1, DBVPG3775_001313-T1, DBVPG3775_001314-T1, DBVPG3775_001822-T1, DBVPG3775_002144-T1, DBVPG3775_002394-T1, DBVPG3775_003365-T1, DBVPG3775_004031-T1, DBVPG3775_004148-T1, DBVPG3775_004951-T1, DBVPG3775_005480-T1, DBVPG3775_005529-T1
GF00000011	CHIFNET10NJ071_006224-T1, CHIFNET10NJ071_008610-T1, CHIFNET10NJ071_008678-T1, CHIFNET10NJ071_007319-T1, CHIFNET10NJ071_005144-T1, CHIFNET10NJ071_008302-T1, CHIFNET10NJ071_004344-T1, CHIFNET10NJ071_010962-T1, CHIFNET10NJ071_008012-T1, CHIFNET10NJ071_005143-T1, CHIFNET10NJ071_002744-T1, CHIFNET10NJ071_007483-T1, CHIFNET10NJ071_012871-T1, CHIFNET10NJ071_003877-T1, CHIFNET10NJ071_011495-T1, CHIFNET10NJ071_012722-T1, CHIFNET10NJ071_001661-T1, CHIFNET10NJ071_013044-T1, CHIFNET10NJ071_001811-T1, CHIFNET10NJ071_007482-T1, CHIFNET10NJ071_011496-T1, CHIFNET10NJ071_012724-T1, CHIFNET10NJ071_012723-T1	DBVPG3775_001546-T1, DBVPG3775_004369-T1, DBVPG3775_005206-T1, DBVPG3775_005788-T1, DBVPG3775_006461-T1, DBVPG3775_006604-T1, DBVPG3775_006605-T1, DBVPG3775_006798-T1, DBVPG3775_007217-T1, DBVPG3775_007366-T1, DBVPG3775_007367-T1, DBVPG3775_007368-T1
GF00000012	CHIFNET10NJ071_005148-T1, CHIFNET10NJ071_008306-T1, CHIFNET10NJ071_003507-T1, CHIFNET10NJ071_004628-T1, CHIFNET10NJ071_007115-T1, CHIFNET10NJ071_013990-T1, CHIFNET10NJ071_014109-T1, CHIFNET10NJ071_014466-T1, CHIFNET10NJ071_009856-T1, CHIFNET10NJ071_000181-T1, CHIFNET10NJ071_014166-T1, CHIFNET10NJ071_013476-T1, CHIFNET10NJ071_013136-T1, CHIFNET10NJ071_000636-T1, CHIFNET10NJ071_010873-T1, CHIFNET10NJ071_000479-T1, CHIFNET10NJ071_002660-T1, CHIFNET10NJ071_011089-T1, CHIFNET10NJ071_000303-T1, CHIFNET10NJ071_009160-T1, CHIFNET10NJ071_011235-T1, CHIFNET10NJ071_002197-T1	DBVPG3775_000746-T1, DBVPG3775_000867-T1, DBVPG3775_001752-T1, DBVPG3775_002017-T1, DBVPG3775_002532-T1, DBVPG3775_003035-T1, DBVPG3775_003309-T1, DBVPG3775_003781-T1, DBVPG3775_004455-T1, DBVPG3775_004768-T1, DBVPG3775_005244-T1, DBVPG3775_005784-T1
GF00000013	CHIFNET10NJ071_009737-T1, CHIFNET10NJ071_010021-T1, CHIFNET10NJ071_008986-T1, CHIFNET10NJ071_005108-T1, CHIFNET10NJ071_009736-T1, CHIFNET10NJ071_009445-T1, CHIFNET10NJ071_009446-T1, CHIFNET10NJ071_013523-T1, CHIFNET10NJ071_010205-T1, CHIFNET10NJ071_010422-T1, CHIFNET10NJ071_013524-T1, CHIFNET10NJ071_006635-T1, CHIFNET10NJ071_003618-T1, CHIFNET10NJ071_001171-T1, CHIFNET10NJ071_008363-T1, CHIFNET10NJ071_005325-T1, CHIFNET10NJ071_012940-T1, CHIFNET10NJ071_010022-T1, CHIFNET10NJ071_002261-T1, CHIFNET10NJ071_012662-T1, CHIFNET10NJ071_011133-T1, CHIFNET10NJ071_012391-T1	DBVPG3775_000020-T1, DBVPG3775_001365-T1, DBVPG3775_003076-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
