pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
RIT389_000258-T1__RIT389_012677-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_12493	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_012677-T1
RIT389_000258-T1__RIT389_008247-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_08118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_008247-T1
RIT389_000258-T1__RIT389_002302-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_02262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_002302-T1
RIT389_000258-T1__RIT389_005414-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_05328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_005414-T1
RIT389_000258-T1__RIT389_001617-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_01585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_001617-T1
RIT389_000258-T1__RIT389_006619-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_06520	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_006619-T1
RIT389_000258-T1__RIT389_000729-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_00722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_000729-T1
RIT389_000258-T1__RIT389_000444-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_00442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_000444-T1
RIT389_000258-T1__RIT389_000407-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_00405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_000407-T1
RIT389_000258-T1__RIT389_010619-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_10458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_010619-T1
RIT389_000258-T1__RIT389_009184-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_09043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_009184-T1
RIT389_000258-T1__RIT389_002357-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_02317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_002357-T1
RIT389_000258-T1__RIT389_003288-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_03227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_003288-T1
RIT389_000258-T1__RIT389_003080-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_03023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_003080-T1
RIT389_000258-T1__RIT389_014378-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_14166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_014378-T1
RIT389_000258-T1__RIT389_004257-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_04184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_004257-T1
RIT389_000258-T1__RIT389_009385-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_09242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_009385-T1
RIT389_000258-T1__RIT389_004571-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_04495	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_004571-T1
RIT389_000258-T1__RIT389_002682-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_02638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_002682-T1
RIT389_000258-T1__RIT389_002732-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_02688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_002732-T1
RIT389_000258-T1__RIT389_007694-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_07579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_007694-T1
RIT389_000258-T1__RIT389_009663-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_09518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_009663-T1
RIT389_000258-T1__RIT389_009168-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_09027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_009168-T1
RIT389_000258-T1__RIT389_006824-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_06725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_006824-T1
RIT389_000258-T1__RIT389_007092-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_06986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_007092-T1
RIT389_000258-T1__RIT389_003192-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_03133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_003192-T1
RIT389_000258-T1__RIT389_014616-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_14402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_014616-T1
RIT389_000258-T1__RIT389_006806-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_06707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_006806-T1
RIT389_000258-T1__RIT389_009766-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_09620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_009766-T1
RIT389_000258-T1__RIT389_014551-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_14337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_014551-T1
RIT389_000258-T1__RIT389_013407-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_RIT389.cds.fa_00256	Rhodotorula_mucilaginosa_RIT389.cds.fa_13214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RIT389_000258-T1	RIT389_013407-T1
