	Rhodotorula_mucilaginosa_DBVPG_3857.cds.fa
GF00000001	DBVPG3857_009410-T1, DBVPG3857_010091-T1, DBVPG3857_001355-T1, DBVPG3857_000070-T1, DBVPG3857_006947-T1, DBVPG3857_000314-T1, DBVPG3857_002952-T1, DBVPG3857_007610-T1, DBVPG3857_003089-T1, DBVPG3857_007929-T1, DBVPG3857_014889-T1, DBVPG3857_000143-T1, DBVPG3857_000769-T1, DBVPG3857_000213-T1, DBVPG3857_014704-T1, DBVPG3857_006808-T1, DBVPG3857_004622-T1, DBVPG3857_004304-T1, DBVPG3857_013806-T1, DBVPG3857_005643-T1, DBVPG3857_007242-T1, DBVPG3857_010617-T1, DBVPG3857_008202-T1, DBVPG3857_010886-T1, DBVPG3857_010866-T1, DBVPG3857_014081-T1, DBVPG3857_008149-T1, DBVPG3857_001269-T1, DBVPG3857_012773-T1, DBVPG3857_008728-T1, DBVPG3857_014697-T1, DBVPG3857_009503-T1, DBVPG3857_014964-T1, DBVPG3857_011404-T1, DBVPG3857_003233-T1, DBVPG3857_011119-T1, DBVPG3857_009504-T1, DBVPG3857_014752-T1
GF00000002	DBVPG3857_002533-T1, DBVPG3857_005950-T1, DBVPG3857_008539-T1, DBVPG3857_010132-T1, DBVPG3857_002534-T1, DBVPG3857_012514-T1, DBVPG3857_010117-T1, DBVPG3857_012515-T1, DBVPG3857_008549-T1, DBVPG3857_014910-T1, DBVPG3857_008545-T1, DBVPG3857_010116-T1, DBVPG3857_012048-T1, DBVPG3857_006108-T1, DBVPG3857_005951-T1, DBVPG3857_013437-T1, DBVPG3857_010118-T1, DBVPG3857_010131-T1, DBVPG3857_012049-T1, DBVPG3857_007579-T1, DBVPG3857_000877-T1, DBVPG3857_000878-T1, DBVPG3857_012050-T1, DBVPG3857_005939-T1, DBVPG3857_000835-T1, DBVPG3857_005940-T1, DBVPG3857_006109-T1, DBVPG3857_001175-T1, DBVPG3857_008548-T1, DBVPG3857_000879-T1, DBVPG3857_015130-T1, DBVPG3857_010130-T1, DBVPG3857_007578-T1, DBVPG3857_010129-T1
GF00000003	DBVPG3857_003314-T1, DBVPG3857_003760-T1, DBVPG3857_013016-T1, DBVPG3857_003737-T1, DBVPG3857_005332-T1, DBVPG3857_003762-T1, DBVPG3857_003783-T1, DBVPG3857_011558-T1, DBVPG3857_003738-T1, DBVPG3857_003758-T1, DBVPG3857_013013-T1, DBVPG3857_003759-T1, DBVPG3857_003735-T1, DBVPG3857_003736-T1, DBVPG3857_001604-T1, DBVPG3857_012199-T1, DBVPG3857_003761-T1, DBVPG3857_012337-T1, DBVPG3857_001774-T1, DBVPG3857_013014-T1, DBVPG3857_001777-T1, DBVPG3857_001778-T1, DBVPG3857_009221-T1, DBVPG3857_007033-T1, DBVPG3857_002219-T1, DBVPG3857_012200-T1, DBVPG3857_003782-T1, DBVPG3857_013017-T1, DBVPG3857_001775-T1
GF00000004	DBVPG3857_004449-T1, DBVPG3857_007871-T1, DBVPG3857_002722-T1, DBVPG3857_008989-T1, DBVPG3857_002600-T1, DBVPG3857_006147-T1, DBVPG3857_014633-T1, DBVPG3857_007516-T1, DBVPG3857_013289-T1, DBVPG3857_011881-T1, DBVPG3857_011294-T1, DBVPG3857_001815-T1, DBVPG3857_005435-T1, DBVPG3857_011976-T1, DBVPG3857_006141-T1, DBVPG3857_013283-T1, DBVPG3857_000018-T1, DBVPG3857_001412-T1, DBVPG3857_006506-T1, DBVPG3857_011230-T1, DBVPG3857_013973-T1, DBVPG3857_002860-T1, DBVPG3857_010952-T1, DBVPG3857_005049-T1, DBVPG3857_005850-T1, DBVPG3857_008607-T1, DBVPG3857_011307-T1
GF00000005	DBVPG3857_013798-T1, DBVPG3857_001802-T1, DBVPG3857_006931-T1, DBVPG3857_013410-T1, DBVPG3857_000669-T1, DBVPG3857_000664-T1, DBVPG3857_010289-T1, DBVPG3857_009875-T1, DBVPG3857_009160-T1, DBVPG3857_012929-T1, DBVPG3857_007372-T1, DBVPG3857_005271-T1, DBVPG3857_007268-T1, DBVPG3857_013627-T1, DBVPG3857_013431-T1, DBVPG3857_002457-T1, DBVPG3857_011907-T1, DBVPG3857_000578-T1, DBVPG3857_006129-T1, DBVPG3857_002741-T1, DBVPG3857_008975-T1, DBVPG3857_013324-T1, DBVPG3857_011009-T1, DBVPG3857_014923-T1, DBVPG3857_011282-T1, DBVPG3857_006936-T1
GF00000006	DBVPG3857_008339-T1, DBVPG3857_014260-T1, DBVPG3857_001698-T1, DBVPG3857_011323-T1, DBVPG3857_001704-T1, DBVPG3857_011321-T1, DBVPG3857_001688-T1, DBVPG3857_011339-T1, DBVPG3857_011210-T1, DBVPG3857_011322-T1, DBVPG3857_001697-T1, DBVPG3857_001691-T1, DBVPG3857_011338-T1, DBVPG3857_001687-T1, DBVPG3857_001689-T1, DBVPG3857_001695-T1, DBVPG3857_008338-T1, DBVPG3857_001690-T1, DBVPG3857_001706-T1, DBVPG3857_001692-T1, DBVPG3857_014769-T1, DBVPG3857_001705-T1, DBVPG3857_001693-T1, DBVPG3857_001696-T1, DBVPG3857_001694-T1, DBVPG3857_011211-T1
GF00000007	DBVPG3857_014908-T1, DBVPG3857_011879-T1, DBVPG3857_011292-T1, DBVPG3857_014854-T1, DBVPG3857_011128-T1, DBVPG3857_003226-T1, DBVPG3857_003988-T1, DBVPG3857_011021-T1, DBVPG3857_014054-T1, DBVPG3857_003984-T1, DBVPG3857_009901-T1, DBVPG3857_009348-T1, DBVPG3857_012644-T1, DBVPG3857_007230-T1, DBVPG3857_007231-T1, DBVPG3857_012645-T1, DBVPG3857_012419-T1, DBVPG3857_010647-T1, DBVPG3857_003987-T1
GF00000008	DBVPG3857_004560-T1, DBVPG3857_013298-T1, DBVPG3857_001126-T1, DBVPG3857_007461-T1, DBVPG3857_008792-T1, DBVPG3857_004121-T1, DBVPG3857_012301-T1, DBVPG3857_003703-T1, DBVPG3857_011336-T1, DBVPG3857_001685-T1, DBVPG3857_004464-T1, DBVPG3857_014897-T1, DBVPG3857_009630-T1, DBVPG3857_002907-T1, DBVPG3857_004331-T1, DBVPG3857_006779-T1, DBVPG3857_001130-T1, DBVPG3857_007458-T1
GF00000009	DBVPG3857_001060-T1, DBVPG3857_001059-T1, DBVPG3857_001055-T1, DBVPG3857_004797-T1, DBVPG3857_001061-T1, DBVPG3857_001051-T1, DBVPG3857_004798-T1, DBVPG3857_001058-T1, DBVPG3857_001052-T1, DBVPG3857_001053-T1, DBVPG3857_001054-T1, DBVPG3857_004799-T1, DBVPG3857_001057-T1, DBVPG3857_004801-T1, DBVPG3857_001063-T1, DBVPG3857_004800-T1, DBVPG3857_001062-T1, DBVPG3857_001056-T1
GF00000010	DBVPG3857_011913-T1, DBVPG3857_014771-T1, DBVPG3857_000572-T1, DBVPG3857_013862-T1, DBVPG3857_011218-T1, DBVPG3857_014534-T1, DBVPG3857_014943-T1, DBVPG3857_004063-T1, DBVPG3857_012275-T1, DBVPG3857_010858-T1, DBVPG3857_012328-T1, DBVPG3857_003186-T1, DBVPG3857_010417-T1, DBVPG3857_002677-T1, DBVPG3857_004091-T1, DBVPG3857_005618-T1, DBVPG3857_009526-T1, DBVPG3857_006414-T1
