pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
F85S5P_000251-T1__F85S5P_003355-T1	47.8	18.2	0.0090349075975359	0.0757575757575757	7305.0	0.3174	0.1781	1.7817	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_00250	-148.160696	88.0	2.193652525252525	7.660259523809525	66.0	2.1618	0.0101010101010101	0.0079365079365079	F85S5P_003355-T1	F85S5P_000251-T1
F85S5P_001387-T1__F85S5P_003355-T1	52.4	13.6	0.0090349075975359	0.0757575757575757	7305.0	0.5295	0.2023	2.6174	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_01377	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-158.686875	88.0	2.193652525252525	7.660259523809525	66.0	2.8765	0.0101010101010101	0.0079365079365079	F85S5P_001387-T1	F85S5P_003355-T1
F85S5P_003355-T1__F85S5P_004880-T1	53.2	12.8	0.0090349075975359	0.0757575757575757	7305.0	0.8133	0.5459	1.4897	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04826	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-157.65095	88.0	2.193652525252525	7.660259523809525	66.0	2.8319	0.0101010101010101	0.0079365079365079	F85S5P_004880-T1	F85S5P_003355-T1
F85S5P_003355-T1__F85S5P_005519-T1	50.0	16.0	0.0090349075975359	0.0757575757575757	7305.0	0.8381	0.4082	2.0534	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05456	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-164.632657	88.0	2.193652525252525	7.660259523809525	66.0	3.3987	0.0101010101010101	0.0079365079365079	F85S5P_005519-T1	F85S5P_003355-T1
F85S5P_003355-T1__F85S5P_006532-T1	53.0	13.0	0.0090349075975359	0.0757575757575757	7305.0	0.6543	0.2757	2.3734	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_06460	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-159.699954	88.0	2.193652525252525	7.660259523809525	66.0	2.975	0.0101010101010101	0.0079365079365079	F85S5P_006532-T1	F85S5P_003355-T1
F85S5P_003355-T1__F85S5P_003588-T1	48.1	17.9	0.0090349075975359	0.0757575757575757	7305.0	0.3864	0.1569	2.4627	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03553	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-152.094053	88.0	2.193652525252525	7.660259523809525	66.0	2.8452	0.0101010101010101	0.0079365079365079	F85S5P_003588-T1	F85S5P_003355-T1
F85S5P_000251-T1__F85S5P_004500-T1	46.9	19.1	0.0090349075975359	0.0757575757575757	7305.0	0.8067	0.234	3.4478	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_00250	-155.932328	88.0	2.193652525252525	7.660259523809525	66.0	4.7106	0.0101010101010101	0.0079365079365079	F85S5P_004500-T1	F85S5P_000251-T1
F85S5P_001387-T1__F85S5P_004500-T1	52.6	13.4	0.0090349075975359	0.0757575757575757	7305.0	0.7903	0.3726	2.1207	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_01377	-156.415949	88.0	2.193652525252525	7.660259523809525	66.0	3.1811	0.0101010101010101	0.0079365079365079	F85S5P_004500-T1	F85S5P_001387-T1
F85S5P_004500-T1__F85S5P_004880-T1	53.6	12.4	0.0090349075975359	0.0757575757575757	7305.0	0.8188	0.2563	3.1948	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04826	-147.544299	88.0	2.193652525252525	7.660259523809525	66.0	3.7974	0.0101010101010101	0.0079365079365079	F85S5P_004500-T1	F85S5P_004880-T1
F85S5P_004500-T1__F85S5P_005519-T1	49.3	16.7	0.0090349075975359	0.0757575757575757	7305.0	0.8998	0.7419	1.2128	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05456	-157.901179	88.0	2.193652525252525	7.660259523809525	66.0	2.9376	0.0101010101010101	0.0079365079365079	F85S5P_004500-T1	F85S5P_005519-T1
F85S5P_004500-T1__F85S5P_006532-T1	53.0	13.0	0.0090349075975359	0.0757575757575757	7305.0	0.8752	0.2462	3.5543	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_06460	-155.837739	88.0	2.193652525252525	7.660259523809525	66.0	4.2144	0.0101010101010101	0.0079365079365079	F85S5P_004500-T1	F85S5P_006532-T1
F85S5P_003588-T1__F85S5P_004500-T1	46.8	19.2	0.0090349075975359	0.0757575757575757	7305.0	0.7012	0.3965	1.7684	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03553	-154.56074	88.0	2.193652525252525	7.660259523809525	66.0	3.0332	0.0101010101010101	0.0079365079365079	F85S5P_004500-T1	F85S5P_003588-T1
F85S5P_003187-T1__F85S5P_003355-T1	46.6	19.4	0.0090349075975359	0.0757575757575757	7305.0	0.6513	0.3099	2.1014	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03156	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-157.343276	88.0	2.193652525252525	7.660259523809525	66.0	3.2294	0.0101010101010101	0.0079365079365079	F85S5P_003187-T1	F85S5P_003355-T1
F85S5P_003187-T1__F85S5P_004500-T1	46.0	20.0	0.0090349075975359	0.0757575757575757	7305.0	0.515	0.1957	2.6321	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03156	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	-145.415954	88.0	2.193652525252525	7.660259523809525	66.0	3.4677	0.0101010101010101	0.0079365079365079	F85S5P_003187-T1	F85S5P_004500-T1
F85S5P_000251-T1__F85S5P_005081-T1	45.2	20.8	0.0090349075975359	0.0757575757575757	7305.0	0.6461	0.3427	1.8855	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_00250	-158.048132	88.0	2.193652525252525	7.660259523809525	66.0	3.1093	0.0101010101010101	0.0079365079365079	F85S5P_005081-T1	F85S5P_000251-T1
F85S5P_001387-T1__F85S5P_005081-T1	50.8	15.2	0.0090349075975359	0.0757575757575757	7305.0	0.6453	0.2964	2.177	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_01377	-159.17374	88.0	2.193652525252525	7.660259523809525	66.0	2.9963	0.0101010101010101	0.0079365079365079	F85S5P_005081-T1	F85S5P_001387-T1
F85S5P_004880-T1__F85S5P_005081-T1	51.9	14.1	0.0090349075975359	0.0757575757575757	7305.0	0.9511	1.0335	0.9203	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04826	-155.01964	88.0	2.193652525252525	7.660259523809525	66.0	2.8336	0.0101010101010101	0.0079365079365079	F85S5P_005081-T1	F85S5P_004880-T1
F85S5P_005081-T1__F85S5P_005519-T1	48.0	18.0	0.0090349075975359	0.0757575757575757	7305.0	1.0339	0.6044	1.7106	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05456	-165.123475	88.0	2.193652525252525	7.660259523809525	66.0	3.6558	0.0101010101010101	0.0079365079365079	F85S5P_005081-T1	F85S5P_005519-T1
F85S5P_005081-T1__F85S5P_006532-T1	51.5	14.5	0.0090349075975359	0.0757575757575757	7305.0	1.4324	1.1694	1.2249	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_06460	-165.691458	88.0	2.193652525252525	7.660259523809525	66.0	4.1607	0.0101010101010101	0.0079365079365079	F85S5P_005081-T1	F85S5P_006532-T1
F85S5P_003588-T1__F85S5P_005081-T1	44.9	21.1	0.0090349075975359	0.0757575757575757	7305.0	0.6849	0.0921	7.4371	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03553	-160.495396	88.0	2.193652525252525	7.660259523809525	66.0	8.541	NaN	0.0079365079365079	F85S5P_005081-T1	F85S5P_003588-T1
F85S5P_003187-T1__F85S5P_005081-T1	45.9	20.1	0.0090349075975359	0.0757575757575757	7305.0	0.5573	0.2153	2.5886	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03156	-153.358474	88.0	2.193652525252525	7.660259523809525	66.0	3.5311	0.0101010101010101	0.0079365079365079	F85S5P_005081-T1	F85S5P_003187-T1
F85S5P_003355-T1__F85S5P_004183-T1	47.1	18.9	0.0090349075975359	0.0757575757575757	7305.0	0.433	0.1819	2.3796	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04143	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-157.092592	88.0	2.193652525252525	7.660259523809525	66.0	2.9734	0.0101010101010101	0.0079365079365079	F85S5P_004183-T1	F85S5P_003355-T1
F85S5P_004183-T1__F85S5P_004500-T1	46.3	19.7	0.0090349075975359	0.0757575757575757	7305.0	0.7348	0.0136	54.0156	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04143	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	-157.165518	88.0	2.193652525252525	7.660259523809525	66.0	50.0	NaN	0.0079365079365079	F85S5P_004183-T1	F85S5P_004500-T1
F85S5P_004183-T1__F85S5P_005081-T1	44.0	22.0	0.0090349075975359	0.0757575757575757	7305.0	1.4003	1.0346	1.3534	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04143	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	-169.437526	88.0	2.193652525252525	7.660259523809525	66.0	4.1539	0.0101010101010101	0.0079365079365079	F85S5P_004183-T1	F85S5P_005081-T1
F85S5P_003355-T1__F85S5P_004930-T1	45.6	20.4	0.0090349075975359	0.0757575757575757	7305.0	3.5908	0.0782	45.9029	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04876	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-171.136657	88.0	2.193652525252525	7.660259523809525	66.0	50.0	NaN	0.0079365079365079	F85S5P_004930-T1	F85S5P_003355-T1
F85S5P_004500-T1__F85S5P_004930-T1	45.1	20.9	0.0090349075975359	0.0757575757575757	7305.0	12.785	0.5106	25.0412	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04876	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	-162.49236	88.0	2.193652525252525	7.660259523809525	66.0	50.0	NaN	0.0079365079365079	F85S5P_004930-T1	F85S5P_004500-T1
F85S5P_004930-T1__F85S5P_005081-T1	43.0	23.0	0.0090349075975359	0.0757575757575757	7305.0	3.8307	0.3349	11.4378	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04876	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	-174.065897	88.0	2.193652525252525	7.660259523809525	66.0	19.4559	NaN	0.0079365079365079	F85S5P_004930-T1	F85S5P_005081-T1
F85S5P_003355-T1__F85S5P_005703-T1	49.5	16.5	0.0090349075975359	0.0757575757575757	7305.0	1.5914	1.0552	1.5082	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05637	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_03324	-163.736685	88.0	2.193652525252525	7.660259523809525	66.0	4.7117	0.0101010101010101	0.0079365079365079	F85S5P_005703-T1	F85S5P_003355-T1
F85S5P_004500-T1__F85S5P_005703-T1	49.4	16.6	0.0090349075975359	0.0757575757575757	7305.0	0.6012	0.0609	9.8703	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05637	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_04450	-146.479291	88.0	2.193652525252525	7.660259523809525	66.0	8.8102	NaN	0.0079365079365079	F85S5P_005703-T1	F85S5P_004500-T1
F85S5P_005081-T1__F85S5P_005703-T1	47.2	18.8	0.0090349075975359	0.0757575757575757	7305.0	0.9946	0.0236	42.0856	GF00000001	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05637	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_05023	-159.498838	88.0	2.193652525252525	7.660259523809525	66.0	38.1653	NaN	0.0079365079365079	F85S5P_005703-T1	F85S5P_005081-T1
DBVPG3775_001381-T1__F85S5P_000251-T1	46.9	19.1	0.0090349075975359	0.0757575757575757	7305.0	0.8067	0.234	3.4478	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa_01365	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_00250	-155.932328	88.0	2.193652525252525	7.660259523809525	66.0	4.7106	0.0101010101010101	0.0079365079365079	DBVPG3775_001381-T1	F85S5P_000251-T1
DBVPG3775_001381-T1__F85S5P_001387-T1	52.6	13.4	0.0090349075975359	0.0757575757575757	7305.0	0.7903	0.3726	2.1207	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa_01365	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa_01377	-156.415949	88.0	2.193652525252525	7.660259523809525	66.0	3.1811	0.0101010101010101	0.0079365079365079	DBVPG3775_001381-T1	F85S5P_001387-T1
