	Rhodotorula_mucilaginosa_CHIFNET_14NJ214.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	CHIFNET14NJ214_000506-T1	DBVPG3775_001425-T1
GF00000002	CHIFNET14NJ214_003486-T1	DBVPG3775_004172-T1
GF00000003	CHIFNET14NJ214_009213-T1	DBVPG3775_004132-T1
GF00000004	CHIFNET14NJ214_003659-T1	DBVPG3775_001973-T1
GF00000005	CHIFNET14NJ214_001839-T1	DBVPG3775_001644-T1
GF00000006	CHIFNET14NJ214_002286-T1	DBVPG3775_002003-T1
GF00000007	CHIFNET14NJ214_009198-T1	DBVPG3775_004632-T1
GF00000008	CHIFNET14NJ214_004818-T1	DBVPG3775_000220-T1
GF00000009	CHIFNET14NJ214_000454-T1	DBVPG3775_003781-T1
GF00000010	CHIFNET14NJ214_009571-T1	DBVPG3775_000780-T1
GF00000011	CHIFNET14NJ214_004151-T1	DBVPG3775_005585-T1
GF00000012	CHIFNET14NJ214_002143-T1	DBVPG3775_000902-T1
GF00000013	CHIFNET14NJ214_008042-T1	DBVPG3775_006246-T1
GF00000014	CHIFNET14NJ214_003923-T1	DBVPG3775_002987-T1
GF00000015	CHIFNET14NJ214_006144-T1	DBVPG3775_006585-T1
GF00000016	CHIFNET14NJ214_008403-T1	DBVPG3775_000926-T1
GF00000017	CHIFNET14NJ214_007666-T1	DBVPG3775_004453-T1
GF00000018	CHIFNET14NJ214_000797-T1	DBVPG3775_003162-T1
GF00000019	CHIFNET14NJ214_002879-T1	DBVPG3775_007326-T1
GF00000020	CHIFNET14NJ214_010858-T1	DBVPG3775_002916-T1
GF00000021	CHIFNET14NJ214_007882-T1	DBVPG3775_002467-T1
GF00000022	CHIFNET14NJ214_011426-T1	DBVPG3775_004041-T1
GF00000023	CHIFNET14NJ214_006030-T1	DBVPG3775_004957-T1
GF00000024	CHIFNET14NJ214_001426-T1	DBVPG3775_002812-T1
GF00000025	CHIFNET14NJ214_004331-T1	DBVPG3775_004369-T1
