	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN1702E3344_004278-T1	DBVPG3775_001425-T1
GF00000002	TFCN1702E3344_004808-T1	DBVPG3775_006827-T1
GF00000003	TFCN1702E3344_001255-T1	DBVPG3775_001973-T1
GF00000004	TFCN1702E3344_010473-T1	DBVPG3775_002321-T1
GF00000005	TFCN1702E3344_001951-T1	DBVPG3775_004172-T1
GF00000006	TFCN1702E3344_001990-T1	DBVPG3775_004132-T1
GF00000007	TFCN1702E3344_009682-T1	DBVPG3775_005585-T1
GF00000008	TFCN1702E3344_002484-T1	DBVPG3775_004453-T1
GF00000009	TFCN1702E3344_000005-T1	DBVPG3775_000780-T1
GF00000010	TFCN1702E3344_003323-T1	DBVPG3775_003781-T1
GF00000011	TFCN1702E3344_013128-T1	DBVPG3775_002003-T1
GF00000012	TFCN1702E3344_003978-T1	DBVPG3775_005206-T1
GF00000013	TFCN1702E3344_004875-T1	DBVPG3775_002987-T1
GF00000014	TFCN1702E3344_007842-T1	DBVPG3775_006205-T1
GF00000015	TFCN1702E3344_002156-T1	DBVPG3775_000220-T1
GF00000016	TFCN1702E3344_000777-T1	DBVPG3775_000979-T1
GF00000017	TFCN1702E3344_012579-T1	DBVPG3775_000902-T1
GF00000018	TFCN1702E3344_004348-T1	DBVPG3775_006246-T1
GF00000019	TFCN1702E3344_012071-T1	DBVPG3775_000527-T1
GF00000020	TFCN1702E3344_008857-T1	DBVPG3775_001719-T1
GF00000021	TFCN1702E3344_009958-T1	DBVPG3775_005693-T1
GF00000022	TFCN1702E3344_010620-T1	DBVPG3775_001893-T1
GF00000023	TFCN1702E3344_003012-T1	DBVPG3775_004856-T1
GF00000024	TFCN1702E3344_000885-T1	DBVPG3775_004041-T1
GF00000025	TFCN1702E3344_003309-T1	DBVPG3775_003767-T1
GF00000026	TFCN1702E3344_011628-T1	DBVPG3775_005960-T1
GF00000027	TFCN1702E3344_005235-T1	DBVPG3775_002812-T1
GF00000028	TFCN1702E3344_014558-T1	DBVPG3775_000924-T1
GF00000029	TFCN1702E3344_006676-T1	DBVPG3775_001426-T1
GF00000030	TFCN1702E3344_012210-T1	DBVPG3775_007326-T1
GF00000031	TFCN1702E3344_007328-T1	DBVPG3775_003162-T1
GF00000032	TFCN1702E3344_002251-T1	DBVPG3775_002916-T1
GF00000033	TFCN1702E3344_007499-T1	DBVPG3775_006836-T1
GF00000034	TFCN1702E3344_004071-T1	DBVPG3775_000357-T1
GF00000035	TFCN1702E3344_012559-T1	DBVPG3775_003326-T1
GF00000036	TFCN1702E3344_010538-T1	DBVPG3775_001370-T1
GF00000037	TFCN1702E3344_002105-T1	DBVPG3775_000170-T1
GF00000038	TFCN1702E3344_007060-T1	DBVPG3775_006584-T1
