	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-1.cds.fa
GF00000001	TFCN2502E3331_003234-T1, TFCN2502E3331_011041-T1, TFCN2502E3331_002427-T1, TFCN2502E3331_004103-T1, TFCN2502E3331_008849-T1, TFCN2502E3331_000199-T1, TFCN2502E3331_002037-T1, TFCN2502E3331_001789-T1, TFCN2502E3331_003681-T1, TFCN2502E3331_003949-T1, TFCN2502E3331_013927-T1, TFCN2502E3331_002355-T1, TFCN2502E3331_002563-T1, TFCN2502E3331_000153-T1, TFCN2502E3331_003279-T1, TFCN2502E3331_009447-T1, TFCN2502E3331_007073-T1, TFCN2502E3331_001137-T1, TFCN2502E3331_004518-T1, TFCN2502E3331_011140-T1, TFCN2502E3331_005015-T1, TFCN2502E3331_003492-T1, TFCN2502E3331_007400-T1, TFCN2502E3331_012993-T1, TFCN2502E3331_002513-T1, TFCN2502E3331_000104-T1, TFCN2502E3331_011175-T1, TFCN2502E3331_011842-T1, TFCN2502E3331_013549-T1, TFCN2502E3331_014570-T1, TFCN2502E3331_006273-T1, TFCN2502E3331_003084-T1, TFCN2502E3331_002614-T1, TFCN2502E3331_009998-T1, TFCN2502E3331_001400-T1, TFCN2502E3331_001613-T1, TFCN2502E3331_009999-T1, TFCN2502E3331_006272-T1
GF00000002	TFCN2502E3331_004918-T1, TFCN2502E3331_007268-T1, TFCN2502E3331_005580-T1, TFCN2502E3331_007269-T1, TFCN2502E3331_007246-T1, TFCN2502E3331_010688-T1, TFCN2502E3331_003833-T1, TFCN2502E3331_011568-T1, TFCN2502E3331_007247-T1, TFCN2502E3331_007267-T1, TFCN2502E3331_010207-T1, TFCN2502E3331_008658-T1, TFCN2502E3331_009595-T1, TFCN2502E3331_007245-T1, TFCN2502E3331_007270-T1, TFCN2502E3331_007924-T1, TFCN2502E3331_007925-T1, TFCN2502E3331_007927-T1, TFCN2502E3331_008227-T1, TFCN2502E3331_007271-T1, TFCN2502E3331_007926-T1, TFCN2502E3331_007291-T1, TFCN2502E3331_007290-T1, TFCN2502E3331_009594-T1, TFCN2502E3331_007168-T1, TFCN2502E3331_009611-T1, TFCN2502E3331_010208-T1, TFCN2502E3331_007241-T1, TFCN2502E3331_007242-T1, TFCN2502E3331_010209-T1, TFCN2502E3331_007243-T1, TFCN2502E3331_007244-T1, TFCN2502E3331_004919-T1
GF00000003	TFCN2502E3331_012580-T1, TFCN2502E3331_012155-T1, TFCN2502E3331_004736-T1, TFCN2502E3331_009326-T1, TFCN2502E3331_003327-T1, TFCN2502E3331_003343-T1, TFCN2502E3331_010744-T1, TFCN2502E3331_001676-T1, TFCN2502E3331_001333-T1, TFCN2502E3331_012305-T1, TFCN2502E3331_005376-T1, TFCN2502E3331_005362-T1, TFCN2502E3331_005510-T1, TFCN2502E3331_006497-T1, TFCN2502E3331_010738-T1, TFCN2502E3331_012299-T1, TFCN2502E3331_002476-T1, TFCN2502E3331_004151-T1, TFCN2502E3331_012281-T1, TFCN2502E3331_009375-T1, TFCN2502E3331_012235-T1, TFCN2502E3331_010111-T1, TFCN2502E3331_007811-T1, TFCN2502E3331_014309-T1, TFCN2502E3331_013228-T1, TFCN2502E3331_008056-T1, TFCN2502E3331_012154-T1
GF00000004	TFCN2502E3331_013598-T1, TFCN2502E3331_005524-T1, TFCN2502E3331_008446-T1, TFCN2502E3331_007144-T1, TFCN2502E3331_002158-T1, TFCN2502E3331_004882-T1, TFCN2502E3331_008441-T1, TFCN2502E3331_005554-T1, TFCN2502E3331_000322-T1, TFCN2502E3331_000327-T1, TFCN2502E3331_007880-T1, TFCN2502E3331_006785-T1, TFCN2502E3331_014034-T1, TFCN2502E3331_014384-T1, TFCN2502E3331_013709-T1, TFCN2502E3331_002993-T1, TFCN2502E3331_002866-T1, TFCN2502E3331_006189-T1, TFCN2502E3331_004750-T1, TFCN2502E3331_010726-T1, TFCN2502E3331_014082-T1, TFCN2502E3331_005387-T1, TFCN2502E3331_003354-T1, TFCN2502E3331_012622-T1, TFCN2502E3331_009315-T1
GF00000005	TFCN2502E3331_005234-T1, TFCN2502E3331_005281-T1, TFCN2502E3331_008118-T1, TFCN2502E3331_005223-T1, TFCN2502E3331_008119-T1, TFCN2502E3331_010335-T1, TFCN2502E3331_005290-T1, TFCN2502E3331_005287-T1, TFCN2502E3331_005235-T1, TFCN2502E3331_005224-T1, TFCN2502E3331_008117-T1, TFCN2502E3331_002730-T1, TFCN2502E3331_002828-T1, TFCN2502E3331_000011-T1, TFCN2502E3331_002831-T1, TFCN2502E3331_005289-T1, TFCN2502E3331_002851-T1, TFCN2502E3331_005310-T1, TFCN2502E3331_000010-T1, TFCN2502E3331_002850-T1, TFCN2502E3331_002849-T1, TFCN2502E3331_005309-T1
GF00000006	TFCN2502E3331_003345-T1, TFCN2502E3331_005378-T1, TFCN2502E3331_005432-T1, TFCN2502E3331_001605-T1, TFCN2502E3331_014579-T1, TFCN2502E3331_003363-T1, TFCN2502E3331_001408-T1, TFCN2502E3331_005397-T1, TFCN2502E3331_003407-T1, TFCN2502E3331_001533-T1, TFCN2502E3331_003403-T1, TFCN2502E3331_001476-T1, TFCN2502E3331_003478-T1, TFCN2502E3331_005028-T1, TFCN2502E3331_003479-T1, TFCN2502E3331_005027-T1, TFCN2502E3331_010606-T1, TFCN2502E3331_003583-T1, TFCN2502E3331_003346-T1
GF00000007	TFCN2502E3331_003533-T1, TFCN2502E3331_004977-T1, TFCN2502E3331_001918-T1, TFCN2502E3331_002242-T1, TFCN2502E3331_013171-T1, TFCN2502E3331_000381-T1, TFCN2502E3331_005252-T1, TFCN2502E3331_002795-T1, TFCN2502E3331_001922-T1, TFCN2502E3331_002246-T1, TFCN2502E3331_004868-T1, TFCN2502E3331_002374-T1, TFCN2502E3331_002143-T1, TFCN2502E3331_004050-T1, TFCN2502E3331_006765-T1, TFCN2502E3331_004307-T1, TFCN2502E3331_014603-T1, TFCN2502E3331_010840-T1, TFCN2502E3331_013314-T1
GF00000008	TFCN2502E3331_010872-T1, TFCN2502E3331_013992-T1, TFCN2502E3331_005569-T1, TFCN2502E3331_007158-T1, TFCN2502E3331_013453-T1, TFCN2502E3331_011524-T1, TFCN2502E3331_008999-T1, TFCN2502E3331_006712-T1, TFCN2502E3331_008073-T1, TFCN2502E3331_011512-T1, TFCN2502E3331_002040-T1, TFCN2502E3331_001792-T1, TFCN2502E3331_014257-T1, TFCN2502E3331_008277-T1, TFCN2502E3331_011519-T1, TFCN2502E3331_010867-T1, TFCN2502E3331_008597-T1, TFCN2502E3331_008596-T1
GF00000009	TFCN2502E3331_002598-T1, TFCN2502E3331_003162-T1, TFCN2502E3331_006195-T1, TFCN2502E3331_008792-T1, TFCN2502E3331_000120-T1, TFCN2502E3331_004381-T1, TFCN2502E3331_013001-T1, TFCN2502E3331_001115-T1, TFCN2502E3331_004496-T1, TFCN2502E3331_002505-T1, TFCN2502E3331_000901-T1, TFCN2502E3331_000663-T1, TFCN2502E3331_001563-T1, TFCN2502E3331_001448-T1, TFCN2502E3331_004543-T1, TFCN2502E3331_009114-T1, TFCN2502E3331_001161-T1, TFCN2502E3331_009004-T1
GF00000010	TFCN2502E3331_009302-T1, TFCN2502E3331_014200-T1, TFCN2502E3331_010538-T1, TFCN2502E3331_007091-T1, TFCN2502E3331_005605-T1, TFCN2502E3331_007191-T1, TFCN2502E3331_009619-T1, TFCN2502E3331_012418-T1, TFCN2502E3331_007227-T1, TFCN2502E3331_010194-T1, TFCN2502E3331_005083-T1, TFCN2502E3331_007919-T1, TFCN2502E3331_008231-T1, TFCN2502E3331_013075-T1, TFCN2502E3331_006762-T1, TFCN2502E3331_004303-T1, TFCN2502E3331_009620-T1
