	Rhodotorula_mucilaginosa_DBVPG_3045.cds.fa
GF00000001	DBVPG3045_003043-T1, DBVPG3045_000914-T1, DBVPG3045_001526-T1, DBVPG3045_002744-T1, DBVPG3045_002650-T1, DBVPG3045_004080-T1, DBVPG3045_001865-T1, DBVPG3045_000556-T1, DBVPG3045_014095-T1, DBVPG3045_012737-T1, DBVPG3045_004887-T1, DBVPG3045_005487-T1, DBVPG3045_007084-T1, DBVPG3045_000960-T1, DBVPG3045_011296-T1, DBVPG3045_002479-T1, DBVPG3045_008935-T1, DBVPG3045_006844-T1, DBVPG3045_005736-T1, DBVPG3045_009140-T1, DBVPG3045_004689-T1, DBVPG3045_009989-T1, DBVPG3045_012602-T1, DBVPG3045_000674-T1, DBVPG3045_004937-T1, DBVPG3045_007177-T1, DBVPG3045_008238-T1, DBVPG3045_013481-T1, DBVPG3045_005623-T1, DBVPG3045_004885-T1, DBVPG3045_006519-T1, DBVPG3045_012481-T1, DBVPG3045_001667-T1, DBVPG3045_011948-T1, DBVPG3045_013928-T1, DBVPG3045_009141-T1, DBVPG3045_013343-T1, DBVPG3045_013378-T1, DBVPG3045_014623-T1, DBVPG3045_013015-T1, DBVPG3045_013482-T1
GF00000002	DBVPG3045_007117-T1, DBVPG3045_006212-T1, DBVPG3045_000251-T1, DBVPG3045_008704-T1, DBVPG3045_007952-T1, DBVPG3045_012612-T1, DBVPG3045_000301-T1, DBVPG3045_004764-T1, DBVPG3045_008422-T1, DBVPG3045_004426-T1, DBVPG3045_005058-T1, DBVPG3045_005094-T1, DBVPG3045_000833-T1, DBVPG3045_005080-T1, DBVPG3045_008367-T1, DBVPG3045_010919-T1, DBVPG3045_001810-T1, DBVPG3045_008635-T1, DBVPG3045_010339-T1, DBVPG3045_010012-T1, DBVPG3045_003146-T1, DBVPG3045_008373-T1, DBVPG3045_014455-T1, DBVPG3045_010447-T1, DBVPG3045_013793-T1, DBVPG3045_011592-T1, DBVPG3045_008705-T1, DBVPG3045_011786-T1, DBVPG3045_010714-T1, DBVPG3045_012606-T1, DBVPG3045_012365-T1
GF00000003	DBVPG3045_008621-T1, DBVPG3045_012379-T1, DBVPG3045_001059-T1, DBVPG3045_003722-T1, DBVPG3045_003503-T1, DBVPG3045_009955-T1, DBVPG3045_002069-T1, DBVPG3045_002064-T1, DBVPG3045_003419-T1, DBVPG3045_002349-T1, DBVPG3045_006318-T1, DBVPG3045_012995-T1, DBVPG3045_006935-T1, DBVPG3045_011683-T1, DBVPG3045_003185-T1, DBVPG3045_011924-T1, DBVPG3045_000233-T1, DBVPG3045_006199-T1, DBVPG3045_012957-T1, DBVPG3045_013271-T1, DBVPG3045_008385-T1, DBVPG3045_008409-T1, DBVPG3045_005105-T1, DBVPG3045_012740-T1, DBVPG3045_014093-T1, DBVPG3045_014414-T1, DBVPG3045_014612-T1, DBVPG3045_009950-T1, DBVPG3045_014201-T1
GF00000004	DBVPG3045_000606-T1, DBVPG3045_000607-T1, DBVPG3045_006764-T1, DBVPG3045_000632-T1, DBVPG3045_004366-T1, DBVPG3045_000584-T1, DBVPG3045_000605-T1, DBVPG3045_000608-T1, DBVPG3045_000582-T1, DBVPG3045_001954-T1, DBVPG3045_000609-T1, DBVPG3045_000583-T1, DBVPG3045_001036-T1, DBVPG3045_001426-T1, DBVPG3045_000143-T1, DBVPG3045_000629-T1, DBVPG3045_008715-T1, DBVPG3045_004002-T1, DBVPG3045_000630-T1, DBVPG3045_000578-T1, DBVPG3045_000631-T1, DBVPG3045_000579-T1, DBVPG3045_000580-T1, DBVPG3045_000581-T1, DBVPG3045_003686-T1, DBVPG3045_000628-T1, DBVPG3045_013709-T1
GF00000005	DBVPG3045_006737-T1, DBVPG3045_011561-T1, DBVPG3045_006504-T1, DBVPG3045_006366-T1, DBVPG3045_006356-T1, DBVPG3045_006362-T1, DBVPG3045_006355-T1, DBVPG3045_006736-T1, DBVPG3045_006505-T1, DBVPG3045_006726-T1, DBVPG3045_004520-T1, DBVPG3045_011550-T1, DBVPG3045_006365-T1, DBVPG3045_006506-T1, DBVPG3045_009174-T1, DBVPG3045_009156-T1, DBVPG3045_009215-T1, DBVPG3045_006386-T1, DBVPG3045_009155-T1, DBVPG3045_006725-T1, DBVPG3045_006724-T1, DBVPG3045_008083-T1, DBVPG3045_009154-T1, DBVPG3045_011560-T1, DBVPG3045_009175-T1, DBVPG3045_006385-T1
GF00000006	DBVPG3045_008419-T1, DBVPG3045_005096-T1, DBVPG3045_005413-T1, DBVPG3045_011957-T1, DBVPG3045_002151-T1, DBVPG3045_008397-T1, DBVPG3045_005117-T1, DBVPG3045_002155-T1, DBVPG3045_012322-T1, DBVPG3045_003269-T1, DBVPG3045_007752-T1, DBVPG3045_014261-T1, DBVPG3045_010487-T1, DBVPG3045_002466-T1, DBVPG3045_010486-T1, DBVPG3045_002467-T1, DBVPG3045_006801-T1, DBVPG3045_012558-T1, DBVPG3045_008418-T1
GF00000007	DBVPG3045_008709-T1, DBVPG3045_013796-T1, DBVPG3045_002037-T1, DBVPG3045_002613-T1, DBVPG3045_013197-T1, DBVPG3045_013196-T1, DBVPG3045_011076-T1, DBVPG3045_002116-T1, DBVPG3045_004030-T1, DBVPG3045_002036-T1, DBVPG3045_002614-T1, DBVPG3045_007073-T1, DBVPG3045_013185-T1, DBVPG3045_009755-T1, DBVPG3045_002696-T1, DBVPG3045_001234-T1, DBVPG3045_010660-T1, DBVPG3045_010661-T1, DBVPG3045_010662-T1
GF00000008	DBVPG3045_011931-T1, DBVPG3045_004921-T1, DBVPG3045_005518-T1, DBVPG3045_012672-T1, DBVPG3045_009429-T1, DBVPG3045_002259-T1, DBVPG3045_009980-T1, DBVPG3045_010670-T1, DBVPG3045_001240-T1, DBVPG3045_003296-T1, DBVPG3045_005369-T1, DBVPG3045_004714-T1, DBVPG3045_000698-T1, DBVPG3045_003191-T1, DBVPG3045_005334-T1, DBVPG3045_004216-T1, DBVPG3045_000594-T1, DBVPG3045_005597-T1, DBVPG3045_009894-T1
GF00000009	DBVPG3045_005798-T1, DBVPG3045_004986-T1, DBVPG3045_012130-T1, DBVPG3045_006271-T1, DBVPG3045_007021-T1, DBVPG3045_010142-T1, DBVPG3045_006708-T1, DBVPG3045_009180-T1, DBVPG3045_006267-T1, DBVPG3045_012126-T1, DBVPG3045_003736-T1, DBVPG3045_001920-T1, DBVPG3045_009342-T1, DBVPG3045_013948-T1, DBVPG3045_006298-T1, DBVPG3045_010399-T1, DBVPG3045_002329-T1, DBVPG3045_014349-T1
GF00000010	DBVPG3045_007322-T1, DBVPG3045_001302-T1, DBVPG3045_007776-T1, DBVPG3045_005755-T1, DBVPG3045_000457-T1, DBVPG3045_000409-T1, DBVPG3045_007297-T1, DBVPG3045_005140-T1, DBVPG3045_011214-T1, DBVPG3045_001554-T1, DBVPG3045_002977-T1, DBVPG3045_009278-T1, DBVPG3045_001472-T1, DBVPG3045_009865-T1, DBVPG3045_002772-T1, DBVPG3045_002771-T1, DBVPG3045_012275-T1
