	Rhodotorula_mucilaginosa_TFCN_17-0-2E337-3.cds.fa
GF00000001	TFCN1702E3373_004005-T1, TFCN1702E3373_006426-T1, TFCN1702E3373_004206-T1, TFCN1702E3373_004298-T1, TFCN1702E3373_001868-T1, TFCN1702E3373_006016-T1, TFCN1702E3373_005706-T1, TFCN1702E3373_004388-T1, TFCN1702E3373_002114-T1, TFCN1702E3373_008372-T1, TFCN1702E3373_013644-T1, TFCN1702E3373_004135-T1, TFCN1702E3373_001916-T1, TFCN1702E3373_004922-T1, TFCN1702E3373_003960-T1, TFCN1702E3373_008272-T1, TFCN1702E3373_010434-T1, TFCN1702E3373_005911-T1, TFCN1702E3373_003717-T1, TFCN1702E3373_009521-T1, TFCN1702E3373_003204-T1, TFCN1702E3373_009935-T1, TFCN1702E3373_012952-T1, TFCN1702E3373_013765-T1, TFCN1702E3373_009803-T1, TFCN1702E3373_001966-T1, TFCN1702E3373_004970-T1, TFCN1702E3373_003623-T1, TFCN1702E3373_014244-T1, TFCN1702E3373_010000-T1, TFCN1702E3373_005101-T1, TFCN1702E3373_002816-T1, TFCN1702E3373_000247-T1, TFCN1702E3373_005193-T1, TFCN1702E3373_001579-T1, TFCN1702E3373_009375-T1, TFCN1702E3373_009793-T1
GF00000002	TFCN1702E3373_008072-T1, TFCN1702E3373_001341-T1, TFCN1702E3373_008096-T1, TFCN1702E3373_008071-T1, TFCN1702E3373_004509-T1, TFCN1702E3373_007829-T1, TFCN1702E3373_008095-T1, TFCN1702E3373_008049-T1, TFCN1702E3373_008073-T1, TFCN1702E3373_008070-T1, TFCN1702E3373_013036-T1, TFCN1702E3373_002365-T1, TFCN1702E3373_008097-T1, TFCN1702E3373_008047-T1, TFCN1702E3373_011151-T1, TFCN1702E3373_011153-T1, TFCN1702E3373_008048-T1, TFCN1702E3373_008069-T1, TFCN1702E3373_000942-T1, TFCN1702E3373_000413-T1, TFCN1702E3373_011152-T1, TFCN1702E3373_009405-T1, TFCN1702E3373_008100-T1, TFCN1702E3373_012136-T1, TFCN1702E3373_012121-T1, TFCN1702E3373_008099-T1, TFCN1702E3373_010879-T1, TFCN1702E3373_008098-T1
GF00000003	TFCN1702E3373_002665-T1, TFCN1702E3373_013051-T1, TFCN1702E3373_011510-T1, TFCN1702E3373_011844-T1, TFCN1702E3373_008777-T1, TFCN1702E3373_008761-T1, TFCN1702E3373_003554-T1, TFCN1702E3373_001642-T1, TFCN1702E3373_010599-T1, TFCN1702E3373_007952-T1, TFCN1702E3373_011870-T1, TFCN1702E3373_010586-T1, TFCN1702E3373_005605-T1, TFCN1702E3373_003548-T1, TFCN1702E3373_011864-T1, TFCN1702E3373_009840-T1, TFCN1702E3373_009759-T1, TFCN1702E3373_006308-T1, TFCN1702E3373_012744-T1, TFCN1702E3373_012158-T1, TFCN1702E3373_007123-T1, TFCN1702E3373_013632-T1, TFCN1702E3373_014442-T1, TFCN1702E3373_010574-T1, TFCN1702E3373_013397-T1, TFCN1702E3373_013050-T1, TFCN1702E3373_013396-T1
GF00000004	TFCN1702E3373_010822-T1, TFCN1702E3373_003008-T1, TFCN1702E3373_008609-T1, TFCN1702E3373_013970-T1, TFCN1702E3373_012866-T1, TFCN1702E3373_008254-T1, TFCN1702E3373_012709-T1, TFCN1702E3373_001316-T1, TFCN1702E3373_012113-T1, TFCN1702E3373_013727-T1, TFCN1702E3373_013000-T1, TFCN1702E3373_008038-T1, TFCN1702E3373_011146-T1, TFCN1702E3373_000946-T1, TFCN1702E3373_000417-T1, TFCN1702E3373_009287-T1, TFCN1702E3373_007151-T1, TFCN1702E3373_000468-T1, TFCN1702E3373_000998-T1, TFCN1702E3373_000999-T1, TFCN1702E3373_014727-T1, TFCN1702E3373_003137-T1
GF00000005	TFCN1702E3373_002505-T1, TFCN1702E3373_008840-T1, TFCN1702E3373_008830-T1, TFCN1702E3373_008834-T1, TFCN1702E3373_008841-T1, TFCN1702E3373_002492-T1, TFCN1702E3373_002504-T1, TFCN1702E3373_014236-T1, TFCN1702E3373_001239-T1, TFCN1702E3373_010929-T1, TFCN1702E3373_002446-T1, TFCN1702E3373_002546-T1, TFCN1702E3373_001240-T1, TFCN1702E3373_002493-T1, TFCN1702E3373_002443-T1, TFCN1702E3373_008831-T1, TFCN1702E3373_002545-T1, TFCN1702E3373_002423-T1, TFCN1702E3373_008809-T1, TFCN1702E3373_002424-T1, TFCN1702E3373_002425-T1, TFCN1702E3373_008810-T1
GF00000006	TFCN1702E3373_005591-T1, TFCN1702E3373_006218-T1, TFCN1702E3373_009429-T1, TFCN1702E3373_003093-T1, TFCN1702E3373_007429-T1, TFCN1702E3373_001365-T1, TFCN1702E3373_007434-T1, TFCN1702E3373_010364-T1, TFCN1702E3373_010369-T1, TFCN1702E3373_013516-T1, TFCN1702E3373_014613-T1, TFCN1702E3373_010050-T1, TFCN1702E3373_000037-T1, TFCN1702E3373_006968-T1, TFCN1702E3373_000165-T1, TFCN1702E3373_013886-T1, TFCN1702E3373_005200-T1, TFCN1702E3373_003536-T1, TFCN1702E3373_014747-T1, TFCN1702E3373_011855-T1, TFCN1702E3373_012203-T1
GF00000007	TFCN1702E3373_007290-T1, TFCN1702E3373_003245-T1, TFCN1702E3373_005354-T1, TFCN1702E3373_010137-T1, TFCN1702E3373_008670-T1, TFCN1702E3373_011102-T1, TFCN1702E3373_014398-T1, TFCN1702E3373_002476-T1, TFCN1702E3373_014482-T1, TFCN1702E3373_005358-T1, TFCN1702E3373_011106-T1, TFCN1702E3373_003106-T1, TFCN1702E3373_004154-T1, TFCN1702E3373_006203-T1, TFCN1702E3373_004353-T1, TFCN1702E3373_000473-T1, TFCN1702E3373_007154-T1, TFCN1702E3373_001004-T1, TFCN1702E3373_008224-T1, TFCN1702E3373_007078-T1, TFCN1702E3373_002750-T1
GF00000008	TFCN1702E3373_008758-T1, TFCN1702E3373_010584-T1, TFCN1702E3373_001813-T1, TFCN1702E3373_001571-T1, TFCN1702E3373_001854-T1, TFCN1702E3373_013073-T1, TFCN1702E3373_014670-T1, TFCN1702E3373_011423-T1, TFCN1702E3373_001810-T1, TFCN1702E3373_013069-T1, TFCN1702E3373_001504-T1, TFCN1702E3373_010766-T1, TFCN1702E3373_009948-T1, TFCN1702E3373_003191-T1, TFCN1702E3373_009947-T1, TFCN1702E3373_003192-T1, TFCN1702E3373_004546-T1, TFCN1702E3373_007238-T1, TFCN1702E3373_013072-T1
GF00000009	TFCN1702E3373_006974-T1, TFCN1702E3373_001950-T1, TFCN1702E3373_000171-T1, TFCN1702E3373_007467-T1, TFCN1702E3373_004954-T1, TFCN1702E3373_003829-T1, TFCN1702E3373_009811-T1, TFCN1702E3373_014574-T1, TFCN1702E3373_005887-T1, TFCN1702E3373_003695-T1, TFCN1702E3373_012074-T1, TFCN1702E3373_002886-T1, TFCN1702E3373_007321-T1, TFCN1702E3373_001529-T1, TFCN1702E3373_005119-T1, TFCN1702E3373_008085-T1, TFCN1702E3373_005935-T1, TFCN1702E3373_003742-T1, TFCN1702E3373_010022-T1
GF00000010	TFCN1702E3373_011981-T1, TFCN1702E3373_000607-T1, TFCN1702E3373_010104-T1, TFCN1702E3373_003905-T1, TFCN1702E3373_004652-T1, TFCN1702E3373_006107-T1, TFCN1702E3373_001482-T1, TFCN1702E3373_007055-T1, TFCN1702E3373_000337-T1, TFCN1702E3373_000866-T1, TFCN1702E3373_002651-T1, TFCN1702E3373_014566-T1, TFCN1702E3373_012495-T1, TFCN1702E3373_004433-T1, TFCN1702E3373_010406-T1, TFCN1702E3373_011896-T1, TFCN1702E3373_012426-T1, TFCN1702E3373_011897-T1
