	Rhodotorula_mucilaginosa_DBVPG_4380.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	DBVPG4380_006800-T1	DBVPG3775_001734-T1
GF00000002	DBVPG4380_009587-T1	DBVPG3775_001973-T1
GF00000003	DBVPG4380_002269-T1	DBVPG3775_001425-T1
GF00000004	DBVPG4380_005939-T1	DBVPG3775_006827-T1
GF00000005	DBVPG4380_001771-T1	DBVPG3775_000220-T1
GF00000006	DBVPG4380_008938-T1	DBVPG3775_000926-T1
GF00000007	DBVPG4380_002858-T1	DBVPG3775_004453-T1
GF00000008	DBVPG4380_004688-T1	DBVPG3775_003862-T1
GF00000009	DBVPG4380_006176-T1	DBVPG3775_006585-T1
GF00000010	DBVPG4380_000137-T1	DBVPG3775_006626-T1
GF00000011	DBVPG4380_001720-T1	DBVPG3775_005585-T1
GF00000012	DBVPG4380_001016-T1	DBVPG3775_002987-T1
GF00000013	DBVPG4380_007018-T1	DBVPG3775_000902-T1
GF00000014	DBVPG4380_008330-T1	DBVPG3775_002869-T1
GF00000015	DBVPG4380_003461-T1	DBVPG3775_004041-T1
GF00000016	DBVPG4380_003579-T1	DBVPG3775_002128-T1
GF00000017	DBVPG4380_002360-T1	DBVPG3775_006246-T1
GF00000018	DBVPG4380_001686-T1	DBVPG3775_004369-T1
GF00000019	DBVPG4380_011425-T1	DBVPG3775_002812-T1
GF00000020	DBVPG4380_002776-T1	DBVPG3775_000780-T1
GF00000021	DBVPG4380_011860-T1	DBVPG3775_003326-T1
GF00000022	DBVPG4380_004769-T1	DBVPG3775_005693-T1
GF00000023	DBVPG4380_005374-T1	DBVPG3775_000975-T1
GF00000024	DBVPG4380_012512-T1	DBVPG3775_005417-T1
GF00000025	DBVPG4380_001160-T1	DBVPG3775_000993-T1
GF00000026	DBVPG4380_002980-T1	DBVPG3775_001893-T1
GF00000027	DBVPG4380_001591-T1	DBVPG3775_001234-T1
GF00000028	DBVPG4380_004925-T1	DBVPG3775_005578-T1
GF00000029	DBVPG4380_003630-T1	DBVPG3775_004002-T1
GF00000030	DBVPG4380_009849-T1	DBVPG3775_000357-T1
GF00000031	DBVPG4380_004839-T1	DBVPG3775_002899-T1
GF00000032	DBVPG4380_005319-T1	DBVPG3775_006836-T1
GF00000033	DBVPG4380_008650-T1	DBVPG3775_001251-T1
GF00000034	DBVPG4380_001103-T1	DBVPG3775_000026-T1
GF00000035	DBVPG4380_005018-T1	DBVPG3775_004080-T1
GF00000036	DBVPG4380_007014-T1	DBVPG3775_004520-T1
GF00000037	DBVPG4380_001040-T1	DBVPG3775_003794-T1
GF00000038	DBVPG4380_003409-T1	DBVPG3775_004060-T1
GF00000039	DBVPG4380_011893-T1	DBVPG3775_002043-T1
GF00000040	DBVPG4380_000866-T1	DBVPG3775_004622-T1
GF00000041	DBVPG4380_004621-T1	DBVPG3775_000387-T1
GF00000042	DBVPG4380_005363-T1	DBVPG3775_005080-T1
GF00000043	DBVPG4380_003459-T1	DBVPG3775_004038-T1
GF00000044	DBVPG4380_000908-T1	DBVPG3775_006818-T1
GF00000045	DBVPG4380_006839-T1	DBVPG3775_001834-T1
GF00000046	DBVPG4380_001614-T1	DBVPG3775_004141-T1
GF00000047	DBVPG4380_002045-T1	DBVPG3775_004301-T1
GF00000048	DBVPG4380_004315-T1	DBVPG3775_006128-T1
