	Rhodotorula_mucilaginosa_DBVPG_4380.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	DBVPG4380_000001-T1, DBVPG4380_005169-T1, DBVPG4380_010656-T1, DBVPG4380_000192-T1, DBVPG4380_007900-T1, DBVPG4380_003337-T1, DBVPG4380_006651-T1, DBVPG4380_004086-T1, DBVPG4380_013834-T1, DBVPG4380_012663-T1, DBVPG4380_010255-T1, DBVPG4380_007015-T1, DBVPG4380_012590-T1, DBVPG4380_011295-T1, DBVPG4380_006800-T1, DBVPG4380_010267-T1, DBVPG4380_016248-T1, DBVPG4380_016232-T1, DBVPG4380_005741-T1, DBVPG4380_011455-T1, DBVPG4380_008534-T1, DBVPG4380_011704-T1, DBVPG4380_012542-T1, DBVPG4380_003804-T1, DBVPG4380_008422-T1, DBVPG4380_013167-T1, DBVPG4380_012300-T1, DBVPG4380_009488-T1, DBVPG4380_015564-T1, DBVPG4380_012901-T1, DBVPG4380_013074-T1, DBVPG4380_007797-T1, DBVPG4380_008257-T1, DBVPG4380_013397-T1, DBVPG4380_010740-T1, DBVPG4380_015484-T1, DBVPG4380_015139-T1	DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_001585-T1, DBVPG3775_001734-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_003791-T1, DBVPG3775_003935-T1, DBVPG3775_004025-T1, DBVPG3775_005071-T1, DBVPG3775_006694-T1, DBVPG3775_006745-T1, DBVPG3775_007074-T1
GF00000002	DBVPG4380_010756-T1, DBVPG4380_001380-T1, DBVPG4380_010355-T1, DBVPG4380_009443-T1, DBVPG4380_009863-T1, DBVPG4380_012651-T1, DBVPG4380_000996-T1, DBVPG4380_000130-T1, DBVPG4380_001956-T1, DBVPG4380_007073-T1, DBVPG4380_008706-T1, DBVPG4380_008199-T1, DBVPG4380_013654-T1, DBVPG4380_011493-T1, DBVPG4380_008290-T1, DBVPG4380_002978-T1, DBVPG4380_005840-T1, DBVPG4380_015010-T1, DBVPG4380_003658-T1, DBVPG4380_009587-T1, DBVPG4380_000177-T1, DBVPG4380_003902-T1, DBVPG4380_003533-T1, DBVPG4380_001151-T1, DBVPG4380_003539-T1, DBVPG4380_010758-T1, DBVPG4380_010452-T1, DBVPG4380_016162-T1, DBVPG4380_011138-T1, DBVPG4380_011047-T1, DBVPG4380_011836-T1, DBVPG4380_014296-T1	DBVPG3775_000980-T1, DBVPG3775_000981-T1, DBVPG3775_000995-T1, DBVPG3775_001513-T1, DBVPG3775_001597-T1, DBVPG3775_001603-T1, DBVPG3775_001720-T1, DBVPG3775_001973-T1, DBVPG3775_002174-T1, DBVPG3775_002507-T1, DBVPG3775_003948-T1, DBVPG3775_004799-T1, DBVPG3775_005374-T1, DBVPG3775_006140-T1, DBVPG3775_006618-T1
GF00000003	DBVPG4380_006591-T1, DBVPG4380_007742-T1, DBVPG4380_008378-T1, DBVPG4380_002269-T1, DBVPG4380_004215-T1, DBVPG4380_006473-T1, DBVPG4380_014583-T1, DBVPG4380_015592-T1, DBVPG4380_012241-T1, DBVPG4380_001605-T1, DBVPG4380_006315-T1, DBVPG4380_013431-T1, DBVPG4380_008308-T1, DBVPG4380_002486-T1, DBVPG4380_010364-T1, DBVPG4380_000924-T1, DBVPG4380_003607-T1, DBVPG4380_007219-T1, DBVPG4380_001304-T1, DBVPG4380_014081-T1, DBVPG4380_006451-T1, DBVPG4380_014114-T1, DBVPG4380_015203-T1, DBVPG4380_010098-T1, DBVPG4380_012969-T1, DBVPG4380_008227-T1, DBVPG4380_014596-T1, DBVPG4380_015468-T1, DBVPG4380_007130-T1, DBVPG4380_013906-T1, DBVPG4380_011312-T1, DBVPG4380_011089-T1	DBVPG3775_001381-T1, DBVPG3775_001425-T1, DBVPG3775_001810-T1, DBVPG3775_001966-T1, DBVPG3775_002229-T1, DBVPG3775_002948-T1, DBVPG3775_003090-T1, DBVPG3775_003289-T1, DBVPG3775_004113-T1, DBVPG3775_004535-T1, DBVPG3775_005505-T1, DBVPG3775_005743-T1
GF00000004	DBVPG4380_000210-T1, DBVPG4380_006891-T1, DBVPG4380_005939-T1, DBVPG4380_006890-T1, DBVPG4380_006054-T1, DBVPG4380_004078-T1, DBVPG4380_006055-T1, DBVPG4380_005940-T1, DBVPG4380_011919-T1, DBVPG4380_001081-T1, DBVPG4380_001324-T1, DBVPG4380_009722-T1, DBVPG4380_002732-T1, DBVPG4380_006212-T1, DBVPG4380_014252-T1, DBVPG4380_001290-T1, DBVPG4380_010397-T1, DBVPG4380_011920-T1	DBVPG3775_003768-T1, DBVPG3775_004916-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006425-T1, DBVPG3775_006426-T1, DBVPG3775_006578-T1, DBVPG3775_006825-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006828-T1, DBVPG3775_006829-T1, DBVPG3775_006830-T1, DBVPG3775_006864-T1, DBVPG3775_006865-T1, DBVPG3775_006866-T1, DBVPG3775_006886-T1, DBVPG3775_006887-T1, DBVPG3775_006888-T1, DBVPG3775_006889-T1, DBVPG3775_006890-T1, DBVPG3775_003651-T1
GF00000005	DBVPG4380_016309-T1, DBVPG4380_009914-T1, DBVPG4380_011698-T1, DBVPG4380_002745-T1, DBVPG4380_007778-T1, DBVPG4380_001077-T1, DBVPG4380_006326-T1, DBVPG4380_014244-T1, DBVPG4380_005763-T1, DBVPG4380_008620-T1, DBVPG4380_001771-T1, DBVPG4380_006783-T1, DBVPG4380_004074-T1, DBVPG4380_012182-T1, DBVPG4380_011480-T1, DBVPG4380_016132-T1, DBVPG4380_014149-T1, DBVPG4380_005755-T1, DBVPG4380_012188-T1, DBVPG4380_005515-T1, DBVPG4380_012991-T1, DBVPG4380_001241-T1, DBVPG4380_001321-T1, DBVPG4380_014920-T1, DBVPG4380_009592-T1, DBVPG4380_015607-T1, DBVPG4380_014675-T1, DBVPG4380_006063-T1, DBVPG4380_014387-T1, DBVPG4380_009253-T1, DBVPG4380_015028-T1	DBVPG3775_000220-T1, DBVPG3775_002880-T1, DBVPG3775_003138-T1, DBVPG3775_003600-T1, DBVPG3775_004518-T1, DBVPG3775_006430-T1, DBVPG3775_006844-T1, DBVPG3775_006854-T1, DBVPG3775_007229-T1
GF00000006	DBVPG4380_008938-T1, DBVPG4380_001920-T1, DBVPG4380_003501-T1, DBVPG4380_011564-T1, DBVPG4380_016284-T1, DBVPG4380_014288-T1, DBVPG4380_014813-T1, DBVPG4380_010850-T1, DBVPG4380_010387-T1, DBVPG4380_007821-T1, DBVPG4380_010046-T1, DBVPG4380_004751-T1, DBVPG4380_005377-T1, DBVPG4380_013295-T1, DBVPG4380_009733-T1, DBVPG4380_006559-T1, DBVPG4380_011290-T1, DBVPG4380_005102-T1, DBVPG4380_010040-T1, DBVPG4380_003500-T1, DBVPG4380_015761-T1, DBVPG4380_015799-T1, DBVPG4380_014904-T1, DBVPG4380_014533-T1, DBVPG4380_014292-T1, DBVPG4380_015872-T1, DBVPG4380_015142-T1, DBVPG4380_016052-T1, DBVPG4380_014287-T1	DBVPG3775_000922-T1, DBVPG3775_000923-T1, DBVPG3775_000926-T1, DBVPG3775_000959-T1, DBVPG3775_002364-T1, DBVPG3775_002438-T1, DBVPG3775_002935-T1, DBVPG3775_002936-T1, DBVPG3775_003039-T1, DBVPG3775_003040-T1
GF00000007	DBVPG4380_000476-T1, DBVPG4380_001684-T1, DBVPG4380_010143-T1, DBVPG4380_007434-T1, DBVPG4380_003810-T1, DBVPG4380_007565-T1, DBVPG4380_004491-T1, DBVPG4380_002858-T1, DBVPG4380_004193-T1, DBVPG4380_004192-T1, DBVPG4380_011078-T1, DBVPG4380_001685-T1, DBVPG4380_003811-T1, DBVPG4380_015502-T1, DBVPG4380_007433-T1, DBVPG4380_003057-T1, DBVPG4380_004191-T1	DBVPG3775_001053-T1, DBVPG3775_001054-T1, DBVPG3775_004364-T1, DBVPG3775_004365-T1, DBVPG3775_004366-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1, DBVPG3775_004388-T1, DBVPG3775_004389-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004439-T1, DBVPG3775_004440-T1, DBVPG3775_004441-T1, DBVPG3775_004452-T1, DBVPG3775_004453-T1, DBVPG3775_005712-T1, DBVPG3775_005713-T1, DBVPG3775_005714-T1, DBVPG3775_005715-T1
GF00000008	DBVPG4380_007859-T1, DBVPG4380_014389-T1, DBVPG4380_008879-T1, DBVPG4380_004688-T1, DBVPG4380_010024-T1, DBVPG4380_003668-T1, DBVPG4380_004082-T1, DBVPG4380_009035-T1, DBVPG4380_001811-T1, DBVPG4380_002582-T1, DBVPG4380_005033-T1, DBVPG4380_006988-T1, DBVPG4380_011479-T1, DBVPG4380_008044-T1, DBVPG4380_013972-T1, DBVPG4380_013038-T1, DBVPG4380_012549-T1, DBVPG4380_009259-T1, DBVPG4380_003304-T1, DBVPG4380_005224-T1, DBVPG4380_010806-T1, DBVPG4380_006573-T1, DBVPG4380_013282-T1, DBVPG4380_010560-T1	DBVPG3775_000709-T1, DBVPG3775_000760-T1, DBVPG3775_000898-T1, DBVPG3775_000949-T1, DBVPG3775_001085-T1, DBVPG3775_002004-T1, DBVPG3775_003862-T1, DBVPG3775_005307-T1, DBVPG3775_005618-T1, DBVPG3775_006739-T1, DBVPG3775_006748-T1, DBVPG3775_007532-T1
GF00000009	DBVPG4380_007205-T1, DBVPG4380_007184-T1, DBVPG4380_012464-T1, DBVPG4380_007183-T1, DBVPG4380_001330-T1, DBVPG4380_006176-T1, DBVPG4380_007631-T1, DBVPG4380_012276-T1, DBVPG4380_010263-T1, DBVPG4380_002941-T1, DBVPG4380_011192-T1, DBVPG4380_015952-T1, DBVPG4380_012090-T1, DBVPG4380_011193-T1, DBVPG4380_014971-T1, DBVPG4380_005577-T1, DBVPG4380_007175-T1, DBVPG4380_005806-T1, DBVPG4380_012234-T1, DBVPG4380_012214-T1, DBVPG4380_004119-T1, DBVPG4380_012915-T1, DBVPG4380_015540-T1, DBVPG4380_015676-T1	DBVPG3775_000020-T1, DBVPG3775_003076-T1, DBVPG3775_003582-T1, DBVPG3775_003583-T1, DBVPG3775_005521-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_006207-T1, DBVPG3775_006585-T1, DBVPG3775_007174-T1
GF00000010	DBVPG4380_000137-T1, DBVPG4380_000975-T1, DBVPG4380_012804-T1, DBVPG4380_002824-T1, DBVPG4380_006140-T1, DBVPG4380_002755-T1, DBVPG4380_001531-T1, DBVPG4380_008712-T1, DBVPG4380_008393-T1, DBVPG4380_012118-T1, DBVPG4380_002005-T1, DBVPG4380_011315-T1, DBVPG4380_000237-T1, DBVPG4380_014456-T1, DBVPG4380_003009-T1, DBVPG4380_006734-T1, DBVPG4380_007297-T1, DBVPG4380_008667-T1, DBVPG4380_004378-T1, DBVPG4380_010780-T1, DBVPG4380_013806-T1	DBVPG3775_000601-T1, DBVPG3775_001963-T1, DBVPG3775_003371-T1, DBVPG3775_004127-T1, DBVPG3775_004623-T1, DBVPG3775_004631-T1, DBVPG3775_004636-T1, DBVPG3775_004989-T1, DBVPG3775_005602-T1, DBVPG3775_006438-T1, DBVPG3775_006626-T1, DBVPG3775_006822-T1
