pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
DBVPG3855_000153-T1__DBVPG3855_003086-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_03045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_003086-T1
DBVPG3855_000153-T1__DBVPG3855_004626-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_004626-T1
DBVPG3855_000153-T1__DBVPG3855_005476-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_05411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_005476-T1
DBVPG3855_000153-T1__DBVPG3855_001600-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_01580	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_001600-T1
DBVPG3855_000153-T1__DBVPG3855_004230-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_04182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_004230-T1
DBVPG3855_000153-T1__DBVPG3855_000473-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_000473-T1
DBVPG3855_000153-T1__DBVPG3855_006695-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_06617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_006695-T1
DBVPG3855_000153-T1__DBVPG3855_002634-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_02596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_002634-T1
DBVPG3855_000153-T1__DBVPG3855_000835-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00820	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_000835-T1
DBVPG3855_000153-T1__DBVPG3855_009247-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_00150	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa_09131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DBVPG3855_000153-T1	DBVPG3855_009247-T1
