	Rhodotorula_mucilaginosa_TFCN_54D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN54D1_001105-T1	DBVPG3775_001425-T1
GF00000002	TFCN54D1_005780-T1	DBVPG3775_002003-T1
GF00000003	TFCN54D1_004661-T1	DBVPG3775_004132-T1
GF00000004	TFCN54D1_004490-T1	DBVPG3775_001973-T1
GF00000005	TFCN54D1_004224-T1	DBVPG3775_001644-T1
GF00000006	TFCN54D1_004625-T1	DBVPG3775_004172-T1
GF00000007	TFCN54D1_008701-T1	DBVPG3775_004398-T1
GF00000008	TFCN54D1_003398-T1	DBVPG3775_005603-T1
GF00000009	TFCN54D1_001137-T1	DBVPG3775_006573-T1
GF00000010	TFCN54D1_001304-T1	DBVPG3775_003781-T1
GF00000011	TFCN54D1_003578-T1	DBVPG3775_000979-T1
GF00000012	TFCN54D1_011966-T1	DBVPG3775_003581-T1
GF00000013	TFCN54D1_003382-T1	DBVPG3775_005585-T1
GF00000014	TFCN54D1_012443-T1	DBVPG3775_000220-T1
GF00000015	TFCN54D1_006798-T1	DBVPG3775_006246-T1
GF00000016	TFCN54D1_009205-T1	DBVPG3775_000902-T1
GF00000017	TFCN54D1_006440-T1	DBVPG3775_004957-T1
GF00000018	TFCN54D1_006165-T1	DBVPG3775_002869-T1
GF00000019	TFCN54D1_001943-T1	DBVPG3775_000780-T1
GF00000020	TFCN54D1_012096-T1	DBVPG3775_003250-T1
GF00000021	TFCN54D1_005870-T1	DBVPG3775_006961-T1
GF00000022	TFCN54D1_011147-T1	DBVPG3775_004041-T1
GF00000023	TFCN54D1_002439-T1	DBVPG3775_005693-T1
GF00000024	TFCN54D1_000982-T1	DBVPG3775_001719-T1
GF00000025	TFCN54D1_007838-T1	DBVPG3775_002812-T1
GF00000026	TFCN54D1_011034-T1	DBVPG3775_002916-T1
GF00000027	TFCN54D1_008142-T1	DBVPG3775_001426-T1
GF00000028	TFCN54D1_000315-T1	DBVPG3775_007326-T1
GF00000029	TFCN54D1_005582-T1	DBVPG3775_006220-T1
GF00000030	TFCN54D1_008678-T1	DBVPG3775_004369-T1
GF00000031	TFCN54D1_004715-T1	DBVPG3775_007088-T1
GF00000032	TFCN54D1_005866-T1	DBVPG3775_000993-T1
GF00000033	TFCN54D1_009778-T1	DBVPG3775_005902-T1
GF00000034	TFCN54D1_004657-T1	DBVPG3775_004138-T1
GF00000035	TFCN54D1_003444-T1	DBVPG3775_000357-T1
GF00000036	TFCN54D1_007522-T1	DBVPG3775_004622-T1
GF00000037	TFCN54D1_004258-T1	DBVPG3775_001688-T1
GF00000038	TFCN54D1_009712-T1	DBVPG3775_003326-T1
GF00000039	TFCN54D1_003323-T1	DBVPG3775_001370-T1
GF00000040	TFCN54D1_009876-T1	DBVPG3775_006562-T1
GF00000041	TFCN54D1_006656-T1	DBVPG3775_000924-T1
GF00000042	TFCN54D1_007371-T1	DBVPG3775_000443-T1
GF00000043	TFCN54D1_010363-T1	DBVPG3775_002328-T1
GF00000044	TFCN54D1_004547-T1	DBVPG3775_001418-T1
GF00000045	TFCN54D1_003377-T1	DBVPG3775_005578-T1
GF00000046	TFCN54D1_000478-T1	DBVPG3775_000191-T1
GF00000047	TFCN54D1_001980-T1	DBVPG3775_002947-T1
GF00000048	TFCN54D1_002653-T1	DBVPG3775_002212-T1
GF00000049	TFCN54D1_005441-T1	DBVPG3775_004521-T1
GF00000050	TFCN54D1_000075-T1	DBVPG3775_003520-T1
GF00000051	TFCN54D1_000154-T1	DBVPG3775_005080-T1
GF00000052	TFCN54D1_005805-T1	DBVPG3775_000026-T1
GF00000053	TFCN54D1_007610-T1	DBVPG3775_000916-T1
GF00000054	TFCN54D1_010584-T1	DBVPG3775_001897-T1
GF00000055	TFCN54D1_001942-T1	DBVPG3775_003313-T1
GF00000056	TFCN54D1_003906-T1	DBVPG3775_001834-T1
GF00000057	TFCN54D1_009908-T1	DBVPG3775_004141-T1
GF00000058	TFCN54D1_008289-T1	DBVPG3775_000387-T1
GF00000059	TFCN54D1_003503-T1	DBVPG3775_002218-T1
GF00000060	TFCN54D1_005456-T1	DBVPG3775_001088-T1
GF00000061	TFCN54D1_007026-T1	DBVPG3775_006911-T1
GF00000062	TFCN54D1_010852-T1	DBVPG3775_001451-T1
GF00000063	TFCN54D1_009860-T1	DBVPG3775_003261-T1
GF00000064	TFCN54D1_010726-T1	DBVPG3775_006345-T1
GF00000065	TFCN54D1_011128-T1	DBVPG3775_003172-T1
GF00000066	TFCN54D1_008585-T1	DBVPG3775_005736-T1
GF00000067	TFCN54D1_008228-T1	DBVPG3775_002941-T1
GF00000068	TFCN54D1_009552-T1	DBVPG3775_006128-T1
GF00000069	TFCN54D1_002867-T1	DBVPG3775_003881-T1
GF00000070	TFCN54D1_012618-T1	DBVPG3775_004241-T1
GF00000071	TFCN54D1_002817-T1	DBVPG3775_006388-T1
GF00000072	TFCN54D1_002437-T1	DBVPG3775_005690-T1
GF00000073	TFCN54D1_004427-T1	DBVPG3775_002043-T1
GF00000074	TFCN54D1_005836-T1	DBVPG3775_006241-T1
GF00000075	TFCN54D1_000310-T1	DBVPG3775_007318-T1
GF00000076	TFCN54D1_005806-T1	DBVPG3775_000027-T1
GF00000077	TFCN54D1_001288-T1	DBVPG3775_001025-T1
GF00000078	TFCN54D1_012039-T1	DBVPG3775_006818-T1
GF00000079	TFCN54D1_007784-T1	DBVPG3775_005324-T1
GF00000080	TFCN54D1_007390-T1	DBVPG3775_000466-T1
GF00000081	TFCN54D1_011444-T1	DBVPG3775_002338-T1
GF00000082	TFCN54D1_008645-T1	DBVPG3775_002307-T1
GF00000083	TFCN54D1_009802-T1	DBVPG3775_004301-T1
GF00000084	TFCN54D1_004171-T1	DBVPG3775_000842-T1
GF00000085	TFCN54D1_001505-T1	DBVPG3775_003686-T1
GF00000086	TFCN54D1_001595-T1	DBVPG3775_003794-T1
GF00000087	TFCN54D1_004185-T1	DBVPG3775_007226-T1
GF00000088	TFCN54D1_010169-T1	DBVPG3775_003306-T1
GF00000089	TFCN54D1_004124-T1	DBVPG3775_000792-T1
GF00000090	TFCN54D1_007728-T1	DBVPG3775_003742-T1
GF00000091	TFCN54D1_001520-T1	DBVPG3775_005791-T1
GF00000092	TFCN54D1_007324-T1	DBVPG3775_004802-T1
GF00000093	TFCN54D1_012546-T1	DBVPG3775_001065-T1
GF00000094	TFCN54D1_001772-T1	DBVPG3775_003785-T1
GF00000095	TFCN54D1_001593-T1	DBVPG3775_003792-T1
GF00000096	TFCN54D1_009045-T1	DBVPG3775_000368-T1
GF00000097	TFCN54D1_005757-T1	DBVPG3775_000082-T1
GF00000098	TFCN54D1_001494-T1	DBVPG3775_005033-T1
GF00000099	TFCN54D1_007009-T1	DBVPG3775_004080-T1
GF00000100	TFCN54D1_004157-T1	DBVPG3775_001962-T1
GF00000101	TFCN54D1_002611-T1	DBVPG3775_002257-T1
GF00000102	TFCN54D1_011002-T1	DBVPG3775_002526-T1
GF00000103	TFCN54D1_009835-T1	DBVPG3775_004544-T1
GF00000104	TFCN54D1_010898-T1	DBVPG3775_002579-T1
GF00000105	TFCN54D1_008944-T1	DBVPG3775_001795-T1
GF00000106	TFCN54D1_006721-T1	DBVPG3775_002706-T1
GF00000107	TFCN54D1_005799-T1	DBVPG3775_004335-T1
GF00000108	TFCN54D1_000048-T1	DBVPG3775_006948-T1
GF00000109	TFCN54D1_003781-T1	DBVPG3775_006416-T1
GF00000110	TFCN54D1_003779-T1	DBVPG3775_003162-T1
GF00000111	TFCN54D1_004881-T1	DBVPG3775_003544-T1
GF00000112	TFCN54D1_006339-T1	DBVPG3775_003075-T1
GF00000113	TFCN54D1_009856-T1	DBVPG3775_003266-T1
GF00000114	TFCN54D1_000493-T1	DBVPG3775_000208-T1
GF00000115	TFCN54D1_000854-T1	DBVPG3775_001104-T1
GF00000116	TFCN54D1_009483-T1	DBVPG3775_004642-T1
GF00000117	TFCN54D1_001221-T1	DBVPG3775_006584-T1
GF00000118	TFCN54D1_007361-T1	DBVPG3775_006594-T1
GF00000119	TFCN54D1_006022-T1	DBVPG3775_001935-T1
GF00000120	TFCN54D1_001262-T1	DBVPG3775_000794-T1
GF00000121	TFCN54D1_008792-T1	DBVPG3775_006485-T1
GF00000122	TFCN54D1_002388-T1	DBVPG3775_005295-T1
GF00000123	TFCN54D1_011797-T1	DBVPG3775_004634-T1
GF00000124	TFCN54D1_006035-T1	DBVPG3775_002291-T1
GF00000125	TFCN54D1_004792-T1	DBVPG3775_001020-T1
GF00000126	TFCN54D1_002996-T1	DBVPG3775_005157-T1
GF00000127	TFCN54D1_004250-T1	DBVPG3775_001677-T1
GF00000128	TFCN54D1_005464-T1	DBVPG3775_004549-T1
GF00000129	TFCN54D1_004535-T1	DBVPG3775_001404-T1
GF00000130	TFCN54D1_005574-T1	DBVPG3775_006210-T1
GF00000131	TFCN54D1_005706-T1	DBVPG3775_007270-T1
GF00000132	TFCN54D1_008271-T1	DBVPG3775_005753-T1
GF00000133	TFCN54D1_009834-T1	DBVPG3775_002046-T1
GF00000134	TFCN54D1_011599-T1	DBVPG3775_000721-T1
GF00000135	TFCN54D1_003784-T1	DBVPG3775_006420-T1
GF00000136	TFCN54D1_008360-T1	DBVPG3775_004717-T1
GF00000137	TFCN54D1_007216-T1	DBVPG3775_003607-T1
GF00000138	TFCN54D1_012194-T1	DBVPG3775_000562-T1
GF00000139	TFCN54D1_000369-T1	DBVPG3775_002071-T1
GF00000140	TFCN54D1_000403-T1	DBVPG3775_004097-T1
GF00000141	TFCN54D1_012910-T1	DBVPG3775_007575-T1
GF00000142	TFCN54D1_000446-T1	DBVPG3775_000153-T1
GF00000143	TFCN54D1_000466-T1	DBVPG3775_000176-T1
GF00000144	TFCN54D1_003685-T1	DBVPG3775_002435-T1
GF00000145	TFCN54D1_005271-T1	DBVPG3775_006076-T1
GF00000146	TFCN54D1_001310-T1	DBVPG3775_002367-T1
GF00000147	TFCN54D1_001552-T1	DBVPG3775_003741-T1
GF00000148	TFCN54D1_011272-T1	DBVPG3775_004502-T1
GF00000149	TFCN54D1_009886-T1	DBVPG3775_006576-T1
GF00000150	TFCN54D1_004060-T1	DBVPG3775_004520-T1
GF00000151	TFCN54D1_008348-T1	DBVPG3775_003877-T1
GF00000152	TFCN54D1_002734-T1	DBVPG3775_006913-T1
GF00000153	TFCN54D1_006577-T1	DBVPG3775_004181-T1
GF00000154	TFCN54D1_012174-T1	DBVPG3775_002326-T1
GF00000155	TFCN54D1_010715-T1	DBVPG3775_006357-T1
GF00000156	TFCN54D1_003320-T1	DBVPG3775_001376-T1
GF00000157	TFCN54D1_010487-T1	DBVPG3775_000399-T1
GF00000158	TFCN54D1_012132-T1	DBVPG3775_003422-T1
GF00000159	TFCN54D1_009057-T1	DBVPG3775_000732-T1
GF00000160	TFCN54D1_010119-T1	DBVPG3775_002592-T1
GF00000161	TFCN54D1_009296-T1	DBVPG3775_006856-T1
GF00000162	TFCN54D1_012701-T1	DBVPG3775_003273-T1
GF00000163	TFCN54D1_005829-T1	DBVPG3775_003709-T1
GF00000164	TFCN54D1_010343-T1	DBVPG3775_000632-T1
GF00000165	TFCN54D1_007880-T1	DBVPG3775_002858-T1
GF00000166	TFCN54D1_003914-T1	DBVPG3775_005082-T1
GF00000167	TFCN54D1_000764-T1	DBVPG3775_005109-T1
GF00000168	TFCN54D1_005809-T1	DBVPG3775_000021-T1
GF00000169	TFCN54D1_004245-T1	DBVPG3775_001671-T1
GF00000170	TFCN54D1_006282-T1	DBVPG3775_005546-T1
GF00000171	TFCN54D1_002599-T1	DBVPG3775_002271-T1
GF00000172	TFCN54D1_011862-T1	DBVPG3775_003643-T1
GF00000173	TFCN54D1_007339-T1	DBVPG3775_004821-T1
GF00000174	TFCN54D1_008780-T1	DBVPG3775_006471-T1
GF00000175	TFCN54D1_005311-T1	DBVPG3775_006031-T1
GF00000176	TFCN54D1_001120-T1	DBVPG3775_002965-T1
GF00000177	TFCN54D1_008727-T1	DBVPG3775_006015-T1
GF00000178	TFCN54D1_001735-T1	DBVPG3775_001266-T1
GF00000179	TFCN54D1_001041-T1	DBVPG3775_001329-T1
GF00000180	TFCN54D1_009282-T1	DBVPG3775_006806-T1
GF00000181	TFCN54D1_002239-T1	DBVPG3775_003496-T1
GF00000182	TFCN54D1_008232-T1	DBVPG3775_007022-T1
GF00000183	TFCN54D1_007152-T1	DBVPG3775_005884-T1
GF00000184	TFCN54D1_011772-T1	DBVPG3775_003229-T1
GF00000185	TFCN54D1_011482-T1	DBVPG3775_007423-T1
GF00000186	TFCN54D1_001383-T1	DBVPG3775_002458-T1
GF00000187	TFCN54D1_008061-T1	DBVPG3775_007483-T1
GF00000188	TFCN54D1_004741-T1	DBVPG3775_007442-T1
GF00000189	TFCN54D1_001969-T1	DBVPG3775_004118-T1
GF00000190	TFCN54D1_009548-T1	DBVPG3775_006133-T1
GF00000191	TFCN54D1_002156-T1	DBVPG3775_001902-T1
GF00000192	TFCN54D1_003132-T1	DBVPG3775_004880-T1
GF00000193	TFCN54D1_006134-T1	DBVPG3775_003362-T1
GF00000194	TFCN54D1_009473-T1	DBVPG3775_003255-T1
GF00000195	TFCN54D1_002344-T1	DBVPG3775_000475-T1
GF00000196	TFCN54D1_012151-T1	DBVPG3775_001832-T1
GF00000197	TFCN54D1_007244-T1	DBVPG3775_005206-T1
GF00000198	TFCN54D1_004501-T1	DBVPG3775_001961-T1
GF00000199	TFCN54D1_011707-T1	DBVPG3775_004253-T1
GF00000200	TFCN54D1_004328-T1	DBVPG3775_004876-T1
GF00000201	TFCN54D1_007296-T1	DBVPG3775_004760-T1
GF00000202	TFCN54D1_008902-T1	DBVPG3775_001380-T1
GF00000203	TFCN54D1_008895-T1	DBVPG3775_001367-T1
GF00000204	TFCN54D1_012817-T1	DBVPG3775_007093-T1
