	Rhodotorula_mucilaginosa_TFCN_17-0-2E337-3.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN1702E3373_006426-T1	DBVPG3775_001425-T1
GF00000002	TFCN1702E3373_005700-T1	DBVPG3775_001973-T1
GF00000003	TFCN1702E3373_008072-T1	DBVPG3775_006827-T1
GF00000004	TFCN1702E3373_004979-T1	DBVPG3775_004172-T1
GF00000005	TFCN1702E3373_004941-T1	DBVPG3775_004132-T1
GF00000006	TFCN1702E3373_012850-T1	DBVPG3775_002321-T1
GF00000007	TFCN1702E3373_006524-T1	DBVPG3775_005585-T1
GF00000008	TFCN1702E3373_004426-T1	DBVPG3775_002003-T1
GF00000009	TFCN1702E3373_002505-T1	DBVPG3775_004453-T1
GF00000010	TFCN1702E3373_001500-T1	DBVPG3775_003781-T1
GF00000011	TFCN1702E3373_000757-T1	DBVPG3775_000220-T1
GF00000012	TFCN1702E3373_014296-T1	DBVPG3775_000780-T1
GF00000013	TFCN1702E3373_003171-T1	DBVPG3775_002916-T1
GF00000014	TFCN1702E3373_007290-T1	DBVPG3775_002987-T1
GF00000015	TFCN1702E3373_001800-T1	DBVPG3775_000902-T1
GF00000016	TFCN1702E3373_004502-T1	DBVPG3775_006585-T1
GF00000017	TFCN1702E3373_005400-T1	DBVPG3775_004957-T1
GF00000018	TFCN1702E3373_010104-T1	DBVPG3775_006246-T1
GF00000019	TFCN1702E3373_008758-T1	DBVPG3775_000926-T1
GF00000020	TFCN1702E3373_008811-T1	DBVPG3775_005206-T1
GF00000021	TFCN1702E3373_005778-T1	DBVPG3775_001893-T1
GF00000022	TFCN1702E3373_006984-T1	DBVPG3775_004041-T1
GF00000023	TFCN1702E3373_011163-T1	DBVPG3775_003162-T1
GF00000024	TFCN1702E3373_011220-T1	DBVPG3775_002812-T1
GF00000025	TFCN1702E3373_001368-T1	DBVPG3775_003794-T1
GF00000026	TFCN1702E3373_004006-T1	DBVPG3775_001426-T1
GF00000027	TFCN1702E3373_008660-T1	DBVPG3775_007326-T1
GF00000028	TFCN1702E3373_004861-T1	DBVPG3775_003767-T1
GF00000029	TFCN1702E3373_008946-T1	DBVPG3775_005693-T1
GF00000030	TFCN1702E3373_000491-T1	DBVPG3775_005080-T1
GF00000031	TFCN1702E3373_004739-T1	DBVPG3775_000357-T1
GF00000032	TFCN1702E3373_013071-T1	DBVPG3775_000924-T1
GF00000033	TFCN1702E3373_013492-T1	DBVPG3775_007088-T1
GF00000034	TFCN1702E3373_010061-T1	DBVPG3775_004140-T1
GF00000035	TFCN1702E3373_003954-T1	DBVPG3775_001370-T1
GF00000036	TFCN1702E3373_010693-T1	DBVPG3775_004141-T1
GF00000037	TFCN1702E3373_012559-T1	DBVPG3775_003326-T1
GF00000038	TFCN1702E3373_010916-T1	DBVPG3775_005960-T1
GF00000039	TFCN1702E3373_007621-T1	DBVPG3775_004622-T1
GF00000040	TFCN1702E3373_012842-T1	DBVPG3775_002328-T1
GF00000041	TFCN1702E3373_006627-T1	DBVPG3775_002869-T1
GF00000042	TFCN1702E3373_012219-T1	DBVPG3775_005321-T1
GF00000043	TFCN1702E3373_006831-T1	DBVPG3775_000387-T1
GF00000044	TFCN1702E3373_010597-T1	DBVPG3775_000993-T1
GF00000045	TFCN1702E3373_002212-T1	DBVPG3775_006341-T1
GF00000046	TFCN1702E3373_006350-T1	DBVPG3775_001451-T1
GF00000047	TFCN1702E3373_008257-T1	DBVPG3775_004521-T1
GF00000048	TFCN1702E3373_013175-T1	DBVPG3775_006954-T1
GF00000049	TFCN1702E3373_006115-T1	DBVPG3775_003520-T1
GF00000050	TFCN1702E3373_004215-T1	DBVPG3775_002218-T1
GF00000051	TFCN1702E3373_005167-T1	DBVPG3775_003313-T1
GF00000052	TFCN1702E3373_008233-T1	DBVPG3775_001251-T1
GF00000053	TFCN1702E3373_012541-T1	DBVPG3775_007132-T1
GF00000054	TFCN1702E3373_008685-T1	DBVPG3775_000026-T1
GF00000055	TFCN1702E3373_004466-T1	DBVPG3775_002043-T1
GF00000056	TFCN1702E3373_002195-T1	DBVPG3775_007158-T1
GF00000057	TFCN1702E3373_009942-T1	DBVPG3775_002941-T1
GF00000058	TFCN1702E3373_000705-T1	DBVPG3775_000170-T1
GF00000059	TFCN1702E3373_014309-T1	DBVPG3775_006345-T1
GF00000060	TFCN1702E3373_006586-T1	DBVPG3775_005295-T1
GF00000061	TFCN1702E3373_002142-T1	DBVPG3775_005166-T1
GF00000062	TFCN1702E3373_008239-T1	DBVPG3775_004502-T1
GF00000063	TFCN1702E3373_005837-T1	DBVPG3775_000467-T1
GF00000064	TFCN1702E3373_004288-T1	DBVPG3775_002206-T1
GF00000065	TFCN1702E3373_006821-T1	DBVPG3775_005736-T1
GF00000066	TFCN1702E3373_002772-T1	DBVPG3775_004308-T1
GF00000067	TFCN1702E3373_000380-T1	DBVPG3775_006959-T1
GF00000068	TFCN1702E3373_013410-T1	DBVPG3775_001018-T1
GF00000069	TFCN1702E3373_001207-T1	DBVPG3775_001088-T1
GF00000070	TFCN1702E3373_014234-T1	DBVPG3775_007424-T1
GF00000071	TFCN1702E3373_005830-T1	DBVPG3775_000475-T1
GF00000072	TFCN1702E3373_005769-T1	DBVPG3775_001902-T1
GF00000073	TFCN1702E3373_011751-T1	DBVPG3775_000842-T1
GF00000074	TFCN1702E3373_014440-T1	DBVPG3775_007561-T1
GF00000075	TFCN1702E3373_010789-T1	DBVPG3775_003251-T1
GF00000076	TFCN1702E3373_012710-T1	DBVPG3775_003742-T1
GF00000077	TFCN1702E3373_001366-T1	DBVPG3775_003792-T1
GF00000078	TFCN1702E3373_012431-T1	DBVPG3775_006241-T1
GF00000079	TFCN1702E3373_000368-T1	DBVPG3775_006948-T1
GF00000080	TFCN1702E3373_000411-T1	DBVPG3775_006421-T1
GF00000081	TFCN1702E3373_000425-T1	DBVPG3775_003544-T1
GF00000082	TFCN1702E3373_000433-T1	DBVPG3775_003172-T1
GF00000083	TFCN1702E3373_007387-T1	DBVPG3775_000527-T1
GF00000084	TFCN1702E3373_000504-T1	DBVPG3775_003104-T1
GF00000085	TFCN1702E3373_006004-T1	DBVPG3775_002226-T1
GF00000086	TFCN1702E3373_007889-T1	DBVPG3775_002083-T1
GF00000087	TFCN1702E3373_014135-T1	DBVPG3775_007226-T1
GF00000088	TFCN1702E3373_008088-T1	DBVPG3775_006818-T1
GF00000089	TFCN1702E3373_002152-T1	DBVPG3775_005157-T1
GF00000090	TFCN1702E3373_014431-T1	DBVPG3775_002338-T1
GF00000091	TFCN1702E3373_006510-T1	DBVPG3775_005599-T1
GF00000092	TFCN1702E3373_001228-T1	DBVPG3775_001065-T1
GF00000093	TFCN1702E3373_001359-T1	DBVPG3775_003785-T1
GF00000094	TFCN1702E3373_004842-T1	DBVPG3775_000368-T1
GF00000095	TFCN1702E3373_000219-T1	DBVPG3775_004080-T1
GF00000096	TFCN1702E3373_002801-T1	DBVPG3775_004339-T1
GF00000097	TFCN1702E3373_010113-T1	DBVPG3775_000082-T1
GF00000098	TFCN1702E3373_000728-T1	DBVPG3775_000191-T1
GF00000099	TFCN1702E3373_004327-T1	DBVPG3775_002257-T1
GF00000100	TFCN1702E3373_005710-T1	DBVPG3775_001962-T1
GF00000101	TFCN1702E3373_009075-T1	DBVPG3775_002579-T1
GF00000102	TFCN1702E3373_001488-T1	DBVPG3775_007105-T1
GF00000103	TFCN1702E3373_014384-T1	DBVPG3775_006584-T1
GF00000104	TFCN1702E3373_005302-T1	DBVPG3775_003841-T1
GF00000105	TFCN1702E3373_012892-T1	DBVPG3775_000562-T1
GF00000106	TFCN1702E3373_001661-T1	DBVPG3775_002526-T1
GF00000107	TFCN1702E3373_002145-T1	DBVPG3775_005163-T1
GF00000108	TFCN1702E3373_005260-T1	DBVPG3775_003881-T1
GF00000109	TFCN1702E3373_003356-T1	DBVPG3775_003686-T1
GF00000110	TFCN1702E3373_012845-T1	DBVPG3775_002326-T1
GF00000111	TFCN1702E3373_010566-T1	DBVPG3775_006133-T1
GF00000112	TFCN1702E3373_012216-T1	DBVPG3775_005324-T1
GF00000113	TFCN1702E3373_008474-T1	DBVPG3775_004717-T1
GF00000114	TFCN1702E3373_006697-T1	DBVPG3775_007520-T1
GF00000115	TFCN1702E3373_002565-T1	DBVPG3775_003302-T1
GF00000116	TFCN1702E3373_011308-T1	DBVPG3775_002435-T1
GF00000117	TFCN1702E3373_001984-T1	DBVPG3775_004181-T1
GF00000118	TFCN1702E3373_003854-T1	DBVPG3775_001853-T1
GF00000119	TFCN1702E3373_004735-T1	DBVPG3775_000399-T1
GF00000120	TFCN1702E3373_011928-T1	DBVPG3775_007241-T1
GF00000121	TFCN1702E3373_006809-T1	DBVPG3775_005753-T1
GF00000122	TFCN1702E3373_012634-T1	DBVPG3775_001549-T1
GF00000123	TFCN1702E3373_014412-T1	DBVPG3775_003273-T1
GF00000124	TFCN1702E3373_008282-T1	DBVPG3775_004545-T1
GF00000125	TFCN1702E3373_000113-T1	DBVPG3775_005082-T1
GF00000126	TFCN1702E3373_001072-T1	DBVPG3775_003072-T1
GF00000127	TFCN1702E3373_011138-T1	DBVPG3775_006438-T1
GF00000128	TFCN1702E3373_011325-T1	DBVPG3775_000632-T1
GF00000129	TFCN1702E3373_014282-T1	DBVPG3775_005359-T1
GF00000130	TFCN1702E3373_000956-T1	DBVPG3775_003143-T1
GF00000131	TFCN1702E3373_000472-T1	DBVPG3775_003134-T1
GF00000132	TFCN1702E3373_011084-T1	DBVPG3775_000153-T1
GF00000133	TFCN1702E3373_008075-T1	DBVPG3775_003865-T1
GF00000134	TFCN1702E3373_003434-T1	DBVPG3775_001140-T1
GF00000135	TFCN1702E3373_008120-T1	DBVPG3775_003861-T1
GF00000136	TFCN1702E3373_002972-T1	DBVPG3775_003741-T1
GF00000137	TFCN1702E3373_009289-T1	DBVPG3775_007423-T1
GF00000138	TFCN1702E3373_008135-T1	DBVPG3775_003877-T1
GF00000139	TFCN1702E3373_006505-T1	DBVPG3775_005603-T1
GF00000140	TFCN1702E3373_008286-T1	DBVPG3775_004549-T1
GF00000141	TFCN1702E3373_008206-T1	DBVPG3775_007483-T1
GF00000142	TFCN1702E3373_009002-T1	DBVPG3775_006673-T1
GF00000143	TFCN1702E3373_001947-T1	DBVPG3775_004731-T1
GF00000144	TFCN1702E3373_007363-T1	DBVPG3775_001266-T1
GF00000145	TFCN1702E3373_010629-T1	DBVPG3775_004880-T1
GF00000146	TFCN1702E3373_009169-T1	DBVPG3775_004520-T1
GF00000147	TFCN1702E3373_011967-T1	DBVPG3775_002751-T1
GF00000148	TFCN1702E3373_003858-T1	DBVPG3775_001834-T1
GF00000149	TFCN1702E3373_014561-T1	DBVPG3775_006662-T1
GF00000150	TFCN1702E3373_008040-T1	DBVPG3775_006856-T1
GF00000151	TFCN1702E3373_010085-T1	DBVPG3775_005109-T1
GF00000152	TFCN1702E3373_007766-T1	DBVPG3775_000449-T1
GF00000153	TFCN1702E3373_000123-T1	DBVPG3775_006031-T1
GF00000154	TFCN1702E3373_000236-T1	DBVPG3775_004097-T1
GF00000155	TFCN1702E3373_002795-T1	DBVPG3775_004335-T1
GF00000156	TFCN1702E3373_010412-T1	DBVPG3775_004556-T1
GF00000157	TFCN1702E3373_005606-T1	DBVPG3775_001719-T1
GF00000158	TFCN1702E3373_001340-T1	DBVPG3775_006972-T1
GF00000159	TFCN1702E3373_000397-T1	DBVPG3775_006416-T1
GF00000160	TFCN1702E3373_014706-T1	DBVPG3775_007575-T1
GF00000161	TFCN1702E3373_011230-T1	DBVPG3775_005546-T1
GF00000162	TFCN1702E3373_010700-T1	DBVPG3775_003411-T1
GF00000163	TFCN1702E3373_004340-T1	DBVPG3775_002271-T1
GF00000164	TFCN1702E3373_006262-T1	DBVPG3775_003643-T1
GF00000165	TFCN1702E3373_011356-T1	DBVPG3775_000271-T1
GF00000166	TFCN1702E3373_007640-T1	DBVPG3775_004642-T1
GF00000167	TFCN1702E3373_001192-T1	DBVPG3775_001104-T1
GF00000168	TFCN1702E3373_008928-T1	DBVPG3775_006015-T1
GF00000169	TFCN1702E3373_003221-T1	DBVPG3775_002965-T1
GF00000170	TFCN1702E3373_004416-T1	DBVPG3775_001993-T1
GF00000171	TFCN1702E3373_013938-T1	DBVPG3775_000814-T1
GF00000172	TFCN1702E3373_006229-T1	DBVPG3775_003677-T1
GF00000173	TFCN1702E3373_009332-T1	DBVPG3775_002488-T1
GF00000174	TFCN1702E3373_011137-T1	DBVPG3775_006439-T1
GF00000175	TFCN1702E3373_001902-T1	DBVPG3775_007063-T1
GF00000176	TFCN1702E3373_008637-T1	DBVPG3775_007442-T1
GF00000177	TFCN1702E3373_002226-T1	DBVPG3775_006357-T1
GF00000178	TFCN1702E3373_008455-T1	DBVPG3775_004735-T1
GF00000179	TFCN1702E3373_004668-T1	DBVPG3775_003496-T1
GF00000180	TFCN1702E3373_012676-T1	DBVPG3775_004809-T1
GF00000181	TFCN1702E3373_005052-T1	DBVPG3775_004760-T1
GF00000182	TFCN1702E3373_007458-T1	DBVPG3775_001832-T1
GF00000183	TFCN1702E3373_005099-T1	DBVPG3775_004711-T1
GF00000184	TFCN1702E3373_013291-T1	DBVPG3775_007022-T1
GF00000185	TFCN1702E3373_005864-T1	DBVPG3775_000439-T1
GF00000186	TFCN1702E3373_010816-T1	DBVPG3775_003607-T1
GF00000187	TFCN1702E3373_010688-T1	DBVPG3775_003422-T1
GF00000188	TFCN1702E3373_006400-T1	DBVPG3775_001452-T1
GF00000189	TFCN1702E3373_014656-T1	DBVPG3775_006806-T1
GF00000190	TFCN1702E3373_007384-T1	DBVPG3775_005884-T1
GF00000191	TFCN1702E3373_012162-T1	DBVPG3775_001517-T1
GF00000192	TFCN1702E3373_007493-T1	DBVPG3775_001795-T1
GF00000193	TFCN1702E3373_010359-T1	DBVPG3775_005942-T1
GF00000194	TFCN1702E3373_004361-T1	DBVPG3775_002291-T1
GF00000195	TFCN1702E3373_011639-T1	DBVPG3775_003255-T1
GF00000196	TFCN1702E3373_010295-T1	DBVPG3775_006388-T1
GF00000197	TFCN1702E3373_004383-T1	DBVPG3775_001961-T1
GF00000198	TFCN1702E3373_013229-T1	DBVPG3775_003229-T1
