	Rhodotorula_mucilaginosa_DBVPG_3855.cds.fa
GF00000001	DBVPG3855_004230-T1, DBVPG3855_001600-T1, DBVPG3855_006695-T1, DBVPG3855_010047-T1, DBVPG3855_000937-T1, DBVPG3855_003086-T1, DBVPG3855_000153-T1, DBVPG3855_007651-T1, DBVPG3855_008800-T1, DBVPG3855_005783-T1, DBVPG3855_011948-T1, DBVPG3855_006624-T1, DBVPG3855_002634-T1, DBVPG3855_000835-T1, DBVPG3855_007456-T1, DBVPG3855_001555-T1, DBVPG3855_000473-T1, DBVPG3855_004032-T1, DBVPG3855_003677-T1, DBVPG3855_004626-T1, DBVPG3855_005476-T1, DBVPG3855_009247-T1, DBVPG3855_007845-T1, DBVPG3855_005881-T1, DBVPG3855_013961-T1, DBVPG3855_000787-T1, DBVPG3855_002686-T1, DBVPG3855_013184-T1, DBVPG3855_010528-T1, DBVPG3855_014578-T1, DBVPG3855_007744-T1, DBVPG3855_010284-T1, DBVPG3855_004960-T1, DBVPG3855_005782-T1, DBVPG3855_001081-T1, DBVPG3855_005291-T1, DBVPG3855_007745-T1, DBVPG3855_003213-T1
GF00000002	DBVPG3855_002388-T1, DBVPG3855_005172-T1, DBVPG3855_002299-T1, DBVPG3855_002429-T1, DBVPG3855_005187-T1, DBVPG3855_002300-T1, DBVPG3855_002329-T1, DBVPG3855_013729-T1, DBVPG3855_002323-T1, DBVPG3855_002375-T1, DBVPG3855_005188-T1, DBVPG3855_005132-T1, DBVPG3855_013728-T1, DBVPG3855_014405-T1, DBVPG3855_002426-T1, DBVPG3855_005186-T1, DBVPG3855_000698-T1, DBVPG3855_002387-T1, DBVPG3855_000657-T1, DBVPG3855_011289-T1, DBVPG3855_005173-T1, DBVPG3855_000616-T1, DBVPG3855_002320-T1, DBVPG3855_002428-T1, DBVPG3855_002376-T1, DBVPG3855_000658-T1, DBVPG3855_000699-T1, DBVPG3855_005175-T1, DBVPG3855_002427-T1, DBVPG3855_014678-T1, DBVPG3855_005174-T1
GF00000003	DBVPG3855_010852-T1, DBVPG3855_011676-T1, DBVPG3855_010875-T1, DBVPG3855_010850-T1, DBVPG3855_010829-T1, DBVPG3855_011366-T1, DBVPG3855_005636-T1, DBVPG3855_008263-T1, DBVPG3855_010851-T1, DBVPG3855_010854-T1, DBVPG3855_012890-T1, DBVPG3855_010853-T1, DBVPG3855_008741-T1, DBVPG3855_010876-T1, DBVPG3855_014012-T1, DBVPG3855_012869-T1, DBVPG3855_006366-T1, DBVPG3855_012891-T1, DBVPG3855_006368-T1, DBVPG3855_010877-T1, DBVPG3855_006369-T1, DBVPG3855_009868-T1, DBVPG3855_010874-T1, DBVPG3855_012893-T1, DBVPG3855_006367-T1, DBVPG3855_009596-T1, DBVPG3855_014010-T1, DBVPG3855_014011-T1, DBVPG3855_010830-T1, DBVPG3855_012894-T1
GF00000004	DBVPG3855_009703-T1, DBVPG3855_006112-T1, DBVPG3855_006786-T1, DBVPG3855_007958-T1, DBVPG3855_013148-T1, DBVPG3855_008170-T1, DBVPG3855_001018-T1, DBVPG3855_010599-T1, DBVPG3855_004320-T1, DBVPG3855_001680-T1, DBVPG3855_010396-T1, DBVPG3855_011146-T1, DBVPG3855_011160-T1, DBVPG3855_001767-T1, DBVPG3855_010780-T1, DBVPG3855_002200-T1, DBVPG3855_008414-T1, DBVPG3855_013088-T1, DBVPG3855_001761-T1, DBVPG3855_010605-T1, DBVPG3855_006746-T1, DBVPG3855_005842-T1, DBVPG3855_010247-T1, DBVPG3855_013833-T1, DBVPG3855_010459-T1, DBVPG3855_001019-T1
GF00000005	DBVPG3855_002185-T1, DBVPG3855_008427-T1, DBVPG3855_002534-T1, DBVPG3855_001750-T1, DBVPG3855_012372-T1, DBVPG3855_014269-T1, DBVPG3855_008764-T1, DBVPG3855_003210-T1, DBVPG3855_000275-T1, DBVPG3855_009931-T1, DBVPG3855_006245-T1, DBVPG3855_012622-T1, DBVPG3855_014432-T1, DBVPG3855_003426-T1, DBVPG3855_003297-T1, DBVPG3855_007185-T1, DBVPG3855_007063-T1, DBVPG3855_013708-T1, DBVPG3855_011134-T1, DBVPG3855_008147-T1, DBVPG3855_007946-T1, DBVPG3855_006805-T1, DBVPG3855_014290-T1, DBVPG3855_014353-T1, DBVPG3855_014688-T1
GF00000006	DBVPG3855_006446-T1, DBVPG3855_002661-T1, DBVPG3855_011852-T1, DBVPG3855_006436-T1, DBVPG3855_002961-T1, DBVPG3855_013738-T1, DBVPG3855_000810-T1, DBVPG3855_002962-T1, DBVPG3855_006448-T1, DBVPG3855_006443-T1, DBVPG3855_006447-T1, DBVPG3855_013737-T1, DBVPG3855_006451-T1, DBVPG3855_006449-T1, DBVPG3855_006444-T1, DBVPG3855_006442-T1, DBVPG3855_011853-T1, DBVPG3855_006450-T1, DBVPG3855_006434-T1, DBVPG3855_002964-T1, DBVPG3855_006435-T1, DBVPG3855_006445-T1, DBVPG3855_000809-T1, DBVPG3855_002963-T1
GF00000007	DBVPG3855_014611-T1, DBVPG3855_008155-T1, DBVPG3855_011144-T1, DBVPG3855_001089-T1, DBVPG3855_005299-T1, DBVPG3855_008135-T1, DBVPG3855_001387-T1, DBVPG3855_007052-T1, DBVPG3855_001354-T1, DBVPG3855_005371-T1, DBVPG3855_001165-T1, DBVPG3855_001350-T1, DBVPG3855_004614-T1, DBVPG3855_005489-T1, DBVPG3855_005488-T1, DBVPG3855_004615-T1, DBVPG3855_014127-T1, DBVPG3855_004714-T1, DBVPG3855_001351-T1
GF00000008	DBVPG3855_004663-T1, DBVPG3855_005437-T1, DBVPG3855_007562-T1, DBVPG3855_009508-T1, DBVPG3855_011732-T1, DBVPG3855_012024-T1, DBVPG3855_002357-T1, DBVPG3855_005204-T1, DBVPG3855_007558-T1, DBVPG3855_009504-T1, DBVPG3855_003194-T1, DBVPG3855_006643-T1, DBVPG3855_010441-T1, DBVPG3855_005728-T1, DBVPG3855_000261-T1, DBVPG3855_006264-T1, DBVPG3855_009912-T1, DBVPG3855_010823-T1
GF00000009	DBVPG3855_011372-T1, DBVPG3855_011682-T1, DBVPG3855_000972-T1, DBVPG3855_004111-T1, DBVPG3855_000372-T1, DBVPG3855_000373-T1, DBVPG3855_003640-T1, DBVPG3855_000886-T1, DBVPG3855_002582-T1, DBVPG3855_001537-T1, DBVPG3855_007440-T1, DBVPG3855_000971-T1, DBVPG3855_004016-T1, DBVPG3855_003660-T1, DBVPG3855_010011-T1, DBVPG3855_010012-T1, DBVPG3855_000476-T1
GF00000010	DBVPG3855_007393-T1, DBVPG3855_002002-T1, DBVPG3855_001493-T1, DBVPG3855_004848-T1, DBVPG3855_008910-T1, DBVPG3855_002884-T1, DBVPG3855_003944-T1, DBVPG3855_013465-T1, DBVPG3855_013735-T1, DBVPG3855_006453-T1, DBVPG3855_014569-T1, DBVPG3855_006097-T1, DBVPG3855_000108-T1, DBVPG3855_003040-T1, DBVPG3855_000446-T1, DBVPG3855_002006-T1, DBVPG3855_004851-T1
GF00000011	DBVPG3855_009040-T1, DBVPG3855_009041-T1, DBVPG3855_010657-T1, DBVPG3855_009032-T1, DBVPG3855_009042-T1, DBVPG3855_010656-T1, DBVPG3855_009039-T1, DBVPG3855_009033-T1, DBVPG3855_009036-T1, DBVPG3855_009034-T1, DBVPG3855_009035-T1, DBVPG3855_009043-T1, DBVPG3855_010655-T1, DBVPG3855_009038-T1, DBVPG3855_010653-T1, DBVPG3855_010654-T1, DBVPG3855_009037-T1
GF00000012	DBVPG3855_002670-T1, DBVPG3855_010924-T1, DBVPG3855_011803-T1, DBVPG3855_003291-T1, DBVPG3855_007057-T1, DBVPG3855_013969-T1, DBVPG3855_002099-T1, DBVPG3855_013507-T1, DBVPG3855_003729-T1, DBVPG3855_014060-T1, DBVPG3855_003702-T1, DBVPG3855_004057-T1, DBVPG3855_012396-T1, DBVPG3855_007768-T1, DBVPG3855_005873-T1, DBVPG3855_001134-T1, DBVPG3855_005338-T1
