	Rhodotorula_mucilaginosa_TFCN_152A-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN152A1_002234-T1	DBVPG3775_001425-T1
GF00000002	TFCN152A1_005987-T1	DBVPG3775_004132-T1
GF00000003	TFCN152A1_005816-T1	DBVPG3775_001973-T1
GF00000004	TFCN152A1_009196-T1	DBVPG3775_005716-T1
GF00000005	TFCN152A1_002386-T1	DBVPG3775_002963-T1
GF00000006	TFCN152A1_009319-T1	DBVPG3775_006827-T1
GF00000007	TFCN152A1_004174-T1	DBVPG3775_002003-T1
GF00000008	TFCN152A1_003144-T1	DBVPG3775_006246-T1
GF00000009	TFCN152A1_002201-T1	DBVPG3775_006573-T1
GF00000010	TFCN152A1_002357-T1	DBVPG3775_005585-T1
GF00000011	TFCN152A1_009755-T1	DBVPG3775_003581-T1
GF00000012	TFCN152A1_012565-T1	DBVPG3775_000220-T1
GF00000013	TFCN152A1_012059-T1	DBVPG3775_000780-T1
GF00000014	TFCN152A1_008122-T1	DBVPG3775_000902-T1
GF00000015	TFCN152A1_003290-T1	DBVPG3775_000926-T1
GF00000016	TFCN152A1_002298-T1	DBVPG3775_001370-T1
GF00000017	TFCN152A1_010913-T1	DBVPG3775_004041-T1
GF00000018	TFCN152A1_011797-T1	DBVPG3775_003249-T1
GF00000019	TFCN152A1_009219-T1	DBVPG3775_002916-T1
GF00000020	TFCN152A1_003445-T1	DBVPG3775_003781-T1
GF00000021	TFCN152A1_003293-T1	DBVPG3775_001426-T1
GF00000022	TFCN152A1_006728-T1	DBVPG3775_006220-T1
GF00000023	TFCN152A1_009252-T1	DBVPG3775_005206-T1
GF00000024	TFCN152A1_004634-T1	DBVPG3775_006565-T1
GF00000025	TFCN152A1_008902-T1	DBVPG3775_006961-T1
GF00000026	TFCN152A1_002878-T1	DBVPG3775_001688-T1
GF00000027	TFCN152A1_006773-T1	DBVPG3775_007326-T1
GF00000028	TFCN152A1_004445-T1	DBVPG3775_002812-T1
GF00000029	TFCN152A1_010509-T1	DBVPG3775_004856-T1
GF00000030	TFCN152A1_006818-T1	DBVPG3775_004622-T1
GF00000031	TFCN152A1_010975-T1	DBVPG3775_005960-T1
GF00000032	TFCN152A1_000917-T1	DBVPG3775_004138-T1
GF00000033	TFCN152A1_009158-T1	DBVPG3775_000606-T1
GF00000034	TFCN152A1_004746-T1	DBVPG3775_003794-T1
GF00000035	TFCN152A1_007505-T1	DBVPG3775_005693-T1
GF00000036	TFCN152A1_003628-T1	DBVPG3775_000357-T1
GF00000037	TFCN152A1_009866-T1	DBVPG3775_002328-T1
GF00000038	TFCN152A1_005661-T1	DBVPG3775_002211-T1
GF00000039	TFCN152A1_010691-T1	DBVPG3775_000924-T1
GF00000040	TFCN152A1_008098-T1	DBVPG3775_003313-T1
GF00000041	TFCN152A1_007845-T1	DBVPG3775_003326-T1
GF00000042	TFCN152A1_002235-T1	DBVPG3775_007022-T1
GF00000043	TFCN152A1_004313-T1	DBVPG3775_001418-T1
GF00000044	TFCN152A1_002351-T1	DBVPG3775_005578-T1
GF00000045	TFCN152A1_005730-T1	DBVPG3775_004721-T1
GF00000046	TFCN152A1_010046-T1	DBVPG3775_001897-T1
GF00000047	TFCN152A1_008607-T1	DBVPG3775_001088-T1
GF00000048	TFCN152A1_011678-T1	DBVPG3775_004632-T1
GF00000049	TFCN152A1_008994-T1	DBVPG3775_004141-T1
GF00000050	TFCN152A1_006196-T1	DBVPG3775_004521-T1
GF00000051	TFCN152A1_006217-T1	DBVPG3775_001251-T1
GF00000052	TFCN152A1_010473-T1	DBVPG3775_000170-T1
GF00000053	TFCN152A1_003046-T1	DBVPG3775_002218-T1
GF00000054	TFCN152A1_001641-T1	DBVPG3775_000466-T1
GF00000055	TFCN152A1_005562-T1	DBVPG3775_006911-T1
GF00000056	TFCN152A1_004211-T1	DBVPG3775_001451-T1
GF00000057	TFCN152A1_007551-T1	DBVPG3775_001834-T1
GF00000058	TFCN152A1_007346-T1	DBVPG3775_007132-T1
GF00000059	TFCN152A1_004801-T1	DBVPG3775_000387-T1
GF00000060	TFCN152A1_007646-T1	DBVPG3775_002941-T1
GF00000061	TFCN152A1_002075-T1	DBVPG3775_005752-T1
GF00000062	TFCN152A1_002193-T1	DBVPG3775_003881-T1
GF00000063	TFCN152A1_002380-T1	DBVPG3775_002046-T1
GF00000064	TFCN152A1_010872-T1	DBVPG3775_003172-T1
GF00000065	TFCN152A1_010127-T1	DBVPG3775_006345-T1
GF00000066	TFCN152A1_011154-T1	DBVPG3775_000993-T1
GF00000067	TFCN152A1_003543-T1	DBVPG3775_007226-T1
GF00000068	TFCN152A1_008957-T1	DBVPG3775_003261-T1
GF00000069	TFCN152A1_000014-T1	DBVPG3775_001065-T1
GF00000070	TFCN152A1_008170-T1	DBVPG3775_006241-T1
GF00000071	TFCN152A1_000290-T1	DBVPG3775_003328-T1
GF00000072	TFCN152A1_000598-T1	DBVPG3775_003730-T1
GF00000073	TFCN152A1_008582-T1	DBVPG3775_000946-T1
GF00000074	TFCN152A1_004968-T1	DBVPG3775_002706-T1
GF00000075	TFCN152A1_006745-T1	DBVPG3775_000026-T1
GF00000076	TFCN152A1_001425-T1	DBVPG3775_003162-T1
GF00000077	TFCN152A1_002957-T1	DBVPG3775_000191-T1
GF00000078	TFCN152A1_003017-T1	DBVPG3775_000257-T1
GF00000079	TFCN152A1_004764-T1	DBVPG3775_005736-T1
GF00000080	TFCN152A1_001344-T1	DBVPG3775_005080-T1
GF00000081	TFCN152A1_005731-T1	DBVPG3775_004768-T1
GF00000082	TFCN152A1_000267-T1	DBVPG3775_004308-T1
GF00000083	TFCN152A1_000304-T1	DBVPG3775_001962-T1
GF00000084	TFCN152A1_012112-T1	DBVPG3775_006818-T1
GF00000085	TFCN152A1_003529-T1	DBVPG3775_000842-T1
GF00000086	TFCN152A1_001285-T1	DBVPG3775_001025-T1
GF00000087	TFCN152A1_001427-T1	DBVPG3775_006416-T1
GF00000088	TFCN152A1_004827-T1	DBVPG3775_000916-T1
GF00000089	TFCN152A1_006153-T1	DBVPG3775_007270-T1
GF00000090	TFCN152A1_010611-T1	DBVPG3775_004805-T1
GF00000091	TFCN152A1_010935-T1	DBVPG3775_003742-T1
GF00000092	TFCN152A1_000680-T1	DBVPG3775_003785-T1
GF00000093	TFCN152A1_000653-T1	DBVPG3775_003792-T1
GF00000094	TFCN152A1_000193-T1	DBVPG3775_004080-T1
GF00000095	TFCN152A1_006739-T1	DBVPG3775_004335-T1
GF00000096	TFCN152A1_001693-T1	DBVPG3775_000527-T1
GF00000097	TFCN152A1_007717-T1	DBVPG3775_002257-T1
GF00000098	TFCN152A1_009211-T1	DBVPG3775_003520-T1
GF00000099	TFCN152A1_003480-T1	DBVPG3775_000792-T1
GF00000100	TFCN152A1_005497-T1	DBVPG3775_003686-T1
GF00000101	TFCN152A1_010592-T1	DBVPG3775_002526-T1
GF00000102	TFCN152A1_004476-T1	DBVPG3775_002226-T1
GF00000103	TFCN152A1_010856-T1	DBVPG3775_005324-T1
GF00000104	TFCN152A1_010385-T1	DBVPG3775_002579-T1
GF00000105	TFCN152A1_005621-T1	DBVPG3775_002159-T1
GF00000106	TFCN152A1_004293-T1	DBVPG3775_004880-T1
GF00000107	TFCN152A1_001303-T1	DBVPG3775_005603-T1
GF00000108	TFCN152A1_011254-T1	DBVPG3775_004520-T1
GF00000109	TFCN152A1_009875-T1	DBVPG3775_002338-T1
GF00000110	TFCN152A1_004302-T1	DBVPG3775_001404-T1
GF00000111	TFCN152A1_004535-T1	DBVPG3775_007249-T1
GF00000112	TFCN152A1_000042-T1	DBVPG3775_005081-T1
GF00000113	TFCN152A1_000235-T1	DBVPG3775_004340-T1
GF00000114	TFCN152A1_000320-T1	DBVPG3775_001104-T1
GF00000115	TFCN152A1_010736-T1	DBVPG3775_006977-T1
GF00000116	TFCN152A1_000429-T1	DBVPG3775_001230-T1
GF00000117	TFCN152A1_010614-T1	DBVPG3775_001255-T1
GF00000118	TFCN152A1_007610-T1	DBVPG3775_006485-T1
GF00000119	TFCN152A1_004618-T1	DBVPG3775_006584-T1
GF00000120	TFCN152A1_001064-T1	DBVPG3775_001020-T1
GF00000121	TFCN152A1_001087-T1	DBVPG3775_001902-T1
GF00000122	TFCN152A1_011430-T1	DBVPG3775_000721-T1
GF00000123	TFCN152A1_008912-T1	DBVPG3775_006948-T1
GF00000124	TFCN152A1_004595-T1	DBVPG3775_003544-T1
GF00000125	TFCN152A1_002088-T1	DBVPG3775_005157-T1
GF00000126	TFCN152A1_010117-T1	DBVPG3775_006357-T1
GF00000127	TFCN152A1_007453-T1	DBVPG3775_004386-T1
GF00000128	TFCN152A1_002884-T1	DBVPG3775_001677-T1
GF00000129	TFCN152A1_003028-T1	DBVPG3775_000270-T1
GF00000130	TFCN152A1_009179-T1	DBVPG3775_005690-T1
GF00000131	TFCN152A1_005042-T1	DBVPG3775_005751-T1
GF00000132	TFCN152A1_003957-T1	DBVPG3775_006210-T1
GF00000133	TFCN152A1_006860-T1	DBVPG3775_004760-T1
GF00000134	TFCN152A1_011739-T1	DBVPG3775_004502-T1
GF00000135	TFCN152A1_004782-T1	DBVPG3775_005753-T1
GF00000136	TFCN152A1_008451-T1	DBVPG3775_002575-T1
GF00000137	TFCN152A1_005093-T1	DBVPG3775_003607-T1
GF00000138	TFCN152A1_011445-T1	DBVPG3775_000368-T1
GF00000139	TFCN152A1_008777-T1	DBVPG3775_004097-T1
GF00000140	TFCN152A1_007520-T1	DBVPG3775_006016-T1
GF00000141	TFCN152A1_002837-T1	DBVPG3775_006420-T1
GF00000142	TFCN152A1_003875-T1	DBVPG3775_001728-T1
GF00000143	TFCN152A1_000762-T1	DBVPG3775_003741-T1
GF00000144	TFCN152A1_001922-T1	DBVPG3775_005295-T1
GF00000145	TFCN152A1_001323-T1	DBVPG3775_000818-T1
GF00000146	TFCN152A1_001748-T1	DBVPG3775_000082-T1
GF00000147	TFCN152A1_002879-T1	DBVPG3775_001671-T1
GF00000148	TFCN152A1_000955-T1	DBVPG3775_004181-T1
GF00000149	TFCN152A1_005599-T1	DBVPG3775_007379-T1
GF00000150	TFCN152A1_004936-T1	DBVPG3775_002435-T1
GF00000151	TFCN152A1_005704-T1	DBVPG3775_003877-T1
GF00000152	TFCN152A1_006896-T1	DBVPG3775_004717-T1
GF00000153	TFCN152A1_001757-T1	DBVPG3775_000091-T1
GF00000154	TFCN152A1_001809-T1	DBVPG3775_000153-T1
GF00000155	TFCN152A1_001827-T1	DBVPG3775_000176-T1
GF00000156	TFCN152A1_006684-T1	DBVPG3775_005884-T1
GF00000157	TFCN152A1_002295-T1	DBVPG3775_001376-T1
GF00000158	TFCN152A1_007985-T1	DBVPG3775_001367-T1
GF00000159	TFCN152A1_003594-T1	DBVPG3775_000399-T1
GF00000160	TFCN152A1_004368-T1	DBVPG3775_001479-T1
GF00000161	TFCN152A1_006202-T1	DBVPG3775_004515-T1
GF00000162	TFCN152A1_012086-T1	DBVPG3775_002326-T1
GF00000163	TFCN152A1_008433-T1	DBVPG3775_002592-T1
GF00000164	TFCN152A1_012846-T1	DBVPG3775_003273-T1
GF00000165	TFCN152A1_000041-T1	DBVPG3775_002336-T1
GF00000166	TFCN152A1_000065-T1	DBVPG3775_005109-T1
GF00000167	TFCN152A1_002488-T1	DBVPG3775_006031-T1
GF00000168	TFCN152A1_007819-T1	DBVPG3775_000439-T1
GF00000169	TFCN152A1_008622-T1	DBVPG3775_004556-T1
GF00000170	TFCN152A1_002217-T1	DBVPG3775_002965-T1
GF00000171	TFCN152A1_000717-T1	DBVPG3775_001266-T1
GF00000172	TFCN152A1_003474-T1	DBVPG3775_004424-T1
GF00000173	TFCN152A1_000474-T1	DBVPG3775_001292-T1
GF00000174	TFCN152A1_005824-T1	DBVPG3775_004989-T1
GF00000175	TFCN152A1_006663-T1	DBVPG3775_007483-T1
GF00000176	TFCN152A1_000633-T1	DBVPG3775_003767-T1
GF00000177	TFCN152A1_000556-T1	DBVPG3775_005038-T1
GF00000178	TFCN152A1_012037-T1	DBVPG3775_001993-T1
GF00000179	TFCN152A1_000668-T1	DBVPG3775_001329-T1
GF00000180	TFCN152A1_000922-T1	DBVPG3775_004731-T1
GF00000181	TFCN152A1_012014-T1	DBVPG3775_007442-T1
GF00000182	TFCN152A1_013150-T1	DBVPG3775_007575-T1
GF00000183	TFCN152A1_011262-T1	DBVPG3775_003861-T1
GF00000184	TFCN152A1_001073-T1	DBVPG3775_000179-T1
GF00000185	TFCN152A1_009658-T1	DBVPG3775_006673-T1
GF00000186	TFCN152A1_001167-T1	DBVPG3775_003496-T1
GF00000187	TFCN152A1_002036-T1	DBVPG3775_006388-T1
GF00000188	TFCN152A1_011225-T1	DBVPG3775_007423-T1
GF00000189	TFCN152A1_005850-T1	DBVPG3775_000814-T1
GF00000190	TFCN152A1_002160-T1	DBVPG3775_006439-T1
GF00000191	TFCN152A1_004453-T1	DBVPG3775_005546-T1
GF00000192	TFCN152A1_004345-T1	DBVPG3775_001452-T1
GF00000193	TFCN152A1_009026-T1	DBVPG3775_006576-T1
GF00000194	TFCN152A1_011886-T1	DBVPG3775_006806-T1
GF00000195	TFCN152A1_008005-T1	DBVPG3775_001341-T1
GF00000196	TFCN152A1_002324-T1	DBVPG3775_005668-T1
GF00000197	TFCN152A1_012901-T1	DBVPG3775_006454-T1
GF00000198	TFCN152A1_006257-T1	DBVPG3775_006993-T1
GF00000199	TFCN152A1_007438-T1	DBVPG3775_004402-T1
GF00000200	TFCN152A1_007705-T1	DBVPG3775_002271-T1
GF00000201	TFCN152A1_012933-T1	DBVPG3775_003643-T1
GF00000202	TFCN152A1_006891-T1	DBVPG3775_004722-T1
GF00000203	TFCN152A1_013000-T1	DBVPG3775_007093-T1
GF00000204	TFCN152A1_005217-T1	DBVPG3775_001961-T1
