	Rhodotorula_mucilaginosa_DBVPG_4380.cds.fa
GF00000001	DBVPG4380_000698-T1, DBVPG4380_006352-T1, DBVPG4380_003185-T1, DBVPG4380_006862-T1, DBVPG4380_005310-T1, DBVPG4380_003408-T1, DBVPG4380_002038-T1, DBVPG4380_010182-T1, DBVPG4380_005400-T1, DBVPG4380_000642-T1, DBVPG4380_002907-T1, DBVPG4380_008660-T1, DBVPG4380_011466-T1, DBVPG4380_001303-T1, DBVPG4380_006739-T1, DBVPG4380_006613-T1, DBVPG4380_012369-T1, DBVPG4380_001766-T1, DBVPG4380_000400-T1, DBVPG4380_002925-T1, DBVPG4380_003231-T1, DBVPG4380_011830-T1, DBVPG4380_011145-T1, DBVPG4380_009709-T1, DBVPG4380_001062-T1, DBVPG4380_006807-T1, DBVPG4380_009952-T1, DBVPG4380_011839-T1, DBVPG4380_012587-T1, DBVPG4380_008250-T1, DBVPG4380_010930-T1, DBVPG4380_005545-T1, DBVPG4380_011308-T1, DBVPG4380_012462-T1, DBVPG4380_010092-T1, DBVPG4380_012298-T1, DBVPG4380_013144-T1, DBVPG4380_010078-T1, DBVPG4380_005262-T1, DBVPG4380_009018-T1, DBVPG4380_009202-T1, DBVPG4380_006765-T1, DBVPG4380_012079-T1
GF00000002	DBVPG4380_005749-T1, DBVPG4380_004685-T1, DBVPG4380_006029-T1, DBVPG4380_003310-T1, DBVPG4380_006989-T1, DBVPG4380_002714-T1, DBVPG4380_008683-T1, DBVPG4380_004215-T1, DBVPG4380_007762-T1, DBVPG4380_008377-T1, DBVPG4380_007761-T1, DBVPG4380_000162-T1, DBVPG4380_012568-T1, DBVPG4380_006484-T1, DBVPG4380_005449-T1, DBVPG4380_008367-T1, DBVPG4380_009371-T1, DBVPG4380_011249-T1, DBVPG4380_000192-T1, DBVPG4380_010246-T1, DBVPG4380_010628-T1, DBVPG4380_013066-T1, DBVPG4380_010207-T1, DBVPG4380_009320-T1, DBVPG4380_010304-T1, DBVPG4380_010704-T1, DBVPG4380_013078-T1, DBVPG4380_009324-T1, DBVPG4380_012166-T1, DBVPG4380_009995-T1, DBVPG4380_000001-T1, DBVPG4380_012252-T1
GF00000003	DBVPG4380_008062-T1, DBVPG4380_006716-T1, DBVPG4380_000147-T1, DBVPG4380_007127-T1, DBVPG4380_000129-T1, DBVPG4380_000815-T1, DBVPG4380_007839-T1, DBVPG4380_004043-T1, DBVPG4380_010295-T1, DBVPG4380_006795-T1, DBVPG4380_002429-T1, DBVPG4380_002978-T1, DBVPG4380_005796-T1, DBVPG4380_004772-T1, DBVPG4380_008447-T1, DBVPG4380_002872-T1, DBVPG4380_003164-T1, DBVPG4380_007728-T1, DBVPG4380_001124-T1, DBVPG4380_001594-T1, DBVPG4380_008758-T1, DBVPG4380_009346-T1, DBVPG4380_011099-T1, DBVPG4380_012452-T1, DBVPG4380_002877-T1, DBVPG4380_003088-T1, DBVPG4380_009059-T1, DBVPG4380_000943-T1, DBVPG4380_012151-T1, DBVPG4380_000107-T1, DBVPG4380_013010-T1, DBVPG4380_008528-T1
GF00000004	DBVPG4380_000058-T1, DBVPG4380_003796-T1, DBVPG4380_010601-T1, DBVPG4380_007271-T1, DBVPG4380_011683-T1, DBVPG4380_005728-T1, DBVPG4380_008190-T1, DBVPG4380_002987-T1, DBVPG4380_008795-T1, DBVPG4380_004254-T1, DBVPG4380_004237-T1, DBVPG4380_009337-T1, DBVPG4380_002118-T1, DBVPG4380_006509-T1, DBVPG4380_006447-T1, DBVPG4380_003306-T1, DBVPG4380_010312-T1, DBVPG4380_006598-T1, DBVPG4380_003841-T1, DBVPG4380_012643-T1, DBVPG4380_008610-T1, DBVPG4380_010800-T1
GF00000005	DBVPG4380_000921-T1, DBVPG4380_003618-T1, DBVPG4380_000932-T1, DBVPG4380_009683-T1, DBVPG4380_002699-T1, DBVPG4380_007487-T1, DBVPG4380_000409-T1, DBVPG4380_007040-T1, DBVPG4380_003617-T1, DBVPG4380_001370-T1, DBVPG4380_000963-T1, DBVPG4380_002327-T1, DBVPG4380_003411-T1, DBVPG4380_010618-T1, DBVPG4380_000571-T1, DBVPG4380_000393-T1, DBVPG4380_001240-T1, DBVPG4380_007041-T1, DBVPG4380_000395-T1, DBVPG4380_003412-T1, DBVPG4380_000394-T1
GF00000006	DBVPG4380_005189-T1, DBVPG4380_000577-T1, DBVPG4380_009506-T1, DBVPG4380_002232-T1, DBVPG4380_006383-T1, DBVPG4380_000879-T1, DBVPG4380_008105-T1, DBVPG4380_004703-T1, DBVPG4380_009338-T1, DBVPG4380_011567-T1, DBVPG4380_004695-T1, DBVPG4380_007577-T1, DBVPG4380_003298-T1, DBVPG4380_001074-T1, DBVPG4380_004952-T1, DBVPG4380_012988-T1, DBVPG4380_012272-T1, DBVPG4380_013129-T1, DBVPG4380_009901-T1, DBVPG4380_012310-T1
GF00000007	DBVPG4380_005752-T1, DBVPG4380_006603-T1, DBVPG4380_006839-T1, DBVPG4380_007155-T1, DBVPG4380_008470-T1, DBVPG4380_010658-T1, DBVPG4380_009725-T1, DBVPG4380_011890-T1, DBVPG4380_011366-T1, DBVPG4380_010465-T1, DBVPG4380_009948-T1, DBVPG4380_009726-T1, DBVPG4380_011609-T1, DBVPG4380_012004-T1, DBVPG4380_011747-T1, DBVPG4380_007154-T1, DBVPG4380_006602-T1, DBVPG4380_013059-T1, DBVPG4380_010659-T1
GF00000008	DBVPG4380_004389-T1, DBVPG4380_007318-T1, DBVPG4380_008208-T1, DBVPG4380_003853-T1, DBVPG4380_008828-T1, DBVPG4380_009184-T1, DBVPG4380_011789-T1, DBVPG4380_006418-T1, DBVPG4380_009402-T1, DBVPG4380_010810-T1, DBVPG4380_002847-T1, DBVPG4380_012075-T1, DBVPG4380_001562-T1, DBVPG4380_008474-T1, DBVPG4380_007962-T1, DBVPG4380_012806-T1, DBVPG4380_005375-T1, DBVPG4380_011599-T1, DBVPG4380_013108-T1
GF00000009	DBVPG4380_001925-T1, DBVPG4380_006139-T1, DBVPG4380_003146-T1, DBVPG4380_003082-T1, DBVPG4380_001313-T1, DBVPG4380_002927-T1, DBVPG4380_002046-T1, DBVPG4380_003837-T1, DBVPG4380_001691-T1, DBVPG4380_007509-T1, DBVPG4380_004425-T1, DBVPG4380_008108-T1, DBVPG4380_004424-T1, DBVPG4380_009955-T1, DBVPG4380_010062-T1, DBVPG4380_006705-T1, DBVPG4380_011234-T1, DBVPG4380_002419-T1, DBVPG4380_010820-T1
GF00000010	DBVPG4380_000829-T1, DBVPG4380_002350-T1, DBVPG4380_006565-T1, DBVPG4380_001543-T1, DBVPG4380_006901-T1, DBVPG4380_011526-T1, DBVPG4380_002346-T1, DBVPG4380_005128-T1, DBVPG4380_006266-T1, DBVPG4380_007852-T1, DBVPG4380_010782-T1, DBVPG4380_010336-T1, DBVPG4380_008866-T1, DBVPG4380_007888-T1, DBVPG4380_011144-T1, DBVPG4380_000467-T1, DBVPG4380_000235-T1, DBVPG4380_012312-T1
