	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	TFCN404D1_008967-T1	DBVPG3775_001425-T1
GF00000002	TFCN404D1_011318-T1	DBVPG3775_004132-T1
GF00000003	TFCN404D1_007187-T1	DBVPG3775_006827-T1
GF00000004	TFCN404D1_008398-T1	DBVPG3775_002321-T1
GF00000005	TFCN404D1_000153-T1	DBVPG3775_001973-T1
GF00000006	TFCN404D1_003654-T1	DBVPG3775_002963-T1
GF00000007	TFCN404D1_000185-T1	DBVPG3775_002003-T1
GF00000008	TFCN404D1_006117-T1	DBVPG3775_005585-T1
GF00000009	TFCN404D1_000801-T1	DBVPG3775_004453-T1
GF00000010	TFCN404D1_003621-T1	DBVPG3775_000902-T1
GF00000011	TFCN404D1_014070-T1	DBVPG3775_006341-T1
GF00000012	TFCN404D1_013594-T1	DBVPG3775_000780-T1
GF00000013	TFCN404D1_000385-T1	DBVPG3775_002987-T1
GF00000014	TFCN404D1_010159-T1	DBVPG3775_000220-T1
GF00000015	TFCN404D1_013843-T1	DBVPG3775_006585-T1
GF00000016	TFCN404D1_001570-T1	DBVPG3775_003781-T1
GF00000017	TFCN404D1_001405-T1	DBVPG3775_006246-T1
GF00000018	TFCN404D1_002170-T1	DBVPG3775_000926-T1
GF00000019	TFCN404D1_011772-T1	DBVPG3775_005206-T1
GF00000020	TFCN404D1_004229-T1	DBVPG3775_004957-T1
GF00000021	TFCN404D1_010707-T1	DBVPG3775_002916-T1
GF00000022	TFCN404D1_011063-T1	DBVPG3775_001893-T1
GF00000023	TFCN404D1_013251-T1	DBVPG3775_005693-T1
GF00000024	TFCN404D1_005834-T1	DBVPG3775_004041-T1
GF00000025	TFCN404D1_009495-T1	DBVPG3775_000357-T1
GF00000026	TFCN404D1_004727-T1	DBVPG3775_005084-T1
GF00000027	TFCN404D1_008984-T1	DBVPG3775_002812-T1
GF00000028	TFCN404D1_007794-T1	DBVPG3775_003162-T1
GF00000029	TFCN404D1_010481-T1	DBVPG3775_002869-T1
GF00000030	TFCN404D1_002438-T1	DBVPG3775_007326-T1
GF00000031	TFCN404D1_004557-T1	DBVPG3775_001426-T1
GF00000032	TFCN404D1_001556-T1	DBVPG3775_003767-T1
GF00000033	TFCN404D1_013605-T1	DBVPG3775_000924-T1
GF00000034	TFCN404D1_009273-T1	DBVPG3775_006836-T1
GF00000035	TFCN404D1_003358-T1	DBVPG3775_004622-T1
GF00000036	TFCN404D1_008999-T1	DBVPG3775_005960-T1
GF00000037	TFCN404D1_000991-T1	DBVPG3775_000170-T1
GF00000038	TFCN404D1_006480-T1	DBVPG3775_005321-T1
GF00000039	TFCN404D1_006937-T1	DBVPG3775_002328-T1
GF00000040	TFCN404D1_014886-T1	DBVPG3775_001251-T1
GF00000041	TFCN404D1_003000-T1	DBVPG3775_000026-T1
GF00000042	TFCN404D1_010245-T1	DBVPG3775_002941-T1
GF00000043	TFCN404D1_001352-T1	DBVPG3775_001370-T1
GF00000044	TFCN404D1_012832-T1	DBVPG3775_003326-T1
GF00000045	TFCN404D1_005577-T1	DBVPG3775_002218-T1
GF00000046	TFCN404D1_001214-T1	DBVPG3775_003746-T1
GF00000047	TFCN404D1_005363-T1	DBVPG3775_000387-T1
GF00000048	TFCN404D1_010743-T1	DBVPG3775_002043-T1
GF00000049	TFCN404D1_014840-T1	DBVPG3775_002577-T1
GF00000050	TFCN404D1_011601-T1	DBVPG3775_001018-T1
GF00000051	TFCN404D1_004834-T1	DBVPG3775_001479-T1
GF00000052	TFCN404D1_009154-T1	DBVPG3775_000993-T1
GF00000053	TFCN404D1_009859-T1	DBVPG3775_004521-T1
GF00000054	TFCN404D1_004467-T1	DBVPG3775_001088-T1
GF00000055	TFCN404D1_002975-T1	DBVPG3775_004308-T1
GF00000056	TFCN404D1_004759-T1	DBVPG3775_001065-T1
GF00000057	TFCN404D1_001771-T1	DBVPG3775_003520-T1
GF00000058	TFCN404D1_014090-T1	DBVPG3775_007158-T1
GF00000059	TFCN404D1_001164-T1	DBVPG3775_000467-T1
GF00000060	TFCN404D1_012084-T1	DBVPG3775_005166-T1
GF00000061	TFCN404D1_005565-T1	DBVPG3775_002206-T1
GF00000062	TFCN404D1_003104-T1	DBVPG3775_006345-T1
GF00000063	TFCN404D1_010811-T1	DBVPG3775_004141-T1
GF00000064	TFCN404D1_001585-T1	DBVPG3775_003794-T1
GF00000065	TFCN404D1_007645-T1	DBVPG3775_001902-T1
GF00000066	TFCN404D1_000721-T1	DBVPG3775_000842-T1
GF00000067	TFCN404D1_005353-T1	DBVPG3775_005736-T1
GF00000068	TFCN404D1_002106-T1	DBVPG3775_001795-T1
GF00000069	TFCN404D1_006820-T1	DBVPG3775_001451-T1
GF00000070	TFCN404D1_009830-T1	DBVPG3775_001025-T1
GF00000071	TFCN404D1_010182-T1	DBVPG3775_006959-T1
GF00000072	TFCN404D1_002051-T1	DBVPG3775_002579-T1
GF00000073	TFCN404D1_005093-T1	DBVPG3775_001962-T1
GF00000074	TFCN404D1_004935-T1	DBVPG3775_003881-T1
GF00000075	TFCN404D1_001583-T1	DBVPG3775_003792-T1
GF00000076	TFCN404D1_004078-T1	DBVPG3775_005080-T1
GF00000077	TFCN404D1_005822-T1	DBVPG3775_002677-T1
GF00000078	TFCN404D1_006520-T1	DBVPG3775_004080-T1
GF00000079	TFCN404D1_014043-T1	DBVPG3775_001853-T1
GF00000080	TFCN404D1_013380-T1	DBVPG3775_007132-T1
GF00000081	TFCN404D1_005769-T1	DBVPG3775_003280-T1
GF00000082	TFCN404D1_014084-T1	DBVPG3775_002338-T1
GF00000083	TFCN404D1_012179-T1	DBVPG3775_005157-T1
GF00000084	TFCN404D1_006464-T1	DBVPG3775_007241-T1
GF00000085	TFCN404D1_009877-T1	DBVPG3775_006948-T1
GF00000086	TFCN404D1_000446-T1	DBVPG3775_000368-T1
GF00000087	TFCN404D1_000770-T1	DBVPG3775_000792-T1
GF00000088	TFCN404D1_002837-T1	DBVPG3775_006584-T1
GF00000089	TFCN404D1_000581-T1	DBVPG3775_005324-T1
GF00000090	TFCN404D1_005390-T1	DBVPG3775_002257-T1
GF00000091	TFCN404D1_010434-T1	DBVPG3775_006420-T1
GF00000092	TFCN404D1_010570-T1	DBVPG3775_000191-T1
GF00000093	TFCN404D1_008552-T1	DBVPG3775_003742-T1
GF00000094	TFCN404D1_004402-T1	DBVPG3775_007105-T1
GF00000095	TFCN404D1_002948-T1	DBVPG3775_004339-T1
GF00000096	TFCN404D1_012439-T1	DBVPG3775_002526-T1
GF00000097	TFCN404D1_001418-T1	DBVPG3775_005599-T1
GF00000098	TFCN404D1_005500-T1	DBVPG3775_005753-T1
GF00000099	TFCN404D1_001520-T1	DBVPG3775_001677-T1
GF00000100	TFCN404D1_011721-T1	DBVPG3775_002226-T1
GF00000101	TFCN404D1_001576-T1	DBVPG3775_003785-T1
GF00000102	TFCN404D1_003248-T1	DBVPG3775_000082-T1
GF00000103	TFCN404D1_003494-T1	DBVPG3775_006241-T1
GF00000104	TFCN404D1_013651-T1	DBVPG3775_003607-T1
GF00000105	TFCN404D1_007103-T1	DBVPG3775_001529-T1
GF00000106	TFCN404D1_003052-T1	DBVPG3775_003172-T1
GF00000107	TFCN404D1_008944-T1	DBVPG3775_005163-T1
GF00000108	TFCN404D1_005771-T1	DBVPG3775_003273-T1
GF00000109	TFCN404D1_005783-T1	DBVPG3775_003251-T1
GF00000110	TFCN404D1_007026-T1	DBVPG3775_003255-T1
GF00000111	TFCN404D1_008394-T1	DBVPG3775_002326-T1
GF00000112	TFCN404D1_002898-T1	DBVPG3775_004880-T1
GF00000113	TFCN404D1_005982-T1	DBVPG3775_007226-T1
GF00000114	TFCN404D1_010544-T1	DBVPG3775_004502-T1
GF00000115	TFCN404D1_009980-T1	DBVPG3775_003229-T1
GF00000116	TFCN404D1_010859-T1	DBVPG3775_003686-T1
GF00000117	TFCN404D1_000973-T1	DBVPG3775_000153-T1
GF00000118	TFCN404D1_001694-T1	DBVPG3775_004754-T1
GF00000119	TFCN404D1_002027-T1	DBVPG3775_007088-T1
GF00000120	TFCN404D1_009621-T1	DBVPG3775_004717-T1
GF00000121	TFCN404D1_006316-T1	DBVPG3775_001719-T1
GF00000122	TFCN404D1_009325-T1	DBVPG3775_002435-T1
GF00000123	TFCN404D1_005464-T1	DBVPG3775_004181-T1
GF00000124	TFCN404D1_009883-T1	DBVPG3775_006954-T1
GF00000125	TFCN404D1_009125-T1	DBVPG3775_004809-T1
GF00000126	TFCN404D1_003361-T1	DBVPG3775_004520-T1
GF00000127	TFCN404D1_014403-T1	DBVPG3775_001266-T1
GF00000128	TFCN404D1_000935-T1	DBVPG3775_001140-T1
GF00000129	TFCN404D1_004731-T1	DBVPG3775_002336-T1
GF00000130	TFCN404D1_004697-T1	DBVPG3775_006031-T1
GF00000131	TFCN404D1_006145-T1	DBVPG3775_004544-T1
GF00000132	TFCN404D1_001886-T1	DBVPG3775_006133-T1
GF00000133	TFCN404D1_008457-T1	DBVPG3775_006439-T1
GF00000134	TFCN404D1_006098-T1	DBVPG3775_005603-T1
GF00000135	TFCN404D1_013921-T1	DBVPG3775_004642-T1
GF00000136	TFCN404D1_006437-T1	DBVPG3775_003741-T1
GF00000137	TFCN404D1_006354-T1	DBVPG3775_003841-T1
GF00000138	TFCN404D1_001642-T1	DBVPG3775_006818-T1
GF00000139	TFCN404D1_006146-T1	DBVPG3775_004545-T1
GF00000140	TFCN404D1_009757-T1	DBVPG3775_003496-T1
GF00000141	TFCN404D1_014127-T1	DBVPG3775_007575-T1
GF00000142	TFCN404D1_007573-T1	DBVPG3775_002751-T1
GF00000143	TFCN404D1_006277-T1	DBVPG3775_001517-T1
GF00000144	TFCN404D1_002810-T1	DBVPG3775_003544-T1
GF00000145	TFCN404D1_003145-T1	DBVPG3775_006388-T1
GF00000146	TFCN404D1_003919-T1	DBVPG3775_000399-T1
GF00000147	TFCN404D1_011603-T1	DBVPG3775_001020-T1
GF00000148	TFCN404D1_004931-T1	DBVPG3775_003877-T1
GF00000149	TFCN404D1_010849-T1	DBVPG3775_006015-T1
GF00000150	TFCN404D1_007889-T1	DBVPG3775_005082-T1
GF00000151	TFCN404D1_005252-T1	DBVPG3775_001549-T1
GF00000152	TFCN404D1_001700-T1	DBVPG3775_004760-T1
GF00000153	TFCN404D1_007251-T1	DBVPG3775_002271-T1
GF00000154	TFCN404D1_008684-T1	DBVPG3775_000632-T1
GF00000155	TFCN404D1_007403-T1	DBVPG3775_005109-T1
GF00000156	TFCN404D1_014330-T1	DBVPG3775_003302-T1
GF00000157	TFCN404D1_001056-T1	DBVPG3775_000814-T1
GF00000158	TFCN404D1_012884-T1	DBVPG3775_007454-T1
GF00000159	TFCN404D1_000142-T1	DBVPG3775_001961-T1
GF00000160	TFCN404D1_013540-T1	DBVPG3775_000562-T1
GF00000161	TFCN404D1_000175-T1	DBVPG3775_001993-T1
GF00000162	TFCN404D1_003865-T1	DBVPG3775_007532-T1
GF00000163	TFCN404D1_004808-T1	DBVPG3775_001452-T1
GF00000164	TFCN404D1_002014-T1	DBVPG3775_005884-T1
GF00000165	TFCN404D1_000661-T1	DBVPG3775_002965-T1
GF00000166	TFCN404D1_005876-T1	DBVPG3775_000449-T1
GF00000167	TFCN404D1_003211-T1	DBVPG3775_005038-T1
GF00000168	TFCN404D1_004060-T1	DBVPG3775_003134-T1
GF00000169	TFCN404D1_010902-T1	DBVPG3775_007022-T1
GF00000170	TFCN404D1_003677-T1	DBVPG3775_007442-T1
GF00000171	TFCN404D1_000885-T1	DBVPG3775_001191-T1
GF00000172	TFCN404D1_005602-T1	DBVPG3775_004387-T1
GF00000173	TFCN404D1_014554-T1	DBVPG3775_004711-T1
GF00000174	TFCN404D1_010818-T1	DBVPG3775_003411-T1
GF00000175	TFCN404D1_002521-T1	DBVPG3775_003643-T1
GF00000176	TFCN404D1_005423-T1	DBVPG3775_002291-T1
GF00000177	TFCN404D1_010226-T1	DBVPG3775_001329-T1
GF00000178	TFCN404D1_001137-T1	DBVPG3775_000439-T1
GF00000179	TFCN404D1_002478-T1	DBVPG3775_004097-T1
GF00000180	TFCN404D1_014113-T1	DBVPG3775_006662-T1
GF00000181	TFCN404D1_002001-T1	DBVPG3775_003267-T1
GF00000182	TFCN404D1_010850-T1	DBVPG3775_006014-T1
GF00000183	TFCN404D1_012860-T1	DBVPG3775_005942-T1
GF00000184	TFCN404D1_010630-T1	DBVPG3775_005626-T1
GF00000185	TFCN404D1_013973-T1	DBVPG3775_000312-T1
GF00000186	TFCN404D1_006391-T1	DBVPG3775_006416-T1
GF00000187	TFCN404D1_001536-T1	DBVPG3775_001667-T1
GF00000188	TFCN404D1_001513-T1	DBVPG3775_001671-T1
GF00000189	TFCN404D1_001673-T1	DBVPG3775_006850-T1
GF00000190	TFCN404D1_010348-T1	DBVPG3775_006806-T1
GF00000191	TFCN404D1_001704-T1	DBVPG3775_004721-T1
GF00000192	TFCN404D1_014910-T1	DBVPG3775_004731-T1
GF00000193	TFCN404D1_014712-T1	DBVPG3775_000271-T1
GF00000194	TFCN404D1_014591-T1	DBVPG3775_003362-T1
GF00000195	TFCN404D1_009473-T1	DBVPG3775_001834-T1
GF00000196	TFCN404D1_008652-T1	DBVPG3775_006673-T1
GF00000197	TFCN404D1_004967-T1	DBVPG3775_007483-T1
GF00000198	TFCN404D1_006158-T1	DBVPG3775_004556-T1
GF00000199	TFCN404D1_009737-T1	DBVPG3775_003422-T1
GF00000200	TFCN404D1_006977-T1	DBVPG3775_002180-T1
GF00000201	TFCN404D1_002822-T1	DBVPG3775_007423-T1
GF00000202	TFCN404D1_014483-T1	DBVPG3775_006357-T1
GF00000203	TFCN404D1_014015-T1	DBVPG3775_001104-T1
GF00000204	TFCN404D1_014149-T1	DBVPG3775_001230-T1
GF00000205	TFCN404D1_003598-T1	DBVPG3775_002610-T1
GF00000206	TFCN404D1_012495-T1	DBVPG3775_003677-T1
GF00000207	TFCN404D1_014635-T1	DBVPG3775_000258-T1
GF00000208	TFCN404D1_010390-T1	DBVPG3775_002488-T1
GF00000209	TFCN404D1_009343-T1	DBVPG3775_003861-T1
GF00000210	TFCN404D1_006775-T1	DBVPG3775_006220-T1
GF00000211	TFCN404D1_011200-T1	DBVPG3775_000591-T1
GF00000212	TFCN404D1_011128-T1	DBVPG3775_002706-T1
GF00000213	TFCN404D1_013069-T1	DBVPG3775_005546-T1
GF00000214	TFCN404D1_009553-T1	DBVPG3775_005534-T1
GF00000215	TFCN404D1_006544-T1	DBVPG3775_004056-T1
GF00000216	TFCN404D1_003279-T1	DBVPG3775_004876-T1
GF00000217	TFCN404D1_007352-T1	DBVPG3775_000593-T1
GF00000218	TFCN404D1_000503-T1	DBVPG3775_002006-T1
GF00000219	TFCN404D1_000386-T1	DBVPG3775_006573-T1
GF00000220	TFCN404D1_000571-T1	DBVPG3775_005314-T1
GF00000221	TFCN404D1_013522-T1	DBVPG3775_005328-T1
GF00000222	TFCN404D1_014259-T1	DBVPG3775_001380-T1
GF00000223	TFCN404D1_000948-T1	DBVPG3775_006076-T1
GF00000224	TFCN404D1_008677-T1	DBVPG3775_003596-T1
GF00000225	TFCN404D1_001252-T1	DBVPG3775_003709-T1
GF00000226	TFCN404D1_011374-T1	DBVPG3775_007063-T1
GF00000227	TFCN404D1_001277-T1	DBVPG3775_006643-T1
GF00000228	TFCN404D1_007517-T1	DBVPG3775_001743-T1
GF00000229	TFCN404D1_001512-T1	DBVPG3775_001670-T1
GF00000230	TFCN404D1_013486-T1	DBVPG3775_006896-T1
GF00000231	TFCN404D1_007693-T1	DBVPG3775_003066-T1
GF00000232	TFCN404D1_012373-T1	DBVPG3775_003466-T1
GF00000233	TFCN404D1_006694-T1	DBVPG3775_003503-T1
GF00000234	TFCN404D1_005308-T1	DBVPG3775_001296-T1
GF00000235	TFCN404D1_004792-T1	DBVPG3775_002585-T1
GF00000236	TFCN404D1_003590-T1	DBVPG3775_002596-T1
GF00000237	TFCN404D1_013455-T1	DBVPG3775_001832-T1
GF00000238	TFCN404D1_005845-T1	DBVPG3775_004029-T1
GF00000239	TFCN404D1_006902-T1	DBVPG3775_005857-T1
GF00000240	TFCN404D1_012833-T1	DBVPG3775_001256-T1
GF00000241	TFCN404D1_010775-T1	DBVPG3775_003143-T1
GF00000242	TFCN404D1_005908-T1	DBVPG3775_006397-T1
GF00000243	TFCN404D1_004020-T1	DBVPG3775_006611-T1
GF00000244	TFCN404D1_003950-T1	DBVPG3775_005721-T1
GF00000245	TFCN404D1_009197-T1	DBVPG3775_003306-T1
GF00000246	TFCN404D1_009818-T1	DBVPG3775_000376-T1
GF00000247	TFCN404D1_004364-T1	DBVPG3775_004735-T1
GF00000248	TFCN404D1_009635-T1	DBVPG3775_000695-T1
GF00000249	TFCN404D1_013321-T1	DBVPG3775_003312-T1
GF00000250	TFCN404D1_005721-T1	DBVPG3775_007561-T1
GF00000251	TFCN404D1_005759-T1	DBVPG3775_002840-T1
GF00000252	TFCN404D1_011931-T1	DBVPG3775_000730-T1
GF00000253	TFCN404D1_006357-T1	DBVPG3775_004831-T1
GF00000254	TFCN404D1_011211-T1	DBVPG3775_004118-T1
GF00000255	TFCN404D1_008169-T1	DBVPG3775_002745-T1
GF00000256	TFCN404D1_008617-T1	DBVPG3775_007270-T1
GF00000257	TFCN404D1_013074-T1	DBVPG3775_005541-T1
GF00000258	TFCN404D1_001843-T1	DBVPG3775_007408-T1
GF00000259	TFCN404D1_000016-T1	DBVPG3775_007400-T1
GF00000260	TFCN404D1_002913-T1	DBVPG3775_004865-T1
GF00000261	TFCN404D1_009247-T1	DBVPG3775_004253-T1
GF00000262	TFCN404D1_005554-T1	DBVPG3775_002196-T1
GF00000263	TFCN404D1_000725-T1	DBVPG3775_002298-T1
GF00000264	TFCN404D1_007484-T1	DBVPG3775_002532-T1
GF00000265	TFCN404D1_012120-T1	DBVPG3775_005531-T1
GF00000266	TFCN404D1_006134-T1	DBVPG3775_004533-T1
GF00000267	TFCN404D1_011646-T1	DBVPG3775_003223-T1
GF00000268	TFCN404D1_009235-T1	DBVPG3775_003964-T1
GF00000269	TFCN404D1_010413-T1	DBVPG3775_003965-T1
GF00000270	TFCN404D1_000474-T1	DBVPG3775_002037-T1
GF00000271	TFCN404D1_000580-T1	DBVPG3775_005323-T1
GF00000272	TFCN404D1_001255-T1	DBVPG3775_005791-T1
GF00000273	TFCN404D1_003418-T1	DBVPG3775_004469-T1
GF00000274	TFCN404D1_008037-T1	DBVPG3775_007059-T1
GF00000275	TFCN404D1_000845-T1	DBVPG3775_004409-T1
GF00000276	TFCN404D1_000880-T1	DBVPG3775_004376-T1
GF00000277	TFCN404D1_003017-T1	DBVPG3775_000155-T1
GF00000278	TFCN404D1_001000-T1	DBVPG3775_000179-T1
GF00000279	TFCN404D1_001025-T1	DBVPG3775_000208-T1
GF00000280	TFCN404D1_001107-T1	DBVPG3775_006738-T1
GF00000281	TFCN404D1_001149-T1	DBVPG3775_000451-T1
GF00000282	TFCN404D1_001171-T1	DBVPG3775_000475-T1
