pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
CHIFNET18NJ590_001441-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_01432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_001441-T1
CHIFNET18NJ590_002106-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_02086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_002106-T1
CHIFNET18NJ590_002427-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_02403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_002427-T1
CHIFNET18NJ590_000788-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_00782	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_000788-T1
CHIFNET18NJ590_009102-T1__CHIFNET18NJ590_011313-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_11150	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_011313-T1
CHIFNET18NJ590_007232-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_07135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_007232-T1
CHIFNET18NJ590_003574-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_03533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_003574-T1
CHIFNET18NJ590_009102-T1__CHIFNET18NJ590_012175-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_11993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_012175-T1
CHIFNET18NJ590_002036-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_02016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_002036-T1
CHIFNET18NJ590_000741-T1__CHIFNET18NJ590_009102-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_08983	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa_00735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	CHIFNET18NJ590_009102-T1	CHIFNET18NJ590_000741-T1
