	Rhodotorula_mucilaginosa_DBVPG_3854.cds.fa
GF00000001	DBVPG3854_004660-T1, DBVPG3854_002691-T1, DBVPG3854_003430-T1, DBVPG3854_001955-T1, DBVPG3854_007002-T1, DBVPG3854_008209-T1, DBVPG3854_003882-T1, DBVPG3854_001760-T1, DBVPG3854_009066-T1, DBVPG3854_008624-T1, DBVPG3854_002054-T1, DBVPG3854_002249-T1, DBVPG3854_012109-T1, DBVPG3854_002736-T1, DBVPG3854_003319-T1, DBVPG3854_005477-T1, DBVPG3854_011623-T1, DBVPG3854_000598-T1, DBVPG3854_001518-T1, DBVPG3854_004134-T1, DBVPG3854_011789-T1, DBVPG3854_011574-T1, DBVPG3854_008534-T1, DBVPG3854_012248-T1, DBVPG3854_013088-T1, DBVPG3854_005160-T1, DBVPG3854_007693-T1, DBVPG3854_002200-T1, DBVPG3854_014319-T1, DBVPG3854_010421-T1, DBVPG3854_014475-T1, DBVPG3854_001224-T1, DBVPG3854_013676-T1, DBVPG3854_004946-T1, DBVPG3854_003594-T1
GF00000002	DBVPG3854_000700-T1, DBVPG3854_000648-T1, DBVPG3854_006290-T1, DBVPG3854_000660-T1, DBVPG3854_012625-T1, DBVPG3854_007207-T1, DBVPG3854_000701-T1, DBVPG3854_006319-T1, DBVPG3854_007192-T1, DBVPG3854_006318-T1, DBVPG3854_006299-T1, DBVPG3854_011716-T1, DBVPG3854_006296-T1, DBVPG3854_011715-T1, DBVPG3854_007191-T1, DBVPG3854_000647-T1, DBVPG3854_014289-T1, DBVPG3854_007193-T1, DBVPG3854_001016-T1, DBVPG3854_001056-T1, DBVPG3854_007206-T1, DBVPG3854_001098-T1, DBVPG3854_000659-T1, DBVPG3854_005991-T1, DBVPG3854_006298-T1, DBVPG3854_001055-T1, DBVPG3854_001015-T1, DBVPG3854_007204-T1, DBVPG3854_014587-T1, DBVPG3854_007205-T1
GF00000003	DBVPG3854_004859-T1, DBVPG3854_004881-T1, DBVPG3854_004904-T1, DBVPG3854_003021-T1, DBVPG3854_006547-T1, DBVPG3854_004879-T1, DBVPG3854_009195-T1, DBVPG3854_007977-T1, DBVPG3854_004903-T1, DBVPG3854_004883-T1, DBVPG3854_011879-T1, DBVPG3854_004882-T1, DBVPG3854_004905-T1, DBVPG3854_013456-T1, DBVPG3854_004880-T1, DBVPG3854_012761-T1, DBVPG3854_002455-T1, DBVPG3854_011878-T1, DBVPG3854_002457-T1, DBVPG3854_004906-T1, DBVPG3854_002458-T1, DBVPG3854_003170-T1, DBVPG3854_011876-T1, DBVPG3854_010333-T1, DBVPG3854_003784-T1, DBVPG3854_002456-T1, DBVPG3854_013457-T1, DBVPG3854_004860-T1, DBVPG3854_011875-T1
GF00000004	DBVPG3854_003685-T1, DBVPG3854_012887-T1, DBVPG3854_012385-T1, DBVPG3854_011284-T1, DBVPG3854_009618-T1, DBVPG3854_007426-T1, DBVPG3854_004732-T1, DBVPG3854_005854-T1, DBVPG3854_012974-T1, DBVPG3854_010894-T1, DBVPG3854_009051-T1, DBVPG3854_000164-T1, DBVPG3854_004726-T1, DBVPG3854_012980-T1, DBVPG3854_002006-T1, DBVPG3854_005203-T1, DBVPG3854_004813-T1, DBVPG3854_005662-T1, DBVPG3854_008761-T1, DBVPG3854_007137-T1, DBVPG3854_011948-T1, DBVPG3854_008495-T1, DBVPG3854_013269-T1, DBVPG3854_003484-T1
GF00000005	DBVPG3854_002028-T1, DBVPG3854_009767-T1, DBVPG3854_002536-T1, DBVPG3854_002530-T1, DBVPG3854_013305-T1, DBVPG3854_013303-T1, DBVPG3854_002544-T1, DBVPG3854_002224-T1, DBVPG3854_011798-T1, DBVPG3854_013304-T1, DBVPG3854_002542-T1, DBVPG3854_002537-T1, DBVPG3854_002541-T1, DBVPG3854_011797-T1, DBVPG3854_014359-T1, DBVPG3854_002545-T1, DBVPG3854_002543-T1, DBVPG3854_002538-T1, DBVPG3854_009766-T1, DBVPG3854_002529-T1, DBVPG3854_002540-T1, DBVPG3854_002539-T1, DBVPG3854_002223-T1
GF00000006	DBVPG3854_002154-T1, DBVPG3854_004715-T1, DBVPG3854_007810-T1, DBVPG3854_009977-T1, DBVPG3854_002841-T1, DBVPG3854_009350-T1, DBVPG3854_008447-T1, DBVPG3854_003514-T1, DBVPG3854_007776-T1, DBVPG3854_012750-T1, DBVPG3854_013511-T1, DBVPG3854_011697-T1, DBVPG3854_010882-T1, DBVPG3854_012869-T1, DBVPG3854_012371-T1, DBVPG3854_013241-T1, DBVPG3854_013431-T1, DBVPG3854_003682-T1, DBVPG3854_014598-T1, DBVPG3854_011274-T1, DBVPG3854_014328-T1, DBVPG3854_011273-T1
GF00000007	DBVPG3854_014423-T1, DBVPG3854_011282-T1, DBVPG3854_010891-T1, DBVPG3854_004382-T1, DBVPG3854_012467-T1, DBVPG3854_004939-T1, DBVPG3854_004378-T1, DBVPG3854_010870-T1, DBVPG3854_013967-T1, DBVPG3854_008370-T1, DBVPG3854_013943-T1, DBVPG3854_009448-T1, DBVPG3854_001506-T1, DBVPG3854_004145-T1, DBVPG3854_004144-T1, DBVPG3854_001507-T1, DBVPG3854_012833-T1, DBVPG3854_001605-T1, DBVPG3854_004379-T1
GF00000008	DBVPG3854_006763-T1, DBVPG3854_001553-T1, DBVPG3854_002404-T1, DBVPG3854_010897-T1, DBVPG3854_007397-T1, DBVPG3854_009316-T1, DBVPG3854_000631-T1, DBVPG3854_006262-T1, DBVPG3854_002400-T1, DBVPG3854_010901-T1, DBVPG3854_009964-T1, DBVPG3854_001903-T1, DBVPG3854_003377-T1, DBVPG3854_000920-T1, DBVPG3854_012591-T1, DBVPG3854_013503-T1, DBVPG3854_005619-T1, DBVPG3854_002827-T1, DBVPG3854_014557-T1
GF00000009	DBVPG3854_009201-T1, DBVPG3854_006553-T1, DBVPG3854_010200-T1, DBVPG3854_010723-T1, DBVPG3854_007406-T1, DBVPG3854_009307-T1, DBVPG3854_002939-T1, DBVPG3854_011836-T1, DBVPG3854_011835-T1, DBVPG3854_002940-T1, DBVPG3854_002300-T1, DBVPG3854_002107-T1, DBVPG3854_010199-T1, DBVPG3854_002754-T1, DBVPG3854_012125-T1, DBVPG3854_000615-T1, DBVPG3854_010722-T1, DBVPG3854_011439-T1
GF00000010	DBVPG3854_013952-T1, DBVPG3854_012876-T1, DBVPG3854_011294-T1, DBVPG3854_000090-T1, DBVPG3854_009145-T1, DBVPG3854_008478-T1, DBVPG3854_004233-T1, DBVPG3854_009669-T1, DBVPG3854_012356-T1, DBVPG3854_000539-T1, DBVPG3854_003401-T1, DBVPG3854_007871-T1, DBVPG3854_000721-T1, DBVPG3854_007872-T1, DBVPG3854_013287-T1, DBVPG3854_008479-T1, DBVPG3854_007870-T1, DBVPG3854_014630-T1
