pair	N	S	alignmentcoverage	alignmentidentity	alignmentlength	dN	dN/dS	dS	family	g1	g2	l	node	node_averaged_dS_outlierexcluded	node_averaged_dS_outlierincluded	strippedalignmentlength	t	weightoutlierexcluded	weightoutlierincluded	gene1	gene2
TFCN17291Y1_002494-T1__TFCN17291Y1_004237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_02482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_002494-T1
TFCN17291Y1_004237-T1__TFCN17291Y1_005388-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_05327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_005388-T1
TFCN17291Y1_004237-T1__TFCN17291Y1_009066-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_08949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_009066-T1
TFCN17291Y1_003875-T1__TFCN17291Y1_004237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_03837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_003875-T1
TFCN17291Y1_001982-T1__TFCN17291Y1_004237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_01972	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_001982-T1
TFCN17291Y1_004154-T1__TFCN17291Y1_004237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_004154-T1
TFCN17291Y1_004237-T1__TFCN17291Y1_005063-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_05008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_005063-T1
TFCN17291Y1_004237-T1__TFCN17291Y1_005676-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_05611	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_005676-T1
TFCN17291Y1_004237-T1__TFCN17291Y1_004264-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_004264-T1
TFCN17291Y1_002624-T1__TFCN17291Y1_004237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_02607	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_002624-T1
TFCN17291Y1_002759-T1__TFCN17291Y1_004237-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_02734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_002759-T1
TFCN17291Y1_004237-T1__TFCN17291Y1_011352-T1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GF00000001	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_04196	Rhodotorula_mucilaginosa_TFCN_17-291Y-1.cds.fa_11199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	TFCN17291Y1_004237-T1	TFCN17291Y1_011352-T1
