	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000001	DBVPG3775_004694-T1, DBVPG3775_001425-T1, DBVPG3775_002229-T1, DBVPG3775_005743-T1, DBVPG3775_006170-T1, DBVPG3775_001966-T1, DBVPG3775_003090-T1, DBVPG3775_001810-T1, DBVPG3775_005192-T1, DBVPG3775_003641-T1, DBVPG3775_006852-T1, DBVPG3775_004406-T1, DBVPG3775_002302-T1, DBVPG3775_004113-T1, DBVPG3775_001381-T1, DBVPG3775_004535-T1, DBVPG3775_005505-T1, DBVPG3775_002948-T1, DBVPG3775_006401-T1, DBVPG3775_003289-T1, DBVPG3775_002135-T1, DBVPG3775_005417-T1, DBVPG3775_004163-T1, DBVPG3775_000863-T1, DBVPG3775_004108-T1, DBVPG3775_007352-T1, DBVPG3775_002446-T1, DBVPG3775_004107-T1
GF00000002	DBVPG3775_006425-T1, DBVPG3775_005035-T1, DBVPG3775_006826-T1, DBVPG3775_006827-T1, DBVPG3775_006888-T1, DBVPG3775_006864-T1, DBVPG3775_006578-T1, DBVPG3775_004916-T1, DBVPG3775_006825-T1, DBVPG3775_003768-T1, DBVPG3775_006887-T1, DBVPG3775_006890-T1, DBVPG3775_006423-T1, DBVPG3775_006424-T1, DBVPG3775_006886-T1, DBVPG3775_001472-T1, DBVPG3775_006889-T1, DBVPG3775_006426-T1, DBVPG3775_006830-T1, DBVPG3775_006865-T1, DBVPG3775_006829-T1, DBVPG3775_003652-T1, DBVPG3775_006828-T1, DBVPG3775_006866-T1, DBVPG3775_003651-T1
GF00000003	DBVPG3775_001973-T1, DBVPG3775_000661-T1, DBVPG3775_001148-T1, DBVPG3775_002215-T1, DBVPG3775_001363-T1, DBVPG3775_003948-T1, DBVPG3775_005476-T1, DBVPG3775_001513-T1, DBVPG3775_002507-T1, DBVPG3775_000995-T1, DBVPG3775_001603-T1, DBVPG3775_004254-T1, DBVPG3775_000981-T1, DBVPG3775_006710-T1, DBVPG3775_001720-T1, DBVPG3775_001597-T1, DBVPG3775_002174-T1, DBVPG3775_006618-T1, DBVPG3775_005374-T1, DBVPG3775_005341-T1, DBVPG3775_005327-T1, DBVPG3775_004799-T1, DBVPG3775_006140-T1, DBVPG3775_002902-T1
GF00000004	DBVPG3775_004172-T1, DBVPG3775_000949-T1, DBVPG3775_000122-T1, DBVPG3775_006696-T1, DBVPG3775_002963-T1, DBVPG3775_006799-T1, DBVPG3775_005307-T1, DBVPG3775_001440-T1, DBVPG3775_007532-T1, DBVPG3775_000709-T1, DBVPG3775_003862-T1, DBVPG3775_001085-T1, DBVPG3775_000507-T1, DBVPG3775_006739-T1, DBVPG3775_000898-T1, DBVPG3775_006748-T1, DBVPG3775_002542-T1, DBVPG3775_005618-T1, DBVPG3775_000760-T1, DBVPG3775_002004-T1
GF00000005	DBVPG3775_001734-T1, DBVPG3775_004132-T1, DBVPG3775_007074-T1, DBVPG3775_005934-T1, DBVPG3775_006694-T1, DBVPG3775_005929-T1, DBVPG3775_003791-T1, DBVPG3775_002352-T1, DBVPG3775_003112-T1, DBVPG3775_006745-T1, DBVPG3775_005071-T1, DBVPG3775_004025-T1, DBVPG3775_003935-T1, DBVPG3775_002304-T1, DBVPG3775_001585-T1, DBVPG3775_000664-T1, DBVPG3775_000970-T1, DBVPG3775_004933-T1
GF00000006	DBVPG3775_004453-T1, DBVPG3775_004365-T1, DBVPG3775_005712-T1, DBVPG3775_004441-T1, DBVPG3775_004366-T1, DBVPG3775_004388-T1, DBVPG3775_004391-T1, DBVPG3775_004397-T1, DBVPG3775_004440-T1, DBVPG3775_004452-T1, DBVPG3775_005715-T1, DBVPG3775_001053-T1, DBVPG3775_004389-T1, DBVPG3775_005713-T1, DBVPG3775_004364-T1, DBVPG3775_005714-T1, DBVPG3775_004367-T1, DBVPG3775_004368-T1
GF00000007	DBVPG3775_000746-T1, DBVPG3775_003781-T1, DBVPG3775_003886-T1, DBVPG3775_001752-T1, DBVPG3775_004455-T1, DBVPG3775_004058-T1, DBVPG3775_004768-T1, DBVPG3775_005784-T1, DBVPG3775_003035-T1, DBVPG3775_003929-T1, DBVPG3775_002017-T1, DBVPG3775_001094-T1, DBVPG3775_005244-T1, DBVPG3775_003309-T1, DBVPG3775_002532-T1, DBVPG3775_000867-T1, DBVPG3775_001806-T1
GF00000008	DBVPG3775_005586-T1, DBVPG3775_005585-T1, DBVPG3775_005597-T1, DBVPG3775_003924-T1, DBVPG3775_005596-T1, DBVPG3775_005574-T1, DBVPG3775_005582-T1, DBVPG3775_005628-T1, DBVPG3775_005575-T1, DBVPG3775_007341-T1, DBVPG3775_007342-T1, DBVPG3775_005629-T1, DBVPG3775_005579-T1, DBVPG3775_005573-T1, DBVPG3775_005565-T1, DBVPG3775_001378-T1, DBVPG3775_005584-T1
GF00000009	DBVPG3775_006585-T1, DBVPG3775_006207-T1, DBVPG3775_000020-T1, DBVPG3775_003583-T1, DBVPG3775_005271-T1, DBVPG3775_003582-T1, DBVPG3775_005883-T1, DBVPG3775_006206-T1, DBVPG3775_007174-T1, DBVPG3775_001365-T1, DBVPG3775_005521-T1, DBVPG3775_003076-T1, DBVPG3775_004533-T1, DBVPG3775_003756-T1
GF00000010	DBVPG3775_007119-T1, DBVPG3775_002003-T1, DBVPG3775_002128-T1, DBVPG3775_000052-T1, DBVPG3775_004678-T1, DBVPG3775_006624-T1, DBVPG3775_001799-T1, DBVPG3775_002787-T1, DBVPG3775_000354-T1, DBVPG3775_001448-T1, DBVPG3775_005370-T1, DBVPG3775_006267-T1, DBVPG3775_001935-T1
